Variabile;Modalita;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFCARTE_pond;sum_PFAZ_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_indeb_pond;sum_Y_FAM_indeb_pond;sum_MUTUOIN1_pond;sum_TDEBITA1_pond;Durata_Ori_pond_MUTUOIN1;Durata_Res_pond_TDEBITA1;LTV1_pond_MUTUOIN1;Tasso_pond1;sum_MUTUOIN1_SOSPENS1;sum_MUTUOIN2_pond;sum_TDEBITA2_pond;Durata_Ori_pond_MUTUOIN2;Durata_Res_pond_TDEBITA2;LTV1_pond_MUTUOIN2;Tasso_pond2;sum_MUTUOIN3_pond;sum_TDEBITA3_pond;Durata_Ori_pond_MUTUOIN3;TAEG_pond3;sum_MUTUOIN4_pond;sum_TDEBITA4_pond;Durata_Ori_pond_MUTUOIN4;Tasso_pond4;sum_TDEBITA3_1_pond;sum_TDEBITA3_2_pond;sum_TDEBITA3_3_pond;sum_TDEBITA3_4_pond;sum_TDEBITA3_5_pond
SEX;1;4645.0208464;465.01005348;437.48038177;82.160754233;113.84614172;195.08551715;139.18342162;1059.0735056;1116.2642639;39724943.799;3577796.0625;151476.44463;5918565.2177;679797.04506;1935329.2253;51987907.795;262758134.72;43796362.348;51405176.885;34565263.549;23.776231377;17.932391906;74.121519847;2.7575924396;1869503.228;7216059.6644;5159680.2503;20.597878738;19.089809044;72.104745881;2.0271356266;5942964.5835;3577796.0625;6.4005523608;4.9468993331;6674236.4707;4252111.0066;15.636950554;3.694979334;2414221.9826;211842.14256;16328.692414;817509.69996;117893.545
SEX;2;2774.9791594;223.33638591;143.69374344;33.604226272;66.839066519;59.997741543;69.113525677;436.61636499;463.25732002;17440612.606;1110861.8962;41159.762454;6037921.5666;192675.57691;1147725.9122;25970957.32;95983500.679;15353941.307;24319243.942;15501718.909;23.728163266;18.083609915;76.320829734;2.6228317885;381800.05477;2973136.3012;1938893.6967;17.973605978;13.963125816;56.064713435;2.5727464748;1751314.6427;1110861.8962;5.3000206898;3.8467536623;6822161.8057;5778969.8479;15.269446306;3.1872726154;871573.2009;60282.284012;3866.4198465;172902.18596;0
CLETA5;1;646.10433398;70.950179955;54.764324765;6.468612885;5.7808110032;11.47622131;34.526876228;152.76958543;158.55039644;5920974.9949;290957.52678;8911.864223;152315.6582;33385.53456;391504.59183;6798050.1705;13000631.702;4550784.8962;7613367.3149;5859136.4166;23.629739928;19.736927596;81.373573424;2.7215616865;104693.89265;67025.039739;61838.578331;23.452380952;22.193548387;92.261904762;3;440226.66997;290957.52678;3.987860455;3.9988263315;155660.27228;114230.23325;4.2911772067;6.2746221758;257939.81159;32443.548838;0;574.16635102;0
CLETA5;2;1270.8980142;241.55912991;120.51508838;36.215401559;49.882323414;31.414323985;36.035116998;381.20414425;399.16831059;24827147.241;885560.30648;39375.279731;899909.83261;55963.308643;913197.43535;27621153.404;72255477.645;14075258.192;30114339.523;21862364.236;25.231472614;20.519523831;76.690338543;2.656463245;1490923.7397;3838504.6159;2964783.0058;24.393528093;22.859522471;66.22236624;2.2608711329;1494976.5184;885560.30648;6.0961150612;5.1301103235;952350.05783;444200.68096;10.603818794;5.5539922449;693601.80301;104198.94447;0;87759.559002;0
CLETA5;3;1582.4848758;243.68347919;212.32483422;30.703658396;68.676523079;104.7905018;65.693162654;506.2154076;534.84804685;17899374.36;2038844.1844;54029.19437;8890462.1257;408884.63523;1006908.3327;30298502.832;143626966.1;21885801.512;25905854.635;15554303.2;22.66464785;15.437737063;73.61236707;2.9094318135;633813.60762;3325243.2283;2345071.1598;14.619290231;10.713574298;64.213986574;2.0651968082;3045627.5924;2038844.1844;5.8047558816;4.2623022563;9710011.1617;7714016.7906;15.479427325;3.0680215423;1534676.0253;54163.356796;0;341244.39354;106522.60335
CLETA5;4;1314.7141218;88.417858076;109.50244042;27.483544122;47.757005177;63.146210228;34.811876964;264.69306688;291.4134061;7219485.0321;775768.93006;58361.724342;1787287.6373;181782.18588;322698.14785;10345383.658;74449821.829;11737755.986;9638293.2152;5748730.61;22.82551337;13.866624991;71.295788065;2.3169859329;21872.042849;2282125.7266;1470754.4221;20.991167347;19.936842616;71.049532035;2.0068661711;1437617.3338;775768.93006;5.8507212466;4.3050252595;2434330.9222;1607898.9777;18.293486448;4.1667226188;540338.92371;15397.411121;16442.713167;192218.94041;11370.941645
CLETA5;5;2605.79866;43.735792249;84.067437422;14.893763543;8.5885455692;44.256001371;37.22991445;190.80766642;195.54142398;1298574.7777;697527.01094;31958.144419;226511.53043;192456.95766;448746.62974;2895775.0509;55408738.119;6900703.0681;2452566.1391;1042447.9968;21.363454282;15.424750593;58.358437053;3.2412454431;0;676297.35511;256126.78093;15.303559048;7.7230993189;75.337242496;2.9848685078;1275831.1116;697527.01094;8.1209224195;6.0726298194;244045.86235;150734.17203;12.010094923;3.8500706698;259238.61988;65921.165353;3752.3990932;368614.82661;0
STUDIO;1;231.63395648;0.1633396533;1.004937131;1.5439091738;1.6689656536;1.9274960802;1.9683923656;6.6080744039;6.6080744039;1225.0473997;6749.2383894;2683.2716036;25034.484804;12117.51591;8303.9373341;56113.495441;625899.00676;125348.49591;1306.7172263;1225.0473997;10;5;100;2;0;;;;;;;14595.891176;6749.2383894;5;8.0246421314;;;;;2008.296316;0;0;4740.9420734;0
STUDIO;2;1361.3731633;27.740595035;35.282313152;2.4818781272;8.1443491869;21.142974598;28.216818592;101.40123488;108.38311457;1069182.9997;282051.41738;4688.2017655;216988.44738;50562.699618;203477.01563;1826950.7815;16507547.093;2496619.9288;1609534.8666;1048001.28;22.225879996;15.309454703;73.117094688;3.8296896902;312332.67349;93206.532061;21181.719763;12.733255585;3.3356654998;87.418033907;3.1911162102;476351.47637;282051.41738;10.730153076;5.5297827909;345821.14321;187516.44201;9.2621898913;3.4266744276;111448.12596;48751.187681;3669.8962198;118182.20752;0
STUDIO;3;2180.4626861;126.92440616;172.10109918;29.759484323;41.768843642;52.693419558;94.14847368;407.82766047;432.81090603;7855359.1043;1385575.4088;54017.273227;994503.32693;203924.25212;528022.02949;11021401.395;48616449.237;12121387.238;12582877.02;7532951.052;23.023426078;16.0465844;79.743554983;3.3010641135;1151374.7184;395390.90756;322408.05223;20.017889251;18.202346491;72.143987285;4.3731745123;2049262.2603;1385575.4088;5.4619996196;4.5133718814;1072525.7079;736037.09887;11.129994934;4.8714557403;1077122.1623;109265.41087;82.502873365;194467.84759;4637.4851816
