NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
173;33.061.977.405;0;0;0;23400;23400;23400;0;0;0;0;0;0;0;0;0;0;0;0;96.619.774.054;9600;0;9600;61.977.405.444;61.977.405.444;0;0;0;6;3
633;15.607.747.176;0;0;0;10800;10800;10800;0;0;0;0;0;0;0;0;0;0;0;0;48.077.471.757;4800;0;4800;77.471.756.805;77.471.756.805;0;0;0;2;1
923;10.104.648.305;0;0;0;6500;6500;6500;0;0;0;0;0;0;0;0;0;0;0;0;36.046.483.054;3600;0;3600;46.483.054.083;46.483.054.083;0;0;0;1;1
2886;39.295.685.043;0;0;0;31043;43043;43043;0;-12000;0;0;0;0;-12000;0;12000;0;0;0;82.526.850.432;8000;0;8000;25.268.504.317;25.268.504.317;0;0;0;7;4
3717;6240;0;0;0;6240;0;0;0;6240;0;0;0;0;0;0;0;0;6240;0;0;0;0;0;0;0;0;0;0;1;1
5416;40.236.459.378;31800;31800;0;8400;8400;8400;0;0;0;0;0;0;0;0;0;0;0;0;3.645.937.794;0;0;0;3.645.937.794;3.645.937.794;0;0;0;7;4
7886;36.555.779.665;1500;1500;0;26600;26000;26000;0;600;600;600;0;0;0;0;0;0;0;0;84.557.796.649;8400;0;8400;557.796.649;557.796.649;0;0;0;7;4
20297;24.347.538.661;7540.68;7540.68;0;17859.32;15600;15600;0;2259.32;2259.32;2259.32;0;0;0;0;0;0;0;0;-1.052.461.339;0;0;0;-1.052.461.339;61.977.405.444;0;0;10.586.590.794;5;3
20711;32.012.395.481;0;0;0;26000;26000;26000;0;0;0;0;0;0;0;0;0;0;0;0;60.123.954.811;6000;0;6000;12.395.481.089;12.395.481.089;0;0;0;6;3
22099;13.804.648.305;0;0;0;1800;0;0;0;1800;0;0;0;0;0;0;0;1800;0;6000;60.046.483.054;6000;0;6000;46.483.054.083;46.483.054.083;0;0;0;2;1
22169;11.440.464.831;0;0;0;11440;11440;11440;0;0;0;0;0;0;0;0;0;0;0;0;0.4648305408;0;0;0;0.4648305408;0.4648305408;0;0;0;1;1
22173;27.026.340.397;14000;14000;0;13000;13000;13000;0;0;0;0;0;0;0;0;0;0;0;0;26.340.397.314;0;0;0;26.340.397.314;26.340.397.314;0;0;0;5;3
22276;19.584.428.942;0;0;0;14400;14400;14400;0;0;0;0;0;0;0;0;0;0;0;0;5.184.428.942;4800;0;4800;38.442.894.202;0;38.442.894.202;0;0;3;2
22286;3.017.179.507;0;0;0;18000;18000;18000;0;0;0;0;0;0;0;0;0;0;0;0;1.217.179.507;12000;0;12000;17.179.507.003;17.179.507.003;0;0;0;6;3
22624;33.504.648.305;27500;27500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.046.483.054;6000;0;6000;46.483.054.083;46.483.054.083;0;0;0;6;3
22657;41.599.630.724;0;0;0;34300;34800;34800;0;-500;0;0;0;0;-500;0;500;0;0;0;72.996.307.242;7200;0;7200;99.630.724.181;99.630.724.181;0;0;0;8;4
23490;22.380.145.609;0;0;0;16800;16800;16800;0;0;0;0;0;0;0;0;0;0;0;0;55.801.456.087;5400;0;5400;18.014.560.869;18.014.560.869;0;0;0;4;2
23797;24.226.340.397;18200;18200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.263.403.973;6000;0;6000;26.340.397.314;26.340.397.314;0;0;0;5;3
23821;13.060.142.657;0;0;0;8840;8840;8840;0;0;0;0;0;0;0;0;0;0;0;0;42.201.426.568;4200;0;4200;20.142.656.769;20.142.656.769;0;0;0;2;1
23823;30.820.285.314;15000;15000;0;8580;8580;8580;0;0;0;0;0;0;0;0;0;0;0;0;72.402.853.135;7200;0;7200;40.285.313.539;40.285.313.539;0;0;0;6;3
24147;87.490.600.497;0;0;0;43290;43290;43290;0;0;0;0;0;0;0;0;0;0;0;0;44.200.600.497;41300;19700;21600;29.006.004.973;18.593.221.633;0;2.714.668.281;0;10;5
24809;18.009.715.649;0;0;0;12000;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;60.097.156.491;6000;0;6000;9.715.649.065;9.715.649.065;0;0;0;3;2
24853;56.586.483.054;19500;19500;0;28340;28340;28340;0;0;0;0;0;0;0;0;0;0;0;0;87.464.830.541;8700;0;8700;46.483.054.083;46.483.054.083;0;0;0;9;5
27114;21.623.191.641;0;0;0;15600;15600;15600;0;0;0;0;0;0;0;0;0;0;0;0;60.231.916.408;6000;0;6000;2.319.164.081;2.319.164.081;0;0;0;4;2
27116;15.207.747.176;0;0;0;8400;8400;8400;0;0;0;0;0;0;0;0;0;0;0;0;68.077.471.757;6800;0;6800;77.471.756.805;77.471.756.805;0;0;0;2;1
27238;40.480.988.703;17000;17000;0;18650;13650;13650;0;5000;5000;5000;0;0;0;0;0;0;0;0;48.309.887.027;4800;0;4800;30.988.702.722;30.988.702.722;0;0;0;7;4
27730;4.511.263.404;16611.02;16611.02;0;22498.98;19110;19110;0;3388.98;3388.98;3388.98;0;0;0;0;0;0;0;0;60.026.340.397;6000;0;6000;26.340.397.314;26.340.397.314;0;0;0;8;4
27734;19867;0;0;0;15067;15067;15067;0;0;0;0;0;0;0;0;0;0;0;0;4800;4800;0;4800;0;0;0;0;0;3;2
27739;18.235.494.351;0;0;0;4680;4680;4680;0;0;0;0;0;0;0;0;0;0;0;0;13.555.494.351;13540;9690;3850;15.494.351.361;15.494.351.361;0;0;0;3;2
27742;11.920.154.944;0;0;0;8320;8320;8320;0;0;0;0;0;0;0;0;0;0;0;0;36.001.549.435;3600;0;3600;0.1549435136;0.1549435136;0;0;0;2;1
27912;41.180.570.627;0;0;0;35100;35100;35100;0;0;0;0;0;0;0;0;0;0;0;0;60.805.706.271;6000;0;6000;80.570.627.077;80.570.627.077;0;0;0;7;4
27923;42.034.638.438;0;0;0;35860;35360;35360;0;500;500;0;500;0;0;0;0;0;0;0;6.174.638.438;6000;0;6000;174.638.438;75.922.321.669;23.308.664.078;7.540.745.225;0;8;4
28992;8.584.087.573;0;0;0;1350;1350;1350;0;0;0;0;0;0;0;0;0;0;0;0;7.234.087.573;7200;0;7200;34.087.572.994;34.087.572.994;0;0;0;1;1
29140;37.021.692.092;0;0;0;28600;28600;28600;0;0;0;0;0;0;0;0;0;0;0;0;84.216.920.919;8400;0;8400;21.692.091.905;21.692.091.905;0;0;0;7;4
29678;21.092.966.108;0;0;0;15600;15600;15600;0;0;0;0;0;0;0;0;0;0;0;0;54.929.661.082;5400;0;5400;92.966.108.166;92.966.108.166;0;0;0;4;2
29680;26.232.098.397;19000;19000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.320.983.966;7200;0;7200;32.098.396.591;32.098.396.591;0;0;0;5;3
29737;67.207.234.884;0;0;0;58500;58500;58500;0;0;0;0;0;0;0;0;0;0;0;0;8.707.234.884;6600;0;6600;2.107.234.884;2.107.234.884;0;0;0;9;5
31093;28.504.711.174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16500;12.004.711.174;12000;0;12000;4.711.173.567;4.711.173.567;0;0;0;6;3
31220;60.313.442.321;0;0;0;27170;27170;27170;0;0;0;0;0;0;0;0;0;0;0;800;32.343.442.321;31400;23600;7800;94.344.232.127;15.494.351.361;0;78.849.880.766;0;9;5
31221;46.204.648.305;0;0;0;33800;33800;33800;0;0;0;0;0;0;0;0;0;0;0;0;12.404.648.305;12400;0;12400;46.483.054.083;46.483.054.083;0;0;0;8;4
31625;37.904.428.118;28000;26000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.044.281.178;9800;200;9600;10.442.811.775;92.966.108.166;0;11.462.009.586;0;7;4
31652;43.213.572.201;0;0;0;39000;39000;39000;0;0;0;0;0;0;0;0;0;0;0;0;42.135.722.009;4200;0;4200;13.572.200.905;13.572.200.905;0;0;0;8;4
31695;33.674.094.254;27000;27000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.740.942.543;7200;0;7200;-5.259.057.457;12.395.481.089;0;0;53.830.122.681;6;3
31724;84.430.000.437;51.247.648.903;51247.65;0;23.584.351.097;21632;21632;0;19.523.510.972;75.235.109.718;75.235.109.718;0;1200;0;0;0;0;0;0;95.980.004.368;8400;0;8400;11.980.004.368;11.775.707.034;0;10.802.433.665;0;10;5
31757;17.910.692.672;0;0;0;10400;10400;10400;0;0;0;0;0;0;0;0;0;0;0;0;75.106.926.717;7200;0;7200;31.069.267.165;30.988.702.722;27.970.396.893;0;0;3;2
31860;54.021.692.092;45000;44500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.216.920.919;9000;0;9000;21.692.091.905;21.692.091.905;0;0;0;9;5
32057;19.875.227.139;0;0;0;16926;16926;16926;0;0;0;0;0;0;0;0;0;0;0;0;29.492.271.389;2600;0;2600;34.922.713.895;13.944.916.225;2.097.779.767;0;0;3;2
32190;23.127.312.557;0;0;0;18200;18200;18200;0;0;0;0;0;0;0;0;0;0;0;0;49.273.125.566;4800;0;4800;12.731.255.656;68.175.145.989;0;59.137.410.574;0;4;2
32320;10.175.494.351;90000;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;97.549.435.136;9600;0;9600;15.494.351.361;15.494.351.361;0;0;0;10;5
32471;11.152.395.481;0;0;0;7540;7540;7540;0;0;0;0;0;0;0;0;0;0;0;0;36.123.954.811;3600;0;3600;12.395.481.089;12.395.481.089;0;0;0;1;1
32524;82.979.300.619;0;0;0;53625;53625;53625;0;0;0;0;0;0;0;0;0;0;0;0;29.354.300.619;20200;0;20200;91.543.006.191;64.006.613.276;18.136.329.821;67.006.015.041;0;10;5
32556;21.724.858.099;0;0;0;16900;16900;16900;0;0;0;0;0;0;0;0;0;0;0;0;48.248.580.992;4800;0;4800;24.858.099.214;15.494.351.361;23.308.664.078;0;0;4;2
32729;65.187.889.832;0;0;0;18360;17160;17160;0;1200;0;0;0;0;0;0;0;1200;0;30000;16.827.889.832;16800;0;16800;2.788.983.245;2.788.983.245;0;0;0;9;5
32734;22.010.846.046;22000;22000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.846.045.953;0;0;0;10.846.045.953;10.846.045.953;0;0;0;4;2
32765;51.021.813.773;0;0;0;42640;42640;42640;0;0;0;0;0;0;0;0;0;0;0;0;83.818.137.727;8150;0;8150;23.181.377.266;13.325.142.171;0;98.562.350.957;0;9;5
32772;25.695.917.889;0;0;0;19500;19500;19500;0;0;0;0;0;0;0;0;0;0;0;0;61.959.178.891;6000;0;6000;19.591.788.913;15.649.294.875;0;39.424.940.383;0;5;3
32822;14.412.395.481;14400;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.395.481.089;0;0;0;12.395.481.089;12.395.481.089;0;0;0;2;1
32839;2.642.311.866;0;0;0;20800;20800;20800;0;0;0;0;0;0;0;0;0;0;0;0;56.231.186.596;5400;0;5400;2.231.186.596;2.231.186.596;0;0;0;5;3
32861;38.665.494.351;0;0;0;34450;34450;34450;0;0;0;0;0;0;0;0;0;0;0;0;42.154.943.514;4200;0;4200;15.494.351.361;15.494.351.361;0;0;0;7;4
32887;45.722.374.029;0;0;0;950;0;0;0;950;950;950;0;0;0;0;0;0;0;0;44.772.374.029;46000;22000;24000;-1.227.625.971;34.360.650.018;0;36.665.194.556;19.378.844.165;8;4
33036;3.694.309.887;13000;13000;0;23940;23940;23940;0;0;0;0;0;0;0;0;0;0;0;0;30.988.702.722;0;0;0;30.988.702.722;30.988.702.722;0;0;0;7;4
33038;21.403.718.644;14400;14400;0;2000;0;0;0;2000;0;0;0;0;0;0;0;2000;0;2000;30.037.186.443;3000;0;3000;37.186.443.267;37.186.443.267;0;0;0;4;2
33275;51.246.483.054;0;0;0;41600;41600;41600;0;0;0;0;0;0;0;0;0;0;0;0;96.464.830.541;9600;0;9600;46.483.054.083;46.483.054.083;0;0;0;9;5
33303;37.317.889.832;0;0;0;32130;32630;32630;0;-500;0;0;0;0;-500;0;500;0;0;0;51.878.898.324;5160;0;5160;2.788.983.245;2.788.983.245;0;0;0;7;4
33335;47.335.336.872;19000;19000;0;11700;11700;11700;0;0;0;0;0;0;0;0;0;0;0;2500;14.135.336.872;14000;0;14000;13.533.687.166;22.621.752.987;0;25.626.211.249;14.354.699.382;8;4
33451;23.415.494.351;0;0;0;23400;23400;23400;0;0;0;0;0;0;0;0;0;0;0;0;15.494.351.361;0;0;0;15.494.351.361;15.494.351.361;0;0;0;4;2
33479;44.730.988.703;0;0;0;35100;35100;35100;0;0;0;0;0;0;0;0;0;0;0;0;96.309.887.027;9600;0;9600;30.988.702.722;30.988.702.722;0;0;0;8;4
33839;13.980.988.703;0;0;0;7800;7800;7800;0;0;0;0;0;0;0;0;0;0;0;0;61.809.887.027;6150;0;6150;30.988.702.722;30.988.702.722;0;0;0;2;1
33882;22.317.035.724;0;0;0;15000;15000;15000;0;0;0;0;0;0;0;0;0;0;0;0;73.170.357.245;7200;0;7200;11.703.572.449;88.433.072.037;0;28.602.652.452;0;4;2
33937;14.861.977.405;0;0;0;6400;6400;6400;0;0;0;0;0;0;0;0;0;0;0;0;84.619.774.054;8400;0;8400;61.977.405.444;61.977.405.444;0;0;0;2;1
34252;29.415.494.351;0;0;0;23400;23400;23400;0;0;0;0;0;0;0;0;0;0;0;0;60.154.943.514;6000;0;6000;15.494.351.361;15.494.351.361;0;0;0;6;3
34778;27.565.494.351;15000;15000;0;7150;7150;7150;0;0;0;0;0;0;0;0;0;0;0;0;54.154.943.514;5400;0;5400;15.494.351.361;15.494.351.361;0;0;0;5;3
34825;57.539.009.005;0;0;0;45500;45500;45500;0;0;0;0;0;0;0;0;0;0;0;0;12.039.009.005;9100;200;8900;29.390.090.051;49.581.924.355;0;24.431.897.615;0;9;5
35022;2.100.309.887;21000;21000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.988.702.722;0;0;0;30.988.702.722;30.988.702.722;0;0;0;4;2
35234;26.945.887.854;0;0;0;20940;20940;20940;0;0;0;0;0;0;0;0;0;0;0;0;60.058.878.535;6000;0;6000;58.878.535.172;58.878.535.172;0;0;0;5;3
35322;25.707.608.309;0;0;0;19160;13160;13160;0;6000;6000;0;6000;0;0;0;0;0;0;0;6.547.608.309;6500;0;6500;47.608.309.048;47.608.309.048;0;0;0;5;3
35323;19.016.054.319;0;0;0;14170;14170;14170;0;0;0;0;0;0;0;0;0;0;0;0;48.460.543.186;4800;0;4800;46.054.318.631;46.054.318.631;0;0;0;3;2
35340;71.716.920.919;0;0;0;7150;7150;7150;0;0;0;0;0;0;0;0;0;0;0;0;21.692.091.905;0;0;0;21.692.091.905;21.692.091.905;0;0;0;1;1
35372;40.070.779.665;0;0;0;37015;37015;37015;0;0;0;0;0;0;0;0;0;0;0;0;30.557.796.649;3000;0;3000;557.796.649;557.796.649;0;0;0;7;4
35379;23.230.988.703;0;0;0;17200;18200;18200;0;-1000;0;0;0;0;-1000;0;1000;0;0;0;60.309.887.027;6000;0;6000;30.988.702.722;30.988.702.722;0;0;0;4;2
35640;45.617.471.757;0;0;0;33540;33540;33540;0;0;0;0;0;0;0;0;0;0;0;0;12.077.471.757;12000;0;12000;77.471.756.805;77.471.756.805;0;0;0;8;4
35682;39.915.494.351;0;0;0;35100;35100;35100;0;0;0;0;0;0;0;0;0;0;0;0;48.154.943.514;4800;0;4800;15.494.351.361;15.494.351.361;0;0;0;7;4
35788;32.664.824.212;0;0;0;24848;24848;24848;0;0;0;0;0;0;0;0;0;0;0;0;78.168.242.122;7200;0;7200;61.682.421.221;61.682.421.221;0;0;0;6;3
