IREG;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFAZ_pond;sum_PFCARTE_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_pond;sum_Y_FAM_pond
1;509.4202095;91.419248381;48.726792521;18.37098393;23.037524274;25.441598581;10.727701273;154.23287097;164.12983038;10383908.882;430008.15489;2325678.5994;14852.76356;129194.80551;101431.5999;13385074.805;145282188.97;19472317.781
2;86.642112726;21.875340453;13.337358495;6.3341913091;5.5019102298;0;1.4964687104;28.548656581;32.554098101;835903.86685;73185.909313;1225830.6864;11355.614418;0;22447.030656;2168723.1076;28230767.555;3214177.7821
3;837.12928227;207.30066282;74.688629465;11.056441981;14.890749388;24.330248267;35.058598104;288.86647248;298.92100195;26582784.809;777504.82469;1919488.4001;12838.333157;183040.73511;888663.84025;30364320.943;444895538.58;50412685.983
4;331.66939167;49.792287509;18.356427315;0.5015148502;16.705179598;19.49764305;1.4082001241;75.036406842;82.829336369;6008592.5497;187267.40926;3297675.8398;645.32178118;149392.27973;2112.3001861;9645685.7004;189152081.17;14563345.455
5;379.68842099;75.650080256;27.152994694;10.52716267;26.214109337;22.960590047;5.3142733644;115.21532157;127.60528638;9610890.828;281828.20131;4765520.819;18889.172522;88237.581451;598389.9373;15363756.54;177555000.82;17430354.372
6;133.65395406;20.868446218;19.465521059;0.5953119378;3.0794735186;7.0120502117;0;39.534422047;41.385947757;2948426.6363;187797.10875;707432.06522;852.74419364;31753.929182;0;3876262.4836;52425427.643;5797768.7509
7;238.39011757;35.128952597;23.780202755;2.0984111306;5.1454730358;7.1265119294;0;51.309428125;54.923897702;4048996.5503;254375.37436;2553767.5039;3223.564021;56808.412949;0;6917171.4055;115868418.57;9197481.9145
8;373.1926546;65.051415853;44.073580873;4.826241728;11.452606269;15.000837926;0.4912462111;98.346130401;103.08490389;7656565.4569;326504.2472;561391.33039;7460.138624;108701.86304;758.47232951;8661381.5085;158553122.94;18129426.303
9;359.1026678;81.767504008;51.254610024;13.060835086;12.879709433;10.667340818;8.9702787976;133.16471829;139.68227716;8642229.5891;345355.42012;875621.70848;16927.888395;53681.29817;159430.07206;10093245.976;137480168.04;14887937.488
10;320.92124855;66.675163371;73.474953347;7.3247228714;21.80444063;19.922003059;4.2401636908;124.3570467;134.37083787;5537668.4612;843997.43144;865800.47616;11129.653634;53140.37353;163656.9926;7475393.3886;72542767.778;11761391.511
11;240.28589915;18.213785282;10.131285546;1.8711960864;11.963804882;8.0217861569;1.5870451665;30.654927704;35.872174949;1336837.272;84660.793068;1084326.4157;2803.6884509;25775.58895;150769.29082;2685173.049;51426124.134;7660819.0739
12;317.76702875;59.044172762;22.338242063;2.7994115325;3.8963968091;14.525716826;6.1872284509;91.108037437;93.199714828;8943877.4486;347690.18174;167091.13446;5195.0787362;74231.847856;27790.491467;9565876.1828;124147845.26;14614039.348
13;133.33206424;18.222718472;7.7439005558;0;7.524950075;7.1835621966;5.736445282;34.59575949;39.046120961;1640056.7539;56752.087132;319794.3417;0;40677.521888;11472.890564;2068753.5952;36407350.807;4765503.5786
14;76.478174042;4.1616579283;3.8013716938;2.7915791175;0.410969652;1.191788598;0;10.291824059;10.702793711;774826.82467;24102.554324;4109.6965205;4509.4381179;4259.0523926;0;811807.56602;17250066.671;2141841.6191
15;534.19654901;33.701361636;26.79308078;11.497385749;5.8679936705;10.463742542;9.7280284095;77.936276415;82.879549147;3107389.1108;225314.1994;80323.324769;15955.269784;51654.597953;14540.766562;3495177.2693;91523330.611;13817107.861
16;394.83295059;20.740860624;38.615944037;14.255743312;15.008990607;19.782972766;24.139506481;81.594442848;85.858807433;1772997.1611;99553.007504;288938.24375;12590.716629;46262.298363;68723.385855;2289064.8132;57614595.334;10526620.801
17;95.294404845;5.1868031287;7.2786164334;1.0584573566;10.775102565;5.4213273533;8.2263355557;26.734352133;30.905194813;168430.70688;66529.078418;177036.19334;1456.9801769;19716.236237;30415.110131;463584.30518;17849402.776;2162407.8221
18;168.96138363;6.7515959942;15.569749783;6.9527769313;0.9816375755;2.7187249302;5.448269212;34.348426624;34.537408543;350523.14976;95101.821046;64648.161451;33681.547603;14007.099749;480193.11673;1038154.8963;25425659.477;4121599.9924
19;326.85491665;33.237260228;37.472852021;2.3166159335;6.7006536581;11.969385064;8.0929978969;79.800993632;82.680322633;2705096.0278;399442.27762;462854.53675;10070.602204;65780.844138;28806.527335;3672050.8158;71876825.365;9526616.4245
20;381.18656935;37.091911292;30.19144037;19.439143831;13.071807528;7.1166589012;3.8755622242;72.512836307;84.194508491;3086884.1745;204808.4535;260561.36354;28642.727124;31728.766177;19377.811121;3632003.296;76695380.354;10828399.276
