"","regione_residenza","mean","median","sd"
"1","4",173651.188930948,81500,334445.162390845
"2","3",143167.04491859,88000,291930.693681104
"3","7",125966.602958754,99000,156016.098015603
"4","5",124996.861913429,70000,215081.793515853
"5","12",121884.335689407,75300,146582.962494386
"6","1",120072.098639275,48681.5948715,318448.494855979
"7","8",108115.703480129,53050,171906.870227211
"8","6",92779.7684372046,45000,149172.053071058
"9","11",78726.4175341298,12000,157883.51912555
"10","9",76574.1438013769,22200,93944.2424658097
"11","13",73655.5078094389,64000,71030.2332032231
"12","2",72619.3302848667,45000,83128.5700063677
"13","19",65021.8500054575,25000,80727.4588188048
"14","10",62869.7400887368,27000,81927.2085229182
"15","20",61187.7470145229,22000,78132.1339120951
"16","15",55752.9342640246,20000,77725.2616759882
"17","14",50228.3809105786,6768.4237271,76844.428810879
"18","16",38590.2637882586,5000,60374.5521909959
"19","18",34286.3912634686,8500,53344.7537731795
"20","17",23363.5154794,12000,24778.4699628524
