nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm,nattivita
465,1,1,1,1,1,1,12,2,1,36,2,,10000,2,0,1
465,2,1,1,1,1,1,12,2,1,36,2,,10000,2,0,1
465,3,1,1,1,1,1,12,2,6,37,2,,19500,2,0,1
465,4,1,1,1,1,1,12,2,1,40,2,,10000,2,0,1
629,2,1,1,1,1,1,12,2,4,40,2,,14500,2,0,1
632,3,1,1,1,1,1,12,2,6,60,2,,13000,1,3000,1
1763,2,1,1,1,2,2,4,1,,40,2,,5500,2,0,1
2447,1,1,1,1,1,1,12,2,4,40,1,8,22000,2,0,1
2447,3,1,1,1,1,1,12,2,2,38,2,,12000,2,0,1
2886,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,1
2886,2,1,1,1,1,1,12,1,,36,2,,16000,1,,1
2886,3,1,1,2,3,3,,2,6,40,2,,6000,2,0,1
5416,1,1,1,2,1,1,12,2,2,30,2,,9000,2,0,1
5416,2,1,1,2,1,1,12,2,5,26,2,,9500,2,0,1
5416,3,1,1,1,1,2,5,2,4,40,2,,5000,2,0,1
7097,2,2,1,1,1,1,12,1,,48,2,,23400,2,0,1
7097,3,3,1,1,1,1,12,2,4,36,2,,11700,2,0,1
7097,4,4,1,1,1,1,12,2,4,36,2,,11700,2,0,1
7098,2,1,1,1,1,1,12,1,,38,2,,15600,1,1400,1
7165,1,1,1,1,1,1,12,2,4,40,2,,15600,2,0,1
7165,2,1,1,1,1,1,12,2,2,40,2,,15600,2,0,1
7165,3,3,1,1,1,1,12,2,5,40,1,2,14300,2,0,1
7886,2,2,1,2,1,1,12,1,,20,1,2,6000,2,0,1
8954,1,1,1,1,1,1,12,1,,36,2,,25000,1,1150,1
8954,2,1,1,1,1,1,12,1,,18,2,,17000,2,0,1
20179,1,1,1,1,1,1,12,2,7,36,2,,39000,2,0,1
20179,2,1,1,1,1,1,12,2,6,36,2,,28600,2,0,1
20179,3,1,1,1,1,1,12,2,6,36,2,,17500,2,0,1
20297,1,1,1,1,1,1,12,2,2,40,1,1,17500,1,1500,1
20372,3,1,1,2,1,1,12,2,6,24,2,,8400,2,0,1
20767,2,2,1,1,1,1,12,2,1,40,2,,18000,2,0,1
20767,4,1,1,1,1,1,12,1,,36,2,,20000,2,0,1
20839,1,1,1,1,1,1,12,1,,40,2,,23000,1,1600,1
20839,2,1,1,2,1,1,12,2,1,15,2,,5000,2,0,1
20944,1,1,1,1,1,1,12,1,,25,2,,25000,2,0,1
20944,2,2,1,1,1,1,12,2,7,40,2,,32000,1,1200,1
21384,3,1,1,1,2,2,6,2,1,40,2,,5000,2,0,1
22074,1,1,1,1,1,1,12,2,1,40,2,,18000,2,0,1
22173,3,1,1,1,1,1,12,2,1,35,2,,8000,2,0,1
22263,2,1,1,1,1,1,12,2,7,40,2,,18000,2,0,1
22277,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,1
22279,2,1,1,1,1,2,6,2,2,40,1,2,8000,1,200,1
22286,2,2,1,1,1,1,12,2,3,40,2,,15000,2,0,1
22353,3,3,1,2,2,2,2,2,1,20,2,,1100,2,0,1
22353,3,3,1,1,2,2,10,2,5,38,1,2,10000,2,0,2
22516,2,2,1,1,1,1,12,2,7,36,2,,15600,2,0,1
22624,3,1,1,1,2,2,4,2,4,40,2,,5700,2,0,1
22624,4,1,1,1,2,1,12,2,1,48,2,,10000,2,0,1
22657,1,1,1,1,1,1,12,1,,20,2,,21400,2,0,1
22657,2,1,2,2,2,2,11,2,1,10,2,,5500,2,0,1
22850,1,1,1,1,1,1,12,1,,28,2,,21450,2,0,1
23386,1,1,1,2,1,1,12,2,5,25,1,1,7200,2,0,1
23386,2,1,1,1,1,1,12,2,5,40,2,,14400,2,0,1
23386,3,1,1,1,1,1,12,2,1,40,2,,13200,2,0,1
23797,1,1,1,1,1,1,12,2,1,36,2,,15600,2,0,1
23797,3,1,1,1,1,1,12,2,1,36,2,,9000,2,0,1
23823,2,1,1,1,1,1,12,2,1,42,2,,11300,2,0,1
23865,4,1,1,1,1,1,12,2,6,40,2,,13000,2,0,1
24080,1,1,1,1,1,1,12,2,2,39,1,1,19000,2,0,1
24080,2,1,1,1,1,1,12,2,7,39,1,2,24000,1,1050,1
24147,2,1,1,1,1,1,12,1,,36,2,,21000,2,0,1
24194,1,1,1,1,1,1,12,2,2,46,1,6,23000,1,900,1
24194,2,2,1,2,1,1,12,2,1,8,2,,2300,2,0,1
24194,3,3,2,1,2,2,6,2,4,40,2,,4200,2,0,1
24194,3,3,2,1,3,2,3,2,3,40,2,,2100,2,0,2
24195,3,1,1,1,1,1,12,2,6,40,2,,13000,1,800,1
24312,1,1,1,1,1,1,12,1,,18,2,,25000,1,,1
24312,2,1,1,1,1,1,12,1,,36,2,,24000,2,0,1
24312,3,1,1,1,2,2,9,1,,18,2,,9000,2,0,1
24322,3,1,1,1,1,2,10,2,6,40,2,,13000,2,0,1
24374,2,2,1,1,1,1,12,2,6,40,2,,13000,2,0,1
24374,3,1,1,1,1,1,12,2,2,48,2,,13000,2,0,1
24382,2,2,1,2,1,1,12,2,2,12,2,,3000,2,0,1
24529,3,1,1,1,1,1,12,2,7,36,1,1,23000,1,,1
24529,4,1,1,1,2,2,11,1,,36,2,,20000,1,700,1
24764,1,1,1,1,1,1,12,2,6,40,2,,17000,2,0,1
24809,2,1,1,1,1,1,12,1,,35,2,,22000,2,0,1
24853,1,1,1,1,1,1,12,1,,30,1,4,27000,2,0,1
24853,2,1,1,1,1,1,12,1,,29,1,5,18000,2,0,1
24984,2,1,1,1,1,1,12,2,6,36,2,,22000,2,0,1
25148,1,1,1,1,1,1,12,2,7,38,2,,26000,2,0,1
25148,2,1,1,1,1,1,12,2,1,36,2,,20000,2,0,1
25238,1,1,1,2,1,2,10,2,2,8,2,,2000,2,0,1
25245,1,1,1,1,2,3,,2,4,70,1,2,6000,2,0,1
25245,2,2,1,2,2,2,6,2,5,50,2,,6000,2,0,1
25245,3,1,1,2,2,2,6,2,1,6,2,,3600,2,0,1
25435,2,1,1,1,1,1,12,1,,45,2,,22500,2,0,1
25723,1,1,1,1,1,1,12,2,6,36,2,,16000,2,0,1
26163,1,1,1,2,1,1,12,2,7,21,1,20,14000,2,0,1
26163,2,2,1,2,2,1,12,2,6,25,2,,7800,2,0,1
26163,3,3,1,1,2,1,12,2,7,41,2,,11200,2,0,1
26310,3,2,1,2,1,1,12,2,6,30,2,,9000,2,0,1
26574,1,1,1,1,1,1,12,1,,36,1,3,14400,2,0,1
26574,2,2,1,1,1,1,12,1,,36,2,,11000,2,0,1
26684,2,1,1,1,3,3,,2,4,35,2,,2200,2,0,1
27123,3,1,1,1,2,1,12,2,2,30,2,,13000,2,0,1
27123,3,1,2,2,1,1,12,2,3,15,2,,6000,2,0,2
27157,2,2,1,1,1,1,12,2,1,40,2,,7800,2,0,1
27238,1,1,1,1,1,1,12,2,6,40,2,,10000,2,0,1
27238,2,2,1,1,1,1,12,2,2,40,2,,12000,2,0,1
27730,3,1,1,2,2,1,12,2,2,12,2,,6200,2,0,1
27742,2,2,1,1,2,2,6,1,,36,2,,6500,2,0,1
27912,2,2,1,1,1,1,12,2,7,36,2,,13000,2,0,1
27912,3,3,1,1,2,2,6,2,2,40,2,,6000,2,0,1
27923,1,1,1,1,1,1,12,2,6,40,2,,19000,2,0,1
28100,1,1,1,1,1,1,12,2,2,50,1,10,45000,2,0,1
28441,1,1,1,1,1,1,12,2,2,45,1,5,22000,2,0,1
28766,1,1,1,1,1,1,12,2,7,40,2,,17000,2,0,1
28766,2,1,1,1,1,1,12,2,4,38,2,,14500,2,0,1
28802,2,2,1,1,1,1,12,2,6,40,1,5,30000,1,1500,1
29140,1,1,1,1,1,1,12,1,,35,2,,18000,2,0,1
29140,2,2,1,1,1,1,12,2,3,30,2,,15000,2,0,1
29280,1,1,1,1,1,1,12,1,,36,2,,20000,1,2000,1
29280,2,1,1,1,1,1,12,1,,20,2,,20000,2,0,1
29680,1,1,1,1,1,1,12,2,1,40,2,,16000,2,0,1
29684,1,1,1,1,1,1,12,1,,18,2,,20000,2,0,1
29684,2,1,1,1,1,1,12,1,,36,2,,20000,2,0,1
29687,2,2,1,1,1,1,12,2,2,50,2,,16000,2,0,1
29737,1,1,1,1,1,1,12,1,,38,2,,56000,1,200,1
29737,2,2,1,1,1,1,12,1,,30,1,6,23000,2,0,1
29742,1,1,1,1,1,1,12,2,7,50,2,,14000,2,0,1
29742,2,1,1,1,1,1,12,1,,40,2,,16000,2,0,1
29823,1,1,1,1,1,1,12,1,,40,2,,26000,2,0,1
31051,1,1,1,1,1,1,12,2,1,40,2,,15600,2,0,1
31051,2,1,1,1,1,1,12,2,7,38,2,,17000,2,0,1
31066,3,2,1,1,1,1,12,2,3,36,2,,13500,2,0,1
31092,1,1,1,1,1,1,12,2,2,50,1,10,41860,1,1200,1
31122,1,1,1,1,1,1,12,1,,40,2,,18500,2,0,1
31122,3,3,1,1,1,1,12,2,2,40,2,,13000,2,0,1
31137,1,1,1,1,1,1,12,2,6,40,2,,25000,2,0,1
31137,2,1,1,1,1,1,12,1,,25,2,,18000,2,0,1
31137,3,1,1,1,2,1,12,2,6,40,2,,15000,2,0,1
31161,1,1,1,1,1,1,12,1,,36,2,,21000,2,0,1
31161,2,2,1,1,1,1,12,1,,35,2,,16000,2,0,1
31161,3,3,1,2,2,1,12,2,1,18,2,,4200,2,0,1
31163,3,1,1,1,1,1,12,2,1,40,2,,15000,2,0,1
31309,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,1
31309,3,3,1,1,1,1,12,2,2,40,2,,11000,2,0,1
