nquest,nord,intper,attivp,tuttanno,mesilav,prof,forgiu,numadd,numdip,quopro,dovelav,orario,oretot,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,nattivita
21384,1,1,1,1,12,3,6,1,0,100,,,60,100000,22000,0,3500,0,6000,2000,,1,150000,1
22099,1,1,1,1,12,3,8,1,0,100,,,60,12000,7500,0,0,0,0,0,0,2,75000,1
22262,1,1,2,1,12,4,,,,,2,1,35,26400,26000,0,0,0,0,0,,,0,1
22277,2,1,1,1,12,3,8,1,0,100,,,50,300000,15000,0,0,0,0,0,,2,5000,1
22657,2,1,2,3,,4,,,,,3,3,1,11700,,0,0,0,0,0,,,20000,1
24171,1,1,1,1,12,3,8,1,0,100,,,40,20000,7000,0,0,0,3000,3000,,2,70000,1
24194,3,3,1,2,2,4,,,,,1,2,20,14000,5000,0,0,0,0,0,,,0,1
25968,2,2,1,1,12,4,,,,,2,2,35,18000,16000,0,0,0,0,0,,,0,1
27155,1,1,1,1,12,3,8,1,0,100,,,40,30000,15000,0,0,50000,0,2000,,1,80000,1
27157,1,1,1,1,12,3,8,1,0,100,,,55,18000,12000,0,0,20000,0,10000,,2,60000,1
27224,2,2,1,1,12,3,8,1,0,100,,,44,80000,20000,0,0,0,0,0,,1,40000,1
27923,3,1,1,1,12,2,8,1,0,100,,,48,16000,7000,0,0,0,0,2000,,2,20000,1
28802,1,1,1,1,12,2,7,2,0,50,,,50,100000,20000,0,100000,0,500,1000,,2,130000,1
28802,3,3,1,2,6,4,,,,,2,2,40,7000,5400,0,0,0,0,0,,,0,1
29280,1,1,2,3,,3,8,1,0,100,,,5,5000,3000,0,0,0,0,0,,1,15000,1
29288,1,1,1,1,12,3,8,1,0,100,,,60,25000,18000,0,0,0,0,0,,1,5000,1
29805,1,1,1,1,12,3,8,1,0,100,,,40,18100,18000,0,0,0,0,0,,2,0,1
31093,1,1,1,1,12,3,8,1,0,100,,,48,40000,20000,0,0,0,15000,0,,2,20000,1
31281,1,1,1,1,12,3,8,1,0,100,,,40,45000,30000,0,0,0,0,0,,1,6000,1
31869,1,1,1,1,12,3,8,1,0,100,,,48,12000,10000,0,0,0,0,0,,2,2000,1
32057,1,1,1,1,12,3,8,1,0,100,,,36,18000,10000,0,0,0,0,0,,2,60000,1
32057,3,1,1,1,12,1,8,1,0,100,,,48,28000,19000,0,0,0,0,2000,,2,2000,1
32206,1,1,2,3,,4,,,,,2,2,4,3000,2500,0,0,0,0,0,,,0,1
32235,2,1,1,1,12,3,8,2,0,50,,,40,22000,12000,0,0,0,0,0,,1,0,1
32235,3,1,1,1,12,3,8,2,0,50,,,50,22000,12000,0,0,0,0,0,,1,0,1
32467,3,1,1,1,12,1,8,1,0,100,,,30,35000,25000,0,0,0,0,0,,1,5000,1
32470,2,1,1,3,,3,8,1,0,100,,,10,6000,5000,0,0,0,0,0,,2,5000,1
32703,2,2,1,1,12,4,,,,,2,2,13,6000,0,0,0,2000,0,0,,,10000,1
32713,1,1,1,1,12,3,7,3,0,25,,,45,13000,8000,0,0,0,0,0,,2,0,1
32713,2,2,1,1,12,3,7,3,0,25,,,50,10000,8000,0,0,0,0,0,,2,0,1
32713,4,4,1,1,12,3,1,7,6,100,,,40,20000,12000,0,0,0,0,0,15000,2,200000,1
32822,3,1,1,1,12,1,8,1,0,100,,,45,20000,14000,0,0,0,0,0,,1,10000,1
33336,1,1,1,1,12,3,8,1,0,100,,,45,28000,22000,0,0,10000,0,0,,2,400,1
33777,1,1,1,1,12,3,7,5,1,25,,,40,10000,9000,150000,0,50000,0,0,10000,1,700000,1
33778,1,1,1,1,12,3,8,1,0,100,,,70,20000,16000,0,0,0,0,2000,,2,,1
33985,1,1,1,1,12,1,8,4,3,100,,,45,120000,55000,0,0,0,0,30000,30000,1,150000,1
34738,2,2,1,1,12,3,8,1,0,100,,,48,25000,20000,0,0,0,0,0,,2,0,1
35381,1,1,1,1,12,1,8,1,0,100,,,54,40000,35000,0,50000,0,0,0,,1,250000,1
35508,2,1,1,1,12,2,8,2,0,50,,,100,12000,10000,20000,0,0,0,0,,2,,1
35647,4,1,1,1,12,3,8,1,0,100,,,52,14000,10000,0,0,0,0,0,,2,0,1
35788,3,1,1,1,12,1,1,6,3,25,,,60,13000,9000,0,0,0,0,0,100000,2,120000,1
36378,3,1,1,1,12,3,8,1,0,100,,,40,30000,20000,0,0,0,0,5000,,2,,1
36403,1,1,1,3,,4,,,,,2,2,50,1100,950,0,0,0,0,0,,,0,1
36522,1,1,2,3,,1,8,1,0,100,,,10,5000,2000,0,0,0,0,0,,2,10000,1
36697,2,1,2,1,12,1,8,1,0,100,,,30,25000,14000,0,0,0,0,0,,2,1500,1
37504,1,1,1,3,,1,8,1,0,100,,,10,28000,19000,0,0,0,0,0,,2,0,1
37808,1,1,1,1,12,3,8,2,0,100,,,100,100000,40000,0,0,0,10000,0,,1,220000,1
37808,2,2,1,1,12,3,8,2,0,100,,,35,100000,40000,0,0,0,0,0,,1,220000,1
37810,1,1,1,1,12,3,8,1,0,100,,,14,5000,4500,0,0,0,0,0,,2,0,1
38135,1,1,1,2,5,4,,,,,2,2,70,4000,3500,0,0,7300,0,0,,,,1
38316,1,1,1,1,12,1,8,1,0,100,,,60,100000,50000,0,0,0,0,0,,2,0,1
38316,2,1,1,1,12,1,8,1,0,100,,,25,50000,30000,0,0,0,0,0,,2,0,1
38316,2,1,2,2,3,1,8,1,0,100,,,4,300,200,0,0,0,0,0,,2,0,2
38409,1,1,2,1,12,4,,,,,2,2,5,1000,0,0,0,0,0,0,,,0,1
38489,3,3,1,1,12,4,,,,,2,1,40,10000,7500,0,0,0,0,0,,,0,1
38885,2,2,1,1,12,2,8,1,0,100,,,40,25000,12000,0,0,0,0,0,,2,0,1
38939,3,1,1,2,1,2,9,3,2,100,,,20,9000,4000,0,0,0,0,0,2000,2,1000,1
38977,1,1,1,1,12,3,8,1,0,100,,,55,50000,32000,0,0,0,0,0,,1,1000000,1
38992,1,1,2,2,9,4,,,,,2,1,14,6000,600,0,0,0,0,0,,,0,1
39086,1,1,1,1,12,3,8,1,0,100,,,35,6000,4000,0,0,2000,0,1500,,2,,1
39318,1,1,2,1,12,3,8,2,0,50,,,40,60000,35000,0,0,0,10000,0,,2,,1
39961,2,2,1,1,12,3,8,1,0,100,,,45,120000,9000,0,0,38000,10000,18000,,2,100000,1
50281,3,1,1,1,12,3,8,1,0,100,,,45,30000,15000,0,0,0,0,0,,2,15000,1
51297,1,1,1,1,12,1,8,2,1,100,,,50,80000,40000,0,0,0,0,0,8000,2,10000,1
51544,1,1,1,3,,3,8,1,0,100,,,25,18000,12000,0,30000,0,0,3000,,2,30000,1
52985,2,2,1,2,2,1,8,13,0,100,,,50,2000,1700,0,0,0,0,0,,2,0,1
52985,2,2,2,2,7,1,8,2,0,50,,,30,7000,5600,0,0,0,0,0,,2,0,2
53549,3,1,1,1,12,4,,,,,2,1,40,17000,15000,0,0,0,0,0,,,0,1
53564,3,1,1,1,12,3,8,1,0,100,,,50,104000,12000,0,0,0,0,0,,2,30000,1
53751,2,1,1,1,12,3,9,1,0,100,,,40,40000,18000,0,0,0,15000,7000,,2,,1
53849,3,3,1,1,12,3,8,1,0,100,,,45,25000,20000,0,0,0,0,4000,,2,1000,1
54763,1,1,1,1,12,3,8,3,0,100,,,50,48000,29000,0,0,8000,4000,5000,,2,100000,1
55333,2,1,1,1,12,4,,,,,2,2,35,14400,10100,0,0,0,0,0,,,0,1
55425,1,1,1,2,9,4,,,,,2,1,44,12000,9000,0,0,0,0,0,,,0,1
55799,1,1,1,1,12,1,8,1,0,100,,,60,30000,20000,0,0,0,0,0,,1,10000,1
56603,2,1,1,1,12,3,8,1,0,100,,,36,20000,13000,0,0,0,0,0,,2,300,1
56624,3,1,1,3,,4,,,,,2,1,3,2600,1600,0,0,0,0,0,,,5000,1
56656,1,1,1,1,12,3,7,2,0,50,,,40,16000,12000,0,4000,0,0,0,,1,15000,1
56658,1,1,1,1,12,3,8,1,0,100,,,18,16000,11000,0,0,0,0,0,,1,20000,1
56761,3,4,1,1,12,3,8,1,0,100,,,55,25000,15000,0,12000,0,0,0,,2,20000,1
57027,1,1,1,1,12,3,8,1,0,100,,,48,10000,8000,0,0,0,0,0,,2,2000,1
58042,1,1,1,1,12,1,8,1,0,100,,,40,30000,24000,0,0,0,0,0,,2,0,1
91081,1,1,1,1,12,3,8,1,0,100,,,40,16000,10000,0,0,40000,0,0,,1,10000,1
145007,1,1,2,1,12,1,8,1,0,100,,,40,60000,26000,0,0,0,0,0,,2,0,1
193082,2,1,1,1,12,3,1,7,3,25,,,50,32000,22000,0,0,0,0,10000,2000,2,40000,1
213440,1,1,1,1,12,1,1,3,2,51,,,60,400000,10000,7000,0,0,0,0,50000,1,50000,1
250005,2,1,1,1,12,3,8,1,0,100,,,30,12000,10000,0,0,0,0,0,,2,0,1
250056,1,1,1,1,12,3,8,1,0,100,,,48,5000,4000,0,0,0,0,0,,2,20000,1
350035,1,1,2,3,,4,,,,,1,1,18,20000,18000,0,0,0,0,0,,,0,1
500026,1,1,1,1,12,3,8,1,0,100,,,40,40000,20000,0,0,0,15000,5000,,2,20000,1
500388,1,1,1,1,12,3,8,1,0,100,,,40,36000,19000,0,0,14000,0,0,,2,25000,1
500477,1,1,1,1,12,3,7,5,3,50,,,50,250000,28000,0,0,0,9000,10000,20000,2,260000,1
500669,1,1,1,1,12,3,8,1,0,100,,,40,40000,20000,0,0,0,12000,5000,,2,,1
500751,2,1,1,1,12,3,9,1,0,100,,,50,48000,27000,0,0,0,3000,7000,,2,,1
500784,1,1,1,1,12,1,8,1,0,100,,,55,79000,45000,0,0,0,0,15000,,2,,1
501059,1,1,1,1,12,3,8,3,2,100,,,45,29500,19400,0,0,0,10000,3000,8000,2,50000,1
501485,4,1,1,1,12,4,,,,,1,1,30,10000,7000,0,0,0,0,0,,,0,1
501723,1,1,1,1,12,1,9,2,0,50,,,44,50000,30000,0,0,0,0,0,,2,0,1
501978,1,1,1,1,12,1,8,1,0,100,,,50,60000,33000,0,0,0,2500,12000,,2,80000,1
501978,2,1,1,1,12,1,9,4,3,100,,,55,140000,75000,0,0,0,0,18000,60000,2,200000,1
502772,1,1,1,1,12,3,8,1,0,100,,,40,65000,38000,0,0,0,0,9000,,2,120000,1
503561,3,1,1,1,12,1,8,1,0,100,,,40,20000,15000,0,0,0,0,0,,2,0,1
503561,4,1,1,1,12,1,8,1,0,100,,,30,5000,3000,0,0,0,0,0,0,2,0,1
503850,1,1,1,1,12,1,8,1,0,100,,,30,50000,25000,0,0,0,0,0,,2,0,1
504110,2,1,1,1,12,2,1,14,13,100,,,50,120000,60000,0,13000,10000,23000,40000,,2,250000,1
504138,1,1,1,2,4,4,,,,,1,1,20,10000,6000,0,0,0,0,0,,,0,1
504138,2,1,1,1,12,3,8,1,0,100,,,40,48000,24000,0,0,0,15000,0,,2,10000,1
504359,3,1,1,1,12,3,8,1,0,100,,,45,15000,12000,3500,10000,7000,2000,500,,2,35000,1
504821,1,1,1,1,12,1,9,6,3,50,,,40,46000,23000,0,0,0,0,0,21315,2,150000,1
505022,1,1,1,1,12,3,8,2,2,100,,,50,60000,18000,0,0,0,0,0,,1,20000,1
505433,1,1,1,2,6,1,8,1,0,100,,,3,4500,4300,0,0,0,0,0,,2,0,1
505439,2,2,1,2,9,3,8,1,0,100,,,30,20000,12000,0,0,0,0,0,,2,40000,1
505798,1,1,1,1,12,1,6,1,0,100,,,55,135000,50000,0,0,8000,0,0,,2,,1
505798,2,2,2,2,3,4,,,,,1,1,10,2200,2000,0,0,0,0,0,,,0,1
505820,3,2,1,1,12,3,8,1,0,100,,,35,50000,20000,0,0,0,0,0,,2,0,1
505881,1,1,1,1,12,2,7,35,32,100,,,40,,,0,0,0,0,0,1000000,1,600000,1
506132,1,1,1,1,12,3,8,1,0,100,,,50,20000,12000,0,0,0,0,0,,2,2000,1
506132,2,2,1,1,12,3,8,1,0,100,,,50,15000,6000,0,5000,0,0,0,,2,50000,1
506396,1,1,1,1,12,1,8,1,0,100,,,45,38000,25000,0,0,0,0,0,,2,0,1
