nquest,numadd,numdip,quopro,forgiu,sedeit,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,ind1,ind2,ind3,ind4,attivp1,attivp2,attivp3,attivp4,mesilav1,mesilav2,mesilav3,mesilav4,oretot1,oretot2,oretot3,oretot4
11972,2,2,100,8,1,20000,13000,0,0,0,4000,0,5000,1,250000,2,,,,1,,,,12,,,,10,,,
20223,1,0,100,8,1,20000,2000,0,0,0,0,0,,2,70000,3,,,,1,,,,12,,,,50,,,
22279,1,0,100,8,1,20000,15000,0,0,0,0,0,,2,10000,1,,,,1,,,,12,,,,50,,,
24924,2,0,100,8,1,80000,30000,100000,50000,0,0,2500,,1,300000,1,2,,,1,1,,,12,12,,,50,55,,
28992,4,2,100,8,1,100000,40000,0,0,0,0,0,3000,1,50000,1,2,,,1,2,,,12,2,,,16,5,,
31163,2,1,100,8,1,50000,30000,0,0,0,0,0,,1,700000,1,3,,,1,2,,,12,11,,,48,40,,
31220,1,0,100,8,1,3000,2000,0,0,0,0,0,,1,1000,2,,,,1,,,,12,,,,8,,,
32729,2,0,100,8,1,150000,50000,0,6000,6000,0,30000,,2,60000,1,2,,,1,2,,,12,1,,,50,1,,
32764,2,0,50,9,1,60000,19000,60000,0,0,0,0,,2,300000,1,,,,1,,,,12,,,,60,,,
33781,5,3,100,7,1,90000,24000,0,80000,0,30000,0,15000,2,20000,1,2,,,1,1,,,12,12,,,53,52,,
36146,6,4,100,8,1,50000,22000,0,100000,0,15000,50000,,2,250000,2,3,,,1,1,,,12,12,,,50,45,,
37001,1,0,100,8,1,10000,7000,0,0,0,0,0,,2,0,3,,,,1,,,,12,,,,48,,,
38426,2,0,100,6,1,14000,12000,0,0,0,0,0,,2,20000,1,2,,,1,1,,,12,12,,,54,54,,
39125,2,0,50,9,1,50000,38000,0,0,0,0,0,,2,5000,1,,,,1,,,,12,,,,45,,,
39318,2,0,50,8,1,35000,10000,0,0,0,0,0,,2,0,1,2,,,1,1,,,12,12,,,40,40,,
51619,4,0,100,9,1,3000,1500,0,0,0,0,0,,2,20000,1,,,,2,,,,2,,,,50,,,
364310,2,0,100,9,1,30000,10000,0,0,0,1000,2500,,2,10000,1,3,,,1,1,,,12,12,,,30,30,,
504341,2,0,100,7,1,60000,28000,0,200000,0,0,0,,1,300000,1,2,,,1,1,,,6,6,,,12,12,,
504359,1,0,100,8,1,35000,20000,8000,10000,5000,2000,500,,2,35000,3,,,,2,,,,12,,,,45,,,
505243,2,0,100,6,1,50000,25000,0,0,0,0,0,,2,25000,1,2,,,1,1,,,12,12,,,40,40,,
505453,5,3,100,8,1,140000,40000,28000,23000,0,0,0,25000,1,350000,1,2,,,1,1,,,12,12,,,50,25,,
