nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,sedeit,oretot,compfiss,dividut,quopro,partecip
20231,1,1,1,1,12,2,0,6,1,60,15000,3000,80,6400
20231,2,2,1,1,12,2,0,6,1,60,15000,600,20,1600
29140,3,3,1,1,12,5,0,8,1,20,10000,0,5,10000
32887,1,1,1,1,12,5,3,7,1,55,0,90000,50,300000
32887,2,1,1,1,12,5,3,7,1,25,0,80000,50,300000
33328,1,1,1,1,12,4,0,7,1,44,13000,0,25,15000
33941,1,1,1,1,12,2,0,7,1,40,,0,60,30000
33941,2,2,1,3,,2,0,7,1,10,0,16000,40,12000
35106,2,1,1,1,12,4,2,8,1,39,1200,15000,50,20000
35788,3,1,2,1,12,6,3,1,1,60,,0,25,10000
52985,2,2,2,2,7,2,0,7,1,30,1000,0,50,3000
55425,1,1,2,1,12,2,0,7,1,10,0,600,50,5000
56608,1,1,1,1,12,15,6,4,1,48,17500,0,25,70000
91008,1,1,1,1,12,7,5,7,1,49,0,17000,50,50000
91008,2,1,2,3,,7,5,7,1,1,0,17000,50,50000
137008,2,1,1,1,12,2,0,6,1,40,,0,50,1000
145007,2,1,1,1,12,7,7,7,1,45,,0,33,500
188054,1,1,1,1,12,6,4,7,1,50,17000,0,50,15000
188054,2,1,1,1,12,6,4,7,1,50,15000,0,50,15000
243067,1,1,1,3,,6,5,6,1,1,0,12000,25,75000
243067,1,1,2,3,,2,0,6,1,1,0,2000,10,10000
243067,2,2,1,1,12,2,0,6,1,50,6000,10000,50,50000
310066,1,1,2,3,,4,1,7,1,15,5000,4500,30,30000
502025,3,1,1,1,12,2,0,8,1,40,18000,18000,50,55000
502437,1,1,1,1,12,5,3,7,1,10,48000,0,50,200000
504453,1,1,1,1,12,3,2,1,1,45,25000,0,25,50000
505385,2,1,2,2,5,2,0,7,1,40,,0,50,10000
505566,1,1,1,1,12,1,0,6,1,40,500,0,100,100000
505655,1,1,2,1,12,22,19,2,1,50,0,6000,10,30000
505768,3,1,1,1,12,7,3,7,1,45,600,0,25,50000
505798,1,1,2,1,12,1,0,6,1,55,4500,25000,100,500
505810,1,1,1,1,12,40,38,1,1,50,55000,0,26,2500000
505810,2,1,1,2,3,40,38,1,1,4,25000,0,16,1600000
505818,1,1,1,1,12,23,21,1,1,65,60000,0,33,280000
505881,1,1,2,1,12,50,42,1,1,10,6000,12000,10,150000
505881,2,1,1,1,12,35,32,7,1,6,,0,8,80000
506107,2,1,2,2,10,2,0,8,1,20,0,2000,50,10000
506107,3,1,1,1,12,2,0,8,1,50,8000,2000,50,10000
506413,1,1,1,1,12,6,4,1,1,50,20000,0,50,30000
507596,2,1,1,1,12,4,0,7,1,48,13000,0,25,18000
509003,1,1,1,1,12,10,7,6,1,60,15000,0,33,500000
626259,1,1,1,1,12,17,15,1,1,55,72000,0,50,3000000
631237,1,1,1,1,12,7,5,6,1,40,0,22000,35,20000
635346,1,1,2,1,12,18,18,4,1,20,8000,0,3,3000
639369,1,1,2,1,12,28,25,7,1,10,0,12000,25,1000000
640212,1,1,1,1,12,10,6,1,1,60,40000,0,5,10000
640212,2,2,1,1,12,15,13,1,1,40,15000,0,10,30000
649015,1,1,1,1,12,5,3,6,1,60,0,30000,50,70000
650027,1,1,1,1,12,4,2,7,1,50,0,15000,50,50000
671372,1,1,1,1,12,7,5,7,1,50,25000,10000,33,750000
671372,1,1,2,3,,9,9,1,1,3,15000,20000,17,500000
673556,2,1,1,1,12,6,3,7,1,45,0,25000,50,100000
674686,1,1,1,1,12,5,2,1,1,8,0,6000,25,50000
674686,2,1,1,1,12,3,0,7,1,40,0,15000,50,200000
674919,1,1,1,2,8,5,0,7,1,40,,0,50,5000
675404,1,1,2,1,12,8,7,1,1,60,,0,75,400000
677634,2,1,2,1,12,2,0,8,1,60,15000,15000,50,100000
680056,2,1,1,1,12,4,2,8,1,50,15000,5000,50,30000
680663,1,1,1,1,12,1,0,7,1,48,12000,12000,100,80000
682280,1,1,1,1,12,2,0,8,1,40,12000,6000,50,5000
682280,2,2,1,1,12,2,0,8,1,40,12000,6000,50,5000
682812,1,1,1,1,12,3,1,7,1,50,20000,0,51,100000
682812,3,1,1,1,12,3,1,8,1,40,15000,0,49,100000
683164,2,2,1,1,12,4,2,1,1,50,12000,0,50,12000
683437,1,1,1,1,12,2,0,7,1,48,12000,0,50,5000
683438,2,1,1,1,12,4,2,1,1,50,15000,0,50,20000
683782,1,1,1,1,12,4,0,7,1,36,0,24000,25,20000
684351,1,1,2,1,12,10,10,2,2,5,,0,30,100000
684649,1,1,2,3,,2,0,1,1,2,,0,3,27000000
684727,2,2,1,1,12,8,4,7,1,50,24000,5000,50,250000
685312,1,1,1,1,12,1,1,6,1,50,36000,0,30,250000
685588,2,2,1,1,12,2,0,7,1,35,0,15000,49,29000
685890,1,1,2,1,12,2,1,7,1,50,,0,99,50000
686326,2,1,1,1,12,4,2,6,1,45,1100,0,10,40000
686763,2,1,1,2,7,4,3,1,1,40,15000,0,100,200000
687076,1,1,1,1,12,4,1,8,1,54,12000,0,33,20000
687076,3,3,1,1,12,4,1,8,1,54,12000,0,33,20000
687188,2,1,1,1,12,1,0,8,1,35,8000,0,100,60000
687678,2,1,1,1,12,2,0,6,1,40,12000,8000,50,50000
687953,1,1,1,2,10,2,0,6,1,6,8000,2000,40,40000
688250,1,1,1,1,12,1,0,8,1,48,9000,9000,100,30000
702150,1,1,1,1,12,5,3,7,1,70,23000,14000,50,500000
707963,1,1,1,1,12,2,1,1,1,60,0,32000,100,50000
708030,1,1,1,1,12,1,0,6,1,80,20000,0,100,30000
708168,2,2,1,1,12,1,1,1,1,60,25000,0,50,200000
711432,2,1,1,1,12,2,0,8,1,45,31000,21000,50,40000
712116,1,1,1,1,12,5,3,7,1,55,25000,5000,1,500
