NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
173,1,2,1,1,1948,1,,2,1,5,48,60,2,1975,2,,,1,,15,2,9,,,,18,3,18,3,4,2,60,4,4,6,3,5,1,1,1,0.5453245313,,2
173,2,2,2,2,1950,1,,2,1,5,36,60,2,1969,2,,,2,,12,8,4,,,,18,3,18,3,4,2,58,4,4,7,3,5,0,0,1,0.5453245313,,5
375,1,1,2,1,1925,1,,2,4,2,,,,,,,,1,,15,8,4,,,,16,3,16,3,4,2,83,5,5,6,3,5,1,1,1,0.8530561069,,
465,1,4,1,1,1954,1,,2,1,5,36,60,2,1972,2,,,1,,1,,1,,,,8,1,8,1,2,1,54,4,3,1,1,1,0,1,4,0.40645878,,2
465,2,4,2,2,1956,1,,2,1,5,56,60,2,1976,2,,,2,,1,,1,,,,3,1,8,1,2,1,52,4,3,1,1,1,0,1,4,0.40645878,,2
465,3,4,1,5,1976,1,,1,2,7,90,100,2,2003,,2,,3,,2,,2,,,4,8,1,8,1,2,1,32,2,1,2,1,2,1,1,4,0.40645878,,10
465,4,4,1,5,1981,1,,1,2,5,60,100,2,2001,1,,3,4,,1,,1,,,,8,1,8,1,2,1,27,1,1,1,1,1,0,1,4,0.40645878,,1
629,1,2,1,1,1939,1,,3,4,3,,,,,,,,1,,15,1,2,,,,5,1,5,1,2,1,69,5,5,6,3,5,1,1,2,0.2647413477,,
629,2,2,1,5,1969,1,,1,2,5,40,60,2,1990,2,,,2,,1,,2,,,,5,1,5,1,2,1,39,2,2,1,1,2,0,1,2,0.2647413477,,2
632,1,3,1,1,1950,1,,1,1,3,,,,,,,,1,,15,2,9,,,,5,1,5,1,2,1,58,4,4,6,3,5,1,1,2,0.3024203049,,
632,2,3,2,2,1952,1,,1,1,3,,,,,,,,2,,13,,,,,,5,1,5,1,2,1,56,4,4,7,3,5,0,0,2,0.3024203049,,
632,3,3,1,5,1983,1,,1,2,5,70,100,2,2002,1,,2,4,,2,,2,,,,5,1,5,1,2,1,25,1,1,2,1,2,0,1,2,0.3024203049,,2
633,1,1,2,1,1934,1,,3,4,2,,,,,,,,1,,15,1,1,,,,5,1,5,1,2,1,74,5,5,6,3,5,1,1,1,0.229299832,,
923,1,1,2,1,1932,1,,2,4,2,,,,,,,,1,,16,,,,,,13,3,13,3,4,2,76,5,5,6,3,5,1,1,1,0.2339290424,,
1238,1,1,1,1,1937,1,,3,4,2,,,,,,,,1,,15,2,9,,,,15,3,15,3,4,2,71,5,5,6,3,5,1,1,1,0.5064609758,,
1367,1,2,1,1,1927,1,,5,1,2,,,,,,,,1,,15,7,4,,,,18,3,18,3,4,2,81,5,5,6,3,5,1,1,2,0.2956704136,3,
1367,2,2,2,2,1930,1,,4,1,1,,,,,,,,2,,13,,,,,,18,3,18,3,4,2,78,5,5,7,3,5,0,1,2,0.2956704136,3,
1763,1,2,1,1,1947,1,,2,1,2,,,,,,,,1,,12,1,3,,,,17,3,17,3,4,0,61,4,4,7,3,5,0,0,1,1.4390805918,,
1763,2,2,2,2,1954,1,,2,1,2,,,,,,,,2,,1,,1,,,,17,3,17,3,4,0,54,4,3,1,1,1,1,1,1,1.4390805918,,
1826,1,2,1,1,1929,1,,3,1,2,,,,,,,,1,,15,8,3,,,,8,1,8,1,2,2,79,5,5,6,3,5,1,1,1,0.6258418599,,
1826,2,2,2,2,1930,1,,3,1,2,,,,,,,,2,,13,,,,,,8,1,8,1,2,2,78,5,5,7,3,5,0,0,1,0.6258418599,,
1927,1,1,2,1,1933,1,,2,4,3,,,,,,,,1,,16,,,,,,5,1,5,1,2,2,75,5,5,6,3,5,1,1,1,1.5387498016,,
1946,1,2,1,1,1953,1,,4,2,5,38,60,2,1972,2,,,1,,16,,,,,,5,1,5,1,2,2,55,4,4,6,3,5,0,1,2,0.3462386675,3,2
1946,2,2,1,10,1939,1,,3,3,2,,,,,,,,3,,16,,,,,,5,1,5,1,2,2,69,5,5,6,3,5,1,1,2,0.3462386675,,
2178,1,2,2,1,1933,1,,4,1,4,,,,,,,,1,,15,2,9,,,,9,2,9,2,3,2,75,5,5,6,3,5,1,1,2,0.2805066801,3,
2178,2,2,1,2,1928,1,,4,1,2,,,,,,,,2,,16,,,,,,9,2,9,2,3,2,80,5,5,6,3,5,0,1,2,0.2805066801,3,
2274,1,2,1,1,1928,1,,2,1,2,,,,,,,,1,,16,,,,,,15,3,15,3,4,0,80,5,5,6,3,5,1,1,2,1.0987253051,,
2274,2,2,2,2,1927,1,,2,1,2,,,,,,,,2,,16,,,,,,15,3,15,3,4,0,81,5,5,6,3,5,0,1,2,1.0987253051,,
2447,1,4,1,1,1957,1,,2,1,3,,,,,,,,1,,1,,2,,,,15,3,9,2,3,2,51,4,3,1,1,2,1,1,2,1.2471375287,,
2447,2,4,2,2,1958,1,,2,1,2,,,,,,,,2,,12,1,2,,,,9,2,9,2,3,2,50,3,3,7,3,5,0,0,2,1.2471375287,,
2447,3,4,1,5,1981,1,,1,2,5,58,60,2,2000,2,,,3,,2,,9,,,,9,2,9,2,3,2,27,1,1,2,1,3,0,1,2,1.2471375287,,2
2447,4,4,2,5,1985,1,,1,2,5,60,60,2,2004,1,,4,4,,17,,,,,,9,2,9,2,3,2,23,1,1,7,3,5,0,0,2,1.2471375287,,2
2485,1,1,2,1,1935,1,,2,4,2,,,,,,,,1,,16,,,,,,9,2,9,2,3,2,73,5,5,6,3,5,1,1,1,0.2250123853,,
2886,1,4,1,1,1949,1,,3,1,5,37,60,2,1970,1,,1,1,,2,,9,,,,13,3,13,3,4,2,59,4,4,2,1,3,0,1,3,0.3248715677,,2
2886,2,4,2,2,1952,1,,2,1,6,100,100,2,2006,,2,,2,,3,,9,,,10,13,3,13,3,4,2,56,4,4,2,1,3,1,1,3,0.3248715677,,5
2886,3,4,1,5,1977,1,,1,2,5,54,60,2,1995,1,,1,3,,1,,7,,,,13,3,13,3,4,2,31,2,1,1,1,4,0,1,3,0.3248715677,,2
2886,4,4,1,5,1983,1,,1,2,7,110,110,1,2006,,1,2,4,,17,,,,,10,13,3,13,3,4,2,25,1,1,7,3,5,0,0,3,0.3248715677,,3
3717,1,1,2,1,1954,1,,2,2,5,97,100,2,1972,2,,,1,,15,2,9,,,,16,3,16,3,4,2,54,4,3,6,3,5,1,1,1,0.2342784092,,1
4732,1,1,2,1,1950,1,,2,3,2,,,,,,,,1,,13,,,,,,19,3,19,3,5,2,58,4,4,7,3,5,1,1,1,0.3164290904,,
5416,1,4,2,1,1958,1,,4,3,2,,,,,,,,1,,1,,8,,,,20,3,8,1,2,2,50,3,3,1,1,4,0,1,3,0.6277804099,3,
5416,2,4,2,6,1979,1,,4,2,5,68,100,2,1998,2,,,2,,1,,7,,,,8,1,8,1,2,2,29,1,1,1,1,4,1,1,3,0.6277804099,3,2
5416,3,4,1,6,1981,1,,3,2,3,,,,,,,,3,,1,,2,,,,8,1,8,1,2,2,27,1,1,1,1,2,0,1,3,0.6277804099,,
5416,4,4,2,6,1991,1,,3,2,3,,,,,,,,4,,11,,,,,,8,1,8,1,2,2,17,1,1,7,3,5,0,0,3,0.6277804099,,
7097,1,4,2,1,1954,1,,2,1,2,,,,,,,,1,,13,,,,,,9,2,9,2,3,1,54,4,3,7,3,5,0,0,3,0.6292659155,,
7097,2,4,1,2,1957,1,,2,1,3,,,,,,,,2,,4,,9,,,,15,3,9,2,3,1,51,4,3,3,1,3,1,1,3,0.6292659155,,
7097,3,4,2,5,1979,1,,2,2,3,,,,,,,,3,,1,,3,,,,9,2,9,2,3,1,29,1,1,1,1,2,0,1,3,0.6292659155,,
7097,4,4,1,5,1986,1,,2,2,3,,,,,,,,4,,1,,3,,,,9,2,9,2,3,1,22,1,1,1,1,2,0,1,3,0.6292659155,,
7098,1,2,1,1,1942,1,,2,4,2,,,,,,,,1,,15,8,1,,,,9,2,9,2,3,1,66,5,5,6,3,5,0,1,2,0.7267346652,,
7098,2,2,2,5,1971,1,,2,2,4,,,,,,,,2,,2,,9,,,,9,2,9,2,3,1,37,2,2,2,1,3,1,1,2,0.7267346652,,
7165,1,3,1,1,1956,1,,3,1,3,,,,,,,,1,,1,,2,,,,3,1,3,1,1,2,52,4,3,1,1,2,1,1,3,0.7576045031,,
7165,2,3,2,2,1956,1,,5,1,2,,,,,,,,2,,1,,2,,,,19,3,3,1,1,2,52,4,3,1,1,2,0,1,3,0.7576045031,3,
7165,3,3,1,5,1980,1,,2,2,5,70,100,2,1999,2,,,3,,2,,2,,,,3,1,3,1,1,2,28,1,1,2,1,2,0,1,3,0.7576045031,,2
7886,1,2,1,1,1950,1,,3,1,5,36,60,2,1968,2,,,1,,15,2,6,,,,9,2,9,2,3,0,58,4,4,6,3,5,1,1,2,1.1068177711,,2
7886,2,2,2,2,1953,1,,3,1,5,40,60,2,1974,2,,,2,,2,,9,,,,9,2,9,2,3,0,55,4,4,2,1,3,0,1,2,1.1068177711,,2
8954,1,4,1,1,1957,1,,2,1,5,39,60,2,1976,2,,,1,,2,,9,,,,13,3,13,3,4,2,51,4,3,2,1,3,1,1,2,0.3734792494,,2
8954,2,4,2,2,1957,1,,2,1,7,105,110,2,1985,,2,,2,,3,,9,,,1,14,3,13,3,4,2,51,4,3,2,1,3,0,1,2,0.3734792494,,3
8954,3,4,1,5,1986,1,,1,2,5,98,100,2,2005,1,,2,3,,17,,,,,,13,3,13,3,4,2,22,1,1,7,3,5,0,0,2,0.3734792494,,3
8954,4,4,1,5,1994,1,,1,2,3,,,,,,,,4,,17,,,,,,13,3,13,3,4,2,14,1,1,7,3,5,0,0,2,0.3734792494,,
11940,1,2,1,1,1941,1,,2,1,4,,,,,,,,1,,15,2,2,,,,7,1,7,1,1,0,67,5,5,6,3,5,1,1,2,1.3766467375,,
11940,2,2,2,2,1946,1,,2,1,2,,,,,,,,2,,15,2,9,,,,7,1,7,1,1,0,62,4,4,6,3,5,0,1,2,1.3766467375,,
11972,1,2,1,1,1938,1,,2,1,2,,,,,,,,1,,15,9,4,,,,16,3,17,3,4,2,70,5,5,6,3,5,0,1,2,0.1823878817,,
11972,2,2,2,2,1948,1,,2,1,2,,,,,,,,2,,9,,4,,,,16,3,17,3,4,2,60,4,4,5,2,4,1,1,2,0.1823878817,,
20174,1,2,1,1,1941,1,,1,1,5,7,10,2,1962,2,,,1,,15,2,6,,,,8,1,8,1,2,2,67,5,5,6,3,5,1,1,2,0.5651695682,,2
20174,2,2,2,2,1942,1,,1,1,3,,,,,,,,2,,16,,,,,,8,1,8,1,2,2,66,5,5,6,3,5,0,1,2,0.5651695682,,
20179,1,3,1,1,1953,1,,2,1,3,,,,,,,,1,,4,,5,,,,8,1,8,1,2,2,55,4,4,3,1,4,1,1,3,0.3019027193,,
20179,2,3,2,2,1954,1,,2,1,5,48,60,2,1974,2,,,2,,4,,9,,,,8,1,8,1,2,2,54,4,3,3,1,3,0,1,3,0.3019027193,,2
20179,3,3,2,5,1984,1,,2,2,5,78,100,2,2003,2,,,3,,2,,9,,,,8,1,8,1,2,2,24,1,1,2,1,3,0,1,3,0.3019027193,,1
20223,1,3,2,1,1938,1,,3,1,4,,,,,,,,2,,15,2,2,,,,3,1,3,1,1,2,70,5,5,6,3,5,0,1,3,0.4233202693,,
20223,2,3,1,2,1939,1,,2,1,4,,,,,,,,1,,15,8,2,,,,16,3,3,1,1,2,69,5,5,6,3,5,1,1,3,0.4233202693,,
20223,3,3,1,5,1971,1,,2,2,8,30,30,2,1998,,2,,3,,9,,2,,,10,,,3,1,1,2,37,2,2,5,2,2,0,1,3,0.4233202693,,2
20231,1,2,1,1,1949,1,,3,1,4,,,,,,,,1,,10,,4,,,,8,1,8,1,2,2,59,4,4,4,2,4,1,1,2,0.5021014447,,
20231,2,2,2,2,1953,1,,3,1,4,,,,,,,,2,,10,,4,,,,8,1,8,1,2,2,55,4,4,4,2,4,0,1,2,0.5021014447,,
20297,1,2,1,1,1960,1,,2,1,3,,,,,,,,1,,1,,2,,,,5,1,5,1,2,2,48,3,3,1,1,2,1,1,1,2.9146984591,,
20297,2,2,2,2,1979,2,2007,2,1,3,,,,,,,,,2,11,,,4,2007,,,,5,1,2,2,29,1,1,7,3,5,0,0,1,2.9146984591,,
20372,1,3,1,1,1947,1,,2,1,3,,,,,,,,1,,15,1,9,,,,5,1,5,1,2,2,61,4,4,6,3,5,1,1,2,1.559234389,,
20372,2,3,2,2,1948,1,,2,1,3,,,,,,,,2,,13,,,,,,5,1,5,1,2,2,60,4,4,7,3,5,0,0,2,1.559234389,,
20372,3,3,1,5,1972,1,,2,2,3,,,,,,,,3,,1,,2,,,,5,1,5,1,2,2,36,2,2,1,1,2,0,1,2,1.559234389,,
20711,1,2,2,1,1945,1,,2,1,3,,,,,,,,3,,13,,,,,,4,1,4,1,2,0,63,4,4,7,3,5,0,0,1,0.4699955404,,
