nquest,nord,nordp,nesplav,exlav,etalav,yxlav1,yxlav,prexlav,anxlav1,anxlav,mesixlav,contrib,acontrib,mcontrib,etalav2,datorest,nopend,etapen,coppu,prevcom,anprevcom,mprevcom,coppip,prefpip,prefpip1,prefpip2,motexlav,motexlav1
173,1,1,1,1,22,,,,,,,1,33,,,,,,,,,,,2,1,,,
173,2,2,1,2,31,,,,,,,1,5,,,,,,,,,,,,,,,
375,1,1,1,2,26,,,,,,,1,35,,,,,,,,,,,1,,,,
465,1,1,2,1,20,,,,,,,1,37,,29,1,1,58,100,2,,,,1,,,,
465,2,2,1,1,27,,,,,,,1,25,,,1,1,,,,,,,,,,,
465,3,3,1,1,28,1,500,,,,,1,4,,,1,2,,,,,,,,,,,
465,4,4,2,1,22,1,400,1,1,1,,1,4,,23,1,1,,,,,,,,,,7,
629,1,1,1,1,15,,,,,,,1,50,,,,,,,,,,,2,1,,,
629,2,2,3,1,21,2,,1,3,,,1,18,,33,1,1,,,,,,,,,,1,
632,1,1,1,1,22,,,,,,,1,37,,,,,,,,,,,2,1,,,
632,2,2,2,1,14,,,,,,,1,15,,,,,,,,,,,,,,,
632,3,4,1,1,23,1,900,,,,,1,2,,,1,2,,,,,,,,,,,
633,1,1,4,1,19,,,,,,,1,20,,,,,,,,,,,1,,,,
923,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1238,1,1,1,1,25,,,,,,,1,35,,,,,,,,,,,1,,,,
1367,1,1,3,3,11,,,,,,,1,35,,,,,,,,,,,2,2,1,,
1367,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1763,1,1,3,1,18,,,,,,,1,27,,,,,,,,,,,2,1,,,
1763,2,2,1,1,22,,,,,,,1,32,,,1,1,,,,,,,,,,,
1826,1,1,2,3,15,,,,,,,1,34,,,,,,,,,,,2,2,2,,
1826,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1927,1,1,5,3,13,,,,,,,1,13,,,,,,,,,,,2,2,1,,
1946,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1946,2,3,3,1,15,,,,,,,1,30,,,,,,,,,,,,,,,
2178,1,1,1,1,20,,,,,,,1,38,,,,,,,,,,,2,2,2,,
2178,2,2,1,2,18,,,,,,,1,40,,,,,,,,,,,,,,,
2274,1,1,1,1,14,,,,,,,1,5,,,,,,,,,,,1,,,,
2274,2,2,1,1,15,,,,,,,1,7,,,,,,,,,,,,,,,
2447,1,1,2,1,17,,,,,,,1,34,,30,1,1,60,70,2,,,,2,1,,,
2447,2,2,1,1,17,,,,,,,1,32,,,,,,,,,,,,,,,
2447,3,3,1,1,23,1,850,,,,,1,1,,,1,1,,,,,,,,,,,
2447,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
2485,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2886,1,1,1,1,26,,,,,,,1,34,,,1,1,61,80,2,,,,2,2,2,,
2886,2,2,1,1,21,,,,,,,1,36,,,1,1,,,,,,,,,,,
2886,3,3,2,1,22,1,400,1,1,4,,1,4,,30,1,1,,,,,,,,,,7,
2886,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
3717,1,1,1,1,18,,,,,,,1,25,,,,,,,,,,,2,2,1,,
4732,1,1,1,2,20,,,,,,,2,,,,,,,,,,,,2,2,1,,
5416,1,1,3,1,13,,,,,,,1,15,,41,1,1,65,70,2,,,,1,,,,
5416,2,2,2,1,19,2,,1,3,,,1,10,,19,1,1,65,60,2,,,,,,,1,
5416,3,3,2,1,15,2,,1,3,,,1,10,,15,1,1,65,60,2,,,,,,,1,
5416,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
7097,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
7097,2,2,1,1,19,,,,,,,1,29,,,1,1,53,60,2,,,,,,,,
7097,3,3,1,1,14,1,900,,,,,1,5,,,1,1,60,60,2,,,,,,,,
7097,4,4,1,1,14,1,900,,,,,1,5,,,1,1,60,60,2,,,,,,,,
7098,1,1,1,2,16,,,,,,,1,40,,,,,,,,,,,2,2,2,,
7098,2,2,1,1,32,2,,,,,,1,5,,,1,1,70,70,2,,,,,,,,
7165,1,1,1,1,15,,,,,,,1,37,,,1,2,65,80,2,,,,2,2,2,,
7165,2,2,2,1,15,,,,,,,1,35,,50,1,1,60,60,2,,,,,,,,
7165,3,3,1,1,20,1,800,,,,,1,8,,,1,2,,,,,,,,,,,
7886,1,1,1,1,22,,,,,,,1,36,,,,,,,,,,,2,2,1,,
7886,2,2,1,1,52,,,,,,,1,4,,,1,1,65,50,2,,,,,,,,
8954,1,1,4,1,20,,,,,,,1,29,,23,1,1,65,80,2,,,,2,2,1,,
8954,2,2,1,1,36,,,,,,,1,15,,,1,1,,,,,,,,,,,
8954,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
8954,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
11940,1,1,1,1,15,,,,,,,1,37,,,,,,,,,,,2,2,2,,
11940,2,2,1,1,14,,,,,,,1,10,,,,,,,,,,,,,,,
11972,1,1,1,1,32,,,,,,,1,20,,,,,,,,,,,2,2,2,,
11972,2,2,1,2,23,,,,,,,1,34,,,1,1,60,50,,,,,,,,,
20174,1,1,1,1,21,,,,,,,1,36,,,,,,,,,,,2,2,1,,
20174,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
20179,1,1,1,1,23,,,,,,,1,32,,,1,2,60,98,1,2008,5,100,2,1,,,
20179,2,2,1,1,22,,,,,,,1,32,,,1,2,,,,,,,,,,,
20179,3,3,2,1,19,2,,2,1,3,,1,4,,22,1,2,,,,,,,,,,1,
20223,1,2,5,1,19,,,,,,,1,18,,,,,,,,,,,1,,,,
20223,2,1,3,3,16,,,,,,,1,37,,,,,,,,,,,,,,,
20223,3,3,2,2,27,2,,3,1,3,,1,8,,31,1,1,,,,,,,,,,1,
20231,1,1,3,3,15,,,,,,,1,35,,56,1,1,59,80,,,,,2,1,,,
20231,2,2,3,3,15,,,,,,,1,9,,40,1,1,65,40,,,,,,,,,
20297,1,1,1,1,14,,,,,,,1,34,,,1,2,55,80,2,,,,2,1,,,
20297,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
20372,1,1,1,1,16,,,,,,,1,40,,,,,,,,,,,2,2,1,,
20372,2,2,2,1,16,,,,,,,2,,,,,,,,,,,,,,,,
20372,3,3,1,1,24,1,500,,,,,1,12,,,1,2,65,60,2,,,,,,,,
20711,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
20711,2,2,1,1,15,,,,,,,1,37,,,,,,,,,,,,,,,
20767,1,1,2,1,20,,,,,,,1,6,,,,,,,,,,,2,1,,,
20767,2,2,2,1,15,,,,,,,1,37,,48,1,2,60,70,2,,,,,,,,
20767,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
20767,4,5,1,1,26,2,,,,,,1,4,,,1,1,,,,,,,,,,,
20837,1,1,2,1,18,,,,,,,1,40,,,,,,,,,,,1,,,,
20837,2,2,1,1,16,,,,,,,1,15,,,,,,,,,,,,,,,
20839,1,1,1,1,24,,,,,,,1,30,,,1,1,65,80,2,,,,2,2,1,,
20839,2,2,2,1,20,,,,,,,1,22,,47,1,1,65,80,2,,,,,,,,
20944,1,1,1,1,26,,,,,,,1,19,,,1,1,65,60,1,2008,7,75,2,2,1,,
20944,2,2,1,1,20,,,,,,,1,31,,,1,1,54,70,1,2007,,85,,,,,
20944,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
21384,1,1,1,2,18,,,,,,,1,31,,,1,1,60,60,,,,,2,2,2,,
21384,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
21384,3,3,1,1,20,2,,,,,,1,6,,,1,1,,,,,,,,,,,
21384,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
21461,1,1,10,1,12,,,,,,,1,30,,,,,,,,,,,2,2,2,,
22074,1,1,1,1,23,,,,,,,1,25,,,1,1,60,70,2,,,,1,,,,
22074,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22074,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
22074,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
22099,1,1,1,2,15,,,,,,,1,29,,,1,1,64,70,,,,,2,2,2,,
22099,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22099,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
22099,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
22099,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
22168,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
22168,2,2,1,1,18,,,,,,,2,,,,,,,,,,,,,,,,
22168,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
22169,1,1,1,1,36,,,,,,,1,12,,,,,,,,,,,2,1,,,
22169,2,2,1,2,18,,,,,,,2,,,,,,,,,,,,,,,,
22169,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
22173,1,1,1,1,18,,,,,,,1,40,,,,,,,,,,,2,1,,,
22173,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22173,3,3,1,1,27,1,300,,,,,1,7,,,1,1,,,,,,,,,,,
22208,1,1,1,1,14,,,,,,,1,35,,,,,,,,,,,2,2,2,,
22222,1,1,1,1,14,,,,,,,1,35,,,,,,,,,,,2,2,2,,
22251,1,1,1,1,15,,,,,,,1,38,,,,,,,,,,,2,2,1,,
22251,2,2,1,1,17,,,,,,,1,4,,,,,,,,,,,,,,,
22262,1,1,3,1,19,,,,,,,1,40,,,,,,,,,,,2,2,1,,
22262,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22263,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
22263,2,2,4,1,18,,,,,,,1,30,,19,1,1,,,,,,,,,,,
22266,1,1,3,3,18,,,,,,,1,30,,,,,,,,,,,2,2,1,,
22266,2,2,1,2,23,,,,,,,1,5,,,,,,,,,,,,,,,
22272,1,1,2,3,14,,,,,,,1,31,,,,,,,,,,,2,2,1,,
22272,2,2,1,1,19,,,,,,,1,40,,,,,,,,,,,,,,,
22273,1,1,4,1,14,,,,,,,1,35,,,,,,,,,,,1,,,,
22273,2,2,5,3,14,,,,,,,1,15,,,,,,,,,,,,,,,
22274,1,1,2,3,16,,,,,,,1,11,,,,,,,,,,,2,2,1,,
22274,2,2,2,1,14,,,,,,,1,40,,,,,,,,,,,,,,,
22276,1,1,1,1,25,,,,,,,1,30,,,,,,,,,,,2,1,,,
22276,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22277,1,1,2,1,21,,,,,,,1,30,,22,1,1,60,70,2,,,,1,,,,
22277,2,2,1,2,18,,,,,,,1,31,,,1,1,,,,,,,,,,,
22277,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
22279,1,1,1,2,14,,,,,,,1,34,,,1,1,65,50,,,,,1,,,,
22279,2,2,2,1,19,1,700,1,1,1,,1,7,,25,1,2,,,,,,,,,,6,
22279,3,3,2,1,20,1,500,1,1,1,,1,2,,,,,,,,,,,,,,2,
22286,1,1,1,1,18,,,,,,,1,25,,,,,,,,,,,1,,,,
22286,2,2,2,1,17,,,,,,,1,29,,34,1,1,58,60,1,2007,,80,,,,,
22292,1,1,1,1,14,,,,,,,1,35,,,,,,,,,,,2,1,,,
22292,2,2,1,2,14,,,,,,,1,40,,,,,,,,,,,,,,,
22353,1,1,3,1,11,,,,,,,1,6,,,,,,,,,,,2,2,2,,
22353,2,2,6,1,11,,,,,,,1,37,,,,,,,,,,,,,,,
22353,3,3,2,1,19,1,600,1,2,,10,1,2,,20,1,1,60,40,2,,,,,,,1,
22516,1,1,2,1,14,,,,,,,1,36,,,,,,,,,,,2,2,2,,
22516,2,2,3,1,15,,,,,,,1,20,,39,1,1,60,60,2,,,,,,,,
22624,1,1,5,1,14,,,,,,,2,,,,,,,,,,,,1,,,,
22624,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22624,3,3,1,1,17,1,350,,,,,2,,,,1,2,,,,,,,,,,,
22624,4,4,1,1,20,1,120,,,,,2,,,,1,1,,,,,,,,,,,
22624,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
22624,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
22657,1,1,1,1,25,,,,,,,1,28,,,1,1,65,70,2,,,,2,2,1,,
22657,2,2,2,1,25,,,,,,,1,35,,,,,,,,,,,,,,,
22850,1,1,1,1,31,,,,,,,1,28,,,1,1,60,70,2,,,,2,2,2,,
22850,2,2,1,1,50,,,,,,,1,15,,,,,,,,,,,,,,,
22891,1,1,2,1,22,,,,,,,1,32,,,,,,,,,,,2,2,2,,
22995,1,1,2,1,14,,,,,,,1,37,,,,,,,,,,,2,2,2,,
22995,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
22996,1,1,1,1,21,,,,,,,1,36,,,,,,,,,,,2,2,2,,
22996,2,2,1,1,16,,,,,,,1,40,,,,,,,,,,,,,,,
23193,1,1,1,1,21,,,,,,,1,38,,,,,,,,,,,2,2,2,,
23370,1,1,8,1,16,,,,,,,1,39,,,,,,,,,,,2,2,2,,
23370,2,2,1,1,11,,,,,,,2,,,,,,,,,,,,,,,,
23384,1,1,1,2,24,,,,,,,1,40,,,,,,,,,,,2,2,2,,
23386,1,1,1,1,19,,,,,,,1,14,,,1,1,60,80,2,,,,2,2,2,,
23386,2,2,1,1,18,,,,,,,1,34,,,1,1,,,,,,,,,,,
23386,3,3,1,1,21,1,400,,,,,1,6,,,1,1,,,,,,,,,,,
23386,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
23490,1,1,2,1,18,,,,,,,1,33,,,,,,,,,,,1,,,,
23797,1,1,2,3,15,,,,,,,1,20,,32,1,1,65,60,3,,,,2,1,,,
23797,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
23797,3,3,1,1,19,1,700,,,,,1,2,,,1,1,,,,,,,,,,,
23797,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
23798,1,1,1,1,20,,,,,,,1,36,,,,,,,,,,,2,1,,,
23798,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
23821,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
23821,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
23823,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
23823,2,2,1,1,20,1,800,,,,,1,9,,,1,1,,,,,,,,,,,
23865,1,1,1,1,25,,,,,,,1,35,,,,,,,,,,,2,2,1,,
23865,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
23865,3,3,1,2,28,2,,,,,,1,5,,,,,,,,,,,,,,,
23865,4,10,1,1,31,2,,,,,,1,2,,,1,1,,,,,,,,,,,
23865,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
23865,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
23986,1,1,2,2,14,,,,,,,1,35,,,,,,,,,,,2,2,1,,
23986,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
24010,1,1,1,1,31,,,,,,,1,38,,,,,,,,,,,2,2,2,,
24010,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
24080,1,1,1,1,19,1,350,,,,,1,23,,,1,1,60,70,2,,,,2,2,2,,
24080,2,2,1,1,24,,,,,,,1,22,,,1,1,,,,,,,,,,,
24080,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
24080,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
24085,1,1,1,2,19,,,,,,,1,35,,,,,,,,,,,2,2,2,,
24147,1,1,1,1,24,,,,,,,1,35,,,,,,,,,,,2,2,2,,
24147,2,2,1,1,17,,,,,,,1,33,,,1,1,,,,,,,,,,,
24149,1,1,1,2,15,,,,,,,1,45,,,,,,,,,,,2,2,2,,
24158,1,1,4,1,14,,,,,,,1,24,,,,,,,,,,,2,2,1,,
24171,1,1,2,3,16,,,,,,,1,46,,,,,,,,,,,1,,,,
24194,1,1,6,1,15,,,,,,,1,38,,53,1,1,58,80,2,,,,2,2,1,,
24194,2,2,4,3,18,,,,,,,1,15,,40,1,1,60,40,2,,,,,,,,
24194,3,3,8,2,21,1,300,3,2,,3,1,3,,24,1,1,,,,,,,,,,6,
24194,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
24195,1,1,2,3,15,,,,,,,1,15,,,,,,,,,,,2,2,2,,
24195,2,2,2,1,14,,,,,,,1,37,,,,,,,,,,,,,,,
24195,3,3,1,1,18,1,200,,,,,1,12,,,1,1,,,,,,,,,,,
24202,1,1,1,1,26,,,,,,,1,40,,,,,,,,,,,2,1,,,
24202,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
24312,1,1,1,1,28,,,,,,,1,39,,,1,2,66,75,2,,,,2,2,2,,
24312,2,2,1,1,27,1,2000,,,,,1,5,,,1,2,,,,,,,,,,,
24312,3,3,1,1,27,1,1100,,,,,1,1,,,1,2,,,,,,,,,,,
24322,1,1,1,1,16,,,,,,,1,37,,,,,,,,,,,2,2,2,,
24322,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
24322,3,3,1,1,23,1,300,,,,,1,3,,,1,1,,,,,,,,,,,
24326,1,1,1,1,18,,,,,,,1,36,,,,,,,,,,,2,2,1,,
24374,1,2,2,1,15,,,,,,,1,25,,,,,,,,,,,2,2,2,,
24374,2,3,2,1,17,1,350,1,1,3,,1,8,,21,1,2,,,,,,,,,,1,
24374,3,4,2,1,18,1,300,2,1,6,,1,8,,24,1,1,,,,,,,,,,1,
24379,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
24382,1,1,1,1,19,,,,,,,1,30,,,,,,,,,,,2,2,2,,
24382,2,2,1,1,40,,,,,,,1,19,,,1,1,65,50,3,,,,,,,,
24393,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
24529,1,1,4,3,27,,,,,,,1,36,,,,,,,,,,,2,2,2,,
24529,2,2,3,1,17,,,,,,,1,15,,,,,,,,,,,,,,,
24529,3,3,8,1,19,2,,2,2,,8,1,10,,23,1,1,,,,,,,,,,1,
24529,4,5,5,1,18,2,,1,2,,3,1,2,,24,1,2,,,,,,,,,,6,
24571,1,2,10,1,16,,,,,,,1,40,,,,,,,,,,,2,2,2,,
24571,2,1,1,1,15,,,,,,,1,36,,,,,,,,,,,,,,,
24616,1,1,2,1,16,,,,,,,1,37,,,,,,,,,,,2,2,2,,
24616,2,2,2,1,23,,,,,,,1,37,,,,,,,,,,,,,,,
24760,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
24764,1,1,4,1,15,2,,2,1,1,,1,26,,23,1,1,65,40,2,,,,2,2,2,1,
24764,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
24764,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
24764,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
24764,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
24809,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
24809,2,2,2,1,15,,,,,,,1,37,,,,,,,,,,,,,,,
24853,1,1,1,1,20,,,,,,,1,30,,,1,1,52,90,2,,,,2,2,1,,
24853,2,2,1,1,32,,,,,,,1,12,,,1,1,,,,,,,,,,,
24853,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
24885,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
24924,1,2,4,3,19,1,290,2,1,3,,1,25,,43,1,1,65,60,,,,,1,,,7,
24924,2,1,3,3,22,,,,,,,1,26,,47,1,1,,,,,,,,,,,
24924,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
24924,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
24984,1,1,1,1,14,,,,,,,1,32,,,,,,,,,,,1,,,,
24984,2,2,2,1,14,,,,,,,1,39,,28,1,1,,,,,,,,,,,
24984,3,3,2,1,14,,,,,,,1,40,,,,,,,,,,,,,,,
24984,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
25007,1,1,1,1,23,,,,,,,1,15,,,,,,,,,,,2,2,1,,
25138,1,1,1,1,15,,,,,,,1,40,,,,,,,,,,,2,2,2,,
25138,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
25138,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
25148,1,1,1,1,26,,,,,,,1,32,,,1,1,60,80,2,,,,2,2,2,,
25148,2,2,1,1,28,,,,,,,1,18,,,1,1,,,,,,,,,,,
25148,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
25238,1,2,3,3,15,,,,,,,1,21,,,,,,,,,,,2,2,2,,
25238,2,1,1,1,15,,,,,,,1,37,,,,,,,,,,,,,,,
25245,1,1,1,1,15,1,400,,,,,1,10,,,,,,,,,,,1,,,,
25245,2,2,2,1,25,1,200,1,2,,6,1,8,,25,1,1,65,100,2,,,,,,,6,
25245,3,3,1,1,19,1,600,,,,,1,1,,,1,1,,,,,,,,,,,
25245,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
25435,1,1,1,1,21,,,,,,,1,31,,,,,,,,,,,2,1,,,
25435,2,2,1,1,26,2,,,,,,1,16,,,1,1,,,,,,,,,,,
25435,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
25625,1,1,1,1,46,,,,,,,1,15,,,,,,,,,,,2,2,2,,
25723,1,1,3,1,20,,,,,,,1,25,,25,1,1,64,60,1,2007,,60,1,,,,
25930,1,1,1,1,21,,,,,,,1,37,,,,,,,,,,,2,2,2,,
25930,2,2,1,1,15,,,,,,,1,15,,,,,,,,,,,,,,,
25968,1,1,3,1,17,,,,,,,1,35,,,,,,,,,,,2,2,1,,
25968,2,2,2,3,28,,,,,,,1,20,,44,1,1,65,30,,,,,,,,,
25970,1,1,3,1,14,,,,,,,1,35,,,,,,,,,,,1,,,,
25970,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26048,1,1,1,1,20,,,,,,,1,35,,,,,,,,,,,2,2,2,,
26048,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26163,1,1,4,3,25,,,,,,,1,16,,45,1,1,65,80,2,,,,1,,,,
26163,2,2,4,1,14,,,,,,,1,15,,47,1,1,65,80,2,,,,,,,,
26163,3,98,2,1,16,1,800,1,2,,3,1,3,,19,1,1,,,,,,,,,,7,
26163,4,98,0,,,,,,,,,,,,,,,,,,,,,,,,,
26281,1,1,1,2,37,,,,,,,1,13,,,,,,,,,,,2,1,,,
26310,1,1,1,1,20,,,,,,,1,35,,,,,,,,,,,1,,,,
26310,2,2,1,1,23,,,,,,,1,15,,,,,,,,,,,,,,,
26310,3,3,1,1,23,2,,,,,,1,7,,,1,2,,,,,,,,,,,
26349,1,1,2,1,17,,,,,,,1,39,,,,,,,,,,,2,2,1,,
26349,2,2,1,1,37,,,,,,,1,15,,,,,,,,,,,,,,,
26499,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
26499,2,2,1,1,15,1,1000,,,,,2,,,,,,,,,,,,,,,,
26574,1,1,4,1,26,,,,,,,1,41,,47,1,1,65,100,2,,,,2,2,2,,
26574,2,2,2,1,18,,,,,,,1,30,,29,1,1,,,,,,,,,,,
26574,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26653,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
26684,1,1,1,2,20,,,,,,,2,,,,,,,,,,,,1,,,,
26684,2,2,1,1,17,2,,,,,,2,,,,1,1,,,,,,,,,,,
27109,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
27114,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
27114,2,2,1,2,13,,,,,,,1,35,,,,,,,,,,,,,,,
27116,1,1,1,1,15,,,,,,,1,40,,,,,,,,,,,2,2,2,,
27116,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
27123,1,1,1,2,13,,,,,,,1,35,,,,,,,,,,,2,1,,,
27123,2,2,1,1,27,,,,,,,1,,8,,,,,,,,,,,,,,
27123,3,3,2,1,29,1,700,2,3,,,1,1,,29,1,1,,,,,,,,,,7,
27155,1,1,2,3,27,,,,,,,1,10,,31,1,1,65,50,,,,,2,2,1,,
27155,2,2,2,3,22,,,,,,,1,15,,,,,,,,,,,,,,,
27155,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
27155,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
27157,1,1,1,2,24,,,,,,,1,24,,,1,1,65,50,,,,,2,2,1,,
27157,2,2,2,1,22,2,,2,1,3,,1,20,,25,1,1,,,,,,,,,,1,
27157,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
27157,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
27224,1,1,1,1,21,,,,,,,1,30,,,,,,,,,,,2,2,1,,
27224,2,2,1,2,35,,,,,,,1,20,,,1,1,60,40,,,,,,,,,
27224,3,3,1,1,24,1,500,,,,,1,5,,,,,,,,,,,,,,,
27238,1,1,2,1,15,,,,,,,1,36,,15,1,2,60,70,2,,,,2,2,2,,
27238,2,2,1,1,22,,,,,,,1,20,,,1,2,,,,,,,,,,,
27238,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
27505,1,1,2,1,15,,,,,,,1,35,,,,,,,,,,,2,2,1,,
27509,1,1,5,3,11,,,,,,,1,35,,,,,,,,,,,2,1,,,
27509,2,2,5,1,11,,,,,,,1,22,,,,,,,,,,,,,,,
27730,1,1,1,1,16,,,,,,,1,5,,,,,,,,,,,1,,,,
27730,2,2,3,1,14,,,,,,,1,37,,,,,,,,,,,,,,,
27730,3,3,2,1,18,1,400,1,2,,6,1,1,,26,1,1,,,,,,,,,,1,
27730,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
