nquest,quest,nquestp,contint,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,vitpcf,nompcf,anmortpcf,itpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitmcf,nommcf,anmortmcf,itmcf,vitfcf,nfratcf,nsorecf,vitfco,nfratco,nsoreco,figlicf,nfiglicf,nfiglinoit,parnoit,anconv,motivpcf,motivmcf,NCOMP,CAPI
173,3,,2,1,2,2,3,1924,,2,1,2000,,1,2,8,4,1925,,1,,,,1,1,0,1,1,7,1,2,,,1974,,,2,1
375,3,,2,1,3,1,3,1892,,2,1,1969,,2,,,,,,2,1,1975,,1,0,3,,,,1,2,,,,,,1,1
465,3,,2,1,2,8,1,1930,,1,,,,1,2,8,1,1930,,2,1,1992,,2,,,1,0,1,2,,,,1976,,,4,1
629,3,,2,2,,,,,,3,,,,1,2,1,1,1915,,2,1,2006,,2,,,,,,1,1,,,,,,2,0
632,3,,2,1,2,2,3,1911,,2,1,1983,,1,2,9,,1918,,2,1,1984,,1,5,2,1,1,1,1,1,,,1974,,,3,0
633,3,,2,1,2,8,1,1894,,2,1,1963,,1,2,9,,1899,,2,1,1974,,2,,,,,,1,1,,,,,,1,0
923,3,,2,1,2,1,4,1896,,2,1,1970,,1,2,9,,1900,,2,1,1995,,1,1,0,,,,1,4,,,,,,1,1
1238,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,2,,,,1,3,,,,,,1,1
1367,3,,3,1,1,9,,1901,,2,1,1979,,1,1,9,,1907,,2,1,1936,,1,1,1,1,0,2,1,3,,,1953,,,2,1
1763,3,,3,1,1,1,1,1917,,2,1,1998,,1,2,1,1,1928,,1,,,,1,2,0,2,,,1,2,,,1978,,,2,1
1826,3,,2,1,2,1,4,1900,,2,1,1988,,1,2,1,1,1899,,2,1,1969,,2,,,1,2,2,1,2,,,1955,,,2,0
1927,3,,2,1,3,2,3,1901,,2,1,1975,,1,2,9,,1904,,2,1,2000,,1,0,2,,,,1,2,,,,,,1,1
1946,3,,2,1,4,2,3,1919,,2,1,1985,,1,2,9,,1920,,2,1,2007,,1,3,3,,,,2,,,2,,,,2,1
2178,3,,3,1,2,1,3,1891,,2,1,1978,,1,2,9,,1890,,2,1,1984,,1,0,1,1,1,0,1,2,,,1950,,,2,0
2274,3,,1,1,1,8,1,1903,,2,2,,,1,1,8,1,1886,,2,1,1960,,1,1,0,1,5,1,1,2,,,1954,,,2,1
2447,3,,2,1,1,1,2,1929,,2,1,2002,,1,1,9,,1933,,2,1,2007,,1,2,1,1,1,1,2,,,,1977,,,4,1
2485,3,,2,1,1,8,1,1904,,2,2,,,1,1,9,,1908,,2,2,,,1,1,4,,,,1,4,,,,,,1,1
2886,3,,1,1,2,1,4,1926,,2,1,1991,,1,2,2,3,1924,,1,,,,1,1,0,1,0,4,1,1,,,1976,,,4,1
3717,3,,1,1,3,2,3,1916,,2,1,1997,,1,2,9,,1922,,2,1,1978,,1,0,1,,,,2,,,2,,,,1,1
4732,3,,4,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,2,,,,1,0
5416,3,,3,1,2,1,4,1929,,1,,,,1,2,9,,1933,,1,,,,1,2,7,,,,2,,,2,,,,4,0
7097,3,,2,1,2,1,5,1930,,1,,,,1,2,9,,1936,,2,1,2005,,1,0,1,1,1,0,2,,,,1979,,,4,0
7098,3,,2,1,2,1,4,1909,,2,1,1985,,1,7,9,,1912,,2,1,1992,,1,0,1,,,,2,,,,,,,2,0
7165,3,,2,1,2,1,2,1909,,2,1,1971,,1,2,9,,1917,,1,,,,1,0,2,2,,,2,,,,1979,,,3,1
7886,3,,2,1,2,2,3,1910,,2,1,1985,,1,2,9,,1918,,2,1,2004,,1,1,0,1,1,0,1,2,,,1974,,,2,0
8954,3,,2,1,2,8,4,1927,,1,,,,1,2,8,4,1927,,1,,,,1,1,1,1,1,1,2,,,,1985,,,4,1
11940,3,,1,1,2,1,2,1907,,2,1,1985,,1,2,9,,1910,,2,1,2002,,1,1,1,1,0,3,1,2,,,1968,,,2,1
11972,3,,1,1,1,8,1,1921,,2,1,2002,,1,1,9,,1915,,1,,,,1,0,1,2,,,2,,,,1966,,,2,1
20174,3,,2,1,2,1,4,1909,,2,2,,,1,2,9,,1912,,2,2,,,1,2,0,2,,,2,,,,1966,,,2,0
