nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
173,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,1,,,1,1,2,,500,500,1,1,1,2,2,2
375,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,50,350,2,,,,2,
465,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,2,2,1,,,1,2,2,,,1,3,2,,500,1500,1,1,1,2,2,2
629,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,2,,,1,1,2,,,1,1,1,,,1,2,2,,200,800,1,1,1,2,2,
632,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,3,2,,,2,2,2,,,2,,,,,1,2,2,,200,300,1,1,1,2,2,
633,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,150,1000,2,,,,2,
923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,750,2,,,,2,
1238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,150,600,2,,,,2,
1367,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,300,500,2,,,,2,
1763,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,800,800,2,,,,2,
1826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,2,,2,,500,600,2,,,,2,
1927,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,150,150,1,1,2,,1,2
1946,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2,,,2,,,,,1,1,2,,300,300,2,,,,2,
2178,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,300,800,2,,,,2,
2274,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,700,900,2,,,,2,
2447,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,2,,,1,1,1,,,1,1,2,,500,700,1,1,1,2,2,
2485,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,550,550,2,,,,2,
2886,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,1,,,1,2,2,,400,2300,1,1,1,2,2,
3717,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,1100,1100,2,,,,2,
4732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,0,300,2,,,,2,
5416,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,2,,,2,,,,,1,2,2,,300,1000,1,1,1,2,2,
7097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,1000,2000,2,,,,2,
7098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1,,,1,1,1,,,1,1,2,,300,1000,1,2,2,,1,2
7165,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,2,2,,,2,2,2,,,2,,,,,1,1,2,,150,500,1,1,1,2,2,
7886,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,2,2,,,1,1,1,,,1,1,1,,,1,1,2,,200,2000,2,,,,2,2
8954,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,1,2,,,1,1,2,,500,1600,1,1,1,1,2,2
11940,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,1,,,2,,,,,1,3,2,,400,450,2,,,,2,2
11972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,3,,,2,,,,,2,,2,,300,150,2,,,,2,
20174,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,100,1200,2,,,,2,2
20179,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,5,1,2,,,2,2,2,,,1,2,2,,,1,3,2,,300,600,1,1,2,,1,
20223,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,1,1,2,,,2,,,,,2,,2,,600,1600,1,1,1,2,2,
20231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,1,,,2,,,,,1,1,2,,1000,600,2,,,,2,2
20297,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,150,200,2,,,,2,2
20372,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,1,,,1,1,2,,,1,2,1,1,300,800,1,1,1,1,1,2
20711,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,2,2,,200,350,2,,,,2,2
20767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,,,2,2,2,,,2,,,,,1,2,1,1,100,300,1,1,1,1,2,
20837,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,2,1,,,1,2,2,,250,600,2,,,,2,2
20839,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,3,2,2,,,2,2,2,,,1,2,2,,,1,2,2,,500,900,1,1,1,1,1,
20944,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,150,300,1,1,1,2,1,2
21384,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,1,,,1,1,2,,300,700,1,1,1,1,2,
21461,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,50,950,2,,,,2,
22074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,1000,1000,1,1,1,2,2,
22099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,100,500,1,1,1,2,2,2
22168,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,200,900,2,,,,2,
22169,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,200,800,2,,,,2,
22173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,2,1,1,,,,2,,,,,1,1,2,,200,1200,2,,,,2,
22208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,200,800,2,,,,2,
22222,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,350,2,,,,2,
22251,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,2,,,,,2,,2,,500,1000,2,,,,2,
22262,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,1,,,1,2,2,,,1,2,2,,100,300,1,1,1,1,1,2
22263,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,2,,,1,1,1,,,2,,,,,1,2,2,,500,1400,2,,,,2,2
22266,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,1400,2,,,,2,
22272,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,1,2,,200,1000,1,1,1,2,2,2
22273,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,200,1200,2,,,,2,
22274,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,600,2,,,,2,
