nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,poss,impacq,tfitto,tipoaff,propriet,tfitimp,supab,ancostr,bagni,riscald,valabit,vac,vacdov1,vacdov2,vacdov3,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristr,tristr,debita1,ndebita1,debita2,ndebita2,debitb,tdebitb,debitc,tdebitc,debitd,tdebitd,debite,tdebite,ratab,ratac,taxc,ratad,taxd,ratae,taxe,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,mutuoe,mutuorif,mutuoric,pro7,pro8,pro9,TDEBITA
173,1991,1,1,100,1991,1,,,,,,1,85000,,,,600,140,1985,2,1,220000,1,0,1,0,1,1,2,,2,,2,,2,,1,500,1,500,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
375,1969,1,1,100,1969,1,,,,,,1,300000,,,,600,140,1969,2,1,160000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
465,1983,5,,,,,,,,,,,,,,1,750,220,1980,2,1,350000,1,1,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
629,1981,1,1,100,1981,1,2,,,,,2,35000,,,,500,140,1981,2,1,120000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
632,1983,1,1,100,1983,1,2,,,,,7,25000,,,,500,100,1983,1,1,230000,1,0,0,1,1,2,2,,2,,2,,2,,1,1500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
633,1960,1,1,100,1960,1,,,,,,6,,,,,450,100,1958,1,1,450000,1,0,0,1,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1700,2,,2,,,800,,,,,,,1,2,2,,2,,2,,,2,,0,0,
923,1968,1,1,100,1968,1,,,,,,7,6000,,,,500,200,1968,2,1,400000,2,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
1238,1970,1,1,100,1970,1,,,,,,3,10000,,,,600,90,1970,2,2,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
1367,1964,1,1,100,1968,1,2,,,,,1,1300,,,,250,90,1900,1,1,40000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
1763,1978,1,1,100,1978,1,,,,,,4,,,,,100,50,1900,1,1,30000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
1826,1950,1,1,100,1950,1,,,,,,7,750,,,,200,130,1950,1,1,100000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
1927,1962,2,,,,,,,,,,,,400,7,4,,90,1948,1,1,180000,1,1,0,0,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
1946,1964,2,,,,,,,,,,,,110,1,98,,94,1960,1,1,120000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
2178,1989,1,1,100,1989,1,2,,,,,1,10000,,,,1200,80,1972,2,1,450000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
2274,1954,1,1,100,1954,1,,,,,,5,10000,,,,300,120,1815,2,2,200000,2,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
2447,1981,1,1,100,1980,1,2,,,,,1,20000,,,,600,100,1900,1,1,200000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
2485,1953,5,,,,,,,,,,,,,,3,500,90,1927,1,2,150000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
2886,1981,1,1,100,1981,1,2,,,,,1,23000,,,,500,100,1968,2,1,220000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
3717,1995,2,,,,,,,,,,,,500,4,4,,120,1969,2,1,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
4732,1989,1,1,100,1989,1,,,,,,1,25000,,,,300,140,1940,1,1,110000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
5416,1985,2,,,,,,,,,,,,350,1,4,,62,1958,1,1,90000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
7097,1967,1,2,33,2003,1,2,,,,,7,6000,,,,700,100,1967,1,1,400000,2,,,,1,1,2,,2,,2,,2,,1,12000,2,,1,4000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
7098,1958,1,1,100,1958,1,,,,,,1,5000,,,,400,48,1958,1,1,100000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
7165,1979,1,1,100,1979,1,2,,,,,4,,,,,600,100,1965,1,1,220000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1200,1,1800,2,,,1200,,1800,0,,,,1,2,2,,2,,2,,,2,,0,0,
7886,1986,1,1,100,1986,1,2,,,,,1,50000,,,,1000,120,1960,2,1,500000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
8954,1985,1,1,100,1992,1,,,,,,4,,,,,1500,135,1700,2,1,800000,1,1,0,0,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,2,,,2,,0,0,115000
11940,1970,1,1,100,1967,1,2,,,,,2,10000,,,,800,58,1964,1,1,200000,1,0,0,1,2,,2,,2,,2,,2,,1,3500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
11972,1988,1,1,100,1987,1,2,,,,,1,15000,,,,350,95,1969,1,1,130000,2,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20174,1971,1,1,100,1971,1,2,,,,,1,5000,,,,350,85,1963,1,1,150000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20179,1982,1,2,50,1981,1,2,,,,,1,20000,,,,400,141,1981,2,1,220000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20223,1976,1,1,100,1968,1,2,,,,,1,87654,,,,450,70,1960,1,1,150000,1,0,1,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
