nquest,comprens,ita,verored,klima,facil,durata
173,8,,8,10,10,40
375,5,,6,9,7,28
465,9,,6,10,9,59
629,8,,9,9,8,80
632,8,,5,7,8,60
633,7,,7,8,6,55
923,8,,8,9,8,64
1238,8,,8,8,8,28
1367,7,,8,6,7,39
1763,8,,8,8,8,35
1826,8,,10,10,8,50
1927,10,,10,10,10,50
1946,10,,10,10,10,25
2178,9,,7,9,8,70
2274,7,,10,10,10,56
2447,10,,10,9,8,27
2485,7,,9,9,7,31
2886,8,,8,8,8,58
3717,9,,7,8,8,40
4732,5,,4,6,3,45
5416,9,,9,10,8,70
7097,6,,6,6,6,119
7098,7,,7,6,6,119
7165,9,,9,8,8,44
7886,10,,7,8,10,70
8954,9,,8,9,9,100
11940,10,,10,10,10,46
11972,7,,6,9,6,80
20174,10,,10,10,10,65
20179,10,,7,7,10,73
20223,8,,6,9,9,60
20231,9,,9,10,9,90
20297,10,,9,10,10,60
20372,10,,8,10,10,40
20711,7,,8,9,7,70
20767,8,,9,8,8,56
20837,10,,10,10,10,53
20839,10,,10,10,10,149
20944,9,,9,9,9,50
21384,8,,8,8,8,31
21461,8,,8,9,9,62
22074,6,,6,7,5,92
22099,1,,1,1,1,58
22168,6,,5,6,6,40
22169,5,,5,6,6,40
22173,5,,5,6,6,40
22208,8,,8,9,10,63
22222,8,,9,9,8,29
22251,10,,10,10,10,149
22262,10,,10,10,10,149
22263,10,,10,10,10,90
22266,9,,9,10,9,110
22272,10,,10,10,10,90
22273,9,,10,10,10,80
22274,10,,10,10,10,70
22276,7,,8,9,7,64
22277,8,,8,10,9,49
22279,6,,9,9,7,78
22286,8,,7,10,8,57
22292,6,,8,10,8,37
22353,10,,10,10,10,74
22516,9,,9,9,9,90
22624,2,,3,10,1,39
22657,10,,10,10,10,69
22850,10,,10,10,9,42
22891,7,,7,7,6,50
22995,9,,9,8,9,51
22996,7,,7,8,7,65
23193,8,,9,9,7,50
23370,10,,10,10,10,36
23384,8,,7,9,8,119
23386,6,,8,9,7,71
23490,8,,8,8,8,40
23797,5,,5,6,6,40
23798,5,,6,6,6,40
23821,7,,6,9,8,70
23823,8,,8,9,9,84
23865,8,,9,8,9,39
23986,8,,8,9,9,37
24010,9,,9,9,9,51
24080,9,,8,10,10,84
24085,9,,9,9,9,41
24147,8,,9,8,9,50
24149,8,,8,8,8,28
24158,3,,9,10,5,29
24171,7,10,6,10,8,43
24194,8,,8,8,8,76
24195,8,,8,8,8,53
24202,5,,5,8,4,27
24312,9,,8,9,8,78
24322,6,,8,9,7,68
24326,6,,8,9,6,61
24374,8,,8,8,8,62
24379,8,,8,8,8,46
24382,6,,7,6,6,39
24393,6,,7,7,7,51
24529,9,,9,9,9,75
24571,7,,7,7,6,46
24616,9,,10,10,9,119
24760,8,,8,9,8,63
24764,6,,7,9,6,41
24809,10,,7,10,10,49
24853,10,,10,10,10,98
24885,5,,6,6,6,40
24924,9,,9,10,9,69
24984,9,,8,8,8,46
25007,9,,9,9,9,37
25138,10,,8,9,9,51
25148,10,,9,9,9,54
25238,7,,5,7,6,54
25245,8,,8,8,8,29
25435,7,,7,8,8,37
25625,8,,7,9,8,30
25723,7,,7,7,8,36
25930,10,,7,9,8,40
25968,8,,9,8,9,65
25970,8,,10,7,10,45
26048,10,,10,10,10,46
26163,9,,9,9,9,57
26281,9,,8,10,9,78
26310,8,,9,9,9,40
26349,8,,8,9,9,30
26499,7,,8,9,9,29
26574,7,,5,6,6,62
26653,8,,10,10,8,39
26684,8,,8,6,7,25
27109,6,,8,8,6,45
27114,8,,8,8,8,119
27116,7,,7,8,7,60
27123,8,,8,8,8,60
27155,7,,7,7,7,30
27157,7,,6,8,7,70
27224,7,,7,7,7,33
27238,7,,7,7,7,31
27505,9,,8,10,9,60
27509,9,,8,9,8,70
27730,9,,8,10,9,71
27734,9,,8,9,8,58
