nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
375,,,,,,,,
629,,,,,,,,
1238,,,,,,,,
1367,1,1,9,,1,1,1,2
1763,2,,,,2,,,
1826,1,2,1,4,1,2,1,1
1927,,,,,,,,
1946,,,,,,,,
2178,1,2,1,1,1,2,9,
2447,1,2,1,2,1,2,1,4
2485,,,,,,,,
2886,1,2,1,2,1,2,2,3
8954,1,2,8,1,1,2,9,
11940,1,2,8,1,1,2,9,
20174,1,2,2,4,1,2,9,
20179,2,,,,2,,,
20231,1,2,1,1,1,2,1,1
20372,1,2,8,4,1,2,8,4
20711,1,2,1,1,1,2,9,
20837,1,2,8,4,1,2,8,4
22074,1,7,2,4,1,1,9,
22208,,,,,,,,
22222,,,,,,,,
22262,1,3,2,2,1,2,9,
22263,,,,,,,,
22273,1,2,8,4,1,2,9,
22274,1,2,1,2,1,2,9,
22276,,,,,,,,
22277,1,2,8,4,1,1,9,
22292,1,1,8,1,1,1,8,1
22353,1,2,1,2,1,1,1,4
22624,1,1,1,1,1,1,9,
22657,1,3,4,3,1,2,9,
22850,,,,,,,,
22995,1,1,8,4,1,1,9,
23384,,,,,,,,
23386,1,2,1,4,1,2,7,4
23490,,,,,,,,
23797,1,1,1,4,1,1,9,
23798,1,1,7,4,1,1,9,
23823,,,,,,,,
23986,2,,,,2,,,
24085,,,,,,,,
24149,,,,,,,,
24158,,,,,,,,
24171,,,,,,,,
24312,,,,,,,,
24322,1,2,1,2,1,2,9,
24374,,,,,,,,
24379,,,,,,,,
24393,,,,,,,,
24529,1,2,1,4,1,3,1,4
24571,2,,,,2,,,
24616,1,2,8,1,1,2,8,1
24764,1,1,1,2,1,1,9,
24809,1,1,1,1,1,2,9,
24853,2,,,,2,,,
24885,,,,,,,,
25625,,,,,,,,
25723,,,,,,,,
25968,1,2,1,2,1,2,9,
25970,1,1,1,4,1,1,9,
26310,1,2,9,,1,2,9,
26653,,,,,,,,
27109,,,,,,,,
27116,1,1,1,1,1,1,9,
27123,1,1,1,1,1,2,9,
27155,1,2,2,3,1,3,9,
27505,,,,,,,,
27509,1,1,1,1,1,1,1,1
27730,1,1,1,1,1,2,9,
27734,1,2,1,4,1,1,9,
27744,1,1,8,1,1,1,9,
27923,1,2,8,1,1,2,8,1
27930,1,1,1,2,1,1,9,
27947,1,2,1,1,1,1,9,
28100,1,2,8,4,1,2,9,
28221,,,,,,,,
28331,,,,,,,,
28766,2,,,,2,,,
28897,,,,,,,,
28992,1,2,8,1,1,2,9,
29140,1,2,1,1,1,2,1,1
29286,,,,,,,,
29362,,,,,,,,
29678,1,1,8,4,1,1,9,
29684,2,,,,2,,,
29687,1,2,8,4,1,2,8,4
29737,1,4,2,2,1,2,9,
29798,1,2,1,1,1,1,1,1
29823,1,3,2,4,1,2,9,
31163,1,2,1,1,1,2,9,
31191,1,3,1,1,1,2,1,1
31219,,,,,,,,
31220,1,1,8,1,1,1,8,1
31304,1,2,8,4,1,2,8,4
31309,1,1,1,1,1,1,9,
31311,,,,,,,,
31360,,,,,,,,
31387,1,2,1,2,1,2,1,4
31448,,,,,,,,
31556,1,2,9,,1,1,9,
31560,2,,,,2,,,
31625,,,,,,,,
31641,1,2,1,1,1,2,9,
31652,2,,,,2,,,
31665,1,3,9,,1,3,9,
31682,1,2,1,2,1,2,1,2
31695,1,1,1,2,1,1,9,
31710,,,,,,,,
31715,,,,,,,,
31751,1,2,1,2,1,1,9,
31757,,,,,,,,
31799,1,2,1,1,1,2,9,
31859,1,2,1,4,1,1,9,
31869,2,,,,2,,,
32044,,,,,,,,
32047,1,4,2,3,1,4,9,
32052,1,2,1,1,1,2,9,
32066,1,1,1,1,1,1,9,
32067,,,,,,,,
32139,1,2,1,1,1,2,9,
32144,2,,,,2,,,
32190,,,,,,,,
32206,,,,,,,,
32235,1,2,1,1,1,2,8,1
32328,,,,,,,,
32464,,,,,,,,
32470,,,,,,,,
32471,,,,,,,,
32524,1,4,2,4,1,3,9,
32556,,,,,,,,
32668,1,2,1,1,1,2,9,
32731,,,,,,,,
32733,1,7,10,,1,1,1,1
32734,1,3,1,2,1,3,8,4
32751,,,,,,,,
32822,1,3,9,,1,5,9,
32839,1,2,8,1,1,2,9,
32867,,,,,,,,
32962,1,2,8,4,1,2,9,
32987,1,2,8,1,1,1,9,
33038,1,1,1,1,1,1,9,
33228,,,,,,,,
33245,1,2,1,1,1,1,9,
33303,1,1,1,1,1,1,9,
33328,1,1,8,4,1,1,8,4
33347,,,,,,,,
33348,1,1,1,1,1,1,1,1
33361,,,,,,,,
33451,,,,,,,,
33604,,,,,,,,
33644,,,,,,,,
33761,2,,,,2,,,
33773,,,,,,,,
33781,1,1,1,1,1,1,9,
33823,,,,,,,,
33877,1,2,2,3,1,2,9,
33882,1,2,8,4,1,1,9,
33888,,,,,,,,
33889,1,2,1,2,1,2,9,
33937,1,1,8,1,1,1,9,
33941,1,2,1,2,1,2,8,1
33985,1,3,2,3,1,3,9,
34059,1,2,1,4,1,3,8,4
34199,2,,,,2,,,
34396,,,,,,,,
34513,1,2,1,1,1,2,9,
34541,1,3,2,3,1,2,9,
34738,1,1,1,1,1,1,1,1
34778,,,,,,,,
34825,1,2,8,1,1,1,8,1
34886,,,,,,,,
34900,1,2,1,2,1,2,9,
35005,,,,,,,,
35234,1,2,1,2,1,2,9,
35319,,,,,,,,
35322,1,1,9,,1,1,9,
35323,1,1,9,,1,1,9,
35340,2,,,,2,,,
35355,,,,,,,,
35372,1,2,1,2,2,,,
35374,1,2,9,,1,1,9,
35379,1,2,8,4,1,2,9,
35401,,,,,,,,
35450,,,,,,,,
35498,1,2,8,1,1,2,9,
35500,1,3,8,4,1,3,9,
35502,1,2,7,1,1,2,9,
35507,,,,,,,,
35508,1,1,8,1,1,1,9,
35512,,,,,,,,
35520,1,2,1,4,1,2,9,
35676,1,2,9,,1,2,9,
35682,1,2,2,3,1,2,9,
35735,1,3,8,4,1,3,9,
35788,1,2,1,1,1,2,9,
35812,1,2,1,3,1,2,9,
35862,1,1,9,,1,1,9,
35968,,,,,,,,
36106,,,,,,,,
36120,1,2,1,2,1,2,9,
36130,1,1,1,2,1,1,1,2
36131,1,2,1,3,1,2,9,
36146,1,2,1,2,1,2,9,
36148,1,2,2,2,1,2,9,
36164,1,2,1,2,1,2,9,
36186,,,,,,,,
36249,,,,,,,,
36250,,,,,,,,
36407,,,,,,,,
36427,1,2,1,2,1,2,9,
36443,1,2,8,4,1,2,9,
36492,1,1,2,3,1,1,9,
36494,1,2,8,4,1,2,9,
