nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
375,1,,,,,,,,,8
629,1,,,,,,,,,8
629,2,,,,,,,,,
1238,1,,,,,,,,,5
1367,1,,,,,,,,,8
1367,2,,,,,,,,,
1763,1,,,,,,,,,7
1763,2,,,,,,,,,
1826,1,,,,,,,,,5
1826,2,,,,,,,,,
1927,1,,,,,,,,,7
1946,1,,,,,,,,,9
1946,2,,,,,,,,,
2178,1,,,,,,,,,6
2178,2,,,,,,,,,
2447,1,,,,,,,,,8
2447,2,,,,,,,,,
2447,3,,,,,,,,,
2447,4,,,,,,,,,
2485,1,,,,,,,,,6
2886,1,,,,,,,,,8
2886,2,,,,,,,,,
2886,3,,,,,,,,,
2886,4,,,,,,,,,
8954,1,,,,,,,,,8
8954,2,,,,,,,,,
8954,3,,,,,,,,,
8954,4,,,,,,,,,
11940,1,,,,,,,,,8
11940,2,,,,,,,,,
20174,1,,,,,,,,,10
20174,2,,,,,,,,,
20179,1,,,,,,,,,9
20179,2,,,,,,,,,
20179,3,,,,,,,,,
20231,1,,,,,,,,,8
20231,2,1,1,,2,,2,4,9,
20372,1,,,,,,,,,7
20372,2,1,2,,1,,,,,
20372,3,,,,,,,,,
20711,1,1,5,,1,,,,,10
20711,2,,,,,,,,,
20837,1,,,,,,,,,8
20837,2,,,,,,,,,
22074,1,,,,,,,,,8
22074,2,1,2,,1,,,,,
22074,3,,,,,,,,,
22074,4,,,,,,,,,
22208,1,,,,,,,,,7
22222,1,,,,,,,,,6
22262,1,,,,,,,,,8
22262,2,,,,,,,,,
22263,1,,,,,,,,,8
22263,2,,,,,,,,,
22273,1,,,,,,,,,7
22273,2,,,,,,,,,
22274,1,1,2,,1,,,,,9
22274,2,,,,,,,,,
22276,1,,,,,,,,,6
22276,2,,,,,,,,,
22277,1,1,1,,1,,,,,7
22277,2,,,,,,,,,
22277,3,,,,,,,,,
22292,1,,,,,,,,,7
22292,2,,,,,,,,,
22353,1,1,4,,1,,,,,6
22353,2,,,,,,,,,
22353,3,,,,,,,,,
22624,1,,,,,,,,,7
22624,2,1,4,,1,,,,,
22624,3,,,,,,,,,
22624,4,,,,,,,,,
22624,5,,,,,,,,,
22624,6,,,,,,,,,
22657,1,1,1,,2,,2,4,99,7
22657,2,,,,,,,,,
22850,1,2,,,,1,7,99,,8
22850,2,,,,,,,,,
22995,1,,,,,,,,,9
22995,2,,,,,,,,,
23384,1,,,,,,,,,7
23386,1,1,2,,1,,,,,9
23386,2,,,,,,,,,
23386,3,,,,,,,,,
23386,4,,,,,,,,,
