nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
173,5,,4,,100,1,2,,5,,100,1,,10,1,3,,2,1,2,1,,
465,,6,5,,250,1,2,,0,,,2,,,1,1,20000,3,1,1,,,
632,,,4,,300,1,4,,0,,,1,,10,2,,,2,1,2,2,2,1
633,,,,,,,,,,,,,,,,,,,,1,,,
923,,,,,,,,,3,,150,2,,,1,3,,3,3,2,2,1,
2274,,,,,,,,,,,,,,,,,,,,2,2,1,
3717,,,,,,,,,3,,300,2,,,3,,,3,1,2,2,2,1
4732,,,,,,,,,,,,,,,,,,,,2,1,,
5416,,,2,,200,2,,,0,,,1,,4,1,3,,4,3,2,2,2,1
7097,,,,,,,,,0,,,2,,,1,3,,4,1,2,2,2,1
7098,1,,0,,,2,,,0,,,2,,,3,,,2,1,2,2,2,2
7165,,,2,,250,1,4,,0,,,1,3,,1,3,,3,1,2,2,2,1
7886,,3,4,,250,1,5,,4,,250,1,,2,1,1,100000,2,2,2,2,1,
11972,,,,,,,,,0,,,1,4,,3,,,3,2,1,,,
20223,,,,,,,,,2,,800,1,,2,2,,,2,3,1,,,
20297,1,,3,,150,1,2,,0,,,2,,,3,,,3,1,1,,,
20767,,,1,,250,1,5,,0,,,2,,,2,,,4,2,2,2,2,2
20839,,6,2,,250,1,1,,0,,,1,,6,1,1,100000,3,1,2,2,1,
20944,10,,5,,150,1,5,,0,,,1,,6,1,3,,1,1,2,2,2,1
21384,,2,0,,,1,,5,,4,350,2,,,2,,,4,1,2,2,2,2
21461,,,,,,,,,1,,1000,2,,,3,,,3,3,2,2,2,2
22099,,,4,,60,1,,1,10,,100,1,4,,1,3,,2,2,2,2,2,2
22168,,,,,,,,,,,,,,,,,,,,1,,,
22169,,,,,,,,,,,,,,,,,,,,2,1,,
22173,,,2,,200,2,,,,,,,,,,,,,,1,,,
22251,,,,,,,,,1,,1000,2,,,2,,,3,1,2,2,1,
22266,,,,6,500,2,,,,4,500,2,,,3,,,3,1,2,1,,
22272,,,1,,1000,2,,,,6,1500,1,,1,3,,,4,1,2,2,2,2
22279,,,3,,300,1,2,,0,,,1,2,,2,,,3,3,2,2,1,
22286,,,4,,250,1,2,,0,,,1,,4,1,3,,3,3,2,1,,
22516,0,,2,,500,1,,1,1,,1000,1,,3,1,3,,3,1,2,2,2,1
22891,,,,,,,,,1,,1800,2,,,3,,,5,4,2,2,2,2
22996,3,,0,,,1,5,,2,,250,2,,,2,,,3,3,2,2,2,1
23193,,,0,,,2,,,2,,300,1,,10,2,,,3,1,2,2,1,
23370,,,4,,150,1,4,,0,,,2,,,1,3,,1,1,2,2,2,2
23821,,,2,,250,2,,,,4,200,2,,,2,,,3,3,2,1,,
23865,3,,,,,,,,2,,500,2,,,2,,,4,2,2,2,2,2
24010,,,,,,,,,,,,,,,,,,,,2,1,,
24080,,2,5,,200,2,,,,5,200,1,,5,1,3,,2,1,1,,,
24147,,10,10,,100,1,10,,5,,100,1,,4,1,1,80,2,1,2,2,2,1
24194,,,3,,200,1,,10,0,,,1,,3,1,1,105000,4,1,2,2,2,2
24195,,,,,,,,,3,,300,1,,4,1,3,,4,1,2,2,2,2
24202,,,,,,,,,1,,700,2,,,2,,,5,4,2,2,1,
24326,,,,,,,,,1,,900,2,,,3,,,5,4,2,2,1,
24382,,,,,,,,,1,,100,2,,,2,,,4,4,2,2,2,2
24760,,,,,,,,,0,,,2,,,3,,,1,5,2,2,2,2
24924,4,,2,,300,1,2,,2,,300,1,,3,3,,,3,3,2,2,2,2
24984,,,,,,,,,2,,700,2,,,3,,,3,2,2,2,2,1
25007,,,2,,250,2,,,,6,500,2,,,1,3,,5,5,2,2,2,2
25138,1,,3,,300,2,,,0,,,1,,1,2,,,4,3,2,2,2,1
25148,1,,4,,500,1,,7,0,,,1,,8,2,,,3,3,2,2,2,1
25238,,,2,,250,2,,,0,,,1,,4,1,3,,4,3,2,2,2,2
25245,,,,,,,,,0,,,2,,,2,,,4,3,2,2,2,2
25435,2,,4,,300,1,4,,,5,500,1,,6,1,2,,2,3,2,2,1,
25930,1,,,3,300,1,,2,1,,1500,1,,3,3,,,3,1,2,2,2,2
26048,3,,10,,250,1,2,,0,,,1,,6,1,3,,1,3,2,1,,
26163,,,4,,150,1,,4,0,,,2,,,1,3,,1,4,2,2,2,1
26281,,,,,,,,,,,,,,,,,,,,2,2,2,1
26349,,10,2,,300,1,4,,3,,300,1,,4,1,3,,4,3,2,2,2,2
26499,,,,,,,,,,,,,,,,,,,,2,2,2,2
26574,,,1,,800,2,,,1,,800,2,,,3,,,2,2,2,2,2,2
26684,,,,,,,,,,,,,,,,,,,,2,1,,
27114,,,,,,,,,,,,,,,,,,,,1,,,
27157,4,,0,,,2,,,0,,,2,,,2,,,1,3,1,,,
27224,2,,1,,500,1,4,,4,,500,2,,,3,,,4,2,2,2,2,2
27238,,,3,,300,1,4,,1,,500,2,,,2,,,3,1,2,2,2,2
27739,,,,,,,,,2,,300,2,,,3,,,4,1,2,2,2,1
27742,,,,,,,,,3,,300,2,,,3,,,5,4,2,2,1,
27881,,,2,,250,1,,8,0,,,2,,,3,,,4,1,2,2,2,2
27912,,,10,,200,2,,,1,,700,2,,,2,,,3,3,2,1,,
28346,,,,,,,,,,,,,,,,,,,,2,2,2,1
28362,,,10,,60,2,,,1,,800,1,,1,3,,,1,2,2,1,,
28441,,,4,,250,2,,,1,,500,1,,5,1,1,104000,2,1,2,2,2,2
28802,,,4,,200,1,3,,,1,500,1,,4,1,3,,3,1,2,2,1,
28859,,,,,,,,,3,,300,2,,,2,,,3,2,2,2,1,
28920,,,,,,,,,,4,200,1,5,,2,,,3,1,2,2,1,
29006,,4,4,,250,1,,10,,3,1700,1,,2,1,3,,2,1,2,2,2,1
29280,1,,1,,600,1,1,,0,,,2,,,1,1,120000,3,1,2,2,2,2
29288,,,0,,,2,,,0,,,2,,,1,1,100000,4,3,2,2,2,1
29680,6,,2,,200,1,4,,,6,200,1,,10,2,,,1,1,1,,,
29742,,,,,,,,,3,,700,2,,,1,3,,3,1,2,2,1,
29774,,,,,,,,,,,,,,,,,,,,1,,,
29805,,,,,,,,,1,,1000,2,,,3,,,3,3,2,2,2,1
31051,3,,4,,500,1,4,,,5,500,1,,2,3,,,3,1,2,2,1,
31066,,,0,,,1,4,,2,,250,2,,,3,,,2,2,2,2,1,
31092,9,,4,,150,1,4,,,5,100,1,,10,1,3,,3,1,2,2,2,1
31093,4,,1,,300,1,5,,2,,200,2,,,2,,,3,3,2,2,2,1
31120,5,,5,,250,1,4,,,3,100,1,3,,2,,,3,1,2,1,,
31122,,,0,,,1,4,,3,,250,2,,,2,,,3,3,2,2,2,1
31137,,10,10,,250,1,10,,0,,,1,,3,1,1,103000,3,2,2,2,2,2
31145,,,4,,250,1,3,,0,,,1,,3,3,,,1,1,2,2,2,2
31161,15,,15,,100,1,20,,0,,,1,,10,3,,,2,2,2,1,,
31221,,,,,,,,,2,,400,1,1,,2,,,3,2,2,2,2,2
31222,,,,,,,,,1,,600,2,,,3,,,3,3,2,2,1,
31246,,,4,,100,1,3,,,10,100,1,,5,2,,,3,2,2,2,1,
31273,,,,,,,,,2,,250,1,,6,2,,,3,2,2,2,1,
31281,0,,,,,,,,0,,,1,4,,3,,,1,1,2,2,2,2
31403,,,2,,150,1,3,,0,,,1,,5,1,3,,4,4,1,,,
31441,,,5,,100,1,3,,,8,150,1,,8,2,,,3,1,2,2,1,
31561,,,1,,800,2,,,1,,800,2,,,3,,,4,1,2,2,2,1
31671,0,,2,,500,1,,6,1,,500,1,,6,3,,,3,3,2,2,2,2
31676,4,,4,,250,1,2,,0,,,1,,4,1,1,100000,1,1,2,1,,
31724,6,,4,,70,1,3,,,6,200,1,,6,2,,,3,1,2,2,1,
31735,,,,,,,,,4,,150,1,,10,3,,,3,1,2,2,2,1
31785,0,,3,,200,1,4,,,2,250,1,,10,2,,,2,1,2,2,2,2
31798,,,2,,250,2,,,1,,300,2,,,2,,,4,4,2,2,2,2
31860,1,,5,,250,2,,,,1,500,1,,3,1,3,,3,1,1,,,
31868,,,,,,,,,,,,,,,,,,,,1,,,
31912,,,,,,,,,,,,,,,,,,,,2,2,2,2
32001,,,,,,,,,3,,350,2,,,3,,,4,3,2,2,1,
32028,1,,2,,250,1,15,,0,,,1,,6,1,1,150000,1,1,2,2,2,1
32033,,,2,,500,2,,,2,,1500,1,,3,1,2,,2,1,2,2,2,1
32034,,,,,,,,,3,,350,1,,4,2,,,4,1,2,2,1,
32041,,,2,,450,1,1,,0,,,1,,2,3,,,3,1,2,1,,
32057,3,,2,,450,1,3,,1,,2000,1,,8,1,3,,3,1,2,2,1,
32198,,,,,,,,,2,,300,1,2,,2,,,3,3,2,2,2,2
32209,,,5,,200,1,6,,,4,300,2,,,3,,,4,1,2,2,1,
32210,,,,,,,,,,,,,,,,,,,,2,2,1,
32229,,,2,,500,2,,,,4,500,1,1,,3,,,5,4,2,2,2,2
32288,,4,8,,100,1,8,,0,,,1,,8,1,3,,4,3,2,2,1,
32318,,,4,,150,2,,,0,,,2,,,3,,,3,3,1,,,
