nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
173,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,7600,7600,607.00110975,0,0,0,607.00110975,8207.0011098,34207.00111,0,0
375,1,0,0,4860,0,0,0,0,0,0,4860,0,0,4860,0,0,7200,7200,0,0,0,0,0,7200,12060,0,0
465,1,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,10500,10500,208.8408,0,0,0,208.8408,10708.8408,20708.8408,0,0
465,2,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0
465,3,19500,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0
465,4,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0
629,1,0,0,17550,0,0,0,0,0,0,17550,0,0,17550,0,0,6000,6000,261.051,0,0,0,261.051,6261.051,23811.051,0,0
629,2,14500,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,0,0
632,1,0,0,17550,0,0,0,0,0,0,17550,0,0,17550,0,10100,6000,16100,783.153,0,0,0,783.153,16883.153,34433.153,0,0
632,3,13000,3000,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0
633,1,0,0,13260,0,0,0,0,0,0,13260,0,0,13260,0,0,5900,5900,17.4034,0,0,0,17.4034,5917.4034,19177.4034,0,0
923,1,0,0,6500,0,0,0,250,0,0,6500,250,250,6750,0,0,22000,22000,3.48068,0,0,0,3.48068,22003.48068,28753.48068,0,0
1238,1,0,0,11960,0,0,0,0,0,0,11960,0,0,11960,0,0,7200,7200,89.93875011,0,0,0,89.93875011,7289.9387501,19249.93875,0,0
1367,1,0,0,10760,0,0,0,0,0,0,10760,0,0,10760,0,0,3000,3000,0,0,0,0,0,3000,13760,0,0
1367,2,0,0,3000,0,0,0,0,0,0,3000,0,0,3000,0,0,0,0,0,0,0,0,0,0,3000,0,0
1763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,129.2243892,0,0,0,129.2243892,1329.2243892,1329.2243892,0,0
1763,2,5500,0,0,0,5000,0,0,0,5500,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,10500,0,0
1826,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,2400,2400,139.2272,0,0,0,139.2272,2539.2272,14239.2272,0,0
1927,1,0,0,9880,0,0,0,0,0,0,9880,0,0,9880,0,0,0,0,609.119,86.945,369.51625,0,1065.58025,1065.58025,10945.58025,0,0
1946,1,0,0,3341,0,0,0,0,0,0,3341,0,0,3341,0,0,0,0,678.7326,0,0,0,678.7326,678.7326,4019.7326,0,0
1946,2,0,0,8450,0,0,0,0,0,0,8450,0,0,8450,0,0,0,0,0,0,0,0,0,0,8450,0,0
2178,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,14400,14400,174.034,0,0,0,174.034,14574.034,26274.034,0,0
2178,2,0,0,5720,0,0,0,0,0,0,5720,0,0,5720,0,0,0,0,0,0,0,0,0,0,5720,0,0
2274,1,0,0,7150,0,0,0,0,0,0,7150,0,0,7150,0,0,4600,4600,0,0,0,0,0,4600,11750,0,0
2274,2,0,0,5590,0,0,0,0,0,0,5590,0,0,5590,0,0,0,0,0,0,0,0,0,0,5590,0,0
2447,1,22000,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,7200,7200,621.14808409,0,0,0,621.14808409,7821.1480841,29821.148084,0,0
2447,3,12000,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0
2485,1,0,0,7150,0,0,0,0,0,0,7150,0,0,7150,0,0,6000,6000,0,0,0,0,0,6000,13150,0,0
2886,1,16000,0,0,0,0,0,0,12000,16000,0,-12000,-12000,-12000,0,0,6000,6000,556.9088,0,0,0,556.9088,6556.9088,10556.9088,0,0
2886,2,16000,377.5501147,0,0,0,0,0,0,16377.550115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16377.550115,0,0
2886,3,6000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0
3717,1,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,0,0,199.00809487,0,0,0,199.00809487,199.00809487,17099.008095,0,0
4732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,17.4034,0,0,0,17.4034,3617.4034,3617.4034,0,0
5416,1,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0
5416,2,9500,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,0
5416,3,5000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0
7097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8800,8800,121.8238,0,0,0,121.8238,8921.8238,8921.8238,0,0
