NQUEST,NORDP,MOTUSC,ANNOENUS
173,3,4,2007
629,3,4,2007
632,3,4,2008
1927,2,6,2007
1946,2,1,2007
20231,3,6,2008
20711,1,4,2007
20767,3,1,2008
22516,3,4,2007
23823,3,4,2007
23986,3,4,2008
24147,3,3,2007
24374,1,1,2008
24529,4,4,2007
24853,3,4,2007
27505,2,1,2008
27734,3,3,2008
27923,4,4,2008
28331,2,1,2007
28802,3,4,2008
31051,3,2,2008
31051,4,6,2007
31051,5,4,2008
31066,4,6,2008
31281,2,1,2008
31641,3,4,2008
31869,3,4,2008
32028,3,6,2007
32144,3,4,2007
32235,3,4,2007
32235,5,4,2007
32438,1,1,2008
32729,3,4,2008
32861,3,4,2007
32861,4,4,2007
32867,1,1,2008
32982,2,4,2007
33275,3,6,2007
33275,4,6,2007
33348,3,4,2007
33631,3,6,2007
33773,1,1,2007
33839,2,1,2007
33941,3,4,2007
34738,3,6,2007
34738,4,6,2007
34778,1,1,2007
34833,4,4,2008
35319,1,1,2008
35372,4,4,2008
35381,3,3,2008
35381,4,4,2008
35381,5,4,2008
35450,1,6,2008
35458,3,4,2008
35502,3,4,2007
35512,2,1,2007
35520,3,6,2008
35682,3,5,2008
35718,2,1,2008
35788,4,4,2008
36010,3,4,2007
36067,4,6,2008
36120,3,3,2007
36120,4,4,2008
36250,1,1,2008
36427,3,4,2007
37299,3,4,2007
37808,3,4,2008
38135,1,1,2008
38493,2,1,2007
38554,3,1,2007
38885,3,6,2007
38940,3,4,2007
38979,2,1,2008
39227,2,1,2007
39441,2,6,2007
39697,3,4,2008
50085,3,4,2008
50150,4,3,2008
50178,1,1,2008
51013,5,6,2007
51297,1,1,2008
52700,3,4,2008
53234,6,6,2007
53373,3,4,2007
53413,3,6,2007
53520,3,4,2007
53520,4,4,2008
53520,5,4,2008
53871,4,4,2008
53871,5,4,2008
53871,6,4,2008
54588,5,1,2007
55104,2,1,2008
55342,3,3,2007
55342,4,4,2008
56270,4,4,2008
56465,1,6,2008
56706,3,4,2007
56706,4,4,2007
56706,5,4,2007
56761,3,1,2008
57232,2,1,2008
57546,3,4,2007
57546,5,4,2007
57621,3,6,2007
57621,4,4,2008
91067,2,4,2007
91067,3,4,2007
111052,4,3,2008
178001,2,1,2008
216022,3,4,2008
250037,2,1,2007
305042,3,4,2008
310001,2,1,2007
333081,3,3,2007
343010,3,6,2008
387029,3,6,2007
389045,3,4,2008
500026,3,4,2007
500594,2,1,2008
500784,2,6,2008
502366,1,1,2007
503850,3,4,2008
503959,2,4,2007
504112,1,1,2008
504359,3,4,2008
504483,5,1,2008
504551,2,4,2007
504889,3,6,2008
504959,3,4,2008
505176,3,6,2008
505226,4,5,2007
505243,3,4,2007
505285,2,1,2007
505421,2,4,2008
505523,2,4,2007
505523,3,6,2008
506107,3,5,2008
506126,2,1,2007
506389,3,4,2007
506389,4,4,2007
506446,3,6,2007
506601,1,1,2008
506666,2,1,2007
506733,3,3,2007
506758,3,6,2007
506798,3,4,2007
506863,2,4,2007
507175,4,4,2008
507304,2,6,2008
507359,3,4,2008
507419,4,4,2008
507502,3,1,2008
507519,1,4,2007
507605,1,1,2008
507663,2,1,2008
507693,3,1,2007
507823,2,4,2008
507843,1,4,2007
508152,4,4,2007
509005,3,4,2008
509064,1,1,2008
509123,1,1,2008
509717,1,1,2008
509990,2,1,2007
510112,1,1,2008
510344,2,6,2008
510437,3,4,2008
511116,2,3,2007
511166,2,1,2008
511367,3,4,2007
511367,4,4,2007
511495,3,6,2007
511629,3,4,2008
512211,3,4,2008
512211,4,4,2007
512372,2,1,2007
512382,3,4,2008
512579,2,4,2007
512768,3,1,2007
512845,3,6,2008
512921,3,4,2007
512940,3,4,2008
512944,3,3,2008
513335,3,4,2007
513373,1,1,2008
610371,3,3,2007
613697,2,4,2008
613997,2,1,2007
614068,1,1,2008
614660,1,1,2007
614783,2,4,2008
616410,1,1,2008
619396,3,4,2007
619456,1,1,2007
620862,4,6,2007
622306,1,1,2007
622717,2,4,2007
623983,2,1,2007
625304,3,6,2008
625651,3,6,2007
625651,4,4,2008
628193,3,1,2007
632270,6,1,2007
632270,7,3,2007
632293,3,4,2007
633951,3,4,2008
635288,2,2,2007
636309,3,4,2007
637300,2,6,2007
637300,3,6,2007
637537,4,4,2008
637619,3,4,2008
638122,3,4,2008
638422,2,4,2007
639591,3,6,2007
640164,3,4,2008
640790,1,1,2007
641030,3,4,2008
648756,3,6,2007
649375,2,6,2007
650023,5,4,2008
650048,3,4,2007
650091,3,4,2008
670485,3,6,2007
670797,4,4,2007
670947,3,4,2007
671568,2,1,2007
671611,1,1,2008
671685,2,1,2008
672065,4,4,2007
672404,4,4,2007
672410,3,4,2007
672599,3,4,2008
672620,3,4,2008
672679,3,6,2008
672712,2,1,2007
673050,3,4,2008
673093,3,4,2008
673269,5,6,2008
673371,1,1,2008
673378,3,4,2007
673419,1,1,2007
673657,3,6,2008
673657,4,4,2007
673657,5,6,2007
673858,3,4,2007
674019,2,3,2007
674019,3,3,2007
674105,3,4,2008
674285,3,4,2008
674353,1,1,2008
674440,3,4,2008
674679,1,1,2007
674757,3,4,2008
675113,3,4,2007
675482,3,4,2007
675546,1,1,2007
675729,3,4,2008
675757,2,1,2008
675904,1,1,2007
675953,3,6,2008
676173,1,1,2008
676198,3,4,2007
676223,3,6,2007
676497,3,4,2008
676580,1,1,2008
676807,3,4,2008
677146,2,1,2007
677195,3,4,2007
677287,2,1,2007
677346,1,1,2008
677346,4,4,2007
677346,6,6,2007
677474,3,4,2007
677627,2,4,2007
678372,3,4,2007
678390,1,1,2008
680097,1,6,2007
680108,3,4,2007
680243,3,4,2008
680607,2,1,2007
680651,2,2,2008
680732,2,4,2007
680736,3,4,2008
680736,4,4,2007
680788,3,6,2007
680933,1,4,2007
681431,2,6,2007
681658,2,1,2007
681673,2,1,2007
681790,5,6,2007
681804,3,1,2007
682108,2,6,2007
682201,3,6,2007
682259,3,4,2008
682317,3,1,2008
682379,1,1,2008
682498,3,4,2007
682730,3,4,2007
682732,3,2,2007
682732,4,6,2007
682737,3,4,2008
682794,1,1,2008
682842,3,4,2008
683317,2,6,2007
683344,3,3,2008
683548,2,4,2007
683548,3,4,2007
683611,2,4,2007
683611,3,4,2007
683611,4,4,2007
683696,3,4,2007
683696,4,4,2007
683881,2,4,2007
683881,3,4,2007
683882,3,4,2008
684222,2,1,2008
684351,3,3,2007
684510,2,6,2008
684510,3,6,2008
684510,4,4,2008
684510,5,4,2008
684524,2,1,2007
684525,1,6,2007
684548,3,4,2008
684557,3,4,2007
684663,2,2,2007
684664,1,1,2008
684727,3,4,2007
684854,3,4,2008
684959,2,4,2008
685016,3,4,2008
685056,1,1,2008
685056,3,4,2008
685056,4,4,2007
685253,3,6,2008
685254,1,1,2008
685260,3,4,2008
685410,1,1,2008
685537,4,4,2008
685546,3,4,2008
685589,3,5,2007
685780,6,6,2007
685780,7,3,2007
685780,8,3,2007
685902,1,1,2008
685908,2,1,2007
685908,3,1,2007
685965,5,4,2007
686094,2,1,2008
686134,3,6,2008
686173,3,4,2007
686178,4,4,2007
686234,2,6,2008
686234,3,6,2008
686234,4,6,2008
686293,2,1,2007
686391,3,4,2008
686494,3,6,2007
686495,2,6,2007
686744,2,1,2007
686893,1,1,2007
687043,3,4,2007
687043,6,6,2007
687056,3,4,2007
687099,3,4,2007
687112,3,4,2007
687112,4,4,2008
687164,3,1,2008
687195,2,6,2007
687195,3,6,2007
687218,2,1,2007
687287,4,4,2008
687467,1,6,2007
687831,1,1,2008
687916,3,6,2007
687916,4,6,2008
687938,3,2,2007
687938,4,6,2007
687938,5,2,2007
687971,3,4,2008
687993,4,4,2008
688018,3,4,2008
688086,3,4,2007
688086,4,4,2007
688099,2,1,2008
688172,3,4,2008
688214,4,4,2007
688219,3,6,2008
688219,4,6,2008
688222,3,4,2007
688222,4,4,2007
688326,3,4,2007
688338,2,2,2008
688360,3,1,2008
688385,4,4,2008
700306,1,2,2007
700913,1,6,2007
701800,3,4,2008
702638,1,1,2008
702656,3,4,2007
702656,4,4,2008
702954,1,1,2007
703902,3,4,2008
704018,3,4,2007
704018,4,4,2007
704018,5,6,2007
704018,6,6,2007
704160,2,1,2008
704702,1,4,2007
704743,3,1,2007
704832,3,4,2007
705513,3,4,2007
705774,3,4,2008
705774,4,4,2008
705774,5,6,2008
705807,3,4,2007
705807,4,4,2007
706224,3,2,2007
706327,1,1,2007
706921,2,3,2008
707344,2,6,2007
707509,3,3,2008
707523,2,1,2007
707554,2,2,2007
707771,1,1,2008
707811,3,4,2007
708090,2,98,
708831,3,4,2008
709200,4,4,2008
709460,3,1,2008
709553,2,1,2008
709709,3,1,2008
710165,2,6,2007
710170,1,1,2008
710507,3,6,2008
710606,1,2,2007
710624,2,4,2008
712022,3,4,2008
713134,3,4,2007
713247,2,1,2007
713765,2,3,2008
713802,1,1,2008
714008,1,1,2007
714029,2,3,2007
714437,3,4,2007
714669,2,4,2007
714669,3,6,2007
715027,2,6,2008
715133,3,4,2007
715133,4,4,2007
715395,2,3,2008
715500,2,6,2008
715937,1,1,2007
717125,3,3,2008
717331,3,4,2007
717834,2,3,2008
717834,3,3,2008
717834,4,3,2008
717877,2,4,2007
718506,3,4,2007
718526,2,3,2007
719075,2,4,2008
719358,2,1,2008
719437,3,4,2007
719628,2,3,2007
719666,2,1,2008
719763,3,4,2007
719835,3,4,2007
719940,1,1,2008
720139,4,4,2007
720161,3,4,2008
720163,1,4,2007
720566,6,6,2008
721747,3,6,2007
722310,3,4,2008
722353,3,6,2008
722647,2,1,2008
722743,3,4,2008
722743,4,4,2008
722823,1,3,2007
722853,2,3,2007
723535,2,6,2007
724711,3,4,2008
724966,2,1,2008
725509,3,4,2007
725602,3,4,2007
726146,3,2,2007
726250,2,1,2007
726867,2,1,2008
727520,3,98,
727567,3,3,2008
727604,4,4,2008
728430,2,1,2008
729308,1,1,2008
730102,3,6,2007
730271,2,2,2007
730271,3,1,2007
730333,2,2,2008
730408,3,4,2008
730878,1,1,2007
730939,2,4,2008
731159,2,4,2008
732103,2,4,2008
732103,3,4,2008
732301,3,4,2008
732308,3,4,2008
732360,3,4,2008
733363,2,6,2008
733363,3,6,2008
733842,2,1,2008
733949,3,4,2007
734034,2,2,2007
734546,3,3,2007
734733,1,1,2007
734935,1,6,2008
734969,3,4,2007
735323,3,4,2007
735345,1,1,2008
735426,3,4,2007
736629,3,4,2007
736629,4,4,2007
736862,2,6,2008
736918,3,4,2008
736948,3,4,2008
736948,4,4,2008
737063,2,1,2007
737215,2,4,2008
737215,3,4,2008
737401,3,6,2007
737402,2,1,2007
737461,1,1,2008
737878,2,6,2007
737878,3,6,2007
737878,4,6,2007
737878,5,6,2007
800002,2,6,2007
800015,2,6,2008
800015,3,6,2008
