NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
465,1,1,1,1,2,1,12,2,2,30,2,,10000,2,0,30
465,2,1,1,1,1,1,12,2,2,30,2,,10000,2,0,
465,3,1,1,1,1,1,12,2,6,48,2,,19000,2,0,
465,4,1,1,1,2,1,12,2,2,30,2,,10000,2,0,
629,2,1,1,1,1,1,12,2,4,40,2,,14500,2,0,
632,3,1,1,1,1,1,12,2,4,50,1,5,14000,2,0,
1763,2,1,1,1,2,2,3,1,,36,2,,1000,2,0,
2447,1,1,1,1,1,1,12,2,4,48,1,8,25000,2,0,48
2447,3,1,1,1,1,1,12,2,2,40,1,1,14400,1,,
2447,4,1,1,2,2,3,,2,1,16,2,,4000,2,0,
2886,1,1,1,1,1,2,8,1,,36,2,,10000,2,0,36
2886,2,1,1,1,1,1,12,1,,40,1,0,17000,1,2000,
2886,3,1,1,2,3,2,5,2,4,15,2,,1500,2,0,
5416,1,1,1,2,1,1,12,2,2,30,2,,10000,2,0,36
5416,2,2,1,1,1,1,12,2,7,35,1,5,9000,2,0,40
5416,3,1,1,2,2,1,12,2,1,20,2,,8000,2,0,
7165,1,1,1,1,1,1,12,2,3,40,2,,15000,2,0,40
7165,2,1,1,1,1,1,12,2,3,40,2,,15000,2,0,
7886,2,2,1,2,1,1,12,1,,20,1,2,8000,2,0,30
20297,1,1,1,1,1,1,12,2,2,40,1,3,16000,2,0,30
20297,2,1,1,1,2,2,2,2,1,40,2,,2800,2,0,
20372,3,1,1,2,1,1,12,2,6,25,2,,7000,2,0,
21384,3,3,1,1,2,2,6,2,1,25,2,,4500,2,0,25
22074,1,1,1,1,1,1,12,2,2,30,2,,20000,2,0,35
22173,3,1,1,1,1,1,12,2,1,40,2,,7800,2,0,
22263,2,1,1,1,1,1,12,2,7,40,2,,18000,2,0,
22277,1,1,1,1,1,1,12,1,,36,2,,18000,2,0,36
22279,2,1,1,1,1,1,12,2,2,40,1,15,14000,2,0,
22286,2,2,1,1,1,1,12,2,4,36,2,,13000,2,0,24
22516,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,36
22624,3,3,1,1,2,3,,2,2,40,2,,10000,2,0,40
22624,4,2,1,1,2,3,,2,1,36,2,,9000,2,0,
22657,1,1,1,1,1,1,12,1,,30,1,2,21700,2,0,30
22850,1,1,1,1,1,1,12,1,,28,1,1,21500,2,0,35
23797,1,1,1,1,1,1,12,2,1,40,2,,15600,2,0,50
23823,2,1,1,1,2,1,12,2,1,44,2,,13000,2,0,
24147,2,1,1,1,1,1,12,1,,30,2,,19500,2,0,
24158,2,1,1,1,1,1,12,2,7,40,2,,14500,2,0,
24194,1,1,1,1,1,1,12,2,3,40,1,3,25000,1,1500,40
24194,2,2,1,2,1,1,12,2,1,5,2,,2000,2,0,10
24194,3,3,1,1,3,3,,2,5,3,2,,5000,2,0,
24194,4,2,1,1,2,2,4,2,3,40,2,,4800,2,0,
24202,2,1,1,1,1,1,12,1,,39,2,,18000,2,0,
24374,3,1,1,1,1,1,12,2,5,40,2,,15000,1,1200,
24374,4,1,1,1,2,1,12,2,2,48,2,,4200,2,0,
24382,2,2,1,2,1,1,12,2,5,10,2,,2000,2,0,20
24529,3,1,1,1,1,1,12,1,,36,2,,21000,2,0,
24529,4,1,1,2,1,1,12,1,,18,2,,9000,2,0,
24764,2,1,1,1,1,1,12,2,6,40,2,,21600,2,0,
24853,1,1,1,1,1,1,12,1,,40,1,0,24700,2,0,40
24853,2,1,1,1,1,1,12,1,,30,2,,16900,2,0,
24924,1,1,2,1,1,1,12,2,1,50,2,,6000,2,0,30
