NQUEST,NORD,INTPER,ATTIVP,TUTTANNO,MESILAV,PROF,NUMADD,NUMDIP,QUOPRO,DOVELAV,ORARIO,ORETOT,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ
20223,3,1,1,1,12,3,1,0,100,,,50,30000,12000,2,,2,,2,,2,,,2,50000
21384,1,1,1,1,12,3,1,0,100,,,60,100000,30000,2,,2,,1,15000,1,1200,,2,150000
22099,1,1,1,1,12,2,1,0,100,,,40,25000,19000,2,,2,,1,1000,2,,0,2,350
22277,2,2,1,1,12,2,2,0,100,,,50,25000,15000,2,,2,,2,,1,3000,,2,40000
22657,2,1,2,1,12,3,,1,10,,,10,,5500,,,,,,,,,,,
24171,1,1,1,1,12,3,1,0,100,,,40,16000,12000,2,,2,,2,,2,,,2,120000
25245,3,1,1,1,12,3,2,1,100,,,70,50000,18000,2,,2,,2,,2,,1000,2,100000
27155,1,1,1,1,12,3,1,0,100,,,40,12000,7000,2,,2,,2,,1,5000,,2,50000
27155,2,2,1,1,12,3,2,1,100,,,40,20000,8000,2,,2,,2,,1,5000,12000,1,70000
27157,1,1,1,1,12,2,1,0,100,,,70,18000,15000,2,,2,,2,,1,10000,,2,50000
27224,2,2,1,1,12,3,1,0,100,,,45,80000,20000,2,,2,,1,8000,1,7000,,1,50000
27734,3,1,2,3,,4,,,,2,1,10,5000,4500,,,,,,,,,,,0
27744,2,2,2,1,12,3,1,0,100,,,30,25000,10000,2,,2,,2,,2,,,1,10000
28802,1,1,1,1,12,3,2,1,100,,,50,45000,23000,2,,2,,2,,2,,3000,2,350000
29006,1,1,1,3,,3,1,0,100,,,20,50000,20000,2,,2,,2,,2,,,2,0
29280,1,1,2,3,,3,1,0,100,,,5,2000,1000,2,,2,,2,,2,,,1,5000
29288,1,1,1,1,12,3,1,0,100,,,55,25000,16000,2,,2,,2,,2,,,1,20000
29742,1,1,1,1,12,3,16,15,100,,,45,16000,10000,1,1,1,2,2,,2,,120000,2,5000
31093,1,1,1,1,12,3,1,0,100,,,40,40000,18000,2,,2,,1,15000,2,,,2,0
31220,1,1,1,3,,3,1,0,100,,,3,5000,4000,2,,2,,2,,1,300,,1,7000
31281,1,1,1,1,12,3,1,0,100,,,50,45000,20000,2,,2,,2,,2,,,1,5000
31869,1,1,1,1,12,3,1,0,100,,,40,15000,13000,2,,2,,2,,2,,,2,3000
32438,1,1,2,3,,4,,,,3,3,20,1000,100,,,,,,,,,,,1000000
32438,2,2,2,1,12,4,,,,3,3,20,10000,100,,,,,,,,,,,200000
32470,2,1,1,3,,3,1,0,100,,,10,7000,4000,2,,2,,2,,2,,,2,2500
