NQUEST,NUMADD,NUMDIP,QUOPRO,FORGIU,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ,IND1,IND2,IND3,IND4,IND5,IND6,ATTIVP1,ATTIVP2,ATTIVP3,ATTIVP4,ATTIVP5,ATTIVP6,MESILAV1,MESILAV2,MESILAV3,MESILAV4,MESILAV5,MESILAV6,ORETOT1,ORETOT2,ORETOT3,ORETOT4,ORETOT5,ORETOT6
11972,1,0,100,8,5000,4000,2,,2,,1,2000,2,,,1,500000,1,,,,,,1,,,,,,12,,,,,,4,,,,,
20223,1,0,100,8,30000,12000,2,,2,,2,,2,,,2,50000,3,,,,,,1,,,,,,12,,,,,,50,,,,,
22279,2,0,100,8,30000,20000,2,,2,,2,,1,2000,,1,20000,1,3,,,,,1,1,,,,,12,12,,,,,70,40,,,,
24924,2,0,100,9,73000,13500,1,2,2,,2,,1,3000,,1,50000,1,2,,,,,1,1,,,,,12,12,,,,,50,60,,,,
31163,3,2,100,1,50000,30000,2,,2,,1,7000,2,,15000,1,50000,1,2,3,,,,1,1,1,,,,12,12,12,,,,55,20,40,,,
32713,10,7,100,1,35000,19000,2,,2,,2,,2,,7000,2,350000,4,,,,,,1,,,,,,12,,,,,,45,,,,,
32729,2,0,100,8,140000,42000,2,,2,,2,,1,40000,,2,40000,1,2,,,,,1,1,,,,,12,12,,,,,50,10,,,,
38977,2,1,100,8,45000,35000,2,,2,,2,,2,,,1,500000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
39318,2,0,100,8,80000,35000,2,,2,,1,5000,2,,,2,20000,1,2,,,,,1,1,,,,,11,11,,,,,40,20,,,,
188054,4,2,100,8,50000,25000,2,,2,,2,,2,,15000,2,20000,1,2,,,,,1,1,,,,,12,12,,,,,60,50,,,,
