NQUEST,NORD,INTPER,ATTIVP,TUTTANNO,MESILAV,NUMADD,NUMDIP,FORGIU,ORETOT,COMPFISS,DIVIDUT,QUOPRO,PARTECIP
20231,1,1,1,1,12,2,0,6,44,13000,3000,50,15000
20231,2,1,1,1,12,2,0,6,44,13000,3000,50,15000
27157,2,2,1,1,12,3,1,6,40,0,20000,30,120000
28992,1,1,1,1,12,2,0,8,25,12000,0,50,150000
29140,3,3,1,1,12,5,0,8,50,12000,2000,10,25000
32764,1,1,1,1,12,2,0,6,60,10000,5000,50,200000
32887,1,1,1,1,12,8,6,1,60,0,45000,51,200000
32887,2,1,1,1,12,8,6,1,35,0,45000,49,200000
33781,1,1,1,1,12,5,3,7,60,7000,0,50,25000
33781,2,1,1,1,12,1,0,7,60,7000,0,50,25000
33937,4,2,1,1,12,2,0,8,60,20000,20000,50,30000
38183,3,2,1,1,12,2,0,1,40,8000,0,50,25000
56656,1,1,1,1,12,2,0,7,40,10000,0,50,100000
91008,2,1,1,3,,5,4,7,1,20000,20000,50,130000
145007,2,1,1,1,12,5,4,1,40,,0,33,500
193082,2,1,1,1,12,5,1,1,40,24000,0,25,30000
243067,1,1,1,3,,6,5,6,1,0,4000,25,50000
243067,1,1,2,3,,2,0,6,1,0,2000,10,13000
243067,2,2,2,1,12,2,0,6,50,12000,0,50,130000
501777,2,1,1,1,12,70,66,1,50,14500,14500,20,750000
502025,3,2,1,1,12,2,0,8,50,19200,18000,50,59000
505469,1,1,1,1,12,3,1,8,60,0,20000,50,25000
505469,3,1,1,1,12,3,1,8,60,0,20000,50,25000
505672,1,1,2,1,12,4,2,1,5,0,20000,33,35000
505768,3,1,1,1,12,5,1,8,50,800,0,25,5000
505810,1,1,1,1,12,40,38,1,45,50000,0,26,2500000
505810,2,1,1,1,12,40,38,1,2,25000,0,16,1500000
505818,1,1,1,1,12,20,17,1,60,50000,0,33,150000
506107,2,1,1,1,12,2,0,7,40,0,6000,50,500
506413,1,1,1,1,12,11,9,1,70,18000,0,50,300000
507552,1,1,1,2,5,2,0,7,50,12000,0,50,4000
513428,1,1,1,2,7,8,6,6,34,,0,50,60000
513428,2,1,1,2,7,8,6,6,40,,0,50,60000
626259,1,1,1,1,12,19,15,1,50,60000,0,50,3500000
631237,1,1,1,1,12,8,6,6,44,20000,0,35,120000
631237,2,1,1,1,12,1,0,6,15,15000,0,60,100000
632347,2,1,1,1,12,2,0,7,48,14000,0,50,50000
636870,2,2,1,1,12,6,2,1,50,,0,24,60000
637701,2,1,2,2,2,1,0,8,8,2000,0,100,20000
640212,1,1,1,1,12,80,75,2,70,32000,0,5,200000
640212,2,1,1,1,12,15,10,1,40,15000,0,10,50000
650027,1,1,1,1,12,4,1,7,60,30000,15000,50,100000
674686,2,1,1,1,12,3,0,1,40,0,15000,50,150000
674686,2,1,2,1,12,3,0,7,10,,0,67,200000
674868,2,1,1,1,12,6,4,1,50,17000,0,95,200000
675404,1,1,1,1,12,8,6,1,70,18000,0,65,250000
680663,1,1,1,1,12,4,0,1,40,15000,12000,100,50000
683164,2,2,1,1,12,4,1,1,45,5000,0,70,30000
683437,1,1,1,1,12,2,0,7,50,16000,0,50,50000
683438,2,1,1,1,12,4,1,1,40,15000,10000,33,20000
683652,1,1,1,1,12,4,1,1,45,32000,1000,25,5000
683782,1,1,1,1,12,4,0,7,36,0,15000,25,20000
684727,1,1,1,1,12,6,3,7,50,15000,4000,50,50000
684727,2,1,1,1,12,4,2,1,50,,0,25,20000
