NQUEST,NORD,INTPER,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NPENS
173,1,1,1,1,2004,1600,13,2,0,50,1
375,1,1,1,1,1985,660,13,2,0,80,1
465,1,1,4,4,1985,160,12,2,0,,1
629,1,1,1,1,1999,1160,13,2,0,80,1
629,1,1,1,1,2005,,13,2,0,,3
629,1,1,1,5,1980,170,13,2,0,,2
632,1,1,2,1,2008,1400,13,2,0,85,1
633,1,1,1,1,1991,350,13,2,0,50,1
633,1,1,1,5,2005,800,13,2,0,,2
923,1,1,1,5,1994,550,13,2,0,,1
1238,1,1,1,1,1998,1000,13,2,0,80,1
1367,1,1,1,1,1982,447,13,2,0,25,1
1367,2,2,1,1,2005,515,13,2,0,80,1
1927,1,1,1,5,1993,760,13,2,0,,1
1946,1,1,2,4,2009,905,13,2,0,,1
1946,2,1,1,1,2005,625,13,2,0,80,1
2178,1,1,1,1,1989,700,13,2,0,70,1
2274,1,1,1,3,1960,560,13,2,0,,1
2274,2,2,1,3,1977,430,13,2,0,,1
2485,1,1,1,5,1974,550,13,2,0,,1
2886,1,1,2,1,2010,1250,4,1,200,87,1
3717,1,1,1,1,2004,1300,13,2,0,70,1
7165,1,1,1,5,2010,400,4,2,0,,1
7886,1,1,1,1,2008,2200,13,2,0,90,1
11972,1,1,1,1,2010,1000,12,2,0,60,1
11972,2,1,1,1,1999,600,12,2,0,70,1
20174,1,1,1,1,1997,2000,13,2,0,80,1
20174,2,1,1,7,2002,130,13,2,0,,1
20223,1,1,1,1,1993,700,13,2,0,60,1
20223,2,1,1,1,2002,950,13,2,0,60,1
20231,1,1,1,1,2007,800,13,2,0,70,1
20372,1,1,2,1,2003,1400,13,2,0,90,1
20711,2,2,1,1,1996,1940,13,2,0,100,1
20837,1,1,2,1,1989,1500,13,2,0,85,1
20837,2,1,1,1,1988,470,13,2,0,50,1
21461,1,1,1,1,1965,450,13,2,0,30,1
21461,1,1,1,5,1997,281,12,2,0,,2
22168,2,1,1,4,2007,400,13,2,0,,1
22168,3,1,1,4,2007,500,13,2,0,,1
22169,1,1,1,3,1992,450,13,2,0,,1
22169,2,1,1,2,2000,450,13,2,0,,1
22173,1,1,1,1,1995,700,13,2,0,60,1
22208,1,1,1,1,1985,890,13,2,0,90,1
22208,1,1,1,5,2006,630,13,2,0,,2
22222,1,1,1,1,1977,972,13,2,0,95,1
22222,1,1,1,5,2003,720,13,2,0,,2
22262,1,1,1,1,1998,1900,13,1,2000,90,1
22263,1,1,1,5,2003,820,13,2,0,,1
22266,1,1,1,1,1984,790,13,2,0,90,1
22266,2,1,4,4,2008,450,12,2,0,,1
22276,1,1,2,1,2007,1200,13,2,0,90,1
22276,2,1,1,2,1984,350,13,2,0,,2
22276,2,1,1,5,2007,600,13,2,0,,1
22286,1,1,2,1,1992,800,13,2,0,80,1
22292,1,1,1,1,1995,700,13,2,0,70,1
22292,2,2,1,1,1993,900,13,2,0,50,1
22292,2,2,4,3,1975,250,12,2,0,,2
22516,2,1,2,1,1999,980,13,2,0,75,1
22657,2,1,1,1,2008,1000,13,2,0,80,1
22995,1,1,1,1,1995,1328,13,2,0,95,1
22996,1,1,1,1,1992,1500,13,2,0,70,1
22996,2,1,1,1,2002,660,13,2,0,80,1
23193,1,1,2,1,1995,1248,13,2,0,90,1
23370,1,1,2,1,1999,1280,13,2,0,72,1
23370,2,1,6,1,2004,,12,2,0,6,1
23384,1,1,1,1,1996,750,13,2,0,60,1
23384,1,1,1,5,2006,250,13,2,0,,2
23490,1,1,2,1,1996,1280,13,2,0,80,1
23798,1,1,1,1,2008,900,13,2,0,60,1
23821,1,1,1,5,2000,537,13,2,0,,1
23823,1,1,1,5,2006,600,13,2,0,,1
23865,1,1,1,1,2003,2000,13,2,0,70,1
23986,2,1,1,1,1998,750,13,2,0,50,1
24010,1,1,2,5,2010,900,2,2,0,,1
24147,1,1,1,1,2004,1700,13,2,0,75,1
24149,1,1,1,1,1988,570,13,2,0,60,1
24158,1,1,1,1,1990,600,13,2,0,60,1
24158,1,1,1,5,2004,300,13,2,0,,2
24171,1,1,1,1,2005,750,13,2,0,50,1
24171,1,1,1,5,2006,120,13,2,0,,2
24195,2,1,1,1,1997,1160,13,2,0,85,1
24202,1,1,1,1,1980,1200,12,2,0,60,1
24326,1,1,1,1,1978,400,12,2,0,50,1
24326,1,1,1,5,2005,600,12,2,0,,2
24374,2,2,1,1,1995,700,12,2,0,90,1
24379,1,1,2,5,1996,830,12,2,0,,1
24382,1,1,1,1,2000,850,12,2,0,80,1
24393,1,1,2,5,2006,800,12,2,0,,1
24529,2,1,2,1,2007,1850,13,2,0,75,1
24616,1,1,1,1,1995,1080,13,2,0,100,1
24616,2,2,1,1,2006,580,13,2,0,50,1
24760,1,1,3,5,1970,915,12,2,0,,1
24809,2,1,2,1,1980,1100,13,2,0,100,1
24885,1,1,1,5,1986,700,13,2,0,,1
24984,2,1,1,1,2010,1600,13,2,0,70,1
24984,3,1,1,1,1980,1300,13,2,0,70,1
25007,1,1,1,1,1989,350,13,2,0,50,2
25007,1,1,2,5,2005,750,13,2,0,,1
25138,1,1,2,1,2005,1250,13,2,0,70,1
25625,1,1,1,1,1986,327,13,2,0,75,1
25625,1,1,5,5,1989,1169,13,2,0,,2
25930,1,1,1,1,2006,2000,13,2,0,80,1
25930,2,2,1,1,2008,177,13,2,0,30,1
25968,1,1,1,1,1994,1300,13,2,0,80,1
25968,2,2,1,1,2010,350,13,2,0,40,1
25970,1,1,1,1,1980,980,13,2,0,80,1
26048,1,1,2,1,1994,3300,13,2,0,100,1
26281,1,1,1,1,1978,140,13,2,0,20,1
26281,1,1,2,5,1978,950,13,2,0,,2
26310,1,1,1,1,1998,1200,13,2,0,80,1
26310,2,2,1,1,2003,400,13,2,0,40,1
26349,1,1,1,1,1988,1500,13,2,0,80,1
26349,2,1,1,1,1998,460,13,2,0,30,1
26499,1,1,1,5,1968,500,13,2,0,,1
26499,2,2,1,3,2009,250,13,2,0,,1
26653,1,1,1,5,1988,390,13,2,0,,2
26653,1,1,1,5,1989,600,13,2,0,70,1
26684,1,1,1,2,2004,620,13,2,0,,1
27109,1,1,1,5,1996,800,13,2,0,,1
27114,1,1,1,5,2010,267,6,2,0,,1
27114,1,1,3,3,1984,417,12,2,0,,2
27116,1,1,2,1,1997,1000,13,2,0,80,1
27123,1,1,1,1,2000,1100,13,2,0,70,1
27224,1,1,2,1,2000,1300,13,2,0,90,1
27505,1,1,1,1,1990,1200,13,2,0,90,1
27509,1,1,1,1,1989,550,13,2,0,70,1
27730,2,1,1,1,1996,1580,13,2,0,80,1
27734,2,2,1,1,2003,1260,13,2,0,60,1
27739,1,1,1,5,1990,298,13,2,0,,1
27742,1,1,1,5,2005,560,13,2,0,,1
27744,1,1,1,1,2008,740,13,2,0,50,1
27744,2,2,1,1,1991,630,13,2,0,50,1
27881,1,1,1,1,1987,1100,12,2,0,80,1
27912,1,1,2,1,2008,1300,13,2,0,100,1
27923,1,1,1,1,2010,1170,13,2,0,70,1
27930,1,1,2,1,1993,1450,13,2,0,90,1
27930,2,1,2,1,1998,1350,13,2,0,90,1
27947,1,1,1,1,1993,870,13,2,0,50,1
27947,2,2,1,4,1977,570,13,2,0,,1
28221,1,1,2,1,1991,1600,13,2,0,90,1
28221,1,1,2,5,2001,430,13,2,0,,2
28331,1,1,1,1,1965,800,13,2,0,80,1
28331,1,1,1,5,2008,100,13,2,0,,2
28346,1,1,1,1,1988,420,13,2,0,80,1
28346,1,1,1,5,1998,300,13,2,0,,2
28362,1,1,1,1,1988,2240,13,2,0,77,1
28362,1,1,1,5,1993,137,13,2,0,,2
28859,1,1,1,1,1990,800,13,2,0,70,1
28859,2,1,1,1,1990,1100,13,2,0,80,1
28897,1,1,1,1,2003,1280,13,2,0,70,1
28920,1,1,2,1,1978,1550,12,2,0,90,1
28920,1,1,2,5,2002,411,12,2,0,,2
28992,1,1,1,1,1991,1800,13,2,0,80,1
29006,1,1,1,1,2007,1750,13,2,0,80,1
29006,2,1,1,1,2006,575,13,2,0,35,1
29140,1,1,1,1,2009,150,13,2,0,80,1
29140,1,1,2,1,2009,1000,13,2,0,80,2
29286,1,1,1,1,1995,650,13,2,0,70,1
29678,1,1,2,1,1996,1100,13,2,0,80,1
29742,2,1,1,3,1991,200,12,2,0,,1
29742,3,1,1,3,1995,720,12,2,0,,1
29774,1,1,1,5,1978,850,13,2,0,,1
29798,1,1,1,1,1993,1600,13,2,0,100,1
29798,2,1,1,1,1975,500,13,2,0,50,1
29823,1,1,1,3,1978,740,13,2,0,,1
31066,1,1,1,1,1995,1250,13,2,0,85,1
31120,1,1,1,1,2000,1110,13,2,0,70,1
31120,2,1,1,1,2005,1029,13,2,0,70,1
31120,2,1,5,1,2001,1790,13,2,0,70,2
31145,1,1,2,1,2000,1361,13,2,0,90,1
31145,2,2,1,1,2002,1055,13,2,0,70,1
31191,1,1,1,1,1978,1340,13,2,0,80,1
31191,2,2,4,4,1952,530,13,2,0,,1
31219,1,1,1,1,1991,450,13,2,0,50,1
31219,1,1,1,5,1977,150,13,2,0,,2
31220,1,1,1,1,1998,1200,13,2,0,20,1
31220,2,1,1,1,1988,920,13,2,0,70,1
31221,1,1,1,5,1982,500,13,2,0,,2
31221,1,1,2,1,1982,900,13,2,0,80,1
31221,2,1,1,3,1997,600,13,2,0,,1
31246,1,1,1,1,1996,1039,13,2,0,90,1
31246,2,2,1,1,1996,989,13,2,0,85,1
31281,1,1,1,1,2001,800,13,2,0,70,1
31304,1,1,1,1,2006,1200,13,2,0,80,1
31304,2,2,1,1,2005,660,13,2,0,80,1
31309,2,2,1,4,2005,900,12,2,0,,1
31403,1,1,1,5,1995,450,13,2,0,,1
31403,1,1,4,3,2007,820,13,2,0,,2
31441,1,1,1,1,2005,1507,13,2,0,100,1
31441,2,2,1,1,2000,1198,13,2,0,95,1
31448,1,1,1,1,1991,1404,13,2,0,80,1
31448,1,1,1,5,2003,400,13,2,0,,2
31556,1,1,1,1,1992,800,13,2,0,60,1
31556,1,1,4,3,1992,247,12,2,0,,2
31556,2,2,1,1,2001,410,13,2,0,50,1
31560,1,1,1,1,2002,900,13,2,0,70,1
31561,1,1,1,1,1996,1500,13,2,0,73,1
31561,2,2,5,7,,120,13,,,,
31625,1,1,1,5,1978,725,13,2,0,,1
31652,1,1,2,1,1995,2300,13,2,0,100,1
31652,2,1,2,1,1992,1400,13,2,0,70,1
31665,1,1,1,1,2002,620,13,2,0,60,1
31665,2,2,1,1,1993,420,13,2,0,50,1
31671,1,1,1,5,1999,1890,13,2,0,,1
31735,1,1,1,1,1995,1066,13,2,0,95,1
31735,2,1,1,1,1990,798,13,2,0,80,1
31757,1,1,1,5,1988,735,13,2,0,,1
31785,1,1,1,1,2007,2100,13,2,0,80,1
31798,1,1,1,1,1996,860,13,2,0,70,1
31799,1,1,1,1,2008,759,13,2,0,70,1
31799,2,1,1,1,1995,1198,13,2,0,85,1
31912,1,1,1,1,1985,1200,13,2,0,80,1
31912,2,2,1,2,1990,500,13,2,0,,1
32001,1,1,1,1,1993,980,13,2,0,80,1
32001,2,2,1,1,,450,13,2,0,,1
32028,1,1,2,1,2010,1900,3,2,0,75,1
32028,2,1,2,1,2007,1850,13,2,0,75,1
32033,2,2,1,1,2009,1280,13,2,0,80,1
32034,1,1,1,1,1996,1260,13,2,0,75,1
32041,1,1,2,1,1994,1100,13,2,0,80,1
32044,1,1,1,5,1995,576,13,2,0,,1
32047,1,1,1,1,1992,798,13,2,0,50,1
32052,1,1,1,1,1997,1240,13,2,0,80,1
32052,2,1,2,1,2005,1250,13,2,0,80,1
32057,1,1,1,1,1996,1050,13,2,0,80,1
32057,2,1,1,1,2003,182,13,2,0,80,1
32066,1,1,1,1,1980,730,13,2,0,60,1
32067,1,1,1,1,1998,1290,13,2,0,80,1
32144,1,1,1,1,1996,1150,13,2,0,35,1
32144,2,1,1,2,1998,580,13,2,0,,1
32190,1,1,1,1,2005,1400,13,2,0,90,1
32198,1,1,1,1,1996,1600,13,2,0,80,1
32198,2,1,1,1,1997,1700,13,2,0,80,1
32209,2,1,1,1,1990,1420,13,2,0,70,1
32229,1,1,1,5,2010,750,4,1,750,,1
32318,1,1,1,1,1994,940,13,2,0,90,1
32328,1,1,1,1,1973,360,13,2,0,50,1
32328,1,1,1,5,1992,485,13,2,0,,2
32464,1,1,1,5,1968,550,13,2,0,,1
32470,1,1,1,5,1988,350,13,2,0,,2
32470,1,1,2,1,1992,1500,13,2,0,100,1
32471,1,1,1,1,2001,400,13,2,0,60,1
32471,1,1,1,5,1987,180,13,2,0,,2
32524,1,1,1,1,1987,2300,13,2,0,80,1
32524,2,2,1,1,2005,2800,13,2,0,80,1
32556,1,1,1,1,2003,1100,13,2,0,80,1
32556,1,1,1,5,1984,200,13,2,0,,2
32668,1,1,1,1,1995,1490,13,2,0,80,1
32703,1,1,1,3,2008,445,13,1,1200,,2
32703,1,1,2,1,1982,626,13,2,0,100,1
32709,1,1,1,1,1996,1380,13,2,0,30,1
32709,2,2,1,1,2004,500,13,2,0,50,1
32731,1,1,1,1,1990,365,13,2,0,50,1
32731,1,1,1,5,2007,627,13,2,0,,2
32733,1,1,1,1,1992,760,13,2,0,40,1
32733,2,2,1,2,2010,,13,2,0,,1
32742,1,1,1,1,1998,1500,13,2,0,72,1
32742,2,1,1,1,1998,1000,13,2,0,72,1
32751,1,1,2,1,1989,700,13,2,0,90,1
32751,1,1,2,5,2006,600,13,2,0,,2
32772,2,1,1,1,2002,1600,13,2,0,95,1
32810,1,1,1,1,1991,430,13,2,0,70,1
32810,1,1,1,5,1972,350,13,2,0,,2
32822,1,1,1,1,1994,1917,13,2,0,60,1
32839,1,1,1,1,1999,1500,13,2,0,80,1
32861,1,1,1,1,2003,1500,13,2,0,100,1
32861,2,2,1,1,2010,1080,13,2,0,80,1
32962,1,1,2,1,2008,1800,13,2,0,90,1
32982,1,1,2,5,1983,1100,13,2,0,,1
32987,1,1,2,1,1983,1230,13,2,0,80,1
32987,2,2,1,1,1992,460,13,2,0,100,1
33036,1,1,1,1,2002,850,13,2,0,80,1
33228,1,1,1,1,1990,1500,13,2,0,40,1
33228,2,1,1,3,1980,280,13,2,0,,1
33245,1,1,1,1,1993,1800,13,2,0,70,1
33245,2,2,1,1,2000,250,13,2,0,30,1
33275,1,1,2,1,2001,1200,13,2,0,90,1
33275,2,2,2,1,2006,1200,13,2,0,90,1
33303,1,1,2,1,2004,1500,13,2,0,90,1
33303,2,1,2,1,1999,920,13,2,0,80,1
33328,2,1,1,1,1990,650,13,2,0,70,1
33328,3,1,1,1,1992,600,13,2,0,70,1
33336,2,1,1,1,1997,450,13,2,0,60,1
33336,2,1,1,5,1997,300,13,2,0,,2
33347,1,1,1,1,1996,1095,13,2,0,80,1
33347,1,1,1,3,1995,1245,12,2,0,,2
33348,1,1,1,1,1994,1400,13,2,0,80,1
33348,2,1,1,4,1997,400,13,2,0,,1
33455,1,1,2,1,2003,1450,13,2,0,80,1
33479,1,1,1,1,1995,1700,13,2,0,80,1
33479,2,1,1,1,2001,1000,13,2,0,80,1
33644,1,1,1,1,1993,1000,13,2,0,80,1
33751,1,1,3,1,2006,2180,13,2,0,75,1
33751,2,1,3,1,1997,1790,13,2,0,75,1
33761,1,1,2,1,1999,3600,13,2,0,75,1
33773,1,1,1,5,2007,500,13,2,0,,1
33778,2,2,4,4,2002,400,12,2,0,,1
33823,1,1,1,1,1984,400,12,2,0,80,1
33823,1,1,2,5,1986,1500,12,2,0,,2
33839,1,1,1,5,2007,536,13,2,0,,1
33882,1,1,1,1,2010,1100,13,2,0,75,1
33888,1,1,1,2,1989,450,13,2,0,,1
33888,1,1,1,5,1998,650,13,2,0,,2
33889,1,1,1,1,1997,1480,13,2,0,70,1
33889,2,2,1,1,2007,1200,13,2,0,80,1
33937,1,1,6,1,2004,,13,2,0,10,1
33941,1,1,1,1,2009,1400,13,1,1500,50,1
33994,1,1,1,1,2003,1400,13,2,0,65,1
34059,1,1,1,5,2009,550,13,2,0,,1
34199,1,1,1,1,2006,350,13,2,0,40,1
34199,1,1,1,1,2006,400,13,2,0,50,2
34199,2,1,1,1,2006,680,13,2,0,50,1
34230,1,1,1,5,1980,460,13,2,0,,1
34252,1,1,1,1,2009,1200,13,2,0,100,1
34377,1,1,1,1,1995,1200,13,2,0,90,1
34396,2,2,1,3,2005,480,13,2,0,,2
34396,2,2,1,5,1980,780,13,2,0,,1
34513,1,1,1,1,2007,1900,13,2,0,80,1
34732,1,1,1,1,1998,1000,13,2,0,60,1
34732,2,2,1,4,2002,400,13,2,0,,1
34732,2,2,4,3,2001,280,13,2,0,,2
34738,1,1,1,1,2009,1500,13,2,0,70,1
34778,1,1,1,5,2007,500,12,2,0,,1
34793,1,1,1,1,2008,700,13,2,0,80,1
34800,1,1,1,1,1997,800,13,2,0,80,1
34833,1,1,1,1,2000,1080,13,2,0,85,1
34833,2,2,1,1,1998,460,13,2,0,40,1
34886,2,2,1,1,1982,1040,13,2,0,80,1
35005,1,1,1,1,2004,900,13,2,0,70,1
35005,2,1,1,3,2000,270,13,2,0,,1
35234,1,1,1,1,1997,1580,13,2,0,70,1
35234,2,1,1,1,2001,200,13,2,0,60,1
35319,1,1,1,1,1996,425,12,2,0,100,1
35319,1,1,1,5,2008,375,12,2,0,,2
35322,1,1,1,1,1980,800,12,2,0,90,1
35322,2,2,1,2,,,13,1,,,1
35323,1,1,1,1,1997,777,12,2,0,100,1
35323,2,2,1,2,2003,240,12,2,0,,1
35326,2,2,2,1,1995,980,13,2,0,80,1
35340,1,1,1,1,2000,780,13,2,0,80,1
35346,1,1,1,5,2006,650,13,2,0,,1
35349,1,1,1,1,1960,960,13,2,0,80,1
35355,1,1,1,5,2006,750,13,2,0,,1
35370,1,1,1,1,1993,590,13,2,0,75,1
35371,1,1,1,5,2001,400,13,2,0,,2
35371,1,1,5,1,2002,325,13,2,0,40,1
35372,2,2,1,3,2009,251,13,2,0,,1
35372,3,2,1,4,1995,620,13,2,0,,1
35379,1,1,1,1,2006,1300,13,2,0,80,1
35458,1,1,1,1,2000,1400,13,2,0,65,1
35458,2,2,1,1,2010,900,13,2,0,85,1
