NQUEST,NORD,INTPER,CASD,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,ARED,AREV,APRD,APRV,ACOD,ACOV,AUSD,AUSV,AELD,AELV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ALTRED,ALTREV
923,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3000,2,0,2,0,2,0
4732,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0,2,0
7165,1,1,1,7200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
21384,3,3,2,0,2,0,1,1800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
23193,1,1,2,0,2,0,2,0,2,0,1,1300,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
24374,3,1,1,500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
25435,1,1,2,0,1,8500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
25970,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,800,2,0,2,0,2,0,2,0,1,4080,2,0,2,0,2,0
27238,1,1,2,0,1,6100,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27912,2,1,2,0,1,9600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27923,5,1,2,0,2,0,2,0,2,0,1,470,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27947,1,1,2,0,2,0,2,0,2,0,1,470,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
31387,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3000
32206,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3900,2,0
32210,2,1,2,0,2,0,1,3600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
32318,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,6000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
32668,3,1,2,0,2,0,1,5000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
33781,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3600,2,0,2,0,2,0,2,0
34230,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3400,2,0,2,0,2,0
