NQUEST,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,ANPOSS,SUPAB,ANCOSTR,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFEFF,AFFIMP,POSS,IMMDOVE,IMMREG,IMMEST,PRO7,PRO8,PRO9,quo
173,1,100,1,0,0,0,0,0,1995,80,1980,,,1,120000,2,,4000,1,1,,,0,0,0,1
632,1,100,1,1,0,0,0,0,1998,70,1998,,,4,140000,1,5600,0,2,1,,,0,0,0,1
632,1,100,1,1,0,0,0,0,1990,50,1990,,,4,140000,1,5400,0,2,1,,,0,0,0,1
633,7,100,1,0,0,0,0,0,,,,,3000,4,5000,2,,100,3,1,,,0,0,0,1
923,1,100,1,0,0,0,0,0,1958,140,1958,,,14,280000,2,,6000,6,1,,,0,0,0,1
923,5,100,1,0,0,0,0,0,1958,180,1958,,,14,350000,2,,10000,6,1,,,0,0,0,1
2274,7,100,0,1,0,0,0,0,,,,2,,9,20000,2,,500,3,1,,,0,0,0,1
2447,1,50,1,1,0,0,0,0,1991,50,1963,,,1,80000,2,,3000,3,2,15,,0,0,0,0.5
2447,1,55,0,1,0,0,0,0,1980,240,1960,,,3,400000,2,,18000,3,1,,,0,0,0,0.55
2886,6,100,1,1,0,0,0,0,2005,10,1968,,,,15000,2,,200,1,1,,,0,0,0,1
2886,6,100,1,1,0,0,0,0,1995,19,1995,,,,30000,2,,3600,2,1,,,0,0,0,1
2886,6,100,1,1,0,0,0,0,1990,27,1965,,,3,25000,2,,3000,1,1,,,0,0,0,1
11972,4,100,1,1,0,0,0,0,1998,100,1998,,,2,,2,0,1200,2,1,,,0,0,0,1
11972,7,100,0,1,0,0,0,0,,,,1,,9,20000,2,,500,5,1,,,0,0,0,1
20174,1,100,1,1,0,0,0,0,1998,40,1990,,,3,80000,2,,4800,1,1,,,0,0,0,1
20297,1,100,1,0,0,0,0,0,2008,100,2007,,,14,40000,2,,1200,1,2,,349,0,0,0,1
20837,1,100,1,0,0,0,0,0,1991,100,1963,,,4,200000,1,5400,0,3,1,,,0,0,0,1
20837,1,100,1,0,0,0,0,0,1985,95,1963,,,4,150000,1,5200,0,5,1,,,0,0,0,1
21384,4,100,1,1,0,0,0,0,2000,100,1960,,,2,100000,2,,9600,3,1,,,0,0,0,1
22266,4,100,1,0,0,0,0,0,1984,120,1936,,,5,300000,1,12000,0,3,1,,,0,0,0,1
22277,1,50,1,0,0,0,0,0,1999,80,1960,,,14,70000,2,,2400,3,1,,,0,0,0,0.5
22279,4,100,1,0,0,0,0,0,1998,30,1930,,,2,10000,2,,250,3,1,,,0,0,0,1
22292,1,100,1,1,0,0,0,0,1985,120,1985,,,14,200000,2,,4800,1,1,,,0,0,0,1
22292,1,100,1,1,0,0,0,0,1975,100,1960,,,4,150000,1,4800,0,4,1,,,0,0,0,1
22995,7,100,1,1,0,0,0,0,,,,1,,6,16000,1,1200,0,3,1,,,0,0,0,1
23986,4,100,0,1,0,0,0,0,1985,35,1930,,,7,35000,1,3000,0,1,1,,,0,0,0,1
24147,1,100,1,0,0,0,0,0,1981,100,1965,,,4,280000,1,8400,0,3,1,,,0,0,0,1
24147,4,33,1,0,0,0,0,0,1981,60,1965,,,4,400000,1,4800,0,3,1,,,0,0,0,0.33
24194,1,25,1,0,0,0,0,0,1972,80,1970,,,14,150000,2,,600,3,1,,,0,0,0,0.25
24382,7,100,1,0,0,0,0,0,,,,,7000,9,2000,2,,100,1,1,,,0,0,0,1
24529,4,100,0,1,0,0,0,0,2005,42,1920,,,8,180000,2,,18000,3,1,,,0,0,0,1
24809,4,100,1,1,0,0,0,0,1964,53,1964,,,7,300000,1,10600,0,2,1,,,0,0,0,1
24809,4,100,1,1,0,0,0,0,1964,23,1900,,,5,60000,1,3000,0,3,1,,,0,0,0,1
24924,5,100,1,1,0,0,0,0,2007,100,2005,,,2,150000,2,,7200,2,1,,,0,0,0,1
24984,1,100,1,1,0,0,0,0,1976,100,1976,,,8,,1,3640,0,2,1,,,0,0,0,1
25148,1,100,0,0,1,0,0,0,2009,120,1970,,,3,200000,2,,3600,1,1,,,0,0,0,1
25148,6,100,1,1,0,0,0,0,2002,45,1970,,,3,35000,2,,1800,1,1,,,0,0,0,1
25435,1,100,0,1,0,0,0,0,1990,80,1976,,,3,210000,2,,14400,4,1,,,0,0,0,1
25435,6,100,0,1,0,0,0,0,1995,15,1987,,,3,17000,2,,1200,4,1,,,0,0,0,1
25625,1,100,1,0,0,0,0,0,1978,130,1872,,,5,700000,1,12600,0,3,1,,,0,0,0,1
25625,1,100,1,0,0,0,0,0,1978,130,1872,,,5,700000,1,12600,0,3,1,,,0,0,0,1
25625,7,100,1,0,0,0,0,0,,,,30,,5,2200000,1,18E4,0,3,1,,,0,0,0,1
26310,6,100,1,0,0,0,0,0,1980,10,1930,,,3,20000,2,,1200,3,1,,,0,0,0,1
26310,7,100,1,1,0,0,0,0,,,,2,,9,2000,2,,100,1,1,,,0,0,0,1
26349,1,33,1,0,0,0,0,0,2000,65,1949,,,14,200000,2,,6000,3,1,,,0,0,0,0.33
27114,6,100,1,0,0,0,0,0,1968,40,1960,,,3,40000,2,,1200,1,1,,,0,0,0,1
27116,7,33,0,1,0,0,0,0,,,,,1600,11,10000,2,,1000,3,1,,,0,0,0,0.33
27116,7,100,1,0,0,0,0,0,,,,,5000,11,25000,2,,1000,3,1,,,0,0,0,1
27123,1,50,1,0,0,0,0,0,2008,70,1960,,,8,80000,2,,2000,3,1,,,0,0,0,0.5
27123,6,100,1,0,0,0,0,0,1983,50,1983,,,3,50000,2,,1000,1,1,,,0,0,0,1
27123,7,50,0,1,0,0,0,0,,,,,3000,9,150000,2,,2000,3,1,,,0,0,0,0.5
27155,1,100,0,1,0,0,0,0,2008,80,1965,,,8,150000,2,,18000,3,1,,,0,0,0,1
27155,1,100,0,1,0,0,0,0,2008,120,1965,,,1,300000,1,31200,0,3,1,,,0,0,0,1
27155,1,100,1,0,0,0,0,0,2005,70,1990,,,1,180000,2,,18000,3,1,,,0,0,0,1
27155,2,100,0,1,0,0,0,0,2008,45,1965,,,2,35000,2,,500,3,1,,,0,0,0,1
27155,8,100,0,1,0,0,0,0,,,,,420,11,70000,2,,6000,3,1,,,0,0,0,1
27157,3,30,0,1,0,0,0,0,1970,150,1970,,,2,150000,2,,6000,2,1,,,0,0,0,0.3
27224,1,100,1,1,0,0,0,0,2006,60,1990,,,8,100000,2,,4200,1,1,,,0,0,0,1
27224,4,100,1,1,0,0,0,0,1988,95,1900,,,2,80000,2,,9600,1,1,,,0,0,0,1
27238,7,100,1,0,0,0,0,0,,,,1,,9,150000,2,,12000,3,1,,,0,0,0,1
27505,1,50,1,0,0,0,0,0,1998,110,1950,,,4,120000,1,3000,0,1,2,8,,0,0,0,0.5
27730,1,100,1,0,0,0,0,0,1995,70,1995,,,4,130000,1,5000,0,6,1,,,0,0,0,1
27734,6,100,0,1,0,0,0,0,1984,30,1979,,,3,25000,2,,4000,1,1,,,0,0,0,1
27739,1,100,1,0,0,0,0,0,1968,80,1967,,,4,100000,1,3360,0,1,1,,,0,0,0,1
27739,3,100,1,0,0,0,0,0,1966,70,1950,,,4,25000,1,3600,0,1,1,,,0,0,0,1
