NQUEST,DEBM21,DEBRF21,TDEBITA21,TMUTUOAB21,MUTUOIN21,ANMUTUO21,MUTUODU21,TIPOTAX21,DEBGAR21_1,DEBGAR21_2,DEBGAR21_3,DEBGAR21_4,DEBPERS21,DEBM22,DEBRF22,TDEBITA22,TMUTUOAB22,MUTUOIN22,ANMUTUO22,MUTUODU22,TIPOTAX22,DEBGAR22_1,DEBGAR22_2,DEBGAR22_3,DEBGAR22_4,DEBPERS22,DEBM23,DEBRF23,TDEBITA23,TMUTUOAB23,MUTUOIN23,ANMUTUO23,MUTUODU23,TIPOTAX23,DEBGAR23_1,DEBGAR23_2,DEBGAR23_3,DEBGAR23_4,DEBPERS23,TAXFIS21,TAXVAR21,TAX21,TAXFIS22,TAXVAR22,TAX22,TAXFIS23,TAXVAR23,TAX23
24529,1,2,160000,500,170000,2010,20,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27224,1,2,40000,5000,65000,2006,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
32209,1,2,25000,4500,35000,2009,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
32713,1,2,120000,5000,120000,2009,30,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,0,,,,,,
32729,1,2,30000,7400,65000,2005,10,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,0,,,,,,
33751,1,2,33600,8400,80000,2006,10,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,,,,,,
36409,1,2,30000,7500,50000,2007,10,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,0,,,,,,
38493,1,2,80000,6000,100000,2006,20,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0,,,,,,
53085,1,2,100000,7200,120000,2006,25,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
57138,1,2,70000,10000,80000,2009,10,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,0,,,,,,
57621,2,2,19000,2400,30000,2002,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
216022,1,2,2000,500,2000,2010,1,4,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237003,1,2,30000,8500,40000,2010,5,1,0,0,1,0,1,1,2,30000,3600,40000,2010,10,1,0,0,1,0,1,,,,,,,,,,,,,,,,1,,,1,,,
505453,1,2,6400,6400,75000,2000,10,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,
505469,1,1,130000,10800,130000,2010,15,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,,,,,,
505798,2,2,90000,8500,115000,2008,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,0,,,,,,
506772,2,2,55000,9000,80000,2007,10,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
