NQUEST,DEBM41F,TDEBITA41F,TMUTUOAB41F,MUTUOIN41F,ANMUTUO41F,MUTUODU41F,TAXDEB11F,DEBGAR41F_1,DEBGAR41F_2,DEBGAR41F_3,DEBGAR41F_4,DEBRF41F,DEBM42F,TDEBITA42F,TMUTUOAB42F,MUTUOIN42F,ANMUTUO42F,MUTUODU42F,TAXDEB12F,DEBGAR42F_1,DEBGAR42F_2,DEBGAR42F_3,DEBGAR42F_4,DEBRF42F,DEBM43F,TDEBITA43F,TMUTUOAB43F,MUTUOIN43F,ANMUTUO43F,MUTUODU43F,TAXDEB13F,DEBGAR43F_1,DEBGAR43F_2,DEBGAR43F_3,DEBGAR43F_4,DEBRF43F,TAXDEB1F,TAXDEB2F,TAXDEB3F
24924,1,150000,13000,200000,2007,15,2,0,1,0,0,2,1,2500,3360,16000,2007,5,2,0,0,0,1,2,,,,,,,,,,,,,,,
505525,1,200000,20000,800000,2003,20,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
649063,1,44000,14000,300000,2000,15,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
675905,1,8288,6600,25000,2008,4,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,
676671,1,20000,6500,40000,2007,6,2,1,0,0,0,2,1,10000,7000,25000,2006,5,2,1,0,0,0,2,2,2600,3700,9000,2009,,2,0,0,0,1,2,,,
683469,1,120000,8500,130000,2008,20,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,
684496,1,12000,3900,18000,2009,5,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
684665,1,24000,6000,40000,2004,10,2,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
686318,2,5500,8500,9500,2010,,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
712964,1,35000,5500,50000,2010,10,2,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
720138,2,10000,500,10000,2010,,1,0,0,0,1,1,2,20000,350,20000,2010,,1,0,0,1,0,2,,,,,,,,,,,,,3.5,3.5,
733145,1,15000,1000,15000,2010,2,2,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
806578,1,40000,12000,75000,2002,10,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
820274,1,25000,8000,40000,2006,5,1,1,0,0,0,2,2,6000,2400,12000,2009,,1,0,0,0,1,2,2,100,900,2000,2009,,2,0,0,0,1,2,8,0,
853771,1,200000,150000,350000,2006,5,2,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
855221,2,6000,3000,9000,2009,,2,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
858085,1,5000,2000,5000,2010,5,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
860960,1,80000,5500,160000,2001,20,1,0,0,0,1,2,1,50000,5000,150000,2001,15,1,1,0,0,0,1,,,,,,,,,,,,,6.05,6.05,
864628,1,62000,6000,65000,2010,7,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
865262,1,20000,6000,30000,2008,4,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
868226,1,100000,150000,1000000,2003,8,2,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
