NQUEST,NORD,DEBM41I,TDEBITA41I,TMUTUOAB41I,MUTUOIN41I,ANMUTUO41I,MUTUODU41I,TAXDEB11I,DEBGAR41I_1,DEBGAR41I_2,DEBGAR41I_3,DEBGAR41I_4,DEBRF41I,DEBM42I,TDEBITA42I,TMUTUOAB42I,MUTUOIN42I,ANMUTUO42I,MUTUODU42I,TAXDEB12I,DEBGAR42I_1,DEBGAR42I_2,DEBGAR42I_3,DEBGAR42I_4,DEBRF42I,DEBM43I,TDEBITA43I,TMUTUOAB43I,MUTUOIN43I,ANMUTUO43I,MUTUODU43I,TAXDEB13I,DEBGAR43I_1,DEBGAR43I_2,DEBGAR43I_3,DEBGAR43I_4,DEBRF43I,DEBM44I,TDEBITA44I,TMUTUOAB44I,MUTUOIN44I,ANMUTUO44I,MUTUODU44I,TAXDEB14I,DEBGAR44I_1,DEBGAR44I_2,DEBGAR44I_3,DEBGAR44I_4,DEBRF44I,DEBM45I,TDEBITA45I,TMUTUOAB45I,MUTUOIN45I,ANMUTUO45I,MUTUODU45I,TAXDEB15I,DEBGAR45I_1,DEBGAR45I_2,DEBGAR45I_3,DEBGAR45I_4,DEBRF45I,TAXDEB1I,TAXDEB2I,TAXDEB3I,TAXDEB4I,TAXDEB5I
29742,1,1,5000,3000,11500,2009,3,1,0,0,0,1,2,2,1200,4800,15000,2009,,1,0,0,0,1,2,2,1800,3600,5000,2009,,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,6,6,,
33328,1,1,4000,3600,8000,2010,3,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35508,2,1,14000,6000,50000,2004,15,1,0,0,0,1,2,1,120000,8000,120000,2010,15,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.5,,,
36146,2,1,56000,10800,90000,2005,10,2,1,0,0,0,2,1,65000,18170,100000,2007,10,2,1,0,0,0,2,1,6000,5040,18000,2007,5,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51544,1,1,18000,6000,25000,2008,5,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
53081,2,1,30000,8000,50000,2007,8,2,0,1,0,0,2,2,18000,3000,25000,2009,,2,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56761,3,1,4644,4644,13000,2008,4,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
243067,2,1,7000,3500,10000,2007,5,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,
500388,1,2,20000,5000,25000,2010,,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504110,2,2,15000,7500,15000,2010,,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506759,1,1,42000,6000,60000,2008,8,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
507360,1,1,145000,22000,145000,2004,15,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,
513386,3,1,30000,15000,30000,2010,2,2,0,0,1,0,2,2,10000,5000,10000,2010,,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612269,1,2,6100,3900,10000,2009,,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639013,3,1,7500,6000,8000,2009,3,2,0,0,0,1,1,1,5500,2300,20000,2008,5,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640250,1,1,330000,110000,400000,2008,7,1,0,1,0,0,2,1,330000,110000,400000,2008,7,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,,,
670485,1,1,6000,3000,25000,1983,30,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
671733,1,1,350000,23000,400000,2009,15,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674272,1,1,34000,12000,110000,2004,10,1,0,1,0,0,2,1,12800,7000,31000,2007,5,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.25,,,
674542,2,1,7500,3700,15000,2007,4,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675801,1,1,45000,13000,60000,2009,5,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,
676282,1,1,62834,5280,70000,2005,20,2,0,0,0,1,2,1,2000,180,13000,2005,6,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676844,4,2,2500,1250,5000,2009,,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681268,1,1,70000,5200,70000,2009,20,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
681329,2,1,8000,2500,15000,2009,5,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,
681436,1,1,13000,13000,15000,2009,3,2,1,0,0,0,2,2,5000,1000,6500,2010,,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682400,2,2,5000,90,8000,2008,,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682812,1,1,20000,4200,38000,2001,15,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,
683377,1,1,8000,3000,20000,2004,10,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683469,1,1,120000,8500,130000,2008,20,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,
683472,1,1,10000,15000,36000,2009,3,2,0,0,0,1,2,1,5000,3000,5500,2010,2,2,0,0,0,1,2,1,7000,3000,7000,2010,2,2,0,0,0,1,2,2,3000,2000,3000,2010,,2,0,0,0,1,2,2,4000,3600,4500,2010,,2,0,0,0,1,2,,,,,
684224,2,1,5600,2400,12000,2010,3,2,0,0,1,0,2,2,200,800,1900,2010,,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684456,1,2,5000,1800,7000,2010,,2,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685124,1,2,58000,12000,70000,2010,,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,
685124,3,1,11000,4200,18000,2009,5,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685296,2,1,600000,72000,700000,2004,16,2,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685582,3,1,10000,5000,20000,2004,10,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686006,1,1,35000,5000,40000,2010,5,2,0,0,0,1,2,1,15000,100,15000,2010,5,2,0,0,0,1,2,1,8000,100,8000,2010,4,2,0,0,0,1,2,1,4000,3000,10000,2008,3,2,0,0,0,1,2,1,10000,2000,12000,2010,5,2,0,0,0,1,2,,,,,
688277,1,1,10000,9000,40000,2007,5,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700235,1,1,6500,3300,9500,2009,3,1,0,0,1,0,2,2,2500,2750,5000,2009,,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,,,
701324,1,1,14000,50,14000,2009,1,2,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
