NQUEST,DEBM11,DEBRF11,TDEBITA11,TMUTUOAB11,MUTUOIN11,ANMUTUO11,MUTUODU11,TIPOTAX11,DEBGAR11_1,DEBGAR11_2,DEBGAR11_3,DEBGAR11_4,DEBPERS11,DEBM12,DEBRF12,TDEBITA12,TMUTUOAB12,MUTUOIN12,ANMUTUO12,MUTUODU12,TIPOTAX12,DEBGAR12_1,DEBGAR12_2,DEBGAR12_3,DEBGAR12_4,DEBPERS12,DEBM13,DEBRF13,TDEBITA13,TMUTUOAB13,MUTUOIN13,ANMUTUO13,MUTUODU13,TIPOTAX13,DEBGAR13_1,DEBGAR13_2,DEBGAR13_3,DEBGAR13_4,DEBPERS13,TAXFIS11,TAXVAR11,TAX11,TAXFIS12,TAXVAR12,TAX12,TAXFIS13,TAXVAR13,TAX13
2447,2,2,25000,2700,25000,2010,7,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,,0,,,,,,
20231,1,2,173000,16800,200000,2008,25,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,0,,,,,,
23823,1,1,83000,2500,85000,2010,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
24760,1,2,5000,2500,45000,1997,15,3,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25148,1,2,170000,8400,170000,2010,22,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
29280,2,2,110000,10600,140000,2009,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0,,,,,,
29737,2,2,34000,8400,150000,2003,10,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
31641,1,2,24000,7200,90000,2003,10,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,0,,,,,,
31860,1,2,19000,6400,60000,1999,15,2,1,0,0,0,,2,2,8000,3600,25000,2006,6,1,1,0,0,0,,,,,,,,,,,,,,,,5.3,0,6.5,,0,,,
32320,1,2,85000,12000,150000,2004,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,0,,,,,,
32556,2,2,8000,2760,30000,1998,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
32962,1,2,55000,6000,70000,2006,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,
33303,2,1,18000,2800,40000,2004,12,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
33451,2,2,23400,1800,25000,1993,20,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,
33773,2,2,6000,6000,30000,2006,10,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
35022,1,2,73000,5000,110000,2002,20,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
35032,1,2,12000,3200,30000,1998,15,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,0,,,,,,
35458,1,2,23500,780,90000,2004,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,0,,,,,,
35502,2,2,6000,2400,10000,2006,6,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,
35520,1,2,14400,3600,72000,1994,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,
35588,1,2,65000,5000,86000,2002,15,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0,,,,,,
36131,1,2,80000,7200,100000,2001,25,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,
36427,2,2,15000,3800,17000,2009,5,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,0,,,,,,
37521,1,1,10000,1900,70000,2001,16,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
37665,1,2,90000,8000,140000,2000,30,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38014,1,2,8000,2300,20000,1996,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0,,,,,,
38016,2,2,3000,684,3000,2010,5,4,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38183,1,2,5600,5600,50000,1996,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
38272,2,2,75000,9000,120000,2004,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
38913,1,2,10000,1380,15000,2003,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,,,,,,
38964,2,2,20000,15000,60000,2005,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
39697,1,2,18200,2600,120000,1992,25,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,,,,,
51185,1,2,10000,1200,12000,1981,30,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
51544,2,2,50000,6500,80000,2004,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,0,,,,,,
53520,1,2,30000,600,50000,2002,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
56577,2,2,5000,2000,15000,2005,10,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,
56656,2,3,40000,3000,65000,2002,25,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
56686,1,2,10000,3500,38000,1998,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,0,,,,,,
57043,2,2,10000,2000,10000,2010,5,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57086,1,2,12000,4000,45000,2002,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,
57670,2,2,40000,3720,52000,2007,30,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,
57779,2,2,2000,3600,12000,2007,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
91008,1,2,25000,7000,200000,2000,15,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
91067,1,2,10000,4800,33000,2004,8,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
