NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
173,1,1,1,1948,1,,2,1,5,58,60,2,1970,2,1,,15,2,10,,,,2,18,3,18,2,62,4,4,6,3,10,5,1,1,1,3,4,2,0.2592940337
173,2,2,2,1950,1,,3,1,5,48,60,2,1972,2,2,,13,,,,,,5,18,3,18,2,60,4,4,7,3,,5,0,0,1,3,4,2,0.2592940337
375,1,2,1,1925,1,,4,4,2,,,,,,1,,15,9,7,,,,,16,3,16,1,85,5,5,6,3,7,5,1,1,1,3,4,2,0.7715701834
465,1,1,1,1954,1,,2,1,5,36,60,2,1972,2,1,,1,,1,,,,2,8,1,8,4,56,4,4,1,1,1,1,0,1,4,1,2,1,0.3084970778
465,2,2,2,1956,1,,1,1,5,50,60,2,1976,2,2,,1,,1,,,,2,3,1,8,4,54,4,3,1,1,1,1,0,1,4,1,2,1,0.3084970778
465,3,1,6,1976,1,,1,2,7,90,110,2,2003,,3,,2,,3,,,4,2,8,1,8,4,34,2,1,2,1,3,2,1,1,4,1,2,1,0.3084970778
465,4,1,6,1981,1,,1,2,5,36,60,2,2001,1,4,,1,,1,,,,2,8,1,8,4,29,1,1,1,1,1,1,0,1,4,1,2,1,0.3084970778
629,1,1,1,1939,1,,2,4,3,,,,,,1,,15,10,6,,,,,5,1,5,2,71,5,5,6,3,6,5,1,1,2,1,2,1,0.2020260108
629,2,1,7,1969,1,,1,2,5,50,60,2,1988,2,2,,1,,6,,,,2,5,1,5,2,41,3,2,1,1,6,4,0,1,2,1,2,1,0.2020260108
632,1,1,1,1950,1,,2,1,3,,,,,,1,,15,2,15,,,,,5,1,5,3,60,4,4,6,3,15,5,1,1,2,1,2,1,0.1645721085
632,2,2,2,1952,1,,2,1,3,,,,,,2,,13,,,,,,,5,1,5,3,58,4,4,7,3,,5,0,0,2,1,2,1,0.1645721085
632,3,1,6,1983,1,,2,2,5,80,100,2,2002,1,3,,2,,3,,,,2,5,1,5,3,27,1,1,2,1,3,2,0,1,2,1,2,1,0.1645721085
633,1,2,1,1934,1,,3,4,2,,,,,,1,,15,1,9,,,,,5,1,5,1,76,5,5,6,3,9,5,1,1,1,1,2,1,0.1966156118
923,1,2,1,1932,1,,3,4,2,,,,,,1,,16,,,,,,,13,3,13,1,78,5,5,6,3,,5,1,1,1,3,4,2,0.1670682593
1238,1,1,1,1937,1,,3,4,3,,,,,,1,,15,1,3,,,,,15,3,15,1,73,5,5,6,3,3,5,1,1,1,3,4,2,0.3949285365
1367,1,1,1,1927,1,,3,1,2,,,,,,1,,15,8,7,,,,,18,3,18,2,83,5,5,6,3,7,5,0,1,2,3,4,2,0.3348599763
1367,2,2,2,1930,1,,3,1,1,,,,,,2,,15,1,7,,,,,18,3,18,2,80,5,5,6,3,7,5,1,1,2,3,4,2,0.3348599763
