NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
173,1,1,1,,24,1,35,,,,,,,,,,,,,,,,,2,62,43
173,2,2,0,,,,,,,,,,,,,,,,,,,,,2,60,
375,1,1,1,,40,1,20,,,,,,,,,,,,,,,,,2,85,50
465,1,1,2,1,20,1,37,,29,7,4,6,3,1,2,5,59,90,2,,,,,2,56,41
465,2,2,1,,27,1,27,,,,,,,,,,,,2,,,,,2,54,32
465,3,3,1,,27,1,7,,,,,,,,,,,,2,,,,,2,34,12
465,4,4,2,1,24,1,5,,25,,,,,,,,,,2,,,,,2,29,10
629,1,1,2,3,15,1,40,,,,,,,,,,,,,,,,,1,71,61
629,2,2,3,1,20,1,20,,32,,,,,,,,,,2,,,,,1,41,26
632,1,1,1,,22,1,37,,,,,,,,,,,,,,,,,2,60,43
632,2,2,4,1,15,1,18,,,,,,,,,,,,,,,,,2,58,48
632,3,3,1,,22,1,4,,,,,,,,,,,,2,,,,,2,27,10
633,1,1,4,1,18,1,20,,,,,,,,,,,,,,,,,2,76,63
923,1,1,0,,,,,,,,,,,,,,,,,,,,,2,78,
1238,1,1,2,3,14,1,20,,,,,,,,,,,,,,,,,2,73,64
1367,1,1,3,3,10,1,30,,,,,,,,,,,,,,,,,2,83,78
1367,2,2,1,,25,1,20,,,,,,,,,,,,,,,,,2,80,60
1763,1,1,3,1,15,1,29,,,,,,,,,,,,,,,,,2,63,53
1763,2,2,1,,20,1,20,,,,,,,,,,,,2,,,,,2,56,41
1927,1,1,1,,15,1,20,,,,,,,,,,,,,,,,,1,77,67
1946,1,1,1,,26,2,,,,,,,,,,,,,,,,,,2,57,36
1946,2,2,2,1,14,1,30,,,,,,,,,,,,,,,,,2,71,62
2178,1,1,1,,26,1,30,,,,,,,,,,,,,,,,,2,77,56
2274,1,1,1,,14,1,7,,,,,,,,,,,,,,,,,2,82,73
2274,2,2,1,,18,1,6,,,,,,,,,,,,,,,,,2,83,70
2447,1,1,3,3,17,1,36,,45,4,1,3,5,7,2,6,59,80,2,,,,,2,53,41
2447,2,2,1,,18,1,22,,,,,,,,,,,,,,,,,2,52,39
2447,3,3,1,,23,1,7,,,,,,,,,,,,3,,,,,2,29,11
2447,4,4,1,,19,1,1,,,,,,,,,,,,3,,,,,2,25,11
2485,1,1,0,,,,,,,,,,,,,,,,,,,,,2,75,
2886,1,1,1,,26,1,35,,,5,1,2,7,3,6,4,61,100,2,,,,,2,61,40
2886,2,2,1,,21,1,38,,,,,,,,,,,,2,,,,,2,58,42
2886,3,3,2,1,22,1,3,,33,,,,,,,,,,2,,,,,2,33,16
3717,1,1,2,1,16,1,25,,,,,,,,,,,,,,,,,2,56,45
4732,1,1,0,,,,,,,,,,,,,,,,,,,,,2,60,
5416,1,1,3,1,16,1,20,,40,1,3,4,2,5,6,7,65,60,2,,,,,1,52,41
5416,2,2,2,1,19,1,12,,19,1,5,7,3,2,4,6,65,50,2,,,,,1,31,17
5416,3,4,1,,18,1,2,,,,,,,,,,,,2,,,,,1,19,6
7165,1,1,1,,15,1,39,,,2,1,3,5,6,4,7,55,90,2,,,,,2,54,44
7165,2,3,1,,22,1,8,,,,,,,,,,,,2,,,,,2,30,13
7886,1,1,1,,23,1,37,,,,,,,,,,,,,,,,,2,60,42
7886,2,2,1,,53,1,4,,,4,1,2,3,5,6,7,65,50,3,,,,,2,57,9
11972,1,2,1,,23,1,35,,,4,2,6,1,5,3,7,65,60,,,,,,2,62,44
11972,2,1,2,3,27,1,35,,,,,,,,,,,,,,,,,2,72,50
20174,1,1,1,,22,1,36,,,,,,,,,,,,,,,,,2,69,52
20174,2,2,1,,16,1,15,,,,,,,,,,,,,,,,,2,68,57
20223,1,1,5,1,13,1,18,,,,,,,,,,,,,,,,,2,72,64
20223,2,2,5,3,11,1,37,,,,,,,,,,,,,,,,,2,71,65
20223,3,3,3,3,30,1,9,,31,,,,,,,,,,,,,,,2,39,14
20231,1,1,3,3,17,1,40,,57,1,2,4,3,5,6,7,70,70,,,,,,2,61,49
20231,2,2,3,3,20,1,7,,47,,,,,,,,,,,,,,,2,57,42
20297,1,1,3,1,14,1,36,,40,3,1,4,2,5,6,7,54,80,2,,,,,2,50,41
20297,2,2,3,1,15,2,,,31,,,,,,,,,,2,,,,,2,31,21
20372,1,1,3,1,20,1,38,,,,,,,,,,,,,,,,,2,63,48
20372,2,2,1,,20,2,,,,,,,,,,,,,,,,,,2,62,47
20372,3,3,1,,25,1,12,,,,,,,,,,,,2,,,,,2,38,18
20711,1,1,0,,,,,,,,,,,,,,,,,,,,,2,65,
20711,2,2,3,1,14,1,37,,,,,,,,,,,,,,,,,2,66,57
20837,1,1,2,1,18,1,36,,,,,,,,,,,,,,,,,1,79,66
20837,2,2,1,,12,1,15,,,,,,,,,,,,,,,,,1,82,75
21384,1,1,2,3,18,1,32,,40,1,4,3,7,2,6,5,62,50,,,,,,2,52,39
21384,2,2,0,,,,,,,,,,,,,,,,,,,,,2,48,
21384,3,3,1,,19,1,4,,,1,4,7,3,2,6,5,65,20,2,,,,,2,28,14
