NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
173,3,,2,1,3,2,3,1923,,1,2,8,4,1926,,1,1,1,1,7,1,2,2,1,1975,,,1974,1
375,3,,2,1,3,1,3,1891,,1,1,9,,1892,,2,,1,0,2,1,2,2,2,1952,,,,1
465,3,,3,1,2,8,1,1930,,1,2,8,1,1930,,1,3,1,0,1,2,,,,,,,1975,1
629,3,,2,2,,,,,,1,2,1,1,1915,,2,,2,,,1,1,2,1,1969,,,,1
632,3,,1,1,2,2,3,1913,,2,,,,,,1,1,1,6,3,1,1,2,2,1976,,,1974,1
633,3,,3,1,2,8,1,1884,,1,2,9,,1889,,2,,2,,,1,1,2,2,1960,,,,1
923,3,,2,1,2,1,4,1896,,1,2,9,,1900,,2,,1,1,0,1,4,2,1,1953,,,,1
1238,3,,4,1,2,1,2,1907,,1,1,9,,1910,,2,,1,1,1,1,2,2,2,1967,,,,1
1367,3,,2,1,2,10,,1901,,1,2,9,,1907,,2,,1,1,1,1,3,2,1,1959,,,1953,1
1763,3,,1,1,1,9,,1910,,1,1,9,,1910,,1,1,1,2,0,1,2,2,2,1973,,,1971,1
1927,3,,2,1,2,2,2,1901,,1,3,9,,1904,,2,,1,0,2,1,2,2,2,1963,,,,1
1946,3,,2,1,4,2,3,1919,,1,2,9,,1920,,2,,1,6,3,2,,,,,,2,,1
2178,3,,4,1,2,1,1,1906,,1,2,9,,1909,,2,,2,,,1,2,2,1,1952,,,,1
2274,3,,2,1,1,8,1,1903,,1,1,8,1,1896,,2,,1,5,1,1,2,2,1,1955,,,1953,1
2447,3,,2,1,2,1,2,1931,,1,2,9,,1933,,1,1,1,4,2,2,,,,,,,1981,1
2485,3,,2,1,1,9,,1881,,1,1,9,,1884,,2,,1,1,4,1,4,2,1,1953,,,,1
2886,3,,3,1,2,1,4,1926,,1,2,1,2,1924,,1,2,1,1,0,1,2,1,,,,,1976,1
3717,3,,1,1,2,2,3,1916,,1,2,9,,1922,,2,,1,0,1,2,,,,,,2,,1
4732,3,,4,2,,,,,,2,,,,,,2,,2,,,1,2,2,2,1975,,2,,0
5416,3,,2,1,2,2,4,1929,,1,2,9,,1933,,1,1,1,2,7,1,1,1,,,,2,,1
7165,3,,2,1,1,1,2,1909,,1,1,9,,1917,,2,,1,0,2,2,,,,,,,,1
7886,3,,2,1,2,2,3,1910,,1,2,9,,1918,,1,1,1,1,1,1,2,2,1,1974,,,1973,0
11972,3,,2,1,1,8,1,1914,,1,1,8,1,1916,,1,2,1,4,2,1,2,2,2,1967,,,1966,1
20174,3,,2,1,2,1,5,1909,,1,2,9,,1912,,2,,1,2,0,2,,,,,,,1956,0
20223,3,,2,1,2,1,1,1897,,1,1,9,,1902,,2,,1,1,4,2,,,,,,,1966,1
20231,3,,1,1,2,1,1,1913,,1,2,9,,1919,,2,,1,6,3,1,1,2,2,1979,,,1978,0
20297,3,,2,1,2,1,4,1924,,1,2,9,,1927,,1,2,1,3,3,2,,,,,,,2007,1
20372,3,,2,1,2,8,4,1922,,1,2,9,,1928,,2,,1,0,4,1,1,2,2,1969,,,1968,1
20711,3,,3,1,1,7,1,1899,,1,1,9,,1908,,2,,2,,,1,5,2,2,1971,,,1970,1
20837,3,,2,1,2,2,3,1903,,1,3,2,3,1904,,2,,1,0,1,1,3,2,1,1958,,,1956,1
21384,3,,1,1,2,8,4,1928,,1,2,9,,1932,,2,,1,0,2,2,,,,,,,1981,1
21461,3,,2,2,,,,,,1,1,9,,1890,,2,,2,,,1,2,2,1,1941,,,,1
22074,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1984,1
22099,3,,1,1,1,2,3,1932,,1,1,9,,1936,,1,2,1,2,3,2,,,,,,,1981,1
22168,3,,1,1,1,1,2,1933,,1,1,9,,1938,,1,2,1,3,6,1,2,1,,,,,1978,1
22169,3,,1,1,1,1,4,1921,,1,1,9,,1927,,2,,1,6,2,1,3,1,,,,,1962,1
22173,3,,2,1,1,1,2,1896,,1,1,9,,1897,,2,,1,6,0,1,1,2,1,1969,,,1955,1
22208,3,,1,1,2,1,2,1904,,1,2,1,2,1909,,2,,1,0,2,2,,,,,,,,1
22222,3,,2,1,2,9,,1899,,1,2,1,2,1904,,2,,1,0,1,1,4,2,2,1954,,,,1
22262,3,,2,1,2,1,2,1914,1,1,2,9,,1919,1,2,,1,1,0,1,3,2,2,1971,,,1970,0
22263,3,,1,1,2,1,2,1888,,1,2,9,,1902,,2,,1,1,1,1,1,2,2,1952,,,,0
22266,3,,2,1,2,8,4,1900,,1,2,8,4,1903,,2,,1,1,0,1,2,2,1,1950,0,,1949,0
22276,3,,2,1,2,1,2,1922,,1,2,9,,,,2,,2,,,2,,,,,,2,,1
22277,3,,1,1,2,1,2,1911,,1,2,1,1,1923,,1,1,2,,,2,,,,,,,1986,1
22279,3,,2,1,2,2,3,1924,,1,2,8,4,1922,,2,,1,1,0,2,,,,,,2,,1
22286,3,,1,1,2,2,3,1924,,1,2,8,4,1922,,2,,1,0,1,1,1,2,2,1980,,,1978,1
22292,3,,2,1,2,8,1,1896,,1,1,8,1,1891,,2,,1,3,1,1,2,2,1,1959,,,1957,1
22516,3,,3,1,3,2,3,1923,,1,2,9,,1928,,2,,1,2,2,1,1,2,1,1976,,,1975,0
22624,3,,1,2,,,,,,2,,,,,,1,3,1,3,2,2,,,,,,,1980,1
22657,3,,2,1,3,4,3,1922,,1,3,9,,1930,,1,1,1,4,2,1,1,2,1,1974,,,1973,1
22850,3,,2,1,2,1,2,1909,,1,2,1,4,1920,,2,,1,1,0,2,,,,,,2,,1
22995,3,,1,1,1,8,1,1909,,1,1,9,,1911,,2,,1,2,3,1,1,2,2,1968,,,1963,1
22996,3,,1,1,2,1,1,1893,,1,2,9,,1906,,2,,2,,,1,2,2,2,1966,,,1964,1
23193,3,,1,1,2,2,4,1904,,1,2,9,,1905,,2,,1,1,0,2,,,,,,2,,1
23370,3,,3,1,3,1,2,1919,,1,2,9,,1922,,2,,1,2,2,2,,,,,,,1963,1
23384,3,,1,1,2,8,4,1900,,1,2,9,,1902,,2,,1,0,2,2,,,,,,,,0
23490,3,,3,1,2,1,4,1908,,1,2,9,,1913,,2,,1,0,1,2,,,,,,2,,0
23797,3,,1,1,1,8,4,1922,,1,1,9,,1928,,1,1,1,1,1,1,1,2,1,1985,,,1980,1
23798,3,,1,1,1,1,4,1903,,1,1,9,,1907,,2,,1,3,0,1,1,2,1,1971,,,2004,1
23821,3,,2,1,1,1,1,1906,,1,1,9,,1908,,2,,1,4,4,1,1,2,1,1960,,,,1
23823,3,,2,1,2,1,4,1906,,1,2,9,,1907,,2,,1,2,2,1,2,2,1,1971,,2,,1
23865,3,,1,1,3,1,2,1917,,1,2,9,,1922,,1,1,1,2,1,1,2,2,2,1972,,,1971,1
23986,3,,2,2,,,,,,2,,,,,,2,,1,2,3,1,3,2,2,1960,,,1959,1
24010,3,,2,1,2,2,4,1901,,1,2,9,,1900,,2,,1,1,2,1,2,2,1,1961,,,,1
24147,3,,3,1,4,6,4,1916,,1,4,9,,1927,,2,,1,1,2,1,2,2,1,1980,,,1978,1
24149,3,,3,1,2,1,4,1895,,1,2,9,,1894,,2,,2,,,2,,,,,,,,1
24158,3,,2,1,1,1,1,1913,,1,1,1,1,1914,,1,1,1,1,1,2,,,,,,,,1
24171,3,,2,1,2,8,4,1921,,1,2,9,,1923,,2,,1,3,0,1,1,2,2,1965,0,,,1
24194,3,,2,1,2,1,3,1915,,1,1,1,1,1926,,1,3,1,1,2,2,,,,,,,1980,1
24195,3,,2,1,2,1,1,1931,,1,1,9,,1927,,2,,1,5,4,1,2,2,1,1973,,,1972,1
24202,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
24326,3,,4,1,2,1,1,1890,,1,2,9,,1895,,2,,1,1,3,2,,,,,,,,1
24374,3,,2,1,2,1,1,1923,,1,1,1,1,1922,,2,,1,1,0,2,,,,,,,2002,1
24379,3,,1,1,2,1,2,1906,,1,2,9,,1909,,2,,1,0,2,1,2,2,2,1962,,,,1
24382,3,,1,1,1,8,1,1907,,1,1,8,1,1901,,1,1,1,0,3,1,2,2,2,1968,,,1966,1
24393,3,,2,1,1,1,1,1886,,1,1,9,,1896,,2,,1,1,0,1,2,2,2,1954,,,,1
24529,3,,2,1,2,7,4,1927,,1,4,2,4,1924,,2,,1,2,2,1,2,2,2,1977,,,1972,1
24616,3,,2,1,1,1,2,1906,,1,2,1,1,1910,,2,,1,1,0,1,2,2,1,1964,,,1960,1
24760,3,,1,1,7,1,4,1885,,1,1,8,4,1888,,2,,2,,,2,,,,,,,,1
24764,3,,2,1,2,1,2,1950,,1,2,9,,1951,,2,,1,4,5,2,,,,,,,1989,1
24809,3,,2,1,1,8,1,1905,,1,2,7,4,1920,,2,,1,4,2,1,2,2,2,1963,,,1962,1
