NQUEST,DEPC,NDEPC,IDEPC,LIB,NLIB,ILIB,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,PREFBA12,PREFBA13,SERVB1,SERVB2,SERVB3,SERVB4,SERVB5,SERVB6,SERVB7,SERVB8,SERVB9,SERVB10,SERVB11,SERVB12,SERVB13,SERVB14,FIDBANC,PRIVATEB,SCOPER,UTSCOPER,FSCOPER1,FSCOPER,CARTA,CARTE,USOCART,CARTDEB1,CARTDEB,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS
173,1,1,1,2,,,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,2,,,2,,2,,1000,2
375,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,400,2
465,1,3,4,2,,,2,,,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,9,2,1,1,,2000,1,1,2,,,1,2,2,,1500,2
629,1,2,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,1,1,,,1,2,2,,1000,2
632,1,2,3,2,,,2,,,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,1,1,1,,,1,3,2,,1000,1
633,2,,,1,1,1,,,,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,,,,,2,,,,,2,,2,,1150,2
923,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,550,2
1238,2,,,1,1,1,,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,,,,,2,,,,,2,,2,,800,2
1367,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,800,2
1763,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,300,2
1927,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,1,2,,500,2
1946,1,2,2,1,2,2,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,1,2,,400,2
2178,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,500,2
2274,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,900,2
2447,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2,2,,,,1,1,2,,,1,2,1,1,1100,2
2485,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,550,2
