NQUEST,POS_A1,CLA_A1,AMM_A1,SCL_A1,POS_A2,CLA_A2,AMM_A2,SCL_A2,POS_A3,CLA_A3,AMM_A3,SCL_A3,POS_A4,CLA_A4,AMM_A4,SCL_A4,POS_B,CLA_B,AMM_B,SCL_B,POS_C1,CLA_C1,AMM_C1,SCL_C1,POS_C2,CLA_C2,AMM_C2,SCL_C2,POS_C3,CLA_C3,AMM_C3,SCL_C3,POS_C4,CLA_C4,AMM_C4,SCL_C4,POS_C5,CLA_C5,AMM_C5,SCL_C5,POS_D1,CLA_D1,AMM_D1,SCL_D1,POS_D2,CLA_D2,AMM_D2,SCL_D2,POS_D3,CLA_D3,AMM_D3,SCL_D3,POS_D4,CLA_D4,AMM_D4,SCL_D4,POS_D5,CLA_D5,AMM_D5,SCL_D5,POS_D6,CLA_D6,AMM_D6,SCL_D6,POS_D7,CLA_D7,AMM_D7,SCL_D7,POS_D8,CLA_D8,AMM_D8,SCL_D8,POS_E1,CLA_E1,AMM_E1,SCL_E1,POS_E3,CLA_E3,AMM_E3,SCL_E3,POS_E4,CLA_E4,AMM_E4,SCL_E4,POS_E5,CLA_E5,AMM_E5,SCL_E5,POS_F,CLA_F,AMM_F,SCL_F,POS_G1,CLA_G1,AMM_G1,SCL_G1,POS_G2,CLA_G2,AMM_G2,SCL_G2,POS_G3,CLA_G3,AMM_G3,SCL_G3,POS_G4,CLA_G4,AMM_G4,SCL_G4,POS_G5,CLA_G5,AMM_G5,SCL_G5,POS_H,CLA_H,AMM_H,SCL_H,POS_I,CLA_I,AMM_I,SCL_I,BTPINS,BTPI,BTP5NS,BTP5,GESTRNS,GESTRISC,CONSULT1,CONSULT2,CONSULT3,CONSULT4,CONSULT5,CONSULT6,CONSULT7,RISFIN,SCONTO1,SCONTO2,SCONTO3,SCONTO4,SCONTO21,SCONTO22,SCONTO23,SCONTO24,PRECAUZ,QMUTUO,QINT,QRISK1,ISTANS,ISTAVV,VARRED,DIMRED,DURRED,ASPRED,RISPAR,RISPALT,RISPBASS,DOCSEZC,AFA1,AFA2,AFA3,AFA4,AFB,AFC1,AFC2,AFC3,AFC4,AFC5,AFD1,AFD2,AFD3,AFD4,AFD5,AFD6,AFD7,AFD8,AFE1,AFE3,AFE4,AFE5,AFF,AFG1,AFG2,AFG3,AFG4,AFG5,AFH,AFI
173,1,7,,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,2,2,2,3000,2,2,2,,5000,2,,,4,1,1000,,2,10651.366106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,2,,1,,,,,,1500,2,3,2,,,2,,,2,1,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,1,7,11000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,2,2,1,50000,2,2,1,,0,2,,,3,1,2000,,2,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,1,8,15000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,10,50000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,0,0,0,0,0,0,1,4,,,,,2,1,,,30000,4,2,3,,,2,,,3,2,,,2,15000,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,1,11,80000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,2,,1,,,,,,50000,4,2,1,,0,2,,,1,1,1000,,2,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,2,,,,1,7,12000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,1,1,,,,,,,100000,4,2,3,,,3,1,2,4,2,,,2,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,1,2,400,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,1,2,,,,,,,5000,4,1,3,,,2,,,1,2,,,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,2,,,,1,5,,2,2,,,,2,,,,1,7,,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,0,1,0,0,0,0,0,3,2,,2,2,,,,,7000,4,2,1,,,2,,,2,1,1000,,2,0,5014.9682251,0,0,9372.6391498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,,,,,2,2,1,,15000,2,4,3,,,2,,,4,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,1,1,,,,,,,10000,4,2,3,,,2,,,1,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,1,3,2000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,,,,,2,1,,,30000,2,2,3,,200,3,2,2,1,2,,,2,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1,9,35000,,1,9,25000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,2,,2,2,,,,,10000,2,2,1,,0,2,,,2,1,6000,,2,35000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,1,5,5000,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,,,,,2,1,,,50000,4,2,1,,,3,1,4,1,2,,,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2274,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,3,2,,2,1,,,,,10000,4,4,4,,,2,,,4,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,1,4,,3,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,2,,2,2,,,,,500000,4,2,2,,0,2,,,3,3,,25000,2,3555.2883596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,4,,,,,2,2,1,,5000,4,4,1,,5,2,,,3,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
