NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
173,1994,1,1,1994,1,0,0,0,0,0,0,0,0,1,80000,,,,,,,,700,3,160,1970,2,220000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
375,1970,1,1,1967,1,0,0,0,0,0,0,0,0,7,8000,,,,,,,,500,4,140,1968,2,210000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
465,1983,4,,,,,,,,,,,,,,,,,,,,1,600,6,200,1980,2,500000,2,,2,,2,,2,,2,,,,,,,,,,,,4,2,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,
629,1981,1,1,1981,1,0,0,0,0,0,0,0,0,2,33000,,,,,,,,400,3,140,1981,2,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
632,1983,1,1,1983,1,1,0,0,0,0,0,0,0,7,15000,,,,,,,,300,2,100,1983,1,150000,1,2,2,,2,,2,,2,,1,15000,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
633,1964,1,1,1963,1,0,0,0,0,0,0,0,0,7,6000,,,,,,,,400,2,100,1963,1,100000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
923,1968,1,1,1968,1,0,0,0,0,0,0,0,0,7,6000,,,,,,,,500,4,180,1968,2,380000,1,1,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
1238,1970,1,1,1970,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,450,3,110,1969,2,180000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
1367,1968,1,1,1968,1,0,0,0,0,0,0,0,0,1,1250,,,,,,,,300,3,120,1860,2,50000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
1763,1978,1,1,1978,1,0,0,0,0,0,0,0,0,4,,,,,,,,,100,3,45,1940,1,15000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
1927,1962,2,,,,,,,,,,,,,,,,300,4,1,800,4,,3,83,1950,1,180000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
1946,1964,2,,,,,,,,,,,,,,,,120,1,1,300,7,,3,94,1960,1,120000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
2178,1989,1,1,1989,1,0,0,0,0,0,0,0,0,1,75000,,,,,,,,800,2,105,1975,2,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
2274,1954,1,1,1954,1,0,0,0,0,0,0,0,0,5,10000,,,,,,,,400,2,110,1815,2,200000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
2447,1980,1,1,1980,1,0,0,0,0,0,0,0,0,2,3000,,,,,,,,750,3,117,1800,2,300000,1,2,2,,2,,2,,2,,1,25000,2,,2,,1,1,2,,,2,2,,2,,1,1,,,,,2,0,,0,,0,,0,,100
2485,1953,1,1,1953,1,0,0,0,0,0,0,0,0,6,,,,,,,,,400,6,90,1800,1,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
2886,1981,1,1,1981,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,400,4,90,1968,2,180000,2,,1,3,2,,2,,2,,1,5000,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
3717,1995,2,,,,,,,,,,,,,,,,560,1,2,,4,,4,120,1969,1,250000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
4732,2010,1,1,2010,1,0,0,0,0,0,0,0,0,1,5000,,,,,,,,150,4,50,1930,1,15000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
5416,1985,2,,,,,,,,,,,,,,,,350,1,2,,4,,3,60,1958,1,130000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
7165,1979,1,1,1979,1,0,0,0,0,0,0,0,0,4,,,,,,,,,650,4,100,1961,1,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
7886,1985,1,1,1985,1,1,0,0,0,0,0,0,0,5,50000,,,,,,,,800,4,120,1960,2,550000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
11972,1980,1,1,1980,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,600,3,95,1969,1,200000,2,,1,1,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
