NQUEST,ASS2,NASS2,ASS2C1,ASS2G1,ASS2CN1,CONTRAZ11,ADESIONE1,COMPA1G1,COMPA1O1,COMPA1B1,COMPA1A1,ASS2A1,ASS2S1,ASS2K11,ASS2R1,VARPREV1,ANVPREV1,PRECPREV1,ASS2C2,ASS2G2,ASS2CN2,CONTRAZ21,ADESIONE2,COMPA1G2,COMPA1O2,COMPA1B2,COMPA1A2,ASS2A2,ASS2S2,ASS2K21,ASS2R2,VARPREV2,ANVPREV2,PRECPREV2,ASS2C3,ASS2G3,ASS2CN3,CONTRAZ31,ADESIONE3,COMPA1G3,COMPA1O3,COMPA1B3,COMPA1A3,ASS2A3,ASS2S3,ASS2K31,ASS2R3,VARPREV3,ANVPREV3,PRECPREV3,ASS2C4,ASS2G4,ASS2CN4,CONTRAZ41,ADESIONE4,COMPA1G4,COMPA1O4,COMPA1B4,COMPA1A4,ASS2A4,ASS2S4,ASS2K41,ASS2R4,VARPREV4,ANVPREV4,PRECPREV4,ASS2C5,ASS2G5,ASS2CN5,CONTRAZ51,ADESIONE5,COMPA1G5,COMPA1O5,COMPA1B5,COMPA1A5,ASS2A5,ASS2S5,ASS2K51,ASS2R5,VARPREV5,ANVPREV5,PRECPREV5,ASS1,NASS1,ASS1C1,ASS1A1,ASS1S1,ASS1M1,ASS1V1,ASS1K11,ASS1K1,ASS1F1,ASS1KA11,ASS1KA1,ASS1C2,ASS1A2,ASS1S2,ASS1M2,ASS1V2,ASS1K21,ASS1K2,ASS1F2,ASS1KA21,ASS1KA2,ASS1C3,ASS1A3,ASS1S3,ASS1M3,ASS1V3,ASS1K31,ASS1K3,ASS1F3,ASS1KA31,ASS1KA3,ASS1C4,ASS1A4,ASS1S4,ASS1M4,ASS1V4,ASS1K41,ASS1K4,ASS1F4,ASS1KA41,ASS1KA4,ASS1C5,ASS1A5,ASS1S5,ASS1M5,ASS1V5,ASS1K51,ASS1K5,ASS1F5,ASS1KA51,ASS1KA5,ASS4,NASS4,ASS4S1,ASS4S2,ASS4S3,ASS4S4,ASS4S5,ASS3,NASS31,NASS32,NASS33,ASS3S,DOCSEZF,COMPA11,COMPA21,COMPA31,COMPA41,COMPA51,ass2k1,ass2k2,ass2k3,ass2k4,ass2k5,contraz1,contraz2,contraz3,contraz4,contraz5
173,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2000,1500,1,1,,70000,1,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,0,400,2,,,,,,,,,,,,,,,
375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
465,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
629,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1997,410,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,0,540,1,,,,,,,,,,,,,,,
632,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,1,0,600,2,,,,,,,,,,,,,,,
633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,1,0,150,2,,,,,,,,,,,,,,,
923,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
1238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
1367,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
1763,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
1927,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
1946,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
2178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,0,500,2,,,,,,,,,,,,,,,
2274,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
2447,1,1,3,4,1,1,,,,,,2003,100,1,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,1,,,,,,,,,,,,,,
2485,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
2886,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2003,1300,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
3717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
4732,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
5416,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
7165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
