NQUEST,COMPRENS,ITA,VEROAF,VEROAB,VERORED,KLIMA,FACIL,DURATA
173,10,10,10,10,10,10,10,55
375,6,6,7,6,7,7,7,28
465,7,7,4,6,4,10,7,57
629,7,10,8,8,8,9,7,75
632,9,9,6,6,6,8,8,60
633,8,8,8,8,8,8,7,40
923,7,7,8,9,9,9,7,51
1238,6,6,7,7,7,7,6,46
1367,9,9,8,9,8,8,8,90
1763,7,7,8,8,8,8,8,40
1927,10,10,10,10,10,10,10,78
1946,10,10,10,10,10,10,10,58
2178,9,8,7,8,9,10,8,80
2274,10,10,10,10,10,10,10,56
2447,10,10,10,10,10,10,10,72
2485,6,7,9,8,8,9,8,61
2886,8,8,8,8,8,8,8,62
3717,8,8,8,8,8,8,8,65
4732,5,5,8,8,7,8,7,60
5416,10,10,5,10,6,10,10,65
7165,9,9,8,8,8,8,8,66
7886,10,10,8,9,9,10,10,55
11972,6,7,7,6,7,8,6,56
20174,10,10,10,10,10,10,10,55
20223,8,8,8,9,8,9,9,49
20231,10,10,8,8,8,10,9,75
20297,10,10,10,10,10,7,10,50
20372,10,10,10,10,10,10,10,25
20711,10,10,10,10,10,10,10,55
20837,8,8,6,8,6,8,7,68
21384,9,9,9,9,9,9,9,64
21461,8,8,7,8,7,9,9,44
22074,6,7,7,6,7,8,7,67
22099,8,5,6,7,8,9,5,44
22168,6,5,5,5,5,5,5,22
22169,6,5,5,5,5,5,5,41
22173,6,6,5,6,5,6,5,37
22208,9,10,10,10,10,10,10,30
22222,9,9,10,10,10,10,10,51
22262,10,10,10,10,10,10,10,90
22263,9,10,10,10,10,10,9,80
22266,9,10,10,10,10,10,9,90
22276,6,7,9,8,8,9,7,35
22277,9,8,8,9,8,9,9,50
22279,6,8,8,9,8,9,6,45
22286,8,9,8,9,8,9,8,61
22292,7,9,9,9,9,9,7,36
22516,9,9,7,9,9,6,9,60
22624,3,8,3,2,2,10,3,50
22657,10,10,10,10,10,10,10,89
22850,10,10,10,10,10,10,9,66
22995,8,7,8,8,7,7,7,52
22996,8,9,9,9,9,9,8,55
23193,7,8,9,9,9,9,7,50
23370,10,10,10,10,10,10,10,38
23384,9,9,8,8,7,8,7,40
23490,7,9,8,9,8,9,8,45
23797,6,5,5,6,5,6,5,28
23798,5,6,6,6,6,6,6,33
23821,7,7,8,8,7,8,8,50
23823,8,8,8,9,9,9,9,58
23865,6,7,6,7,6,6,7,38
23986,7,7,9,9,8,8,8,29
24010,7,6,10,10,10,10,7,54
24147,9,9,9,9,9,9,9,50
24149,7,7,7,7,7,7,8,37
24158,5,7,6,10,7,10,5,55
24171,7,7,7,9,7,10,7,46
24194,8,8,6,8,8,7,7,68
24195,8,8,8,8,8,8,8,49
24202,3,7,8,8,9,8,7,85
24326,9,9,9,9,9,9,9,30
24374,7,7,7,7,7,7,7,73
24379,7,7,7,7,7,7,7,51
24382,7,7,7,7,7,7,7,51
24393,6,7,8,8,8,8,7,44
24529,9,9,9,9,9,9,9,52
24616,8,8,10,10,10,10,8,60
24760,6,7,8,9,9,10,8,109
24764,6,7,8,9,7,9,6,39
24809,10,9,7,9,8,10,9,81
24853,10,10,10,10,10,10,10,52
24885,6,6,6,6,6,6,6,30
24924,10,10,10,10,10,10,10,77
24984,8,9,9,8,9,9,9,53
25007,9,9,9,9,9,9,9,27
25138,9,9,9,9,9,9,9,43
25148,10,10,8,10,10,10,10,72
25245,8,9,9,9,8,8,9,43
25435,9,9,9,9,8,10,10,60
25625,9,9,9,9,9,9,9,51
25930,10,10,7,10,10,10,9,50
25968,9,9,8,9,8,9,9,60
25970,9,9,9,9,9,7,9,60
26048,10,10,10,10,10,10,10,47
26163,9,10,9,9,9,10,8,65
26281,8,10,4,7,7,10,10,35
26310,9,9,9,9,9,9,9,50
26349,7,7,7,9,8,9,7,69
26499,6,9,10,10,10,10,10,30
26653,8,8,9,9,9,9,8,55
26684,6,6,5,7,5,4,3,31
27109,5,4,9,9,9,9,5,60
27114,7,5,7,7,7,8,6,60
27116,7,8,7,10,10,9,7,60
27123,8,9,7,8,7,8,8,60
27155,8,8,7,7,7,8,7,80
27157,9,8,7,8,8,8,8,60
27224,8,8,7,10,7,9,8,77
27238,7,7,5,1,5,7,6,37
27505,9,10,8,8,8,10,8,60
27509,8,10,9,9,10,10,9,70
27730,9,9,8,9,7,10,10,84
27734,9,8,8,8,7,9,8,83
27739,9,9,9,9,9,10,10,61
27742,8,9,7,8,7,10,9,68
27744,9,9,7,7,6,9,8,72
27881,8,8,9,9,9,9,9,34
27912,8,8,8,8,8,9,9,58
27923,8,8,9,9,9,8,8,65
27930,7,7,8,9,9,9,8,62
27947,7,7,8,8,8,8,7,55
28100,10,10,10,10,10,10,10,69
28221,6,6,5,7,5,4,4,39
28331,8,7,6,7,7,8,9,36
28346,9,8,8,8,9,8,8,25
28362,10,10,10,10,10,10,10,61
28441,8,10,9,10,10,9,8,62
28802,7,7,7,7,7,7,7,57
28859,9,8,9,9,9,9,9,41
28897,7,7,7,7,7,7,7,22
28920,10,10,7,10,10,10,10,44
28992,9,9,9,9,9,9,9,73
29006,10,10,10,10,10,10,10,67
29140,10,10,8,9,9,10,10,70
29280,10,10,10,10,10,10,10,63
29286,8,8,10,10,10,10,10,50
29288,10,10,10,10,10,10,10,58
29678,7,8,7,8,8,8,8,60
29680,8,8,7,7,7,8,7,60
29684,8,8,6,7,7,8,8,60
29737,10,10,10,10,10,10,10,123
29742,10,9,8,8,8,10,9,83
29774,7,8,10,10,10,10,10,24
29798,8,8,7,10,7,7,8,60
29823,9,9,9,9,9,9,9,46
31066,6,6,7,8,8,7,6,60
31092,8,7,9,9,9,7,8,60
31093,8,8,7,7,7,8,8,55
31120,9,10,10,10,9,10,9,60
31122,8,8,7,8,8,9,7,65
31137,8,7,8,7,8,8,8,34
31145,8,8,3,5,4,6,7,33
31161,10,10,10,10,10,10,10,29
31163,10,10,10,10,10,10,10,47
31191,7,8,6,6,6,9,7,65
31219,7,7,7,8,7,8,7,50
31220,6,8,5,9,6,10,7,107
31221,7,7,4,6,4,10,8,54
31246,8,8,8,9,9,9,7,56
31281,6,7,2,3,5,7,6,68
31304,9,9,9,8,8,8,8,26
31309,9,9,5,5,7,8,8,60
31387,10,10,10,10,10,10,10,60
31403,6,6,6,6,6,6,5,43
31441,8,8,9,9,9,9,8,60
31448,10,10,10,10,9,10,10,90
31556,8,9,9,9,9,9,9,44
31560,9,9,9,9,9,9,9,47
31561,9,9,9,9,9,9,9,36
