NQUEST,YCF4,YCF,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YCA,YCA1,YCA2,YCF1,YCF2,YCF3,YC
173,0,67.445036042,33267.445036,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,12400,0,12400,67.445036042,0,0,12467.445036
375,0,0,14580,0,0,0,8580,8580,8580,0,0,0,0,0,0,0,0,0,0,6000,0,6000,0,0,0,6000
465,0,69.652605037,58189.652605,49000,49000,0,1920,1920,1920,0,0,0,0,0,0,0,0,0,0,7200,0,7200,69.652605037,0,0,7269.652605
629,0,974.72319379,37564.723194,14500,14500,0,17290,17290,17290,0,0,0,0,0,0,0,0,0,0,4800,0,4800,94.980825051,0,879.74236874,5774.7231938
632,0,506.56440027,47306.5644,14000,14000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,14600,11000,3600,506.56440027,0,0,15106.5644
633,0,75.984660041,19925.98466,0,0,0,14950,14950,14950,0,0,0,0,0,0,0,0,0,0,4900,0,4900,75.984660041,0,0,4975.98466
923,0,2.5328220014,32152.532822,0,0,0,10150,7150,7150,0,3000,0,0,3000,3000,0,0,0,0,22000,0,22000,2.5328220014,0,0,22002.532822
1238,0,91.103121265,18491.103121,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,5400,0,5400,91.103121265,0,0,5491.1031213
1367,0,0,16106,0,0,0,12506,12506,12506,0,0,0,0,0,0,0,0,0,0,3600,0,3600,0,0,0,3600
1763,0,0,2200,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,0,0,1200
1927,0,12.664110007,9892.66411,0,0,0,9880,9880,9880,0,0,0,0,0,0,0,0,0,0,0,0,0,12.664110007,0,0,12.664110007
1946,0,379.9233002,20269.9233,0,0,0,19890,19890,19890,0,0,0,0,0,0,0,0,0,0,0,0,0,379.9233002,0,0,379.9233002
2178,0,31.660275017,18731.660275,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,9600,0,9600,31.660275017,0,0,9631.660275
2274,0,0,18170,0,0,0,12870,12870,12870,0,0,0,0,0,0,0,0,0,0,5300,0,5300,0,0,0,5300
2447,1108.3719436,-1085.859662,72908.792271,43994.651933,43400,594.7,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,30000,22.512281446,0,0,28914.140338
2485,0,0,11950,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,4800,0,4800,0,0,0,4800
2886,0,20.053502775,37320.053503,30500,28500,2000,-4800,5200,5000,200,-10000,0,0,-10000,0,10000,0,0,0,11600,0,11600,20.053502775,0,0,11620.053503
3717,0,53.194402436,16953.194402,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,53.194402436,0,0,53.194402436
4732,0,0,2800,0,0,0,1000,0,0,0,1000,0,0,1000,1000,0,0,0,0,1800,0,1800,0,0,0,1800
5416,0,21.679781724,27021.679782,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.679781724,0,0,21.679781724
7165,0,94.980825051,46694.980825,30000,30000,0,8800,1600,1600,0,7200,7200,0,0,0,0,0,0,0,7800,0,7800,94.980825051,0,0,7894.9808251
7886,0,591.0614687,41791.061469,8000,8000,0,23600,28600,28600,0,-5000,0,0,-5000,0,5000,0,0,0,9600,0,9600,379.9233002,0,211.1381685,10191.061469
11972,0,50.656440027,30950.65644,0,0,0,19200,19200,19200,0,0,0,0,0,0,0,4000,4000,0,7700,0,7700,50.656440027,0,0,7750.65644
20174,0,792.28132199,40482.281322,0,0,0,27690,27690,27690,0,0,0,0,0,0,0,0,0,0,12000,0,12000,77.482623111,0,714.79869888,12792.281322
20223,0,11.397699006,51461.397699,0,0,0,21450,21450,21450,0,0,0,0,0,0,0,24000,24000,0,6000,0,6000,11.397699006,0,0,6011.397699
20231,7669.9338494,-7399.004551,41000.995449,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,32000,0,32000,6000,0,6000,94.980825051,0,175.94847375,-1399.004551
20297,0,6.3320550034,16406.332055,18800,18800,0,-3600,0,0,0,-3600,0,0,-3600,0,3600,0,0,0,1200,0,1200,6.3320550034,0,0,1206.332055
20372,0,44.324385024,31244.324385,7000,7000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,6000,0,6000,44.324385024,0,0,6044.324385
20711,0,0,30020,0,0,0,25220,25220,25220,0,0,0,0,0,0,0,0,0,0,4800,0,4800,0,0,0,4800
20837,0,943.06291877,43153.062919,0,0,0,25610,25610,25610,0,0,0,0,0,0,0,0,0,0,16600,10600,6000,63.320550034,879.74236874,0,17543.062919
21384,0,19.135662519,41119.135663,4500,4500,0,1800,0,0,0,1800,1800,0,0,0,0,30000,30000,0,4800,0,4800,19.135662519,0,0,4819.1356625
21461,0,6.3320550034,17628.332055,0,0,0,9222,9222,9222,0,0,0,0,0,0,0,0,0,0,8400,0,8400,6.3320550034,0,0,8406.332055
22074,0,0,23600,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,3600,0,0,0,3600
22099,0,25.328220014,24425.32822,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,19000,0,5400,0,5400,25.328220014,0,0,5425.32822
22168,0,0,11700,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22169,0,0,11700,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22173,0,37.655547501,16937.655548,7800,7800,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,37.655547501,0,0,37.655547501
22208,0,696.52605037,28256.52605,0,0,0,19760,19760,19760,0,0,0,0,0,0,0,0,0,0,7800,0,7800,696.52605037,0,0,8496.5260504
22222,0,69.652605037,25665.652605,0,0,0,21996,21996,21996,0,0,0,0,0,0,0,0,0,0,3600,0,3600,69.652605037,0,0,3669.652605
22262,0,1998.7537613,40698.753761,0,0,0,26700,26700,24700,2000,0,0,0,0,0,0,0,0,0,12000,0,12000,63.320550034,0,1935.4332112,13998.753761
22263,0,1627.8606488,30287.860649,18000,18000,0,10660,10660,10660,0,0,0,0,0,0,0,0,0,0,0,0,0,44.324385024,0,1583.5362637,1627.8606488
22266,0,1250.6354812,40920.635481,0,0,0,15670,15670,15670,0,0,0,0,0,0,0,0,0,0,24000,12000,12000,18.99616501,351.8969475,879.74236874,25250.635481
22276,0,2175.3396267,32525.339627,0,0,0,27950,27950,27950,0,0,0,0,0,0,0,0,0,0,2400,0,2400,73.811803374,2101.5278233,0,4575.3396267
22277,0,479.12531648,40679.125316,18000,18000,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,7200,0,7200,44.796945693,0,434.32837078,7679.1253165
22279,0,30.184027492,40030.184027,14000,14000,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,6000,0,6000,30.184027492,0,0,6030.1840275
22286,0,803.00204983,29003.00205,13000,13000,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,4800,0,4800,28.869055704,246.28757288,527.84542124,5603.0020498
22292,0,643.15098644,40043.150986,0,0,0,23800,23800,23800,0,0,0,0,0,0,0,0,0,0,15600,4800,10800,27.710492429,450.85248805,164.58800596,16243.150986
22516,0,94.980825051,32434.980825,16000,16000,0,12740,12740,12740,0,0,0,0,0,0,0,0,0,0,3600,0,3600,94.980825051,0,0,3694.9808251
22624,0,0,27400,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,0,8400,0,0,0,8400
22657,0,1294.9598663,59494.959866,21700,21700,0,13000,13000,13000,0,0,0,0,0,0,0,5500,5500,0,18000,0,18000,63.320550034,1231.6393162,0,19294.959866
22850,0,1018.3730456,32118.373046,21500,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,9600,50.656440027,0,967.71660561,10618.373046
22995,0,384.52433492,40448.524335,0,0,0,17264,17264,17264,0,0,0,0,0,0,0,0,0,0,22800,1200,21600,384.52433492,0,0,23184.524335
22996,0,559.50569626,34639.505696,0,0,0,28080,28080,28080,0,0,0,0,0,0,0,0,0,0,6000,0,6000,31.660275017,527.84542124,0,6559.5056963
23193,0,25.801549979,17549.80155,0,0,0,17524,16224,16224,0,1300,1300,0,0,0,0,0,0,0,0,0,0,25.801549979,0,0,25.801549979
23370,0,258.26518879,16898.265189,0,0,0,16640,16640,16640,0,0,0,0,0,0,0,0,0,0,0,0,0,82.316715044,0,175.94847375,258.26518879
23384,0,31.660275017,21431.660275,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,8400,0,8400,31.660275017,0,0,8431.660275
23490,0,1415.2689113,25255.268911,0,0,0,16640,16640,16640,0,0,0,0,0,0,0,0,0,0,7200,0,7200,183.6295951,1231.6393162,0,8615.2689113
23797,0,9.4275112644,25209.427511,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,9600,9.4275112644,0,0,9609.4275113
23798,0,2.742027919,11702.742028,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742027919,0,0,2.742027919
23821,0,94.980825051,10675.980825,0,0,0,6981,6981,6981,0,0,0,0,0,0,0,0,0,0,3600,0,3600,94.980825051,0,0,3694.9808251
23823,3679.7948526,-3650.034194,23149.965806,13000,13000,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,6000,0,6000,29.760658516,0,0,2349.9658059
23865,0,0,32000,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,6000,0,6000,0,0,0,6000
23986,0,0,21150,0,0,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,11400,3000,8400,0,0,0,11400
24010,0,31.660275017,7831.660275,0,0,0,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,6000,0,6000,31.660275017,0,0,6031.660275
24147,0,358.94683489,63158.946835,19500,19500,0,6100,22100,22100,0,-16000,0,0,-16000,0,16000,0,0,0,37200,13200,24000,352.90560528,6.0412296136,0,37558.946835
