NQUEST,CHKCC,CHKTIPO,PINT1,PINT11,PINT2,PINT21,PBORS1,PBORS11,PBORS2,PBORS21,PCAS1,PCAS11,PCAS2,PCAS21,ASPASS,ASPTAX
173,3,1,80,,80,,50,,50,,50,,40,,3,3
465,2,1,100,,100,,50,,0,,0,,,,2,3
632,3,2,80,,50,,0,,,,0,,,,1,3
633,,,,1,,,,1,,,,1,,,4,2
923,4,3,,1,,,,1,,,,1,,,1,2
2274,,,,1,,,,1,,,,2,,,1,4
3717,3,2,30,,50,,,1,,,3,,3,,2,2
4732,,,,1,,,,1,,,10,,10,,1,3
5416,3,1,,1,,,,1,,,,1,,,1,3
7165,3,3,50,,0,,,1,,,10,,,1,2,3
7886,3,1,5,,,1,10,,10,,10,,,1,2,2
11972,3,3,,1,,,,1,,,,1,,,1,2
20223,2,2,10,,0,,,1,,,,1,,,1,3
20297,3,1,,1,,,,1,,,50,,,1,4,3
21384,4,1,50,,50,,,1,,,,1,,,1,1
21461,4,1,,1,,,,1,,,,1,,,1,3
22099,3,2,99,,99,,,1,,,,1,,,2,3
22168,,,100,,100,,,1,,,,1,,,1,2
22169,,,,1,,,0,,,,,1,,,1,4
22173,,,,1,,,0,,,,1,,,1,1,3
22266,4,1,,1,,,,1,,,10,,10,,1,3
22279,4,1,50,,,1,,1,,,0,,,,2,2
22286,3,1,,1,,,50,,0,,0,,,,2,2
22996,3,2,20,,10,,10,,2,,0,,,,1,3
23193,3,1,,1,,,,1,,,,1,,,2,3
23370,2,1,10,,5,,,1,,,0,,,,2,1
23821,4,2,5,,4,,5,,5,,5,,5,,2,3
23865,3,1,90,,,1,60,,7,,,1,,,2,2
24010,3,1,,1,,,,1,,,0,,,,2,2
24147,2,2,80,,,1,80,,0,,20,,0,,1,3
24194,3,1,,1,,,,1,,,,1,,,1,2
24195,3,2,30,,30,,0,,,,0,,,,2,3
24202,,,,1,,,,1,,,,1,,,2,3
24326,6,6,,1,,,,1,,,,1,,,4,4
24382,,,0,,,,6,,0,,3,,0,,1,3
24760,,,,1,,,,1,,,10,,,1,3,3
24764,3,1,20,,10,,,1,,,50,,60,,3,3
24924,3,1,0,,,,,1,,,80,,,1,1,3
24984,3,3,0,,,,10,,,1,40,,5,,1,1
25007,5,5,,1,,,,1,,,,1,,,3,3
25138,3,2,,1,,,,1,,,,1,,,2,3
25148,3,1,80,,80,,,1,,,,1,,,2,1
25435,3,2,0,,,,5,,0,,0,,,,1,3
25930,3,1,70,,0,,70,,10,,70,,35,,1,2
26048,1,1,50,,50,,30,,15,,0,,,,1,2
26163,3,1,0,,,,0,,,,0,,,,1,3
26281,4,1,20,,,1,,1,,,70,,,1,1,3
26349,3,1,0,,,,,1,,,0,,,,1,3
26499,,,,1,,,,1,,,,1,,,4,4
26684,,,,1,,,,1,,,,1,,,4,2
27114,,,0,,,,,1,,,,1,,,1,1
27157,,,,1,,,,1,,,,1,,,1,3
27224,1,1,10,,30,,10,,0,,0,,,,1,3
27238,2,3,,1,,,,1,,,,1,,,1,3
27509,4,3,,1,,,,1,,,,1,,,1,3
27739,4,3,0,,,,0,,,,15,,,1,2,3
27742,4,4,,1,,,10,,,1,,1,,,2,3
27881,4,1,,1,,,,1,,,,1,,,1,3
27912,1,2,,1,,,,1,,,30,,10,,1,2
28346,,,,1,,,,1,,,,1,,,1,3
28362,1,3,50,,0,,50,,0,,0,,,,1,3
28441,2,1,0,,,,20,,0,,,1,,,1,2
28802,2,1,15,,15,,15,,15,,15,,15,,2,2
28859,4,3,60,,30,,20,,1,,1,,1,,2,2
28920,2,1,10,,0,,0,,,,0,,,,1,3
29006,1,1,90,,80,,,1,,,10,,5,,1,3
29280,1,2,100,,100,,80,,80,,70,,30,,1,3
29288,4,1,70,,60,,20,,0,,90,,30,,1,3
29680,1,3,100,,50,,,1,,,60,,,1,1,3
29742,4,1,99,,80,,10,,5,,1,,0,,2,3
29774,,,,1,,,,1,,,,1,,,3,4
29823,6,2,90,,,1,,1,,,20,,,1,1,2
31066,2,2,0,,,,0,,,,20,,10,,2,2
31092,2,1,10,,10,,10,,5,,40,,20,,2,3
31093,3,2,5,,5,,10,,2,,5,,2,,2,2
31120,1,1,5,,0,,5,,0,,20,,0,,1,3
