NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
375,6,10,10,10,7,8,7,8,8,6,7,6,7,6,6,7,7,6,7,7,6,6,2,1,,
629,6,10,6,5,6,5,5,4,7,4,8,9,8,7,6,7,8,9,9,9,8,7,2,1,,
1238,5,9,7,4,4,4,3,3,6,6,5,6,6,8,6,6,7,6,6,6,6,6,2,1,,
1367,3,10,3,4,3,5,5,3,1,10,7,3,1,5,4,2,3,2,1,6,5,1,2,1,,
1763,6,7,6,6,6,6,6,6,2,6,5,5,5,9,5,5,6,5,5,6,5,5,2,1,,
1927,7,9,7,6,6,7,6,5,6,5,7,8,9,9,8,8,9,9,9,9,9,8,2,,2000,
1946,8,10,8,8,8,8,8,7,7,1,10,10,10,10,8,8,10,10,10,8,8,8,2,,2000,
2178,5,8,6,5,6,5,6,6,6,6,8,9,10,9,8,8,7,8,9,8,8,7,2,,5000,
2447,8,10,10,10,10,10,10,10,10,1,10,10,10,10,7,10,10,10,10,10,8,10,2,1,,
2485,3,10,5,6,5,5,7,6,6,2,8,8,9,10,8,7,9,9,9,10,9,9,2,1,,
2886,7,10,10,10,8,8,8,8,8,1,10,10,10,10,10,10,10,10,10,10,10,10,1,,10000,
20174,5,10,10,9,9,8,7,4,6,1,5,10,10,10,8,7,5,10,10,10,8,7,2,,10000,7
20231,5,10,8,5,5,5,5,1,3,5,7,8,10,8,9,9,8,9,10,9,9,9,2,,5000,5
20372,6,10,7,6,6,6,5,5,6,5,8,8,10,7,8,7,8,8,10,8,7,7,2,,5000,
20711,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
20837,6,8,8,6,6,6,5,5,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,20000,
22074,4,8,7,6,7,8,8,8,7,6,5,5,4,5,6,7,6,7,8,8,7,6,2,1,,
22208,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,2,1,,
22222,6,8,10,9,7,7,7,8,9,1,10,10,10,10,8,9,6,7,8,8,7,9,2,1,,
22262,5,10,7,5,5,5,4,3,7,1,10,8,10,10,8,8,10,8,10,10,8,8,2,,100000,8
22263,8,10,10,8,8,8,8,8,6,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,8
22276,8,10,8,8,7,6,6,5,8,6,6,10,10,9,6,8,7,8,9,8,9,8,2,,10000,
22277,5,9,9,9,7,7,7,6,5,8,9,7,8,9,8,8,10,8,9,10,6,9,2,,5000,
22292,6,10,9,8,8,8,7,7,6,8,7,8,9,8,5,8,8,8,10,9,6,7,2,,5000,
