NQUEST,NORD,YCF4,YCF,Y,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YMA1,YMA2,YC
173,1,0,67.445036042,33267.445036,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,12400,12400,67.445036042,0,0,0,0,12467.445036
375,1,0,0,14580,0,0,8580,0,0,0,0,0,0,8580,0,0,8580,0,0,6000,6000,0,0,0,0,0,6000
465,1,0,69.652605037,19189.652605,10000,0,1920,0,0,0,0,0,10000,1920,0,0,1920,0,0,7200,7200,69.652605037,0,0,0,0,7269.652605
465,2,0,0,10000,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,3,0,0,19000,19000,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,4,0,0,10000,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,1,0,974.72319379,23064.723194,0,0,17290,0,0,0,0,0,0,17290,0,0,17290,0,0,4800,4800,94.980825051,0,879.74236874,0,0,5774.7231938
629,2,0,0,14500,14500,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,1,0,506.56440027,33306.5644,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,11000,3600,14600,506.56440027,0,0,0,0,15106.5644
632,3,0,0,14000,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,1,0,75.984660041,19925.98466,0,0,14950,0,0,0,0,0,0,14950,0,0,14950,0,0,4900,4900,75.984660041,0,0,0,0,4975.98466
923,1,0,2.5328220014,32152.532822,0,0,7150,0,0,0,3000,0,0,7150,3000,3000,10150,0,0,22000,22000,2.5328220014,0,0,0,0,22002.532822
1238,1,0,91.103121265,18491.103121,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,5400,5400,91.103121265,0,0,0,0,5491.1031213
1367,1,0,0,9411,0,0,5811,0,0,0,0,0,0,5811,0,0,5811,0,0,3600,3600,0,0,0,0,0,3600
1367,2,0,0,6695,0,0,6695,0,0,0,0,0,0,6695,0,0,6695,0,0,0,0,0,0,0,0,0,0
1763,1,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,0,0,0,0,0,1200
1763,2,0,0,1000,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,1,0,12.664110007,9892.66411,0,0,9880,0,0,0,0,0,0,9880,0,0,9880,0,0,0,0,12.664110007,0,0,0,0,12.664110007
1946,1,0,379.9233002,12144.9233,0,0,11765,0,0,0,0,0,0,11765,0,0,11765,0,0,0,0,379.9233002,0,0,0,0,379.9233002
1946,2,0,0,8125,0,0,8125,0,0,0,0,0,0,8125,0,0,8125,0,0,0,0,0,0,0,0,0,0
2178,1,0,31.660275017,18731.660275,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,9600,9600,31.660275017,0,0,0,0,9631.660275
2274,1,0,0,12580,0,0,7280,0,0,0,0,0,0,7280,0,0,7280,0,0,5300,5300,0,0,0,0,0,5300
2274,2,0,0,5590,0,0,5590,0,0,0,0,0,0,5590,0,0,5590,0,0,0,0,0,0,0,0,0,0
2447,1,1108.3719436,-1085.859662,53914.140338,25000,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,30000,30000,22.512281446,0,0,0,0,28914.140338
2447,3,0,0,14994.651933,14400,594.7,0,0,0,0,0,0,14994.651933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,4,0,0,4000,4000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,1,0,0,11950,0,0,7150,0,0,0,0,0,0,7150,0,0,7150,0,0,4800,4800,0,0,0,0,0,4800
2886,1,0,20.053502775,16820.053503,10000,0,5000,200,0,0,0,10000,10000,5200,-10000,-10000,-4800,0,0,11600,11600,20.053502775,0,0,0,0,11620.053503
2886,2,0,0,19000,17000,2000,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,3,0,0,1500,1500,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,0,53.194402436,16953.194402,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,0,0,53.194402436,0,0,0,0,53.194402436
4732,1,0,0,2800,0,0,0,0,0,0,1000,0,0,0,1000,1000,1000,0,0,1800,1800,0,0,0,0,0,1800
5416,1,0,21.679781724,10021.679782,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,21.679781724,0,0,0,0,21.679781724
5416,2,0,0,9000,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5416,3,0,0,8000,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7165,1,0,94.980825051,31694.980825,15000,0,1600,0,7200,0,0,0,15000,1600,0,7200,8800,0,0,7800,7800,94.980825051,0,0,0,0,7894.9808251
7165,2,0,0,15000,15000,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7886,1,0,591.0614687,33791.061469,0,0,28600,0,0,0,0,5000,0,28600,-5000,-5000,23600,0,0,9600,9600,379.9233002,0,211.1381685,0,0,10191.061469
7886,2,0,0,8000,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11972,1,0,50.656440027,23750.65644,0,0,12000,0,0,0,0,0,0,12000,0,0,12000,4000,0,7700,7700,50.656440027,0,0,4000,0,7750.65644
11972,2,0,0,7200,0,0,7200,0,0,0,0,0,0,7200,0,0,7200,0,0,0,0,0,0,0,0,0,0
20174,1,0,792.28132199,38792.281322,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,12000,12000,77.482623111,0,714.79869888,0,0,12792.281322
20174,2,0,0,1690,0,0,1690,0,0,0,0,0,0,1690,0,0,1690,0,0,0,0,0,0,0,0,0,0
20223,1,0,11.397699006,15111.397699,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,6000,6000,11.397699006,0,0,0,0,6011.397699
20223,2,0,0,12350,0,0,12350,0,0,0,0,0,0,12350,0,0,12350,0,0,0,0,0,0,0,0,0,0
20223,3,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,24000,0,0
20231,1,7669.9338494,-7399.004551,25000.995449,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,16000,0,6000,6000,94.980825051,0,175.94847375,0,16000,-1399.004551
20231,2,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,16000,0
20297,1,0,6.3320550034,13606.332055,16000,0,0,0,0,0,0,3600,16000,0,-3600,-3600,-3600,0,0,1200,1200,6.3320550034,0,0,0,0,1206.332055
20297,2,0,0,2800,2800,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20372,1,0,44.324385024,24244.324385,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,6000,6000,44.324385024,0,0,0,0,6044.324385
20372,3,0,0,7000,7000,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20711,1,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,4800
20711,2,0,0,25220,0,0,25220,0,0,0,0,0,0,25220,0,0,25220,0,0,0,0,0,0,0,0,0,0
20837,1,0,943.06291877,37043.062919,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,10600,6000,16600,63.320550034,879.74236874,0,0,0,17543.062919
20837,2,0,0,6110,0,0,6110,0,0,0,0,0,0,6110,0,0,6110,0,0,0,0,0,0,0,0,0,0
21384,1,0,19.135662519,34819.135663,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,4800,4800,19.135662519,0,0,30000,0,4819.1356625
21384,3,0,0,6300,4500,0,0,0,1800,0,0,0,4500,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0
21461,1,0,6.3320550034,17628.332055,0,0,9222,0,0,0,0,0,0,9222,0,0,9222,0,0,8400,8400,6.3320550034,0,0,0,0,8406.332055
22074,1,0,0,23600,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,3600,3600,0,0,0,0,0,3600
22099,1,0,25.328220014,24425.32822,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,5400,5400,25.328220014,0,0,19000,0,5425.32822
22168,2,0,0,5200,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0
22168,3,0,0,6500,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,0,0,0,0,0,0,0,0
22169,1,0,0,5850,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,0,0,0,0,0,0,0,0
22169,2,0,0,5850,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,0,0,0,0,0,0,0,0
22173,1,0,37.655547501,9137.6555475,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,37.655547501,0,0,0,0,37.655547501
22173,3,0,0,7800,7800,0,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22208,1,0,696.52605037,28256.52605,0,0,19760,0,0,0,0,0,0,19760,0,0,19760,0,0,7800,7800,696.52605037,0,0,0,0,8496.5260504
22222,1,0,69.652605037,25665.652605,0,0,21996,0,0,0,0,0,0,21996,0,0,21996,0,0,3600,3600,69.652605037,0,0,0,0,3669.652605
22262,1,0,1998.7537613,40698.753761,0,0,24700,2000,0,0,0,0,0,26700,0,0,26700,0,0,12000,12000,63.320550034,0,1935.4332112,0,0,13998.753761
22263,1,0,1627.8606488,12287.860649,0,0,10660,0,0,0,0,0,0,10660,0,0,10660,0,0,0,0,44.324385024,0,1583.5362637,0,0,1627.8606488
22263,2,0,0,18000,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22266,1,0,1250.6354812,35520.635481,0,0,10270,0,0,0,0,0,0,10270,0,0,10270,0,12000,12000,24000,18.99616501,351.8969475,879.74236874,0,0,25250.635481
22266,2,0,0,5400,0,0,5400,0,0,0,0,0,0,5400,0,0,5400,0,0,0,0,0,0,0,0,0,0
22276,1,0,2175.3396267,20175.339627,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,2400,2400,73.811803374,2101.5278233,0,0,0,4575.3396267
22276,2,0,0,12350,0,0,12350,0,0,0,0,0,0,12350,0,0,12350,0,0,0,0,0,0,0,0,0,0
22277,1,0,479.12531648,25679.125316,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,7200,7200,44.796945693,0,434.32837078,0,0,7679.1253165
22277,2,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,15000,0,0
22279,1,0,30.184027492,18757.456755,0,0,0,0,0,0,0,0,0,0,0,0,0,12727.272727,0,6000,6000,30.184027492,0,0,12727.272727,0,6030.1840275
22279,2,0,0,14000,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22279,3,0,0,7272.7272727,0,0,0,0,0,0,0,0,0,0,0,0,0,7272.7272727,0,0,0,0,0,0,7272.7272727,0,0
22286,1,0,803.00204983,16003.00205,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,4800,4800,28.869055704,246.28757288,527.84542124,0,0,5603.0020498
22286,2,0,0,13000,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22292,1,0,643.15098644,25343.150986,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,4800,10800,15600,27.710492429,450.85248805,164.58800596,0,0,16243.150986
22292,2,0,0,14700,0,0,14700,0,0,0,0,0,0,14700,0,0,14700,0,0,0,0,0,0,0,0,0,0
22516,1,0,94.980825051,19694.980825,16000,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,3600,3600,94.980825051,0,0,0,0,3694.9808251
22516,2,0,0,12740,0,0,12740,0,0,0,0,0,0,12740,0,0,12740,0,0,0,0,0,0,0,0,0,0
22624,1,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,8400
22624,3,0,0,10000,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22624,4,0,0,9000,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22657,1,0,1294.9598663,40994.959866,21700,0,0,0,0,0,0,0,21700,0,0,0,0,0,0,18000,18000,63.320550034,1231.6393162,0,0,0,19294.959866
22657,2,0,0,18500,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,5500,0,0,0,0,0,0,5500,0,0
22850,1,0,1018.3730456,32118.373046,21500,0,0,0,0,0,0,0,21500,0,0,0,0,0,0,9600,9600,50.656440027,0,967.71660561,0,0,10618.373046
22995,1,0,384.52433492,40448.524335,0,0,17264,0,0,0,0,0,0,17264,0,0,17264,0,1200,21600,22800,384.52433492,0,0,0,0,23184.524335
22996,1,0,559.50569626,26059.505696,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,6000,6000,31.660275017,527.84542124,0,0,0,6559.5056963
22996,2,0,0,8580,0,0,8580,0,0,0,0,0,0,8580,0,0,8580,0,0,0,0,0,0,0,0,0,0
23193,1,0,25.801549979,17549.80155,0,0,16224,0,1300,0,0,0,0,16224,0,1300,17524,0,0,0,0,25.801549979,0,0,0,0,25.801549979
23370,1,0,258.26518879,16898.265189,0,0,16640,0,0,0,0,0,0,16640,0,0,16640,0,0,0,0,82.316715044,0,175.94847375,0,0,258.26518879
23384,1,0,31.660275017,21431.660275,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,8400,8400,31.660275017,0,0,0,0,8431.660275
23490,1,0,1415.2689113,25255.268911,0,0,16640,0,0,0,0,0,0,16640,0,0,16640,0,0,7200,7200,183.6295951,1231.6393162,0,0,0,8615.2689113
23797,1,0,9.4275112644,25209.427511,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,9600,9600,9.4275112644,0,0,0,0,9609.4275113
23798,1,0,2.742027919,11702.742028,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,0,0,2.742027919,0,0,0,0,2.742027919
23821,1,0,94.980825051,10675.980825,0,0,6981,0,0,0,0,0,0,6981,0,0,6981,0,0,3600,3600,94.980825051,0,0,0,0,3694.9808251
23823,1,3679.7948526,-3650.034194,10149.965806,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,6000,6000,29.760658516,0,0,0,0,2349.9658059
23823,2,0,0,13000,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23865,1,0,0,32000,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,6000,6000,0,0,0,0,0,6000
23986,1,0,0,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,8400,11400,0,0,0,0,0,11400
23986,2,0,0,9750,0,0,9750,0,0,0,0,0,0,9750,0,0,9750,0,0,0,0,0,0,0,0,0,0
24010,1,0,31.660275017,7831.660275,0,0,1800,0,0,0,0,0,0,1800,0,0,1800,0,0,6000,6000,31.660275017,0,0,0,0,6031.660275
24147,1,0,358.94683489,43658.946835,0,0,22100,0,0,0,0,16000,0,22100,-16000,-16000,6100,0,13200,24000,37200,352.90560528,6.0412296136,0,0,0,37558.946835
24147,2,0,0,19500,19500,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24149,1,0,20.262576011,7430.262576,0,0,7410,0,0,0,0,0,0,7410,0,0,7410,0,0,0,0,20.262576011,0,0,0,0,20.262576011
24158,1,0,22.162192512,17722.162193,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,6000,6000,22.162192512,0,0,0,0,6022.1621925
24158,2,0,0,14500,14500,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24171,1,0,0,29310,0,0,11310,0,0,0,0,0,0,11310,0,0,11310,12000,0,6000,6000,0,0,0,12000,0,6000
24194,1,0,63.320550034,36763.32055,25000,1500,0,0,0,0,0,0,26500,0,0,0,0,0,0,10200,10200,63.320550034,0,0,0,0,10263.32055
24194,2,0,0,2000,2000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24194,3,0,0,5000,5000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24194,4,0,0,4800,4800,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24195,1,0,94.980825051,3694.9808251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,94.980825051,0,0,0,0,3694.9808251
24195,2,0,0,15080,0,0,15080,0,0,0,0,0,0,15080,0,0,15080,0,0,0,0,0,0,0,0,0,0
24202,1,0,0,21600,0,0,14400,0,0,0,0,0,0,14400,0,0,14400,0,0,7200,7200,0,0,0,0,0,7200
24202,2,0,0,18000,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24326,1,0,31.660275017,21631.660275,0,0,12000,0,0,0,0,0,0,12000,0,0,12000,0,0,9600,9600,31.660275017,0,0,0,0,9631.660275
24374,1,0,20.988877322,4820.9888773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,20.988877322,0,0,0,0,4820.9888773
24374,2,0,0,1400,0,0,8400,0,0,0,0,7000,0,8400,-7000,-7000,1400,0,0,0,0,0,0,0,0,0,0
24374,3,0,0,16700,15000,1200,0,0,500,0,0,0,16200,0,0,500,500,0,0,0,0,0,0,0,0,0,0
24374,4,0,0,4200,4200,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24379,1,0,43.532280688,14803.532281,0,0,9960,0,0,0,0,0,0,9960,0,0,9960,0,0,4800,4800,43.532280688,0,0,0,0,4843.5322807
24382,1,0,88.648770048,11588.64877,0,0,10200,0,0,0,0,0,0,10200,0,0,10200,0,0,1300,1300,88.648770048,0,0,0,0,1388.64877
24382,2,0,0,2000,2000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24393,1,0,80.706367253,14480.706367,0,0,9600,0,0,0,0,0,0,9600,0,0,9600,0,0,4800,4800,80.706367253,0,0,0,0,4880.7063673
24529,1,7093.5804387,-7049.256054,10950.743946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,44.324385024,0,0,0,0,10950.743946
24529,2,0,0,24050,0,0,24050,0,0,0,0,0,0,24050,0,0,24050,0,0,0,0,0,0,0,0,0,0
24529,3,0,0,21000,21000,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24529,4,0,0,9000,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24616,1,0,44.324385024,22484.324385,0,0,14040,0,0,0,0,0,0,14040,0,0,14040,0,0,8400,8400,44.324385024,0,0,0,0,8444.324385
24616,2,0,0,7540,0,0,7540,0,0,0,0,0,0,7540,0,0,7540,0,0,0,0,0,0,0,0,0,0
24760,1,221.67438871,-212.1763062,16767.823694,0,0,10980,0,0,0,0,0,0,10980,0,0,10980,0,0,6000,6000,9.4980825051,0,0,0,0,5787.8236938
24764,1,0,25.328220014,4825.32822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,25.328220014,0,0,0,0,4825.32822
24764,2,0,0,21600,21600,0,0,0,0,0,0,0,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24809,1,0,10645.447959,33845.447959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13600,9600,23200,2551.8181664,1759.4847375,6334.1450549,0,0,33845.447959
24809,2,0,0,14300,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,0,0,0,0,0,0,0,0
24853,1,0,399.38736002,32299.38736,24700,0,0,0,0,0,0,0,24700,0,0,0,0,0,0,7200,7200,47.490412526,351.8969475,0,0,0,7599.38736
24853,2,0,0,16900,16900,0,0,0,0,0,0,0,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24885,1,0,12.081521837,9112.0815218,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,12.081521837,0,0,0,0,12.081521837
24924,1,0,212.53948613,12348.903122,6000,0,0,0,0,0,0,0,6000,0,0,0,0,6136.3636364,0,0,0,18.99616501,0,193.54332112,6136.3636364,0,212.53948613
24924,2,0,0,7363.6363636,0,0,0,0,0,0,0,0,0,0,0,0,0,7363.6363636,0,0,0,0,0,0,7363.6363636,0,0
24924,3,0,0,2250,2250,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24984,1,0,17.210008982,15657.210009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640,12000,15640,17.210008982,0,0,0,0,15657.210009
24984,2,0,0,20800,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,0,0,0,0,0,0,0,0
24984,3,0,0,16900,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,0,0,0,0,0,0,0,0
24984,4,0,0,15600,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25007,1,0,2.9257171393,19102.925717,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,4800,4800,2.9257171393,0,0,0,0,4802.9257171
25138,1,0,0,21050,0,0,16250,0,0,0,0,0,0,16250,0,0,16250,0,0,4800,4800,0,0,0,0,0,4800
25148,1,7536.9292161,-7503.391897,32096.608103,27000,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,12600,12600,33.537318714,0,0,0,0,5096.6081026
25148,2,0,0,20000,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25245,1,0,0,14400,6000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,8400,8400,0,0,0,0,0,8400
25245,3,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,18000,0,0
25435,1,0,1014.7110334,35314.711033,0,0,0,0,8500,0,0,0,0,0,0,8500,8500,0,0,25800,25800,31.660275017,0,983.05075834,0,0,26814.711033
25435,2,0,0,45900,45000,900,0,0,0,0,0,0,45900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25625,1,0,6334.1450549,260982.14505,0,0,19448,0,0,0,0,0,0,19448,0,0,19448,0,205200,30000,235200,0,2287.3301587,4046.8148962,0,0,241534.14505
25930,1,0,962.32447435,36562.324474,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,9600,9600,70.40604821,0,891.91842614,0,0,10562.324474
25930,2,0,0,2301,0,0,2301,0,0,0,0,0,0,2301,0,0,2301,0,0,0,0,0,0,0,0,0,0
25968,1,0,329.37136275,22029.371363,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,4800,4800,12.664110007,0,316.70725275,0,0,5129.3713628
25968,2,0,0,4550,0,0,4550,0,0,0,0,0,0,4550,0,0,4550,0,0,0,0,0,0,0,0,0,0
25970,1,0,0,17620,0,0,12740,0,800,0,4080,0,0,12740,4080,4880,17620,0,0,0,0,0,0,0,0,0,0
26048,1,0,2891.0547752,45791.054775,0,0,42900,0,0,0,0,0,0,42900,0,0,42900,0,0,0,0,46.384312988,0,2844.6704622,0,0,2891.0547752
26163,1,0,40.929778157,16840.929778,16800,0,0,0,0,0,0,0,16800,0,0,0,0,0,0,0,0,40.929778157,0,0,0,0,40.929778157
26163,2,0,0,9100,9100,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26281,1,0,741.78622501,19711.786225,0,0,14170,0,0,0,0,0,0,14170,0,0,14170,0,0,4800,4800,37.99233002,703.79389499,0,0,0,5541.786225
26310,1,0,63.320550034,22963.32055,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,7300,7300,63.320550034,0,0,0,0,7363.32055
26310,2,0,0,5200,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0
26310,3,0,0,11000,11000,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26349,1,0,633.20550034,33333.2055,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,13200,13200,633.20550034,0,0,0,0,13833.2055
26349,2,0,0,5980,0,0,5980,0,0,0,0,0,0,5980,0,0,5980,0,0,0,0,0,0,0,0,0,0
26499,1,0,0,11300,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,4800,4800,0,0,0,0,0,4800
26499,2,0,0,3250,0,0,3250,0,0,0,0,0,0,3250,0,0,3250,0,0,0,0,0,0,0,0,0,0
26653,1,0,26.741221797,18896.741222,0,0,12870,0,0,0,0,0,0,12870,0,0,12870,0,0,6000,6000,26.741221797,0,0,0,0,6026.7412218
26684,1,0,0,14060,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,6000,6000,0,0,0,0,0,6000
26684,2,0,0,5600,5600,0,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27109,1,0,0,12200,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,1800,1800,0,0,0,0,0,1800
27114,1,0,0,10806,0,0,6606,0,0,0,0,0,0,6606,0,0,6606,0,0,4200,4200,0,0,0,0,0,4200
27116,1,0,63.320550034,18063.32055,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,5000,5000,63.320550034,0,0,0,0,5063.32055
