NQUEST,NORDP,MOTUSC,ANNOENUS,NORDP6
2178,2,1,2010,
2886,4,4,2009,
5416,3,6,2010,
7165,2,1,2010,
22850,2,1,2009,
23797,3,4,2009,
23865,3,4,2009,
23865,4,4,2009,
23865,5,6,2009,
23865,6,6,2010,
24010,1,1,2010,
24195,3,4,2010,
26163,3,4,2010,
27114,2,1,2010,
27123,3,4,2010,
27238,3,4,2010,
27509,1,1,2010,
27923,3,4,2009,
28802,3,6,2010,
31448,2,4,2010,
31671,2,4,2009,
32066,1,1,2010,
32067,1,1,2010,
32210,3,4,2009,
32229,2,1,2010,
32822,3,4,2009,
32822,5,4,2009,
33038,5,4,2010,
33245,3,4,2010,
33761,3,4,2010,
34059,2,1,2009,
35106,3,4,2010,
35518,2,1,2009,
35788,3,4,2010,
36164,4,4,2010,
36378,3,1,2010,
36403,1,4,2009,
36524,4,4,2010,
36697,2,4,2009,
38014,3,6,2009,
38316,4,6,2009,
38319,2,3,2010,
38362,1,1,2009,
38909,1,1,2009,
39055,3,4,2010,
39057,2,1,2010,
39058,3,4,2009,
39488,3,4,2009,
39907,1,1,2010,
51351,5,6,2010,
51363,1,1,2009,
53202,3,6,2010,
53373,3,1,2009,
53564,3,6,2009,
53751,2,6,2010,
53997,3,4,2009,
55799,3,4,2009,
55799,4,4,2010,
56572,1,1,2010,
145012,3,4,2009,
145012,4,4,2009,
145012,5,6,2009,
176057,1,1,2010,
237003,3,6,2010,
250010,2,1,2009,
250039,2,4,2010,
310051,4,6,2009,
333081,3,4,2009,
389084,3,6,2009,
500584,3,4,2009,
500620,2,1,2009,
501374,3,4,2010,
501777,5,1,2009,
501874,3,6,2010,
502157,2,6,2009,
503560,3,4,2009,
503561,3,4,2010,
503561,4,4,2009,
503703,3,4,2010,
503788,3,4,2009,
503850,3,4,2010,
503931,3,4,2010,
504129,3,1,2010,
504363,3,4,2010,
504743,1,1,2010,
504872,2,4,2009,
504965,2,4,2010,
505022,3,1,2010,
505416,1,1,2009,
505424,3,6,2009,
505594,3,6,2009,
505768,4,4,2009,
506107,3,4,2009,
506385,1,4,2009,
506402,3,4,2009,
506758,3,4,2010,
506772,3,4,2010,
506849,3,4,2009,
506889,2,1,2009,
506997,2,1,2009,
506997,5,5,,
506997,7,5,,
506997,8,5,,
507037,3,6,2009,
507181,1,1,2010,
507190,3,4,2010,
507260,1,6,2010,
507260,4,4,2010,
507287,2,1,2010,
507419,3,4,2010,
507444,3,6,2009,
507580,2,4,2009,
507644,7,5,,
507675,3,4,2009,
507675,4,4,2009,
507693,2,1,2010,
507823,2,6,2009,
507998,3,4,2010,
508046,3,4,2010,
508046,4,4,2010,
509069,3,4,2009,
509071,3,4,2010,
509074,3,4,2009,
509512,3,4,2010,
509512,4,4,2009,
509871,3,4,2010,
510224,2,1,2010,
510231,4,1,2010,
510374,4,4,2010,
510439,3,4,2009,
511165,3,4,2010,
511165,4,4,2009,
511354,3,4,2009,
511355,3,4,2010,
511355,5,4,2010,
511616,1,1,2009,
511757,3,4,2009,
511757,4,4,2009,
512768,1,1,2009,
512846,2,1,2010,
512884,5,98,,
512897,2,4,2009,
512939,2,1,2009,
512940,3,2,2009,
512941,7,5,,
513064,3,4,2010,
513335,4,6,2010,
513382,1,1,2009,
611747,2,1,2010,
611774,2,6,2010,
615505,2,1,2010,
617902,3,4,2010,
618272,1,1,2010,
622228,3,4,2009,
623310,4,4,2010,
624017,1,1,2010,
624389,2,4,2009,
625536,1,6,2010,
625926,2,6,2009,
625926,3,6,2009,
625926,4,6,2009,
626259,3,4,2010,
627797,3,4,2009,
628193,1,4,2009,
630345,4,4,2009,
630883,3,4,2010,
634481,4,6,2009,
634821,2,4,2009,
635514,1,1,2010,
636301,3,4,2009,
636301,4,4,2009,
637009,3,4,2009,
637242,2,4,2009,
638132,2,1,2010,
638603,3,6,2009,
638863,2,6,2010,
638906,3,4,2010,
640994,3,4,2009,
641305,3,4,2009,
648876,2,1,2010,
649032,4,3,2009,
649063,4,6,2009,
649374,2,2,2010,
649374,3,4,2010,
649374,4,4,2010,
649374,5,4,2010,
649374,6,4,2010,
650048,1,1,2010,
650055,2,4,2009,
670599,4,4,2009,
670599,5,4,2009,
670853,6,1,2010,
670865,5,4,2010,
671136,3,4,2009,
671136,4,4,2009,
671372,3,4,2009,
671838,1,1,2010,
672032,2,1,2009,
672369,2,1,2010,
672472,2,6,2009,
672620,3,4,2010,
672854,1,1,2009,
672985,2,1,2009,
673050,3,3,2009,
673514,3,4,2010,
673540,1,1,2010,
673661,4,6,2010,
673744,3,4,2010,
673746,3,4,2009,
673970,3,4,2010,
674024,4,1,2009,
674229,3,6,2010,
674320,3,2,2010,
674354,1,4,2009,
674686,4,1,2009,
674768,3,4,2009,
674815,5,4,2010,
674970,4,4,2009,
675645,2,1,2009,
675667,1,1,2009,
675746,1,1,2009,
675896,5,4,2009,
675983,3,4,2009,
676303,3,4,2009,
676426,3,4,2010,
677277,3,4,2010,
677346,2,4,2009,
677346,3,2,2010,
677475,3,6,2009,
677489,2,4,2009,
678132,2,1,2009,
678214,3,4,2010,
680391,3,1,2009,
680501,3,4,2010,
680612,1,1,2009,
680742,3,4,2009,
680742,4,6,2010,
680746,3,4,2009,
680771,2,4,2010,
680837,2,1,2010,
680891,1,1,2010,
680916,1,1,2009,
680920,3,4,2010,
681099,1,1,2010,
681368,7,5,,
681403,4,1,2009,
681640,1,6,2010,
681640,2,6,2010,
681867,2,1,2009,
682118,1,1,2009,
682192,3,1,2009,
682571,2,4,2010,
682715,3,4,2009,
682812,3,4,2009,
683143,3,6,2009,
683171,3,4,2010,
683344,1,1,2009,
683418,3,6,2010,
683418,4,6,2010,
683430,1,1,2010,
683446,3,4,2010,
683530,4,6,2009,
683665,4,4,2010,
683665,6,6,2010,
683707,3,6,2010,
683707,4,6,2010,
683782,3,4,2010,
683812,4,4,2010,
684063,4,4,2009,
684448,4,4,2010,
684454,3,6,2010,
684557,3,1,2010,
684665,2,3,2009,
684665,3,4,2010,
684689,1,1,2010,
684839,2,1,2010,
684937,4,4,2009,
684992,2,6,2010,
685002,1,4,2010,
685024,3,4,2009,
685024,5,4,2009,
685058,3,4,2010,
685085,1,1,2010,
685096,1,6,2009,
685103,1,1,2009,
685146,1,4,2009,
685148,1,4,2009,
685454,4,1,2010,
685588,3,2,2009,
685647,3,4,2010,
685664,2,6,2009,
685780,4,4,2009,
685873,3,4,2010,
685965,4,4,2009,
685969,3,4,2009,
685969,4,4,2009,
686178,3,4,2009,
686259,2,1,2009,
686433,3,4,2009,
686571,2,4,2009,
686694,1,1,2009,
686742,3,4,2009,
686831,2,1,2010,
686863,1,1,2010,
686887,2,6,2009,
686887,3,6,2009,
687005,2,1,2009,
687024,3,4,2010,
687024,4,4,2009,
687076,1,4,2010,
687135,2,6,2009,
687165,3,4,2010,
687165,4,3,2009,
687248,3,4,2010,
687471,3,4,2009,
687512,1,1,2009,
687630,2,1,2009,
687878,5,4,2010,
687893,4,4,2009,
687992,4,4,2010,
687993,3,4,2009,
688123,3,3,2009,
688142,2,6,2010,
688172,3,3,2009,
688204,2,6,2010,
688204,3,6,2010,
688214,3,4,2010,
688287,3,4,2009,
