nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
629,2,1,1,1,1,1,12,2,4,40,2,,15500,2,0
1763,2,1,1,2,2,2,5,1,,40,2,,6000,2,0
2447,1,1,1,1,1,1,12,2,4,52,1,24,22800,2,0
2447,3,2,1,2,2,1,12,2,2,30,1,6,3600,2,0
2886,2,1,1,1,1,1,12,1,,36,2,,22000,1,1000
2886,3,1,1,2,3,2,6,2,1,20,2,,3600,2,0
5416,1,1,1,2,1,1,12,2,6,27,2,,10000,2,0
5416,2,1,1,2,1,2,9,2,7,25,2,,9000,2,0
5416,4,1,1,2,1,1,12,2,1,30,2,,11000,2,0
7165,2,1,1,1,1,1,12,2,2,40,2,,15600,2,0
7886,2,1,1,2,1,1,12,1,,20,2,,10000,2,0
20297,1,1,1,1,1,1,12,2,2,40,1,3,16200,2,0
20297,2,1,1,2,1,1,12,2,1,33,2,,9000,2,0
21384,3,1,1,1,2,2,6,2,1,40,2,,7500,2,0
22099,3,1,1,2,3,1,12,2,1,20,2,,9000,2,0
22277,1,1,1,1,1,1,12,1,,32,2,,17000,2,0
22279,2,1,1,1,1,1,12,2,2,40,2,,16000,2,0
22279,3,1,2,1,1,1,12,2,1,50,2,,6000,2,0
22657,1,1,1,1,1,1,12,1,,35,2,,20000,2,0
22850,1,1,1,1,1,1,12,1,,30,2,,23400,2,0
23797,1,1,1,1,1,1,12,2,1,48,2,,15500,2,0
23823,2,1,1,1,1,1,12,2,1,48,2,,13000,2,0
24147,2,2,1,1,1,1,12,1,,30,2,,22000,2,0
24194,2,2,1,2,1,1,12,2,1,6,2,,2400,2,0
24194,3,3,1,1,1,2,11,2,6,40,2,,23000,1,200
24194,3,3,2,1,2,2,1,2,6,40,2,,1600,2,0
24194,4,2,1,1,2,2,3,2,2,40,2,,3300,1,80
24194,4,2,2,2,2,2,5,2,2,40,2,,3000,2,0
24374,3,1,1,1,1,1,12,2,6,40,2,,18000,1,720
24382,2,2,1,2,2,1,12,2,5,10,2,,3000,2,0
24764,2,1,1,1,1,1,12,2,6,40,2,,22000,2,0
24853,2,2,1,1,1,1,12,1,,24,2,,17000,2,0
24924,3,1,1,1,2,2,9,2,5,44,1,6,11000,2,0
25148,1,1,1,1,1,1,12,2,4,32,2,,30000,1,1000
25148,2,1,1,1,1,1,12,2,1,36,2,,20000,2,0
25245,1,1,1,1,2,1,12,2,6,60,1,20,11500,2,0
26163,2,1,1,1,1,1,12,2,2,52,1,8,28000,2,0
26684,2,1,1,1,3,2,8,2,7,40,2,,4800,2,0
27155,3,1,1,1,2,2,6,2,4,40,2,,4000,1,1800
27157,2,1,1,2,1,1,12,2,1,30,2,,8000,2,0
27224,3,1,1,1,1,1,12,2,7,40,2,,18000,2,0
27238,2,1,1,1,1,1,12,2,2,40,2,,12000,2,0
27730,4,1,1,2,2,1,12,2,2,25,2,,7800,2,0
27742,2,2,1,1,2,3,,1,,5,2,,6700,2,0
27912,2,1,1,1,1,1,12,2,7,36,2,,10800,2,0
27912,3,1,1,1,2,2,4,2,1,36,2,,4000,2,0
27912,3,1,1,1,2,2,5,2,2,36,2,,3000,2,0
28100,1,1,1,1,1,1,12,2,7,36,2,,28000,2,0
28346,2,1,1,1,3,3,,2,1,35,2,,3000,2,0
28441,1,1,1,1,1,2,10,2,2,45,1,5,22000,2,0
28802,2,1,1,1,1,1,12,2,1,40,1,20,24000,2,0
29140,2,2,1,1,1,1,12,2,6,40,2,,13000,2,0
29280,1,1,1,1,1,1,12,1,,42,2,,19000,2,0
29280,2,2,1,1,1,1,12,1,,18,2,,22500,2,0
29680,1,1,1,1,1,1,12,2,2,40,2,,15500,2,0
29680,4,1,1,1,1,1,12,2,2,40,2,,7500,2,0
29684,1,1,1,1,1,1,12,1,,18,2,,21600,2,0
29684,2,1,1,1,1,1,12,1,,24,2,,22100,2,0
29737,1,1,1,1,1,1,12,1,,36,2,,35000,2,0
29737,2,2,1,1,1,1,12,1,,30,2,,24000,2,0
29742,1,1,1,1,1,1,12,2,7,60,2,,18000,2,0
29742,2,1,1,1,1,1,12,1,,40,2,,17000,2,0
29823,2,2,1,1,1,1,12,2,6,36,2,,29000,2,0
31092,1,1,1,1,1,1,12,2,2,40,2,,39000,2,0
31122,1,1,1,1,1,1,12,2,1,40,2,,16000,2,0
31122,4,1,1,1,2,1,12,2,1,37,2,,15000,2,0
31137,1,1,1,1,1,1,12,2,6,40,2,,25000,2,0
31137,2,1,1,1,1,1,12,1,,30,2,,20000,2,0
31137,3,1,1,1,1,1,12,2,6,40,2,,20000,2,0
31161,1,1,1,1,1,1,12,1,,36,2,,23500,2,0
