nquest,nord,intper,attivp,tuttanno,mesilav,prof,numadd,numdip,quopro,dovelav,orario,oretot,fatlor,ym,debatt1,ndebatt1,debatt2,ndebatt2,debcom,tdebcom,credcom,tcredcom,tfr,immob,valaz
632,3,1,1,1,12,1,1,0,100,,,55,25000,13000,2,,2,,2,,2,,,2,0
2447,3,2,2,3,,3,1,0,100,,,20,200,180,2,,2,,2,,2,,,2,0
3717,1,1,1,1,12,3,1,0,100,,,15,6500,6000,2,,2,,,,,,,2,0
20223,3,1,1,1,12,3,1,0,100,,,50,10000,10000,2,,2,,2,,2,,,2,50000
21384,1,1,1,1,12,3,1,0,100,,,60,70000,18000,2,,2,,1,4000,2,,,1,100000
22099,1,1,1,1,12,1,1,0,100,,,40,25000,12000,2,,2,,2,,2,,,2,50000
22657,2,1,1,1,12,4,,,,2,2,10,7500,6000,,,,,2,,2,,,,
25138,3,1,1,3,,4,,,,2,2,2,800,800,,,,,2,,2,,,,
25148,3,1,1,1,12,2,1,0,100,,,30,12000,8000,2,,2,,2,,2,,,2,10000
25245,3,1,1,1,12,2,1,0,100,,,60,25000,18000,1,1,2,,2,,2,,,2,100000
27155,1,1,1,1,12,3,1,0,100,,,40,24000,11000,2,,1,1,2,,1,3000,,1,40000
27155,2,2,1,1,12,3,1,0,100,,,25,12000,8000,2,,2,,2,,2,,,2,0
27157,1,1,1,1,12,3,1,0,100,,,60,12000,10000,2,,1,1,2,,1,10000,,2,10000
27224,2,1,1,1,12,3,1,0,100,,,45,28000,14000,2,,2,,2,,2,,,1,75000
28802,1,1,1,1,12,3,1,0,100,,,48,40000,20000,2,,2,,2,,2,,,2,50000
29288,1,1,1,1,12,3,1,0,100,,,48,18000,10000,2,,2,,2,,2,,,1,50000
31093,1,1,1,1,12,2,2,1,100,,,50,40000,24000,2,,2,,2,,2,,3000,1,100000
31869,1,1,1,1,12,3,1,0,100,,,42,15000,13000,2,,2,,2,,2,,,2,30000
32057,1,1,1,1,12,1,1,0,100,,,50,15000,15000,2,,2,,2,,2,,0,2,50000
32288,1,1,1,1,12,3,1,0,100,,,50,50000,20000,1,1,2,,2,,2,,,2,60000
32470,2,1,1,3,,3,1,0,100,,,20,7000,6000,2,,2,,2,,2,,,2,10000
32729,1,1,1,1,12,3,1,0,100,,,45,108000,33000,2,,2,,1,3000,1,28000,,2,40000
33038,4,1,1,1,12,2,1,0,100,,,40,10000,6500,2,,2,,2,,2,,,2,60000
33336,1,1,1,2,6,3,1,0,100,,,20,8000,5000,2,,2,,2,,2,,,2,5000
33777,1,1,1,1,12,3,3,0,33,,,40,18000,13000,2,,2,,2,,2,,,2,100000
33781,1,1,1,1,12,3,3,1,50,,,50,10000,7000,2,,2,,1,70000,2,,8000,2,20000
33781,2,1,1,1,12,3,3,1,50,,,50,10000,7000,2,,2,,1,70000,2,,8000,2,20000
33937,3,1,1,1,12,3,2,0,50,,,50,30000,15000,2,,2,,2,,2,,,2,50000
33985,1,1,1,1,12,1,1,0,100,,,30,80000,24000,2,,2,,2,,1,24000,,2,0
35508,2,2,1,1,12,3,2,1,100,,,70,34000,10000,1,2,2,,2,,2,,0,1,300000
36164,2,1,1,2,8,4,,,,2,3,20,4800,4500,,,,,2,,2,,,,
36250,2,1,1,1,12,3,1,0,100,,,45,10000,5000,2,,2,,2,,2,,,2,20000
36522,2,1,2,1,12,1,1,0,100,,,15,2000,500,2,,2,,2,,2,,,2,0
36893,2,2,1,1,12,3,3,0,100,,,20,2000,1000,2,,2,,2,,2,,,1,100000
37299,3,1,1,1,12,3,1,0,100,,,40,10000,10000,2,,2,,2,,2,,5000,2,15000
37808,1,1,1,1,12,3,2,0,100,,,60,50000,25000,2,,2,,2,,2,,,2,100000
37808,2,1,1,1,12,3,2,0,100,,,50,50000,20000,2,,2,,2,,2,,,2,100000
38316,1,1,1,1,12,1,1,0,100,,,62,100000,60000,2,,2,,2,,2,,,1,10000
38316,2,2,1,1,12,1,1,0,100,,,20,20000,15000,2,,2,,2,,2,,,2,5000
38316,3,1,1,1,12,4,,,,3,3,30,3000,2559,,,,,2,,2,,,,
38877,1,1,1,1,12,4,,,,2,2,20,8400,6000,,,,,2,,2,,,,
38939,2,2,1,1,12,2,5,4,100,,,70,25000,12000,2,,2,,2,,2,,3000,2,100000
38939,3,3,1,1,12,1,1,0,100,,,50,20000,15000,2,,2,,2,,2,,,2,0
38977,1,1,1,1,12,3,2,1,100,,,60,300000,70000,2,,2,,2,,2,,0,1,1500000
39086,1,1,1,1,12,3,1,0,100,,,35,6000,3000,2,,2,,1,4000,1,5000,,2,0
