nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,oretot,compfiss,dividut,quopro,partecip
28992,1,1,2,1,12,2,1,8,15,0,2500,100,300000
32709,2,1,2,3,,6,5,7,20,500,1000,10,200000
32764,1,1,1,1,12,2,0,6,60,9600,0,50,350000
32887,1,1,1,1,12,4,3,1,58,50000,0,60,800000
32887,2,1,1,1,12,2,1,1,35,35000,0,40,500000
33328,1,1,1,2,9,4,0,7,45,6000,0,25,20000
33985,1,1,2,1,12,1,0,6,25,30000,0,100,1000
55425,1,1,2,3,,2,0,7,2,1800,900,50,4000
213440,1,1,1,1,12,3,2,1,65,25000,4000,49,45000
243067,1,1,1,3,,6,5,6,1,200,0,25,50000
243067,1,1,2,3,,2,0,6,1,200,2000,10,10000
500669,1,1,1,1,12,2,0,7,40,36000,18000,50,5000
501444,3,3,1,1,12,6,4,8,40,18000,0,30,35000
504110,2,1,1,1,12,18,16,1,50,30000,0,50,300000
504821,1,1,1,1,12,4,2,8,40,50000,25000,50,40000
505672,1,1,2,1,12,2,0,1,16,0,20000,70,750000
505810,1,1,1,1,12,40,37,1,50,60000,40000,42,800000
505810,2,1,2,3,,40,37,1,2,16000,0,16,200000
505818,1,1,1,1,12,22,19,1,70,60000,0,33,300000
506413,1,1,1,1,12,12,10,1,60,20000,0,50,1000000
506799,1,1,2,1,12,2,0,7,40,20000,20000,50,50000
506799,3,1,2,2,6,2,0,7,40,20000,20000,50,50000
513428,1,1,1,1,12,6,4,6,34,22000,5000,50,120000
513428,2,1,1,1,12,6,4,6,40,22000,5000,50,120000
513437,2,1,2,1,12,2,0,8,8,10000,8000,80,50000
631237,2,1,2,1,12,1,0,8,10,0,12000,100,2000
640212,1,1,1,1,12,8,6,1,50,32000,0,5,10000
640212,2,1,1,1,12,15,12,1,40,15000,0,5,10000
640250,1,1,1,1,12,40,37,1,40,72000,0,25,500000
650027,1,1,1,1,12,3,1,7,100,0,20000,50,100000
671372,1,1,1,1,12,7,5,1,40,36000,150000,33,800000
671372,1,1,2,1,12,8,7,1,15,0,16000,16,500000
673556,2,1,1,1,12,6,3,8,45,0,20000,50,50000
674272,1,1,2,3,,1,0,7,1,0,2000,55,88000
674686,1,1,1,1,12,5,0,7,24,12000,0,25,100000
674686,1,1,2,3,,5,0,8,8,1000,0,16,50000
674686,2,1,1,1,12,5,0,8,10,2000,0,67,200000
674686,3,1,1,1,12,5,0,8,5,2400,0,16,50000
675404,1,1,1,1,12,10,8,1,65,12000,0,75,300000
675480,2,1,1,1,12,2,0,8,45,25000,3000,50,100000
676171,2,1,1,2,8,2,0,8,30,6000,6000,50,5000
677655,1,1,1,1,12,1,0,1,36,0,1,51,51000
680732,3,1,1,1,12,5,3,7,48,18000,0,33,200000
682263,2,1,1,1,12,2,0,1,45,2500,0,50,500
683437,1,1,1,1,12,2,0,7,50,10000,0,50,10000
683438,2,1,1,1,12,7,5,1,40,10000,0,50,50000
683469,1,1,1,1,12,2,0,7,40,500,0,98,28000
683472,1,1,1,1,12,15,9,1,45,2300,0,5,70000
684351,1,1,1,1,12,10,5,2,40,23000,0,51,700000
684727,2,1,1,1,12,3,2,1,45,500,0,25,20000
685664,1,1,1,2,11,4,4,7,43,20400,0,33,600000
687953,1,1,1,1,12,2,0,6,40,10000,2000,40,40000
688277,1,1,1,1,12,3,0,7,50,13000,0,50,15000
688277,2,1,1,1,12,2,0,7,60,13000,0,50,15000
704806,1,1,1,2,3,2,0,6,12,2000,0,50,80000
708030,1,1,1,1,12,2,0,6,48,18000,0,50,20000
710165,1,1,1,1,12,3,1,6,18,6800,1600,50,50000
710303,3,3,1,1,12,8,7,6,52,8400,0,95,500
711432,2,1,1,1,12,2,0,7,45,19000,19000,50,125000
712964,1,1,2,1,12,4,0,7,6,0,8000,25,200000
712964,2,1,2,1,12,40,38,2,8,0,10000,10,200000
718600,2,2,1,1,12,8,6,7,40,0,25000,50,90000
726161,1,1,1,1,12,3,0,7,8,10000,0,25,10000
728148,1,1,1,1,12,40,35,1,50,55000,0,30,1000000
728547,1,1,1,1,12,4,0,1,40,70000,0,60,1000
736831,1,1,1,1,12,1,0,6,60,20000,0,60,50000
804534,1,1,1,1,12,100,96,4,40,11500,500,10,1000
805100,1,1,1,1,12,4,1,1,50,38400,0,25,50000
806171,1,1,2,1,12,14,11,1,1,0,90000,20,100000
806171,2,1,1,1,12,14,11,1,40,0,90000,30,150000
806570,1,1,1,1,12,2,0,6,60,12000,0,50,70000
806570,3,1,1,1,12,2,0,6,40,12000,0,50,70000
807703,2,1,1,1,12,16,0,8,30,10000,5000,20,5000
811242,1,1,1,1,12,2,0,8,35,15000,9000,50,5000
815946,1,1,1,1,12,6,5,1,35,13000,0,15,25000
819125,1,1,1,1,12,3,1,8,60,3000,5000,50,50000
827647,2,1,1,1,12,2,0,7,40,12000,0,50,10000
851392,2,1,2,3,,2,0,8,5,500,0,2,2000
853911,5,1,1,1,12,2,0,8,30,13000,5000,50,10000
854414,2,1,1,1,12,18,16,7,50,12000,18000,50,200000
855325,1,1,1,1,12,19,15,7,48,1,0,25,400000
855991,2,1,1,1,12,3,0,6,18,2600,0,10,5000
857227,1,1,1,1,12,2,1,7,35,6000,0,40,80000
857350,1,1,2,2,1,3,2,4,2,1400,0,1,1000
857398,1,1,1,1,12,3,0,7,40,0,1000,34,130000
858353,1,1,1,1,12,6,0,7,40,10000,0,17,20000
858390,2,2,1,1,12,5,0,7,45,15000,0,20,70000
859259,3,1,1,1,12,3,2,1,40,15000,0,100,50000
859286,1,1,1,1,12,7,0,1,40,0,15000,20,10000
859587,1,1,1,1,12,2,1,1,48,14400,10000,33,40000
859983,1,1,1,1,12,5,4,1,50,60000,0,85,400000
860525,1,1,1,1,12,2,0,1,40,40000,25000,50,100000
860525,2,1,1,1,12,2,0,1,40,40000,25000,50,100000
