nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
173,1,1,1,1,2004,2500,13,2,0,50,1
375,1,1,1,1,1985,409,13,2,0,80,1
629,1,1,1,1,1997,1188,13,2,0,70,1
629,1,1,1,1,2004,,13,2,0,,3
629,1,1,1,5,1983,181,13,2,0,,2
632,1,1,1,1,2009,1320,13,2,0,80,1
633,1,1,1,1,1991,350,13,2,0,25,1
633,1,1,1,5,2003,800,13,2,0,,2
923,1,1,1,5,1994,470,13,2,0,,1
1238,1,1,1,1,1998,1000,12,2,0,70,1
1367,1,1,1,2,2008,500,13,2,0,,1
1367,2,2,1,2,2008,500,13,2,0,,1
1927,1,1,1,5,1994,790,13,2,0,,1
1946,1,1,2,5,2008,890,13,2,0,,1
2274,1,1,1,3,1977,400,13,2,0,,1
2274,1,1,1,5,2012,320,13,2,0,,2
2485,1,1,1,5,1974,600,13,2,0,,1
2886,1,1,2,1,2010,1211,13,2,0,100,1
7165,1,1,1,1,2012,1100,2,2,0,90,2
7165,1,1,1,5,2010,450,11,2,0,,1
7886,1,1,1,1,2008,2000,13,1,5000,90,1
11972,1,1,1,1,2009,1270,13,2,0,60,1
11972,2,2,1,1,1999,750,13,2,0,50,1
20174,1,1,1,1,1997,2000,13,2,0,72,1
20174,2,2,1,1,2002,132,13,2,0,30,1
20223,1,1,1,1,1993,800,13,2,0,50,1
20223,2,1,1,1,2000,980,13,2,0,70,1
20711,2,1,1,1,1996,1900,13,2,0,60,1
20837,1,1,2,1,1989,1600,13,2,0,75,1
20837,1,1,5,7,1989,110,13,2,0,,2
20837,2,2,1,1,1988,430,13,2,0,70,1
21461,1,1,1,1,1975,600,13,2,0,50,1
22168,2,1,4,3,2008,250,13,2,0,,1
22168,3,3,1,3,1984,720,13,2,0,,1
22169,1,1,1,3,1997,500,13,2,0,,1
22169,2,2,1,2,2002,520,13,2,0,,1
22173,1,1,1,1,1997,1200,13,2,0,60,1
22208,1,1,1,1,1985,700,13,2,0,80,1
22208,1,1,1,5,2006,500,13,2,0,,2
22222,1,1,1,1,1977,1100,13,2,0,100,1
22222,1,1,1,5,2003,750,13,2,0,,2
22276,1,1,2,1,2009,1170,13,2,0,100,1
22276,2,1,1,3,2007,500,13,2,0,,2
22276,2,1,1,5,2007,900,13,2,0,,1
22286,1,1,2,1,1993,900,13,2,0,80,1
22292,1,1,1,1,1993,700,13,2,0,80,1
22292,2,2,1,1,1990,800,13,2,0,60,1
22292,2,2,1,3,1970,400,13,2,0,,2
22657,2,1,1,1,2006,950,13,2,0,70,1
22995,1,1,1,1,1994,1470,13,2,0,50,1
22996,1,1,1,1,1990,2200,13,2,0,80,1
22996,2,1,1,2,2003,330,13,2,0,,1
23370,1,1,2,1,1999,1300,13,2,0,70,1
23370,2,1,6,1,2004,,12,2,0,10,1
23384,1,1,1,1,2000,835,13,2,0,50,1
23384,1,1,1,5,2006,235,13,2,0,,2
23490,1,1,1,1,1996,1340,13,2,0,70,1
23821,1,1,1,5,2000,610,13,2,0,,1
23823,1,1,1,3,2010,200,13,2,0,,2
23823,1,1,1,5,2006,620,13,2,0,,1
23865,1,1,1,1,2003,1990,13,2,0,80,1
23986,2,1,1,1,1995,735,13,2,0,60,1
24147,1,1,1,1,2004,1500,13,2,0,80,1
24149,1,1,1,1,1983,640,13,2,0,60,1
24194,1,1,1,1,2011,1600,13,2,0,80,1
24195,2,1,1,1,1997,1180,13,2,0,80,1
24326,1,1,1,1,1975,600,13,2,0,70,1
24326,1,1,3,5,2006,300,13,2,0,,2
24374,2,1,2,1,1990,1200,13,2,0,100,1
24379,1,1,2,5,1996,800,13,2,0,,1
24382,1,1,1,1,2000,800,13,2,0,60,1
24393,1,1,2,5,2006,680,13,2,0,,1
24616,1,1,1,1,1995,1006,13,2,0,80,1
24616,1,1,1,4,2012,400,12,2,0,,2
24616,2,2,1,1,2002,700,13,2,0,50,1
24760,1,1,2,5,1969,950,12,2,0,,1
24809,2,1,1,1,1990,1100,13,2,0,80,1
24853,1,1,2,1,2011,2080,13,2,0,100,1
24984,2,1,1,1,2010,1600,13,2,0,80,1
24984,3,1,1,1,1985,1400,13,2,0,80,1
25007,1,1,1,1,1989,387,13,2,0,20,2
25007,1,1,2,5,2005,810,13,2,0,,1
25138,1,1,1,1,2005,1300,13,2,0,100,1
25625,1,1,1,1,1987,380,13,2,0,75,2
25625,1,1,5,5,1989,1200,12,2,0,,1
25930,1,1,1,1,2006,1900,13,2,0,70,1
25930,2,2,1,1,2008,180,13,2,0,80,1
25968,1,1,1,1,1993,1200,13,2,0,80,1
25968,2,2,1,1,2007,350,13,2,0,40,1
25970,1,1,1,1,1980,880,13,2,0,70,1
26048,1,1,1,1,1994,3300,13,2,0,100,1
26281,1,1,1,1,1970,150,13,2,0,50,1
26281,1,1,1,5,1978,850,13,2,0,,2
26310,1,1,1,1,2003,400,13,2,0,50,1
26310,2,2,1,1,1994,1100,13,2,0,90,1
26349,1,1,1,1,1988,1600,13,2,0,78,1
26349,2,1,1,1,1998,480,13,2,0,80,1
26684,1,1,1,2,2010,460,13,2,0,,1
27109,1,1,1,5,1996,850,13,2,0,,1
27114,1,1,1,5,2010,400,13,2,0,,1
27114,1,1,2,3,1984,800,13,2,0,,2
27116,1,1,1,1,1997,1085,13,2,0,80,1
27123,1,1,1,1,2000,1100,13,2,0,80,1
27224,1,1,1,1,2000,1800,13,2,0,100,1
27505,1,1,1,1,1990,1200,13,2,0,80,1
27509,1,1,1,1,1989,600,13,2,0,80,1
27730,2,2,1,1,1996,1480,13,2,0,80,1
