nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
173,1,,,,,,1,100,0,0,0,0,2000,80,1980,,,1,120000,2,0,5000,1,1,,
632,1,2,,,,,1,100,0,0,0,0,2003,50,2003,,,14,100000,2,0,5500,2,1,,
632,1,2,,,,,1,100,0,0,0,0,1993,70,1993,,,4,150000,1,5760,,2,1,,
923,1,,,,,,1,100,0,0,0,0,1958,140,1958,,,14,150000,2,0,200,6,1,,
923,1,,,,,,5,100,0,0,0,0,1958,180,1958,,,14,300000,2,0,400,6,1,,
1367,1,,,,,,6,100,0,0,0,0,1959,100,1950,,,8,40000,2,0,400,1,1,,
1763,2,,,,,,1,50,0,0,0,0,1980,60,1940,,,13,10000,2,0,1000,3,1,,
2274,1,,,,,,7,100,0,0,0,0,,,,2,,14,20000,2,0,400,3,1,,
2447,1,2,,,,,1,50,0,0,0,0,1995,43,1965,,,1,100000,2,0,500,3,2,15,
2447,2,,,,,,1,10,0,0,0,0,1980,200,1969,,,15,500000,2,0,1500,6,1,,
2886,1,,,,,,7,100,0,0,0,0,,,,,1015,11,2000,2,0,100,3,1,,
2886,1,,,,,,1,100,0,0,0,0,2012,50,1850,,,14,23000,2,0,2000,3,1,,
2886,1,2,,,,,6,100,0,0,0,0,2001,25,1956,,,3,25000,2,0,1200,1,1,,
2886,1,2,,,,,6,100,0,0,0,0,2000,20,2000,,,3,30000,2,0,1200,2,1,,
11972,1,2,,,,,4,100,0,0,0,0,1990,100,1988,,,2,300000,2,0,600,2,1,,
20174,1,2,,,,,1,100,0,0,0,0,1998,32,1990,,,3,80000,2,0,5000,1,1,,
20297,1,2,,,,,1,100,0,0,0,0,2009,80,2008,,,14,50000,2,0,600,1,2,,349
20711,2,,,,,,7,100,0,0,0,0,,,,2,,3,600000,2,0,200,3,1,,
20837,1,,,,,,1,100,0,0,0,0,1993,110,1965,,,4,150000,1,5400,,3,1,,
20837,1,,,,,,1,100,0,0,0,0,1993,100,1965,,,4,150000,1,5160,,3,1,,
21384,1,2,,,,,5,100,0,0,0,0,2000,110,1962,,,2,120000,2,0,10000,4,1,,
22279,1,,,,,,4,100,0,0,0,0,1998,80,1900,,,2,50000,2,0,100,3,1,,
22292,1,2,,,,,1,100,0,0,0,0,1985,120,1985,,,14,150000,2,0,5000,2,1,,
22292,1,2,,,,,1,100,0,0,0,0,1970,100,1950,,,4,180000,1,4800,,3,1,,
22996,1,2,,,,,7,100,0,0,0,0,,,,,1500,9,15000,2,0,800,3,1,,
23490,1,,,,,,1,50,0,0,0,0,1997,80,1958,,,4,160000,1,4200,,3,1,,
23986,2,,,,,,4,100,0,0,0,0,1970,22,1900,,,4,20000,1,3500,,3,1,,
23986,2,,,,,,4,100,0,0,0,0,1960,50,1950,,,14,150000,2,0,600,2,1,,
24147,1,,,,,,1,33,0,0,0,0,1982,80,1965,,,4,200000,1,7200,,3,1,,
24147,1,,,,,,1,33,0,0,0,0,1982,80,1965,,,4,200000,1,7200,,3,1,,
24147,1,,,,,,1,70,0,0,0,0,1982,80,1965,,,3,200000,2,0,7000,3,1,,
24147,1,,,,,,1,33,0,0,0,0,1982,100,1965,,,4,280000,1,9000,,3,1,,
24147,1,,,,,,1,33,0,0,0,0,1982,100,1965,,,3,280000,2,0,8000,3,1,,
24147,1,,,,,,1,33,0,0,0,0,1982,120,1982,,,3,300000,2,0,8000,3,1,,
24194,1,,,,,,1,25,0,0,0,0,1972,80,1970,,,14,100000,2,0,3500,3,1,,
24374,1,,,,,,7,50,0,0,0,0,,,,,5000,11,12000,2,0,100,3,1,,
24382,1,2,,,,,7,100,0,0,0,0,,,,,3000,11,3000,2,0,50,4,1,,
24809,2,,,,,,4,100,0,0,0,0,1963,53,1952,,,4,100000,1,10600,,1,1,,
24984,1,,,,,,7,100,0,0,0,0,,,,,4500,3,5000,2,0,200,1,1,,
24984,1,,,,,,1,100,0,0,0,0,1976,90,1976,,,14,200000,2,0,600,1,1,,
25148,2,,,,,,6,100,0,0,0,0,2004,40,1970,,,3,50000,2,0,1200,1,1,,
25625,1,,,,,,4,100,0,0,0,0,1978,30,1600,,,4,120000,1,500,,3,2,15,
25625,1,,,,,,1,100,0,0,0,0,1978,130,1872,,,5,600000,1,1150,,3,1,,
26349,1,,,,,,1,33,0,0,0,0,2000,60,1949,,,13,150000,2,0,6000,3,1,,
27114,1,,,,,,6,100,0,0,0,0,1968,40,1960,,,3,25000,2,0,1000,1,1,,
27116,2,,,,,,7,33,0,0,0,0,,,,,1600,11,5000,2,0,500,3,1,,
27116,1,,,,,,7,100,0,0,0,0,,,,,5000,11,10000,2,0,500,3,1,,
27123,2,,,,,,7,50,0,0,0,0,,,,1,,9,20000,2,0,1000,3,1,,
27123,1,2,,,,,6,100,0,0,0,0,2008,50,1983,,,3,25000,2,0,1000,1,1,,
27123,1,,,,,,1,50,0,0,0,0,2008,70,1960,,,8,70000,2,0,2000,3,1,,
27155,2,,,,,,1,100,0,0,0,0,2009,100,1970,,,1,200000,2,0,3000,6,1,,
27224,2,,,,,,7,33,0,0,0,0,,,,,3000,9,10000,2,0,3000,3,1,,
27224,1,,,,,,7,25,0,0,0,0,,,,,6500,9,20000,2,0,5000,3,1,,
27224,1,2,,,,,1,100,0,0,0,0,2004,60,1960,,,8,90000,2,0,400,1,1,,
27224,1,2,,,,,4,100,0,0,0,0,2000,96,1900,,,2,300000,2,0,15000,1,1,,
27238,1,,,,,,3,100,0,0,0,0,2010,100,2010,,,3,50000,2,0,500,6,1,,
27238,1,2,,,,,1,100,0,0,0,0,1985,70,1975,,,14,100000,2,0,400,3,1,,
27238,1,,,,,,7,100,0,0,0,0,,,,1,,9,100000,2,0,1000,5,1,,
27505,1,,,,,,1,50,0,0,0,0,1998,110,1950,,,4,150000,1,5000,,1,1,,
27730,1,2,,,,,7,100,0,0,0,0,,,,,900,9,20000,2,0,1500,1,1,,
27730,1,2,,,,,1,100,0,0,0,0,1987,60,1985,,,8,70000,1,3500,,6,1,,
27739,1,,,,,,4,100,0,0,0,0,1973,50,1970,,,4,30000,1,4800,,3,1,,
27739,1,,,,,,1,100,0,0,0,0,1968,80,1968,,,13,70000,2,0,3600,3,1,,
27739,1,,,,,,5,100,0,0,0,0,1972,70,1968,,,5,70000,1,3600,,3,1,,
27742,2,,,,,,1,100,0,0,0,0,2006,90,2006,,,8,250000,2,0,8000,7,1,,
27744,1,,,,,,7,100,0,0,0,0,,,,50,,3,70000,2,0,10000,3,1,,
27923,1,,,,,,7,33,0,0,0,0,,,,,1500,9,15000,2,0,600,3,1,,
27923,2,,,,,,8,100,0,0,0,0,,,,,9000,11,30000,2,0,1500,3,2,12,
27923,2,,,,,,1,33,0,0,0,0,2000,70,1900,,,8,50000,2,0,3000,3,2,12,
27930,2,,,,,,7,25,0,0,0,0,,,,,3000,11,1000,2,0,100,3,1,,
27947,2,,,,,,1,100,0,0,0,0,2012,85,1958,,,8,140000,2,0,1800,3,1,,
28331,1,,,,,,1,100,0,0,0,0,1950,200,1900,,,8,120000,2,0,100,1,1,,
28331,1,,,,,,1,100,0,0,0,0,1972,110,1972,,,14,250000,2,0,600,6,1,,
28441,1,,,,,,1,100,0,0,0,0,1986,55,1600,,,8,120000,2,0,500,3,1,,
28441,2,,,,,,1,50,0,0,0,0,2005,85,1969,,,8,180000,2,0,700,3,1,,
28920,1,,,,,,7,100,0,0,0,0,,,,,1400,11,15000,2,0,1500,1,1,,
28920,1,,,,,,1,100,0,0,0,0,1980,100,1980,,,1,70000,2,0,3600,6,1,,
28920,1,,,,,,4,60,0,0,0,0,2005,44,1800,,,5,120000,1,7000,,3,1,,
28920,1,,,,,,1,60,0,0,0,0,1990,70,1990,,,4,250000,1,5400,,2,1,,
28992,1,,,,,,7,100,0,0,0,0,,,,35,,10,50000,2,0,3500,3,1,,
28992,1,,,,,,1,100,0,0,0,0,1974,70,1973,,,1,300000,2,0,30000,1,1,,
29006,1,,,,,,8,30,0,0,0,0,,,,,800,11,60000,2,0,,3,1,,
29280,1,,,,,,7,100,0,0,0,0,,,,5,,9,90000,2,0,600,3,1,,
29288,1,,,,,,4,100,0,0,0,0,1997,70,1973,,,2,100000,2,0,5000,3,1,,
29678,1,2,,,,,1,100,0,0,0,0,1980,120,1974,,,1,80000,2,0,3000,1,1,,
29684,1,,,,,,6,50,0,0,0,0,2006,80,1990,,,8,50000,1,600,,3,1,,
29684,1,,,,,,4,50,0,0,0,0,2006,160,1970,,,5,70000,1,3000,,3,1,,
29684,1,,,,,,1,50,0,0,0,0,2006,100,1990,,,4,80000,1,1500,,3,1,,
29684,1,,,,,,1,100,0,0,0,0,2006,100,1990,,,4,100000,1,1500,,3,1,,
29684,1,2,,,,,1,100,0,0,0,0,1998,80,1960,,,1,120000,2,0,3500,1,1,,
29742,1,2,,,,,8,100,0,0,0,0,,,,,100,3,2500,2,0,200,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,1989,70,1950,,,8,75000,2,0,5000,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,1995,80,1960,,,8,110000,2,0,5000,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,2010,100,1955,,,8,120000,2,0,4000,1,1,,
31093,1,,,,,,4,100,0,0,0,0,1990,150,1930,,,2,400000,2,0,18000,4,1,,
31122,1,,,,,,8,100,0,0,0,0,,,,5,,8,20000,2,0,10000,2,2,16,
31122,1,,,,,,8,100,0,0,0,0,,,,10,,8,20000,2,0,10000,2,2,16,
31137,1,2,,,,,1,100,0,0,0,0,1987,70,1965,,,13,150000,2,0,6000,1,1,,
31219,1,,,,,,1,100,0,0,0,0,1958,130,1957,,,8,90000,2,0,3600,1,1,,
31220,1,,,,,,7,100,0,0,0,0,,,,,1500,11,20000,2,0,150,7,1,,
31220,1,2,,,,,1,100,0,0,0,0,1988,65,1988,,,4,90000,1,3000,,6,1,,
31220,1,2,,,,,1,100,0,0,0,0,1999,140,1986,,,13,110000,2,0,1000,1,1,,
31220,1,2,,,,,1,100,0,0,0,0,1965,140,1800,,,8,150000,2,0,,2,1,,
31220,1,,,,,,8,33,0,0,0,0,,,,,4000,8,150000,2,0,500,3,1,,
