nquest,debm21,debrf21,tdebita21,mutuodu21,mutuoin21,anmutuo21,tmutuoab21,tipotax21,debgar21_1,debgar21_2,debgar21_3,debpers21,debm22,debrf22,tdebita22,mutuodu22,mutuoin22,anmutuo22,tmutuoab22,tipotax22,debgar22_1,debgar22_2,debgar22_3,debpers22,debm23,debrf23,tdebita23,mutuodu23,mutuoin23,anmutuo23,tmutuoab23,tipotax23,debgar23_1,debgar23_2,debgar23_3,debpers23,taxfis21,taxvar21,taxfis22,taxvar22,taxfis23,taxvar23
27224,1,2,16000,15,35000,2004,3000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,
31441,1,2,50000,15,80000,2008,6100,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,
32729,1,2,18000,10,65000,2005,6900,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,
33751,1,2,35000,9,64000,2006,8400,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
36409,1,2,30000,10,50000,2007,7200,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
36891,2,2,3000,5,10000,2008,2520,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
36893,2,2,15000,10,38000,2006,4800,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
38272,2,2,59000,15,120000,2004,6000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
53085,1,2,90000,25,115000,2006,8000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
57138,1,2,54000,10,80000,2009,10500,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
57621,2,2,18000,15,30000,2002,3600,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,
57911,1,2,28000,10,30000,2012,2000,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,
58053,2,2,50000,20,52000,2012,2200,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,
237003,1,2,20000,5,30000,2010,7000,1,0,1,0,,1,2,30000,10,35000,2010,4600,1,0,1,0,,,,,,,,,,,,,,5,,5.09,,,
503308,1,2,90000,20,90000,2012,3000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
504157,1,2,11000,15,45000,2000,4250,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
504730,1,2,28000,20,140000,1995,10000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,,,,,
504886,2,2,25000,5,30000,2011,5000,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
505243,1,2,40500,15,70000,2006,5270,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,
505771,2,2,13500,3,15000,2012,1500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,
