nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
173,4,30000,5,30000,8000,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
20711,2,900,1,1800,900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
22099,2,200,4,1000,600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
25138,1,5000,6,12000,2500,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
25148,1,21000,10,25000,2250,0,0,0,1,0,1,2,1,20000,10,20000,2022,0,0,0,1,0,1,2,,,,,,,,,,,,,4.05,4.05,
27123,1,5000,2,7000,2760,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
27734,1,5780,3,13000,5820,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
27742,1,3200,2,6000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
29280,4,40000,15,90000,11000,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
29680,2,5000,5,6500,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,
29823,2,4000,2,5000,1600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
31441,1,4800,3,10800,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
31625,1,2900,3,12000,4500,0,0,0,1,0,1,2,2,339,1,1300,1130,0,0,0,1,0,1,2,,,,,,,,,,,,,4.2,0,
31695,1,7500,5,9000,2000,0,0,0,1,0,1,2,4,9000,5,20000,5500,0,0,0,1,0,1,2,1,192,5,9000,2300,0,0,0,1,0,1,2,0.05,0,0
32206,1,2150,2,3000,1150,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
32288,1,6000,5,16000,3900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
32703,1,8800,5,9900,1100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
32764,3,150000,25,175000,10000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
32772,1,3000,4,6000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
33335,4,17000,8,22000,3200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,
33751,1,7000,5,14000,3168,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
34377,4,5000,5,7000,1300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
35005,4,4000,4,5000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
36010,1,14000,10,15000,2000,1,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,
36893,1,1000,3,11000,3800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,
38014,1,1000,2,5000,2750,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,
