nquest,DEBM41F,TDEBITA41F,MUTUODU41F,MUTUOIN41F,ANMUTUO41F,TMUTUOAB41F,DEBGAR41F_1,DEBGAR41F_2,DEBGAR41F_3,DEBGAR41F_4,DEBRF41F,DEBM42F,TDEBITA42F,MUTUODU42F,MUTUOIN42F,ANMUTUO42F,TMUTUOAB42F,DEBGAR42F_1,DEBGAR42F_2,DEBGAR42F_3,DEBGAR42F_4,DEBRF42F,DEBM43F,TDEBITA43F,MUTUODU43F,MUTUOIN43F,ANMUTUO43F,TMUTUOAB43F,DEBGAR43F_1,DEBGAR43F_2,DEBGAR43F_3,DEBGAR43F_4,DEBRF43F,TAXDEB11F,TAXDEB12F,TAXDEB13F
505525,1,25000,5,100000,2007,3000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,2.5,,
505810,1,500000,5,500000,2012,10000,0,1,0,0,2,2,100000,,100000,2012,20000,0,1,0,0,2,,,,,,,,,,,,5.05,6.05,
507401,1,4000,5,17600,2008,3800,0,0,0,1,2,1,1600,3,7200,2010,2500,0,0,0,1,2,,,,,,,,,,,,5.6,6.5,
649063,1,7000,3,20000,2011,8000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,9,,
681329,2,3000,,5000,2012,2000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,9.38,,
683373,1,35000,15,120000,2003,6000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,4,,
684665,1,6000,10,30000,2004,4500,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,
685296,1,50000,10,700000,2003,25000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,4.5,,
686730,1,12000,5,15000,2012,870,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,3.5,,
701800,1,214000,10,250000,2011,36000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,3.05,,
706628,1,32000,5,60000,2010,12000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,2.75,,
732466,2,5000,,5000,2012,1400,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,10,,
806583,1,14000,8,20000,2006,2500,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,8.5,,
807128,1,56000,15,80000,2008,6000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,0.7,,
868251,1,8000,5,20000,2009,4800,0,0,0,1,2,2,20000,,20000,2012,1600,0,0,0,1,2,,,,,,,,,,,,4,8,
871995,1,2500,5,24000,2008,6800,0,0,0,1,2,1,7150,5,30000,2009,6600,0,0,0,1,2,1,8000,12,12000,2008,1500,0,0,0,1,2,12,8,13
873172,2,50000,,110000,2011,15000,0,0,0,1,2,2,50000,,110000,2011,15000,0,0,0,1,2,2,50000,,110000,2011,15000,0,0,0,1,2,6,6,6
878683,1,10000,5,20000,2010,3800,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,
879638,2,160000,,1700000,2012,10000,0,0,0,1,1,2,100000,,100000,2012,1000,0,0,0,1,1,2,40000,,40000,2012,1000,0,0,0,1,1,5.6,8.5,8.5
883762,1,7000,4,11000,2011,3900,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,9,,
885602,1,50000,10,90000,2006,19000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,4,,
