nquest,nord,DEBM41I,TDEBITA41I,MUTUODU41I,MUTUOIN41I,ANMUTUO41I,TMUTUOAB41I,DEBGAR41I_1,DEBGAR41I_2,DEBGAR41I_3,DEBGAR41I_4,DEBRF41I,DEBM42I,TDEBITA42I,MUTUODU42I,MUTUOIN42I,ANMUTUO42I,TMUTUOAB42I,DEBGAR42I_1,DEBGAR42I_2,DEBGAR42I_3,DEBGAR42I_4,DEBRF42I,DEBM43I,TDEBITA43I,MUTUODU43I,MUTUOIN43I,ANMUTUO43I,TMUTUOAB43I,DEBGAR43I_1,DEBGAR43I_2,DEBGAR43I_3,DEBGAR43I_4,DEBRF43I,DEBM44I,TDEBITA44I,MUTUODU44I,MUTUOIN44I,ANMUTUO44I,TMUTUOAB44I,DEBGAR44I_1,DEBGAR44I_2,DEBGAR44I_3,DEBGAR44I_4,DEBRF44I,DEBM45I,TDEBITA45I,MUTUODU45I,MUTUOIN45I,ANMUTUO45I,TMUTUOAB45I,DEBGAR45I_1,DEBGAR45I_2,DEBGAR45I_3,DEBGAR45I_4,DEBRF45I,TAXDEB11I,TAXDEB12I,TAXDEB13I,TAXDEB14I,TAXDEB15I
25245,3,1,70000,15,110000,2007,11000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,
27155,1,2,50000,,60000,2011,10000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,
27157,1,2,25000,,35000,2011,5200,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,
32288,1,1,35000,5,35000,2012,8000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
35508,2,1,170000,30,200000,2010,10000,0,0,1,0,2,1,25000,15,40000,2002,3000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,
51544,1,1,48000,15,80000,2005,6000,1,0,0,0,2,1,10000,5,30000,2008,5500,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,
91079,2,1,90000,10,100000,2011,16000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
501978,2,1,150000,10,500000,2005,50000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
621685,2,1,30400,10,40000,2011,4800,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,
670668,3,1,20000,5,20000,2012,1500,1,0,1,0,2,2,20000,,20000,2012,800,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,6.8,,,
670876,1,1,8000,3,10000,2010,3600,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
671033,2,1,5400,3,10500,2010,3600,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
671033,3,1,10000,5,70000,2008,14000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
671635,1,1,1800,5,35000,2008,7000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
671733,1,1,400000,15,450000,2009,25000,0,1,0,0,1,2,5000,,7000,2011,2500,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,,,
672572,2,1,20000,2,42000,2010,1500,0,0,1,0,2,2,1000,,12000,2011,800,0,0,1,0,2,1,120000,20,140000,2006,1400,1,0,0,0,2,2,3000,,10000,2012,750,0,0,1,0,1,2,3000,,15000,2011,540,0,0,0,1,1,2.05,2.07,3,2.03,2.03
674272,1,1,7000,10,110000,2004,13000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,
675801,1,2,9000,,25000,2011,10000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,
676671,1,1,1500,6,40000,2007,38500,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
681268,1,1,25000,6,30000,2011,5160,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,
681371,2,2,2350,,10000,2011,7050,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
682812,1,1,1500,4,5500,2011,1440,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
682897,2,1,170000,20,200000,2010,13000,1,1,0,0,1,1,8000,5,10000,2012,2000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,
683377,1,1,3000,5,13000,2010,3000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
683469,1,1,110000,20,120000,2008,3600,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,
684727,1,1,145000,15,150000,2012,5000,0,0,0,1,2,1,120000,7,180000,2010,25000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.7,,,
685124,1,2,12000,,70000,2011,50000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
685582,3,2,13000,,20000,2011,3000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
701324,1,2,4000,,7000,2011,1900,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,
702150,2,2,40000,,40000,2012,1500,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
706628,1,1,31000,5,60000,2010,12000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,
709422,1,1,10000,20,10000,1995,3500,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
713873,2,1,70000,10,950000,2010,10000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
720138,1,1,29000,5,30000,2012,1000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,
720312,2,1,15000,6,20000,2007,6000,0,0,0,1,1,1,10000,3,14000,2011,4560,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
722310,1,1,6000,5,20000,2009,3864,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
724537,1,1,620000,15,850000,2010,10000,1,0,0,0,1,2,280000,,350000,2011,3000,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,6,,,
735538,1,1,5000,3,10000,2011,3000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
807625,1,1,30000,5,60000,2008,18000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,,,,
809319,1,1,85000,20,100000,2008,7200,1,0,0,0,2,1,15000,7,15000,2012,2000,1,0,0,0,2,1,2000,5,13000,2008,3100,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,4.5,13.5,6,,
811858,2,1,300000,12,500000,2000,40000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
812740,2,1,100000,20,150000,2000,12500,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
819511,2,1,7000,5,9400,2010,2400,0,0,0,1,2,1,200,3,2000,2010,500,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,
820274,1,1,8000,15,50000,1999,6000,1,0,0,0,2,2,35000,,40000,2011,4800,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,6.5,,,
822166,3,2,100000,,108000,2012,905,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
823767,1,2,15000,,25000,2011,10000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
851863,1,1,30000,4,40000,2012,12000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
851980,2,1,80000,10,80000,2005,1000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
855274,4,1,75000,3,150000,2012,75000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
857866,1,1,8300,2,10000,2012,1300,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
858787,1,1,45000,5,100000,2009,22000,0,0,1,0,2,1,25000,5,60000,2009,12500,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,
859734,1,1,5000,4,20000,2009,5000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
865571,1,1,2000,4,50000,2008,11760,0,1,0,0,2,1,10000,3,25000,2010,9360,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.4,,,
866575,1,1,70000,15,200000,2001,16000,0,1,0,0,2,1,10000,6,20000,2007,6000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,
867913,1,2,15000,,15000,2011,5000,0,0,1,0,2,1,40000,8,40000,2011,8400,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,2.02,,,
868334,1,2,20000,,50000,2011,1500,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
868692,1,1,21000,3,21000,2012,1450,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,
871107,1,1,200000,15,300000,2006,24000,0,1,0,0,2,2,46000,,60000,2011,8000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.5,,,
871793,2,1,40000,20,200000,1995,24000,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
871995,2,,40000,10,70000,2007,13000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
872132,1,2,9000,,10000,2012,605,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
872261,1,1,7000,5,30000,2009,7200,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
872450,1,2,6000,,6000,2012,250,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
872620,1,1,150000,20,250000,2007,15000,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
872924,1,1,30000,10,50000,2007,6000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
873166,1,1,15000,2,20000,2011,12000,0,0,0,1,2,2,15000,,20000,2012,8000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,
873166,2,1,15000,2,20000,2011,12000,0,0,0,1,2,2,15000,,20000,2012,8000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,
873665,1,1,50,2,5000,2010,1000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
873809,2,1,13400,8,60000,2005,13400,1,0,0,0,2,1,15000,18,45000,2002,2700,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,
874027,1,1,5000,4,17000,2010,3600,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
874073,1,2,6000,,30000,2012,8000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,
875189,1,1,25000,5,30000,2010,9000,0,0,0,1,2,1,15000,5,20000,2009,10000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,6.06,,,
875198,1,1,180000,15,200000,2000,60000,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,,,
875585,1,1,100000,25,100000,2010,8400,0,1,0,0,1,1,30000,16,30000,2010,2400,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
876012,3,1,15000,5,15000,2012,1000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,
876030,2,1,10000,4,20000,2011,5000,1,0,0,0,2,2,3000,,5000,2012,2000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.4,,,
876496,1,2,10000,,15000,2012,5000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
876983,1,1,1500000,5,2000000,2010,40000,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
877045,1,1,6000,5,11000,2012,2000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
877662,1,2,5000,,5000,2012,5000,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,
877702,1,1,550000,15,570000,2012,20000,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,
878022,2,1,60000,10,100000,2007,8400,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
878182,1,1,2736,5,5000,2009,1824,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
878636,1,2,5000,,6000,2012,1000,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
878768,3,1,13000,7,13000,2011,330,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
879703,1,1,5000,3,20000,2010,7200,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,
