nquest,debm11,debrf11,tdebita11,moratoria1,mutuodu11,mutuoin11,anmutuo11,tmutuoab11,tipotax11,debgar11_1,debgar11_2,debgar11_3,debpers11,debm12,debrf12,tdebita12,moratoria2,mutuodu12,mutuoin12,anmutuo12,tmutuoab12,tipotax12,debgar12_1,debgar12_2,debgar12_3,debpers12,debm13,debrf13,tdebita13,moratoria3,mutuodu13,mutuoin13,anmutuo13,tmutuoab13,tipotax13,debgar13_1,debgar13_2,debgar13_3,debpers13,taxfis11,taxvar11,taxfis12,taxvar12,taxfis13,taxvar13
2447,2,2,20000,3,7,25000,2010,4900,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,
20837,2,2,8000,3,5,40000,2008,8400,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
23823,1,1,90000,3,20,100000,2010,5500,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,,,,
27238,2,2,7500,3,5,20000,2008,4800,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
29737,2,2,2000,3,10,150000,2003,7500,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
32144,1,2,20000,3,10,45000,2008,6000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
32318,2,2,3350,3,2,3500,2012,500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
32320,1,2,65000,3,15,150000,2004,12600,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,
32556,2,2,3000,3,15,30000,1998,3000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
32962,1,2,45000,3,20,75000,2005,5640,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
33303,2,2,22000,3,12,80000,2003,10800,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,
33773,2,2,23000,3,10,30000,2006,6000,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
33781,2,2,7000,1,10,12000,2009,4000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
35022,1,2,85000,1,30,106000,2004,7000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
35032,1,2,3200,3,15,30000,1998,3200,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
35372,2,2,12500,3,4,25000,2010,7200,2,1,0,0,,2,2,10000,3,5,15000,2012,500,2,1,0,0,,,,,,,,,,,,,,,,6.5,,5.5,,
35498,2,2,5000,3,5,5000,2012,500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
35520,1,2,14400,3,20,90000,1994,3600,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
36131,1,2,56000,3,25,103000,2000,6800,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,
37001,2,2,9000,3,10,35000,2005,4200,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
37665,1,2,75000,3,30,140000,2000,8100,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,,,,
38014,1,2,6000,3,20,40000,1996,2280,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
38964,2,2,30000,3,30,60000,2004,2500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
39697,1,2,12800,3,25,120000,1992,2700,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
53520,1,2,10000,3,15,40000,2001,3300,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
53666,2,2,9000,3,7,15000,2009,3500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
56656,2,2,20000,3,20,50000,2004,2000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
56686,1,2,4000,3,15,35000,1997,4000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
57086,1,2,17000,3,15,80000,2003,5000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
57670,2,2,35000,3,30,52000,2007,3732,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
58053,2,2,50000,3,20,60000,2011,4400,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
91081,1,2,80000,1,20,200000,2000,9000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
217081,1,3,16000,3,17,40000,2001,1500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
