nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
173,1,1,2,,,23,1,33,,,,,,,,,,2
375,1,1,2,,,35,1,25,,,,,,,,,,2
629,1,1,2,,,15,1,45,,,,,,,,,,1
629,2,4,2,,1,20,1,23,,38,,,2,,,,,1
632,1,1,2,,,22,1,37,,,,,,,,,,2
632,2,3,2,,1,18,1,18,,,,,,,,,,2
632,3,1,2,,,21,1,6,,,,,,,,,,2
633,1,4,2,,1,18,1,20,,,,,,,,,,2
923,1,0,,,,,,,,,,,,,,,,2
1238,1,1,2,,,40,1,20,,,,,,,,,,2
1367,1,1,2,,,17,1,23,,,,,,,,,,2
1367,2,0,,,,,,,,,,,,,,,,2
1763,1,3,1,12,1,14,1,29,,,,,,,,,,2
1763,2,1,1,5,,18,1,34,,,,,2,,,,,2
1927,1,5,1,5,1,15,1,15,,,,,,,,,,2
1946,1,0,,,,,,,,,,,,,,,,2
2274,1,1,1,3,,15,1,5,,,,,,,,,,2
2447,1,4,2,,3,16,1,38,,41,60,80,1,,,,80,1
2447,2,1,1,3,,16,1,22,,,,,,,,,,1
2447,3,2,2,,3,22,1,3,,22,,,2,,,,,1
2485,1,0,,,,,,,,,,,,,,,,2
2886,1,1,2,,,26,1,35,,,,,,,,,,2
2886,2,1,2,,,21,1,39,,,,,2,,,,,2
2886,3,5,1,3,1,23,1,5,,34,,,3,,,,,2
3717,1,10,1,7,3,17,2,,,41,65,20,,,,,,2
4732,1,0,,,,,,,,,,,,,,,,2
5416,1,3,2,,1,16,1,22,,40,65,50,2,,,,,2
5416,2,2,2,,1,19,1,14,,19,65,50,2,,,,,2
5416,3,1,1,3,,17,1,10,,,,,,,,,,2
5416,4,1,2,,,18,1,2,,,65,50,2,,,,,2
5416,5,,,,,,,,,,,,,,,,,2
7165,1,1,2,,,15,1,41,,,,,,,,,,2
7165,2,2,2,,1,22,1,10,,23,,,2,,,,,2
7886,1,1,2,,,23,1,38,,,,,,,,,,2
7886,2,1,2,,,55,1,5,,,70,50,,,,,,2
11972,1,1,2,,,24,1,39,,,67,50,,,,,,2
11972,2,2,2,,3,24,1,35,,,,,,,,,,2
20174,1,1,2,,,21,1,35,,,,,,,,,,2
20174,2,1,2,,,15,1,15,,,,,,,,,,2
20223,1,1,2,,,18,1,18,,,,,,,,,,2
20223,2,2,2,,3,13,1,27,,,,,,,,,,2
20223,3,3,2,,2,30,1,10,,30,,,,,,,,2
20297,1,3,2,,1,15,1,38,,39,55,80,2,,,,,2
20297,2,1,1,1,,29,1,2,,,,,2,,,,,2
20711,1,0,,,,,,,,,,,,,,,,2
20711,2,3,2,,1,14,1,37,,,,,,,,,,2
20837,1,3,2,,1,18,1,40,,,,,,,,,,1
20837,2,1,2,,,16,1,15,,,,,,,,,,1
21384,1,1,2,,,19,1,34,,,66,40,,,,,,2
21384,2,0,,,,,,,,,,,,,,,,2
21384,3,1,1,11,,19,1,5,,,66,40,2,,,,,2
21384,4,0,,,,,,,,,,,,,,,,2
21461,1,4,2,,1,11,1,40,,,,,,,,,,2
22099,1,1,2,,,20,1,21,,,75,40,,,,,,1
22099,2,0,,,,,,,,,,,,,,,,1
22099,3,1,2,,,26,2,,,,,,2,,,,,1
22099,4,0,,,,,,,,,,,,,,,,1
22168,1,1,2,,,17,2,,,,,,,,,,,2
22168,2,1,1,4,,17,2,,,,,,,,,,,2
22168,3,0,,,,,,,,,,,,,,,,2
22169,1,0,,,,,,,,,,,,,,,,2
22169,2,0,,,,,,,,,,,,,,,,2
22169,3,1,2,,,25,2,,,,,,,,,,,2
22173,1,1,2,,,15,1,37,,,,,,,,,,2
22173,2,0,,,,,,,,,,,,,,,,2
22208,1,1,2,,,15,1,35,,,,,,,,,,2
22222,1,1,2,,,14,1,40,,,,,,,,,,2
22276,1,1,2,,,19,1,37,,,,,,,,,,2
22276,2,4,2,,1,20,1,4,,,,,,,,,,2
22277,1,1,2,,,24,1,34,,,62,70,,,,,,2
22277,2,1,2,,,18,1,35,,,,,,,,,,2
22277,3,0,,,,,,,,,,,,,,,,2
22279,1,1,2,,,14,1,39,,,60,70,,,,,,2
22279,2,1,1,1,,20,1,9,,,,,2,,,,,2
22279,3,1,2,,,23,1,3,,,66,50,,,,,,2
22286,1,1,2,,,16,1,20,,,,,,,,,,2
22286,2,3,2,,1,15,1,35,,,,,,,,,,2
22292,1,1,2,,,12,1,40,,,,,,,,,,1
22292,2,1,2,,,10,1,40,,,,,,,,,,1
22624,1,1,1,3,,17,1,20,,,,,,,,,,1
22624,2,0,,,,,,,,,,,,,,,,1
22624,3,1,1,1,,15,1,5,,,,,,,,,,1
22624,4,0,,,,,,,,,,,,,,,,1
22624,5,0,,,,,,,,,,,,,,,,1
22657,1,1,2,,,29,1,33,,,66,75,2,,,,,2
22657,2,2,2,,1,25,1,35,,,,,,,,,,2
