NQUEST,QUEST,NQUESTP,contint,ncomp,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitf,nfratsore,vitgen,ngen,figli,nfigli,parnoit,CAPI
173,3,,2,1,1,3,2,3,1923,,1,3,8,4,1927,,1,8,1,1,1,2,2,1
375,3,,1,1,1,3,1,3,1892,,1,1,9,,1893,,1,2,2,,1,2,,1
629,3,,2,2,2,,,,,,1,2,10,,1915,,2,,2,,1,1,,0
632,3,,1,3,1,2,2,3,1911,,1,1,9,,1912,,1,9,1,1,1,1,,0
633,3,,2,1,1,2,8,1,1884,,1,2,9,,1889,,2,,2,,1,2,,0
923,3,,2,1,1,2,1,4,1896,,1,1,9,,1900,,1,1,2,,1,4,,1
1238,3,,3,1,2,,,,,,2,,,,,,1,2,2,,1,4,,1
1367,3,,1,2,1,2,1,4,1901,,1,1,9,,1907,,1,2,2,,1,3,,1
1763,3,,2,2,1,1,1,1,1910,,1,1,1,1,1911,,1,2,2,,1,2,,1
1927,3,,2,1,1,2,2,1,1901,,1,3,9,,1904,,1,2,2,,1,2,,1
1946,3,,2,1,1,4,2,3,1919,,1,2,9,,1920,,1,6,2,,2,,2,1
2274,3,,1,1,1,1,8,1,1901,,1,1,8,1,1906,,1,5,2,,1,2,,1
2447,3,,2,3,1,2,1,2,1931,,1,2,9,,1933,,1,6,1,1,1,1,,1
2485,3,,1,1,1,1,8,1,1896,,1,1,9,,1900,,1,5,2,,1,4,,1
2886,3,,2,3,1,2,1,4,1926,,1,2,2,3,1924,,1,1,1,1,1,2,,1
3717,3,,1,1,1,3,2,3,1916,,1,2,9,,1922,,1,1,2,,2,,2,1
4732,3,,2,1,2,,,,,,2,,,,,,2,,2,,1,2,2,1
5416,3,,1,5,2,,,,,,2,,,,,,1,9,1,1,2,,2,0
7165,3,,1,2,1,2,1,2,1909,,1,1,9,,1917,,1,2,2,,2,,,1
7886,3,,4,2,1,2,2,4,1910,,1,2,9,,1918,,1,2,1,1,1,2,,0
11972,3,,2,2,1,1,8,1,1914,,1,1,8,1,1916,,1,6,2,,2,,,1
20174,3,,2,2,1,2,9,,1909,,1,2,9,,1912,,1,2,2,,2,,,1
20223,3,,5,3,2,,,,,,2,,,,,,1,3,2,,2,,,1
20297,3,,4,2,1,2,1,4,1924,,1,2,9,,1927,,1,3,1,2,2,,,1
20711,3,,2,2,1,1,8,1,1899,,1,1,9,,1908,,1,9,2,,1,5,,1
20837,3,,2,2,1,2,2,3,1900,,1,4,2,3,1900,,1,1,2,,1,3,,1
21384,3,,2,4,1,1,8,4,1928,,1,2,9,,1932,,1,2,1,1,2,,,1
21461,3,,2,1,1,1,1,1,1880,,1,1,9,,1880,,2,,2,,1,2,,1
22099,3,,2,4,1,2,1,2,1932,,1,2,9,,1936,,1,6,1,2,1,1,,1
22168,3,,2,3,1,2,1,4,1933,,2,,,,,,1,9,2,,1,3,,1
22169,3,,2,3,1,2,1,4,1921,,2,,,,,,1,6,2,,2,,,1
22173,3,,1,2,1,2,1,4,1896,,1,2,9,,1897,,2,,2,,1,4,,1
22208,3,,1,1,2,,,,,,2,,,,,,1,2,2,,2,,,1
22222,3,,2,1,1,1,9,,1899,,1,2,9,,1904,,1,1,2,,1,4,,1
22276,3,,1,2,1,2,1,2,1920,,1,2,9,,,,1,1,2,,2,,2,1
22277,3,,1,3,1,2,1,4,1911,,1,2,1,1,1923,,2,,1,1,2,,,1
22279,3,,2,3,1,2,1,3,1924,,1,2,8,4,1922,,1,1,2,,2,,2,1
22286,3,,1,2,1,1,2,3,1927,,1,1,8,4,1927,,1,1,1,2,1,1,,1
22292,3,,1,2,1,1,8,1,1886,,1,1,9,,1891,,1,2,2,,1,2,,1
22624,3,,2,5,1,1,1,1,1931,,1,1,9,,1934,,1,3,1,1,1,1,,1
22657,3,,3,2,1,3,9,,1922,,1,3,8,4,1930,,1,6,1,1,1,1,,1
22850,3,,2,1,1,2,1,2,1909,,1,2,1,2,1920,,1,1,2,,2,,2,1
22995,3,,1,2,1,2,8,1,1909,,1,2,8,1,1911,,1,4,2,,1,1,,0
22996,3,,1,2,1,2,8,1,1893,,1,2,8,1,1906,,2,,2,,1,2,,0
23370,3,,2,2,1,3,1,2,1919,,1,2,9,,1922,,1,3,2,,1,3,,1
23384,3,,1,1,1,3,8,4,1900,,1,7,9,,1902,,1,2,2,,2,,,0
23490,3,,3,1,1,2,8,4,1908,,1,2,9,,1913,,1,1,2,,2,,2,0
23797,3,,1,2,1,3,6,4,1923,,1,3,9,,1926,,2,,2,,2,,,1
23821,3,,2,2,1,1,9,,1906,,1,1,9,,1908,,1,6,2,,1,4,,1
23823,3,,1,2,1,2,1,4,1906,,1,2,9,,1907,,1,4,2,,1,2,,1
23865,3,,1,2,1,3,1,2,1917,,1,2,9,,1922,,1,1,1,1,2,,,1
23986,3,,3,2,2,,,,,,2,,,,,,1,5,2,,1,3,,1
24147,3,,4,2,1,4,7,4,1916,,1,4,3,3,1927,,1,2,2,,1,2,,1
24149,3,,3,1,1,2,1,4,1895,,1,2,9,,1894,,2,,2,,1,1,,1
24194,3,,2,4,1,2,2,3,1915,,1,1,1,1,1926,,1,3,1,3,2,,,1
24195,3,,3,2,1,3,1,2,1931,,1,1,9,,1927,,1,9,1,1,1,2,,1
24326,3,,2,1,1,2,1,1,1895,,1,2,9,,1900,,1,3,2,,2,,,1
24374,3,,1,4,1,2,1,1,1923,,1,1,1,1,1922,,1,1,2,,1,2,,1
24379,3,,2,1,1,2,9,,1906,,1,2,9,,1909,,1,2,2,,1,2,,1
24382,3,,2,2,1,1,9,,1907,,1,1,9,,1901,,1,3,1,1,1,2,,1
24393,3,,2,1,1,2,9,,1886,,1,1,9,,1896,,1,1,2,,1,2,,1
24616,3,,3,2,1,1,9,,1909,,1,1,9,,1909,,1,1,2,,1,2,,1
24760,3,,1,1,1,2,1,4,1875,,1,2,8,4,1883,,2,,2,,2,,,1
24764,3,,2,5,1,2,1,2,1940,,1,2,9,,1941,,1,9,1,2,2,,,1
24809,3,,2,2,1,1,9,,1905,,1,1,9,,1920,,1,6,2,,1,2,,1
24853,3,,2,3,1,2,1,1,1923,,1,2,9,,1929,,1,4,1,2,1,1,,1
24924,3,,2,4,1,2,1,2,1942,,1,2,2,3,1942,,1,1,1,3,2,,,1
24984,3,,1,3,2,,,,,,2,,,,,,1,2,1,1,1,1,,1
25007,3,,1,1,1,3,9,,1909,,1,3,9,,1909,,1,2,2,,1,3,,1
25138,3,,2,3,1,2,1,2,1913,,1,2,9,,1914,,1,9,1,1,1,2,,1
25148,3,,3,3,1,5,3,3,1910,,1,3,9,,1920,,1,3,1,3,2,,,1
25245,3,,2,4,2,,,,,,2,,,,,,1,14,1,4,2,,,1
25625,3,,2,1,1,4,4,3,1883,,1,4,9,,1897,,2,,2,,2,,,1
25930,3,,3,2,1,2,8,4,1911,,1,2,8,4,1912,,1,2,2,,1,2,,0
25968,3,,4,2,2,,,,,,1,1,9,,1912,,1,6,2,,1,2,,1
25970,3,,3,2,1,1,1,1,1904,,1,1,1,1,1903,,1,4,2,,1,3,,1
26048,3,,3,2,1,2,1,2,1905,,1,2,1,2,1914,,1,3,2,,1,2,,1
26163,3,,2,4,1,2,1,4,1930,,1,3,9,,1932,,2,,1,1,2,,,1
26281,3,,1,1,1,2,1,4,1870,,1,1,9,,1887,,2,,2,,1,2,,1
26310,3,,2,2,1,2,1,1,1898,,1,2,1,1,1901,,1,6,2,,1,2,,1
26349,3,,1,2,1,2,1,2,1907,,1,2,9,,1909,,1,2,2,,1,1,,1
26684,3,,2,2,1,1,8,1,1921,,1,1,9,,1922,,2,,2,,2,,2,1
27109,3,,1,1,2,,,,,,2,,,,,,2,,2,,1,4,,0
27114,3,,2,1,1,2,1,1,1908,,1,2,9,,1912,,1,3,2,,1,2,,0
