NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
173,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,600,2,1,1
375,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,409,2,1,1
629,2,,,2,2,4,1,0,0,0,0,0,2,3,,,,,,2,,,,,1,2,2,,1000,2,1,2
632,1,1,2,1,1,2,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,700,1,1,1
633,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,900,2,1,1
923,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,400,2,1,1
1238,,,,1,1,3,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,800,2,1,1
1367,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,900,2,1,2
1763,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
1927,1,1,1,1,1,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,1,2,,400,2,1,1
1946,2,,,2,2,4,1,0,0,0,0,0,2,3,,,,,,1,1,2,,,1,1,2,,600,2,1,3
2274,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,700,2,2,0
2447,2,,,2,2,4,1,0,1,0,0,0,2,2,,,,,,1,2,2,,,1,2,2,,800,2,1,3
2485,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,600,2,1,1
2886,2,,,2,2,3,1,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,3000,2,1,3
3717,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1300,2,2,0
4732,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,200,2,2,0
5416,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1000,2,1,1
7165,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,500,2,1,3
7886,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,2,,,,,1,2,2,,1000,2,1,2
11972,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,2,,2,,1000,2,1,2
20174,1,1,2,1,1,4,1,0,0,1,0,0,2,1,2,,,,,1,1,1,,,1,1,2,,1200,2,1,1
