NQUEST,anabit,godabit,unipro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,UBIC1N,supab,ancostr,bagni,boiler,valabit,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristrut,tristrutn,tristrut,energia,tenergian,tenergia,imupricas,timupricas,imualtab,timualtab,imurip1,imurip2,imuasp,debita1,ndebita1,debita2,ndebita2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,mutuoric,mutuoric3,intpersezd,docsezd,ritaff,QUOPRO
173,1994,1,1,1994,1,0,0,0,0,0,0,0,0,1,80000,,,,,,,,1000,2,160,1970,1,1,220000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,500,2,,,,60,2,,2,,0,,0,,0,,1,1,0,,,1,2,2,,2,,1,2,1,,,,,,,1,2,,100
375,1970,1,1,1968,1,0,0,0,0,0,0,0,0,7,7000,,,,,,,,500,1,120,1968,2,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,80,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
629,1981,1,1,1981,1,0,0,0,0,0,0,0,0,2,35000,,,,,,,,500,1,140,1981,2,1,170000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
632,1983,1,1,1983,1,1,0,0,0,0,0,0,0,7,20000,,,,,,,,500,3,100,1983,1,1,150000,1,2,2,,2,,2,,2,,2,,1,20000,1,1,6000,2,,,2,,1,500,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
633,1963,1,1,1963,1,0,0,0,0,0,0,0,0,6,,,,,,,,,400,3,80,1960,1,1,100000,2,,2,,2,,2,,2,,1,500,,,2,,,2,,,1,300,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
923,1968,1,1,1968,1,0,0,0,0,0,0,0,0,7,6000,,,,,,,,200,1,180,1968,1,1,200000,1,1,1,1,2,,2,,2,,2,,2,,,,,,,,1,600,1,750,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
1238,1970,4,,,,,,,,,,,,,,,,,,,,2,350,2,110,1970,2,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
1367,1960,1,1,1963,1,0,0,0,0,0,0,0,0,1,2000,,,,,,,,300,3,80,1950,2,1,130000,2,,1,1,2,,2,,2,,1,250,2,,2,,,2,,,1,60,1,90,70,30,60,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
1763,1978,1,1,1978,1,1,0,0,0,0,0,0,0,4,,,,,,,,,150,1,45,1900,1,2,30000,1,1,2,,2,,2,,2,,1,500,2,,2,,,2,,,1,110,1,30,70,30,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
1927,1962,2,,,,,,,,,,,,,,,,350,4,1,700,4,,2,93,1944,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,0,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
1946,1964,2,,,,,,,,,,,,,,,,120,6,1,300,7,,3,94,1960,1,1,90000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,50,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
2274,1954,1,1,1954,1,0,0,0,0,0,0,0,0,5,20000,,,,,,,,300,2,110,1815,2,1,80000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,300,2,,,,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
2447,1981,1,1,1980,1,0,0,0,0,0,0,0,0,1,3000,,,,,,,,1200,3,117,1800,2,1,200000,1,2,2,,2,,2,,2,,2,,2,,,,,,,,1,200,1,300,100,0,0,1,1,2,,0,,0,,0,,0,,0,,4,,2,2,,2,,2,,,,,1,1,1,,1,2,,100
2485,1953,1,1,1967,1,0,0,0,0,0,0,0,0,4,,,,,,,,,300,3,90,1880,1,2,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
2886,1981,1,1,1981,1,1,0,0,0,0,0,0,0,1,23000,,,,,,,,400,1,96,1968,2,2,150000,1,1,1,2,1,1,2,,2,,1,7000,2,,1,1,3000,2,,,1,190,1,12,100,0,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
3717,1995,2,,,,,,,,,,,,,,,,550,1,2,,4,,2,100,1960,1,1,300000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,70,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
4732,2010,5,,,,,,,,,,,,,,,,,,,,2,100,1,60,1950,1,2,20000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,2,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,1,1,2,,
5416,1985,2,,,,,,,,,,,,,,,,350,1,2,,4,,3,60,1958,1,1,100000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,10,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
7165,1979,1,1,1979,1,0,0,0,0,0,0,0,0,4,,,,,,,,,1000,2,100,1961,1,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,400,2,,,,90,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
7886,1986,1,1,1986,0,1,0,0,0,0,0,0,0,1,25000,,,,,,,,1000,1,120,1960,2,1,800000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,800,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
11972,1982,1,1,1981,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,500,2,90,1969,1,1,200000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,300,1,600,100,0,99,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,100
20174,1971,1,1,1971,1,1,0,0,0,0,0,0,0,1,4000,,,,,,,,600,2,65,1963,1,2,130000,1,1,2,,2,,2,,2,,1,4500,2,,2,,,2,,,1,160,1,500,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
20223,1975,1,1,1967,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,500,2,75,1960,1,1,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,140,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
20297,1964,2,,,,,,,,,,,,,,,,370,1,1,550,4,,4,83,1960,1,1,120000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,,,20,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,1,1,2,,1,2,2,
20711,1970,4,,,,,,,,,,,,,,,,,,,,2,400,4,90,1940,1,1,200000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,2,,2,,,,50,2,,2,,0,,1,1,0,,0,,0,,,4,2,2,,2,,2,,,,,2,,2,2,1,2,,
20837,1963,1,1,1963,1,1,0,0,0,0,0,0,0,1,1400,,,,,,,,400,1,80,1962,1,1,200000,1,2,2,,2,,2,,2,,2,,1,5000,2,,,1,1,2700,1,600,1,2400,80,20,0,1,1,2,,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,1,2,,100
21384,1981,1,1,2000,1,1,0,0,0,0,0,0,0,5,25000,,,,,,,,350,2,100,1978,2,1,100000,2,,1,1,2,,2,,2,,1,2500,1,500,2,,,2,,,1,250,1,1550,0,100,60,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,1,1,3,1,2,,,,,1,2,,100
21461,1974,4,,,,,,,,,,,,,,,,,,,,2,700,2,75,1960,1,1,300000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
22099,1980,1,1,1980,1,1,0,0,0,0,0,0,0,1,15000,,,,,,,,600,1,95,1970,2,1,325000,2,,2,,2,,2,,2,,1,1500,,,2,,,2,,,1,400,2,,,,30,2,,2,,0,,1,1,0,,0,,0,,,4,2,2,,2,,1,2,2,3,2,,,,,1,2,,100
22168,1980,2,,,,,,,,,,,,,,,,250,4,1,300,4,,2,40,1965,1,2,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,80,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
