NQUEST,ass2,nass2,ass2c1,ass2g1,ass2cn1,contraz11,adesione1,compafilt1,compa1g1,compa1o1,compa1b1,compa1a1,compa1u1,ass2a1,ass2s1,ass2ris1,ass2rist1,ass2k11,ass2r1,ass2c2,ass2g2,ass2cn2,contraz21,adesione2,compafilt2,compa1g2,compa1o2,compa1b2,compa1a2,compa1u2,ass2a2,ass2s2,ass2ris2,ass2rist2,ass2k21,ass2r2,ass2c3,ass2g3,ass2cn3,contraz31,adesione3,compafilt3,compa1g3,compa1o3,compa1b3,compa1a3,compa1u3,ass2a3,ass2s3,ass2ris3,ass2rist3,ass2k31,ass2r3,ass2c4,ass2g4,ass2cn4,contraz41,adesione4,compafilt4,compa1g4,compa1o4,compa1b4,compa1a4,compa1u4,ass2a4,ass2s4,ass2ris4,ass2rist4,ass2k41,ass2r4,ass2c5,ass2g5,ass2cn5,contraz51,adesione5,compafilt5,compa1g5,compa1o5,compa1b5,compa1a5,compa1u5,ass2a5,ass2s5,ass2ris5,ass2rist5,ass2k51,ass2r5,ass1,nass1,ass1c1,ass1a1,ass1s1,ass1m1,ass1v1,ass1k11,ass1k1,ass1f1,ass1ka11,ass1ka1,ass1c2,ass1a2,ass1s2,ass1m2,ass1v2,ass1k21,ass1k2,ass1f2,ass1ka21,ass1ka2,ass1c3,ass1a3,ass1s3,ass1m3,ass1v3,ass1k31,ass1k3,ass1f3,ass1ka31,ass1ka3,ass1c4,ass1a4,ass1s4,ass1m4,ass1v4,ass1k41,ass1k4,ass1f4,ass1ka41,ass1ka4,ass1c5,ass1a5,ass1s5,ass1m5,ass1v5,ass1k51,ass1k5,ass1f5,ass1ka51,ass1ka5,ass4,nass4,ass4s1,ass4s2,ass4s3,ass4s4,ass4s5,ass3,nass31,nass32,nass33,ass3s,intpersezf,docsezf,compa11,compa21,compa31,compa41,compa51,ass2k1,ass2k2,ass2k3,ass2k4,ass2k5,contraz1,contraz2,contraz3,contraz4,contraz5
173,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1997,1600,1,1,1,25000,7,1,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,500,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
629,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,1,0,150,1,2,,,,,,,,,,,,,,,
632,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,1,0,120,1,2,,,,,,,,,,,,,,,
633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,1,0,150,1,2,,,,,,,,,,,,,,,
923,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
1238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1999,700,1,1,2,,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
1367,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
1763,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
1927,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
1946,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2012,10000,1,1,1,10000,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
2274,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
2447,1,1,1,3,1,,,1,,,,,,1997,200,2,,5300,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,2,,,,,1,,,,,2,,,,
2485,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
2886,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2003,1300,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,
