NQUEST,comprens,ita,veroaf,veroab,verored,klima,facil,durata
173,10,10,5,8,6,8,10,57
375,6,7,7,6,7,7,8,29
629,7,10,7,8,8,9,8,73
632,8,10,7,6,6,8,7,53
633,7,10,7,8,7,8,7,45
923,8,8,8,8,8,9,7,43
1238,7,7,6,7,7,7,8,55
1367,9,9,9,9,9,9,9,40
1763,7,7,7,7,7,7,7,25
1927,10,10,10,10,10,10,10,51
1946,10,10,10,10,10,10,10,50
2274,7,7,10,10,10,7,6,37
2447,8,8,8,9,8,8,8,86
2485,8,8,8,8,8,8,8,21
2886,8,8,8,8,8,8,8,69
3717,7,7,8,7,8,7,7,50
4732,6,6,7,8,6,7,6,40
5416,10,10,10,10,10,10,10,90
7165,9,9,9,9,9,9,9,58
7886,10,10,10,10,10,10,10,45
11972,7,8,9,9,7,8,7,63
20174,10,10,9,10,8,9,8,87
20223,8,9,9,9,8,9,9,46
20297,10,10,10,10,10,9,10,53
20711,10,10,10,10,10,10,10,54
20837,7,7,7,9,8,8,5,86
21384,8,8,8,8,8,8,8,51
21461,8,8,6,7,7,9,9,25
22099,9,9,9,9,9,9,9,51
22168,10,10,10,10,10,10,10,41
22169,10,10,10,10,10,10,10,31
22173,10,10,10,10,10,10,10,36
22208,10,10,7,10,10,10,10,46
22222,7,7,7,10,10,10,9,46
22276,6,7,8,9,8,10,7,39
22277,9,10,9,9,9,9,9,46
22279,5,6,8,7,8,8,8,40
22286,9,9,8,8,9,9,9,28
22292,5,7,6,9,8,9,5,47
22624,4,9,6,6,4,10,9,60
22657,8,8,8,8,8,8,8,57
22850,10,10,10,10,10,10,10,46
22995,9,8,5,5,8,10,9,66
22996,8,6,6,8,8,8,8,55
23370,10,10,10,10,10,10,10,38
23384,8,10,6,8,7,8,8,60
23490,8,10,8,8,7,9,8,65
23797,10,10,8,10,10,10,10,40
23821,7,8,6,9,7,9,9,50
23823,8,8,8,9,9,9,9,59
23865,6,7,7,6,7,7,8,26
23986,8,7,8,8,8,8,8,25
24147,9,9,9,9,9,9,9,32
24149,9,9,9,9,9,9,9,23
24194,8,8,6,8,9,8,7,65
24195,8,7,6,9,7,7,6,54
24326,7,7,8,8,8,10,9,32
24374,8,8,7,7,7,7,7,72
24379,9,9,9,9,9,9,9,49
24382,6,6,7,7,7,7,7,43
24393,8,8,8,8,8,8,8,35
24616,8,8,8,10,7,9,9,72
24760,7,8,8,9,9,10,7,37
24764,7,7,8,9,8,9,8,33
24809,8,8,7,8,7,8,8,54
24853,10,10,6,10,10,10,10,70
24924,10,10,10,10,10,10,10,57
24984,8,8,8,8,8,8,8,32
25007,8,8,8,8,8,8,8,26
25138,10,10,10,10,10,10,10,34
25148,10,10,10,10,10,10,10,42
25245,9,9,9,9,9,9,9,62
25625,8,9,7,9,8,9,8,55
25930,10,10,8,10,10,10,10,50
25968,8,9,9,9,9,9,9,40
25970,8,9,9,9,9,9,9,38
