nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
173,49737.361331,0,0,0,32500,32500,32500,0,0,0,0,0,0,0,0,0,0,17237.361331,17000,0,17000,237.36133073,237.36133073,0,0,0
375,11320.942373,0,0,0,5317,5317,5317,0,0,0,0,0,0,0,0,0,0,6003.9423734,6000,0,6000,3.9423733627,3.9423733627,0,0,0
629,40563.690285,15500,15500,0,17797,17797,17797,0,0,0,0,0,0,0,0,0,0,7266.6902847,6000,0,6000,1266.6902847,11.868066536,0,1254.8222182,0
632,50735.076543,0,0,0,17160,17160,17160,0,0,0,0,0,0,0,13000,13000,0,20575.076543,17260,5760,11500,3315.0765435,178.02099805,0,3137.0555454,0
633,19933.955031,0,0,0,14950,14950,14950,0,0,0,0,0,0,0,0,0,0,4983.9550313,4800,0,4800,183.95503131,183.95503131,0,0,0
923,9110,0,0,0,6110,6110,6110,0,0,0,0,0,0,0,0,0,0,3000,3000,0,3000,0,0,0,0,0
1238,16217.198705,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,4217.1987049,4200,0,4200,17.198704927,17.198704927,0,0,0
1367,17351.664613,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,4351.6646128,4000,0,4000,351.66461275,351.66461275,0,0,0
1763,12840.696923,6000,6000,0,4000,0,0,0,4000,0,0,4000,4000,0,0,0,0,2840.6969234,2800,0,2800,40.696923424,40.696923424,0,0,0
1927,10505.695599,0,0,0,10270,10270,10270,0,0,0,0,0,0,0,0,0,0,235.69559887,0,0,0,235.69559887,47.472266145,0,188.22333273,0
1946,12187.520806,0,0,0,11570,11570,11570,0,0,0,0,0,0,0,0,0,0,617.52080622,0,0,0,617.52080622,617.52080622,0,0,0
2274,13360,0,0,0,9360,9360,9360,0,0,0,0,0,0,0,0,0,0,4000,4000,0,4000,0,0,0,0,0
2447,42202.367629,26400,26400,0,0,0,0,0,0,0,0,0,0,0,180,180,0,15622.367629,16400,0,16400,-777.6323711,68.834785911,0,0,846.46715697
2485,11407.544465,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,3607.5444648,3600,0,3600,7.5444648325,7.5444648325,0,0,0
