NQUEST,Y,CN,CD1,CD2,CD,C,S
173,49737.361331,29000,0,0,0,29000,20737.361331
375,11320.942373,13680,0,0,0,13680,-2359.057627
629,40563.690285,26640,0,0,0,26640,13923.690285
632,50735.076543,24700,0,350,350,25050,25685.076543
633,19933.955031,18000,0,0,0,18000,1933.9550313
923,9110,9000,0,0,0,9000,110
1238,16217.198705,18240,0,0,0,18240,-2022.801295
1367,17351.664613,16000,0,0,0,16000,1351.6646128
1763,12840.696923,14080,0,0,0,14080,-1239.303077
1927,10505.695599,12650,0,0,0,12650,-2144.304401
1946,12187.520806,24180,0,1400,1400,25580,-13392.47919
2274,13360,12940,0,0,0,12940,420
2447,42202.367629,30380,0,0,0,30380,11822.367629
2485,11407.544465,12540,0,0,0,12540,-1132.455535
2886,47125.767451,50200,0,160,160,50360,-3234.232549
3717,6000,22200,0,0,0,22200,-16200
4732,4700,4800,0,0,0,4800,-100
5416,30065.387738,21000,0,0,0,21000,9065.3877382
7165,34900.723919,27600,0,0,0,27600,7300.7239194
7886,53774.825103,33600,0,0,0,33600,20174.825103
11972,72544.833597,18000,0,0,0,18000,54544.833597
20174,41170.822218,30668,0,0,0,30668,10502.822218
20223,39179.30273,20400,0,0,0,20400,18779.30273
20297,22223.736133,14640,0,0,0,14640,7583.7361331
20711,29711.868067,23480,0,1800,1800,25280,4431.8680665
20837,44536.255998,31180,0,1500,1500,32680,11856.255998
21384,30312.63483,18600,0,0,0,18600,11712.63483
21461,16200,15600,0,0,0,15600,600
22099,28216.006975,25200,0,1500,1500,26700,1516.0069753
22168,12627.8021,13800,0,0,0,13800,-1172.1979
22169,13260,13200,0,0,0,13200,60
22173,15615.428486,20400,0,0,0,20400,-4784.571514
22208,21621.141646,19848,0,0,0,19848,1773.1416455
22222,30185.899258,15336,380,1500,1880,17216,12969.899258
22276,39723.607759,20520,0,0,0,20520,19203.607759
22277,42912.379532,29420,0,0,0,29420,13492.379532
22279,43055.130777,27600,0,0,0,27600,15455.130777
22286,18733.291712,16800,0,0,0,16800,1933.2917119
22292,40805.426528,32120,0,0,0,32120,8685.4265281
22624,5570,15408,0,0,0,15408,-9838
22657,50104.75335,43080,500,100,600,43680,6424.7533496
22850,30200.913993,18840,0,0,0,18840,11360.913993
22995,24053.557779,23400,0,0,0,23400,653.55777933
22996,39623.570247,27200,0,0,0,27200,12423.570247
23370,17189.775122,17664,0,900,900,18564,-1374.224878
23384,19945.6042,22200,0,0,0,22200,-2254.3958
23490,33182.93618,28500,220,500,720,29220,3962.9361797
23797,26923.736133,25020,0,500,500,25520,1403.7361331
23821,12882.906507,12000,0,600,600,12600,282.90650685
23823,25933.841677,18840,0,700,700,19540,6393.841677
23865,30729.340333,27600,0,0,0,27600,3129.3403327
23986,19814.37539,22020,0,0,0,22020,-2205.62461
24147,118971.6654,83000,0,0,0,83000,35971.665396
24149,8331.8680665,10080,0,0,0,10080,-1748.131933
24194,64863.453105,45780,0,1000,1000,46780,18083.453105
24195,21060.437796,18600,0,0,0,18600,2460.4377965
24326,23711.868067,20400,0,0,0,20400,3311.8680665
24374,33644.13199,17740,0,0,0,17740,15904.13199
24379,15283.076466,16132,0,0,0,16132,-848.9235342
24382,15885.508155,14450,0,0,0,14450,1435.5081552
24393,13675.489309,17100,0,350,350,17450,-3774.510691
24616,30697.305954,18804,0,0,0,18804,11893.305954
24760,16204.93438,15600,0,0,0,15600,604.93438035
24764,26823.736133,22800,0,0,0,22800,4023.7361331
24809,32510.315475,21276,0,500,500,21776,10734.315475
24853,52178.300702,28200,0,0,0,28200,23978.300702
24924,56059.340333,18480,0,700,700,19180,36879.340333
24984,49400,46400,0,500,500,46900,2500
25007,21629.815564,18000,0,0,0,18000,3629.8155645
25138,21900,19800,0,0,0,19800,2100
25148,66001.84853,25600,41000,10000,51000,76600,-10598.15147
25245,40818.680665,22188,0,0,0,22188,18630.680665
25625,58019.496142,51300,0,0,0,51300,6719.4961421
25930,35224.809951,25200,0,0,0,25200,10024.809951
25968,25443.107658,32160,0,0,0,32160,-6716.892342
25970,11606.152932,15972,-2000,400,-1600,14372,-2765.847068
26048,51967.548777,36000,0,0,0,36000,15967.548777
26163,28099.034381,26400,0,0,0,26400,1699.0343807
26281,17918.680665,16800,0,0,0,16800,1118.6806654
26310,20618.680665,20820,0,0,0,20820,-201.3193346
26349,40240,25200,0,539,539,25739,14501
26684,14380,15600,0,0,0,15600,-1220
27109,13450,12000,0,150,150,12150,1300
27114,19059.340333,14200,0,200,200,14400,4659.3403327
27116,18764.340333,16540,0,300,300,16840,1924.3403327
27123,24418.680665,22200,0,230,230,22430,1988.6806654
27155,31414.012553,24960,4000,0,4000,28960,2454.0125527
27157,22368.788097,22200,0,0,0,22200,168.78809699
27224,69265.243073,50400,0,1000,1000,51400,17865.243073
27238,23018.179016,16300,0,1000,1000,17300,5718.1790157
27505,27676.200112,16960,0,0,0,16960,10716.200112
27509,15746.091774,14400,0,0,0,14400,1346.0917745
27730,39036.044162,29580,0,2500,2500,32080,6956.0441616
27734,19983.057306,16176,0,0,0,16176,3807.0573057
27739,22166.923199,22800,0,250,250,23050,-883.076801
27742,27892.000909,22400,11000,1000,12000,34400,-6507.999091
27744,29337.299161,29260,0,700,700,29960,-622.7008392
27881,13029.670166,8400,0,0,0,8400,4629.6701663
27912,40713.514262,34800,0,0,0,34800,5913.5142622
27923,36107.081275,33480,0,0,0,33480,2627.0812754
27930,42829.778129,37000,0,900,900,37900,4929.7781292
27947,25245.021593,29220,0,300,300,29520,-4274.978407
28100,31605.327941,35580,0,0,0,35580,-3974.672059
28331,20077.136668,19180,0,0,0,19180,897.13666807
28346,27564.618103,18000,0,0,0,18000,9564.6181034
28362,39881.191997,33600,0,0,0,33600,6281.1919971
28441,53234.898261,21600,0,500,500,22100,31134.898261
28802,51331.964651,30000,0,0,0,30000,21331.964651
28859,16214.24168,15600,0,0,0,15600,614.24167984
28920,50044.536949,38700,0,0,0,38700,11344.536949
28992,65624.171214,58460,0,0,0,58460,7164.1712138
29006,45992.247579,26486.205583,0,1600,1600,28086.205583,17906.041996
29140,38549.309754,31980,0,0,0,31980,6569.3097542
29280,45703.56042,28200,0,0,0,28200,17503.56042
29288,14909.622416,14400,0,100,100,14500,409.62241621
29678,19361.810546,19740,0,0,0,19740,-378.1894539
29680,27380.041059,18600,0,0,0,18600,8780.041059
29684,58168.40094,38780,0,0,0,38780,19388.40094
29737,65576.452275,40848,0,1000,1000,41848,23728.452275
29742,52387.80767,30200,0,500,500,30700,21687.80767
29774,12571.208399,12000,0,150,150,12150,421.20839922
29798,31979.137662,27600,0,0,0,27600,4379.1376617
29823,46977.570041,43200,0,300,300,43500,3477.5700412
31092,53356.041996,50000,0,0,0,50000,3356.0419961
31093,31874.314435,21600,0,0,0,21600,10274.314435
31122,54618.328684,52400,0,0,0,52400,2218.3286838
31137,79579.876403,50400,0,0,0,50400,29179.876403
31145,31285.788889,19200,0,0,0,19200,12085.788889
31161,52719.733864,33600,0,0,0,33600,19119.733864
31219,11959.340333,20280,0,0,0,20280,-8320.659667
31220,66792.534412,34805.975705,0,0,0,34805.975705,31986.558707
31221,41023.736133,24400,0,0,0,24400,16623.736133
31246,31767.283813,18000,0,0,0,18000,13767.283813
31304,37776.283428,33520,0,0,0,33520,4256.2834283
31309,73589.082901,32200,0,2000,2000,34200,39389.082901
31387,40164.615414,31889.027376,0,1100,1100,32989.027376,7175.5880378
31403,32659.07384,20400,0,0,0,20400,12259.07384
31441,71755.079686,69600,0,0,0,69600,2155.0796858
31448,39551.523882,33388,0,5000,5000,38388,1163.5238816
31561,19559.340333,17400,4200,200,4400,21800,-2240.659667
31625,46283.48319,31190,0,0,0,31190,15093.48319
31652,48469.237545,28360,0,0,0,28360,20109.237545
31665,23916.054961,25740,0,0,0,25740,-1823.945039
31671,30656.611809,25200,0,0,0,25200,5456.6118093
31695,75758.878036,47440,0,0,0,47440,28318.878036
31724,68850,32280,0,0,0,32280,36570
31735,27616.78202,21600,14500,0,14500,36100,-8483.21798
31757,17009.188095,16260,0,0,0,16260,749.1880954
31785,58915.936271,42000,0,0,0,42000,16915.936271
31798,9010.0878566,9720,0,0,0,9720,-709.9121434
31799,34664.193129,25900,11700,0,11700,37600,-2935.806871
31860,43608.307647,28200,0,0,0,28200,15408.307647
31868,18171.735837,12456,0,0,0,12456,5715.7358372
31869,13031.612758,11400,0,0,0,11400,1631.612758
31912,25243.076466,19800,0,0,0,19800,5443.0764658
32001,30165.309793,22800,0,0,0,22800,7365.309793
32028,85466.152657,30000,0,450,450,30450,55016.152657
32034,19862.057496,16200,0,150,150,16350,3512.0574961
32041,25750.458903,15000,0,0,0,15000,10750.458903
32044,16979.778129,14160,0,0,0,14160,2819.7781292
32052,33089.667587,28740,0,0,0,28740,4349.6675873
32057,54543.983674,74100,0,700,700,74800,-20256.01633
32067,14333.760862,12960,0,0,0,12960,1373.7608622
32144,26374.895363,20540,0,0,0,20540,5834.8953628
32190,36546.548771,23920,0,0,0,23920,12626.548771
32198,99604.091981,26400,0,0,0,26400,73204.091981
32206,15448.307535,20748,0,2000,2000,22748,-7299.692465
32209,27223.413288,22300,0,1500,1500,23800,3423.4132877
32210,34370.433618,19800,0,300,300,20100,14270.433618
32229,20584.835083,18600,0,0,0,18600,1984.8350832
32288,24894.944532,22680,0,19000,19000,41680,-16785.05547
32318,16970.084818,13800,0,0,0,13800,3170.0848177
32320,61246.794672,42562.208733,0,0,0,42562.208733,18684.585939
32328,20035.587058,15000,0,1200,1200,16200,3835.587058
32470,30526.381452,26860,0,200,200,27060,3466.3814523
32471,11791.47586,12240,0,0,0,12240,-448.5241396
32524,97284.542879,54836,10000,0,10000,64836,32448.542879
32556,21751.989466,14580,0,0,0,14580,7171.9894659
32668,21806.934761,18180,0,0,0,18180,3626.9347609
32703,27571.868067,16080,8900,500,9400,25480,2091.8680665
32709,137009.84788,39600,0,0,0,39600,97409.847885
32713,14400,17400,0,350,350,17750,-3350
32729,55780.596357,34200,0,0,0,34200,21580.596357
32733,22682.56973,27828,0,0,0,27828,-5145.43027
32734,45243.187786,33360,0,1800,1800,35160,10083.187786
32742,43308.212972,37200,0,700,700,37900,5408.2129725
32751,30766.751442,28300,0,500,500,28800,1966.7514418
32764,31000,26400,0,0,0,26400,4600
32765,63302.944552,37400,0,100,100,37500,25802.944552
32772,28282.769453,24000,0,0,0,24000,4282.7694526
32810,11310.658149,11200,0,100,100,11300,10.658149046
32822,38407.1434,20340,0,1100,1100,21440,16967.1434
32839,26231.665396,33156,0,400,400,33556,-7324.334604
32861,53737.361331,36000,0,0,0,36000,17737.361331
32887,140847.47227,38700,0,1500,1500,40200,100647.47227
32962,40680.347435,41360,0,0,0,41360,-679.6525646
32982,21618.680665,16800,0,0,0,16800,4818.6806654
32987,22255.382329,19500,0,0,0,19500,2755.3823288
33036,10400,8880,0,0,0,8880,1520
33038,39555.445167,30326.925711,0,0,0,30326.925711,9228.5194567
33228,28560.711322,22080,0,0,0,22080,6480.7113216
33245,27715.6042,20040,0,0,0,20040,7675.6041996
33275,51434.468385,36000,0,500,500,36500,14934.468385
33303,40895.01808,22820,0,800,800,23620,17275.01808
33328,60809.559231,26300,0,0,0,26300,34509.559231
33335,67465.71879,32000,0,0,0,32000,35465.71879
33336,21800,14700,-7000,0,-7000,7700,14100
33348,49158.680665,33320,0,0,0,33320,15838.680665
33451,31262.804541,33240,0,1000,1000,34240,-2977.195459
33455,42426.061113,23100,0,0,0,23100,19326.061113
33479,44888.394234,33600,0,0,0,33600,11288.394234
33644,28917.842328,18840,0,0,0,18840,10077.842328
33751,69441.758941,44400,4500,0,4500,48900,20541.758941
33761,107019.50557,58720,0,1200,1200,59920,47099.50557
33773,25962.246014,19080,0,0,0,19080,6882.2460144
33777,31729.578942,24528.822463,4000,0,4000,28528.822463,3200.7564797
33778,45179.96613,23300,0,0,0,23300,21879.96613
33781,35339.340695,18000,0,0,0,18000,17339.340695
33823,36301.676535,23300,0,0,0,23300,13001.676535
33839,11877.813588,10800,0,350,350,11150,727.81358775
33877,55678.650389,31460,0,2500,2500,33960,21718.650389
33882,46015.985919,36480,3600,0,3600,40080,5935.9859186
33888,18152.219523,14880,0,0,0,14880,3272.2195225
33889,40451.045614,31300,12000,100,12100,43400,-2948.954386
33937,44556.041996,41840,0,2000,2000,43840,716.04199609
33941,40399.541627,32720,0,0,0,32720,7679.5416271
33983,46822.316348,34000,-11000,0,-11000,23000,23822.316348
33985,90488.819353,81160,22000,0,22000,103160,-12671.18065
33994,43529.229397,28100,0,0,0,28100,15429.229397
34059,46515.382329,38320,0,1000,1000,39320,7195.3823288
34230,6009.6701663,6000,0,0,0,6000,9.6701663409
34252,17753.381461,14040,4000,1550,5550,19590,-1836.618539
34269,25485.892574,14400,0,0,0,14400,11085.892574
34377,13590,15600,0,300,300,15900,-2310
34396,28140,11220,0,0,0,11220,16920
34513,25606.421047,10200,0,0,0,10200,15406.421047
34732,22575.382329,14100,0,0,0,14100,8475.3823288
34738,40115.382329,23120,0,0,0,23120,16995.382329
34778,26412.179596,17160,0,0,0,17160,9252.1795962
34793,19935.6042,17520,0,0,0,17520,2415.6041996
34800,12100,11400,0,0,0,11400,700
34825,70497.115806,51040,11000,2000,13000,64040,6457.1158059
34900,40242.839031,41960,0,0,0,41960,-1717.160969
35005,27875,31080,0,1000,1000,32080,-4205
35022,18802.514583,17400,0,0,0,17400,1402.5145829
35032,58608.02268,48200,0,0,0,48200,10408.02268
35234,28873.736133,24880,0,0,0,24880,3993.7361331
35319,14658.066547,21900,0,0,0,21900,-7241.933453
35322,19388.087559,18804,0,0,0,18804,584.0875593
35323,16689.369037,16440,0,0,0,16440,249.3690371
35326,25012.083992,24000,0,5000,5000,29000,-3987.916008
35340,6776.2592512,6480,0,0,0,6480,296.25925115
35349,16535.823098,10800,0,500,500,11300,5235.8230978
35355,9161.2037834,8760,0,0,0,8760,401.20378345
35370,11457.797484,10800,0,2000,2000,12800,-1342.202516
35372,45054.691168,36480,0,2500,2500,38980,6074.6911678
35374,32238.736457,33360,0,3500,3500,36860,-4621.263543
35379,20400,21360,0,5000,5000,26360,-5960
35498,40278.383211,37200,0,0,0,37200,3078.3832108
35500,29159.523901,24180,0,60,60,24240,4919.523901
35502,11817.8021,25760,0,0,0,25760,-13942.1979
35507,67027.926425,62230,0,0,0,62230,4797.9264246
35508,15800,33952,0,0,0,33952,-18152
35518,35182.305863,22800,0,0,0,22800,12382.305863
35520,36975.457601,39660,0,0,0,39660,-2684.542399
35600,13589.010499,15000,0,1000,1000,16000,-2410.989501
35640,46100.863823,36000,0,0,0,36000,10100.863823
35682,40850,31820,0,0,0,31820,9030
35735,91328.873834,53270,3000,0,3000,56270,35058.873834
35788,49403.602673,58260,0,0,0,58260,-8856.397327
35968,24328.81141,26660,0,550,550,27210,-2881.18859
36010,19603.137056,15100,0,0,0,15100,4503.1370555
36067,36261.847737,21600,0,0,0,21600,14661.847737
36106,32221.709175,31260,0,400,400,31660,561.70917503
36120,33814.278757,30980,0,0,0,30980,2834.2787565
36130,33823.736133,26880,-4000,500,-3500,23380,10443.736133
36131,33412.968426,27600,0,0,0,27600,5812.9684262
36146,50300,25400,0,700,700,26100,24200
36148,15243.736133,15600,0,0,0,15600,-356.2638669
36164,31363.788373,25980,0,100,100,26080,5283.7883735
36186,20709.172482,29040,0,0,0,29040,-8330.827518
36249,21900,16680,0,0,0,16680,5220
36250,33162.679542,24900,0,0,0,24900,8262.679542
36311,26263.223874,24300,0,0,0,24300,1963.2238735
36321,63450.905332,23400,0,700,700,24100,39350.905332
36333,19805.554967,22200,0,0,0,22200,-2394.445033
36378,53962.97513,32400,0,500,500,32900,21062.97513
36403,16660.175713,11160,0,0,0,11160,5500.1757131
36409,101677.39804,58760,0,0,0,58760,42917.398036
36443,38105.048343,27180,0,1200,1200,28380,9725.0483431
36450,60894.366328,37700,0,1200,1200,38900,21994.366328
36494,21479.8021,19644,0,0,0,19644,1835.8020998
36522,48781.717612,60040,0,2000,2000,62040,-13258.28239
36524,73565.642775,34800,0,1000,1000,35800,37765.642775
36697,21640.237977,21480,0,0,0,21480,160.23797676
36774,6230,9876,0,0,0,9876,-3646
36891,22691.710592,27100,0,400,400,27500,-4808.289408
36893,34006.687865,38360,0,0,0,38360,-4353.312135
37001,40519.089779,32400,0,0,0,32400,8119.0897794
37011,66797.575478,60920,0,500,500,61420,5377.5754776
37042,79565.542946,55440,0,2000,2000,57440,22125.542946
37286,27200,32280,0,0,0,32280,-5080
37299,33400,25200,0,0,0,25200,8200
37459,30219.462355,25169.690884,0,450,450,25619.690884,4599.7714711
37504,60480.106588,66840,0,500,500,67340,-6859.893412
37521,37392.578794,19200,0,0,0,19200,18192.578794
37665,49344.428827,28600,0,1500,1500,30100,19244.428827
37677,33380.695311,21900,12500,0,12500,34400,-1019.304689
37721,30671.726553,26400,0,0,0,26400,4271.7265526
37808,55237.361331,39800,0,0,0,39800,15437.361331
37810,8844.6041996,8280,0,500,500,8780,64.604199609
38014,29324.080851,24000,0,6000,6000,30000,-675.919149
38095,25400,13140,0,300,300,13440,11960
38106,49327.083992,36000,0,300,300,36300,13027.083992
38112,45476.583764,41800,0,300,300,42100,3376.5837643
38128,6240,10500,0,0,0,10500,-4260
38135,21603.56042,11664,0,0,0,11664,9939.56042
38177,23484.722661,18000,0,0,0,18000,5484.7226615
38183,65065.382329,37650,0,500,500,38150,26915.382329
38255,25224.92294,27780,0,0,0,27780,-2555.07706
38261,28737,22200,0,0,0,22200,6537
38272,32026.94348,27500,0,0,0,27500,4526.9434795
38316,103165.40054,73060,0,0,0,73060,30105.400542
38319,26217.8021,20400,0,0,0,20400,5817.8020998
38349,64235.250142,49120,0,0,0,49120,15115.250142
38554,18968.720844,18388,250,0,250,18638,330.72084381
38797,19819.898664,14400,0,200,200,14600,5219.8986645
38800,31152.454649,18060,0,0,0,18060,13092.454649
38877,32059.340333,22656,0,0,0,22656,9403.3403327
38885,24205.333528,24000,0,1000,1000,25000,-794.6664717
38903,13331,12444,0,0,0,12444,887
38909,21535.723431,18200,0,0,0,18200,3335.7234312
38913,19301.264448,23304,0,0,0,23304,-4002.735552
38939,52785.6042,21400,0,0,0,21400,31385.6042
38940,36660.752816,27600,0,0,0,27600,9060.7528162
38957,21831.986923,22872,0,0,0,22872,-1040.013077
38964,21008.320263,19740,0,0,0,19740,1268.3202626
38967,47118.680665,46000,0,0,0,46000,1118.6806654
38977,105471.2084,37400,0,0,0,37400,68071.208399
38979,24940.086984,28080,0,0,0,28080,-3139.913016
38992,78863.669301,51600,20000,0,20000,71600,7263.6693009
38995,42787.340809,37921.720518,0,0,0,37921.720518,4865.620291
39056,52269.406338,36100,0,800,800,36900,15369.406338
39057,26350.586181,15600,0,400,400,16000,10350.586181
39058,18259.340333,18228,2000,0,2000,20228,-1968.659667
39060,9635.6041996,9000,0,0,0,9000,635.60419961
39061,37486.457281,50000,0,0,0,50000,-12513.54272
39086,43046.985827,36480,0,650,650,37130,5916.9858267
39095,55045.61123,38400,0,0,0,38400,16645.61123
39111,20399.089759,13320,0,0,0,13320,7079.0897593
39218,30923.196062,28800,0,0,0,28800,2123.1960615
39227,13267.472266,10800,0,0,0,10800,2467.4722661
39259,20176.799307,15600,0,0,0,15600,4576.7993074
39284,76018.785656,49440,0,800,800,50240,25778.785656
39317,36800,28800,0,0,0,28800,8000
39318,48400.704045,21600,0,0,0,21600,26800.704045
39351,15609.494453,15600,0,0,0,15600,9.4944532291
39356,19801.186807,19560,0,0,0,19560,241.18680665
39433,24181.086976,26476,0,0,0,26476,-2294.913024
39436,37894.507088,15900,0,3000,3000,18900,18994.507088
