nquest,nordp,motusc,annoenus
173,2,2,2011
1946,2,1,2012
2274,1,1,2012
2447,3,4,2011
22099,5,6,2012
22173,3,4,2011
22624,4,4,2011
23797,3,4,2011
24984,4,6,2011
26310,3,4,2011
27923,3,4,2012
28859,2,1,2012
29140,3,4,2011
29684,4,4,2012
31561,2,1,2012
31860,3,4,2012
32209,3,4,2012
32288,2,6,2011
32288,3,6,2011
32668,4,4,2012
32713,3,4,2011
32713,4,4,2012
32887,3,4,2011
33228,2,1,2011
33777,3,4,2011
33778,4,4,2012
33937,3,3,2011
33985,3,3,2012
34793,1,1,2012
34825,3,4,2011
35340,1,1,2011
35379,3,4,2011
35498,3,4,2012
35508,7,5,
35682,3,4,2011
35682,4,4,2011
35682,5,4,2011
36131,1,4,2012
36131,3,4,2012
36131,4,4,2012
36146,5,1,2012
36164,3,4,2012
36186,1,1,2011
36186,4,6,2012
36524,4,4,2011
38014,3,4,2011
38183,3,4,2012
38939,2,1,2011
38977,2,4,2012
39056,3,4,2012
39095,1,4,2012
39095,2,4,2012
39542,3,4,2011
50135,1,1,2011
52736,3,1,2012
53081,2,4,2011
53549,3,3,2012
53871,3,4,2011
54949,3,4,2012
55104,2,4,2011
55104,3,4,2012
55308,1,1,2012
55425,2,1,2012
56603,3,2,2011
56610,2,1,2012
56677,3,4,2012
56721,4,4,2011
57027,3,6,2011
57042,4,4,2011
57043,5,1,2011
57138,3,4,2012
57138,4,6,2011
57217,2,1,2012
57546,3,4,2011
91074,1,4,2012
138399,2,1,2011
145007,3,4,2011
213440,3,4,2012
238055,3,4,2011
365034,3,4,2012
389084,3,4,2012
501082,3,4,2011
501664,2,4,2012
502157,2,98,
503560,3,4,2011
503674,4,4,2011
503981,3,4,2011
504110,3,4,2012
504359,3,4,2012
504359,4,4,2012
504380,1,1,2011
504395,2,4,2012
504483,3,4,2011
505566,2,1,2012
505820,3,4,2012
506100,1,1,2011
506753,1,1,2011
506798,3,4,2011
506997,7,5,
506997,8,5,
507172,2,1,2012
507190,4,4,2011
507329,3,6,2012
507509,2,1,2012
507644,7,5,
507663,3,4,2012
507908,3,4,2011
508861,4,4,2012
509069,3,4,2012
509366,3,4,2011
509550,2,4,2011
510181,2,1,2012
510329,2,4,2011
510374,3,4,2011
510437,1,1,2011
511354,1,1,2012
511355,3,4,2011
511443,1,1,2012
511491,2,1,2012
511500,3,4,2012
512368,5,4,2012
512941,2,6,2011
512941,3,6,2011
512941,4,6,2011
512941,5,6,2011
513326,1,4,2011
611441,3,4,2012
614683,3,4,2012
617637,2,1,2012
619457,1,1,2012
620805,3,4,2011
620862,3,4,2011
621685,3,4,2012
621766,2,1,2012
622063,2,3,2011
622707,3,4,2012
622707,4,4,2012
622707,5,6,2012
622717,2,4,2011
623281,3,3,2011
626550,3,3,2011
626641,2,4,2011
627842,4,4,2011
629478,3,4,2012
629478,4,4,2012
629555,3,4,2011
631306,4,1,2012
634442,3,4,2012
635288,2,4,2012
636407,3,4,2011
636407,4,4,2011
636407,5,4,2011
636558,3,4,2012
638322,1,1,2012
638508,3,4,2011
639013,2,1,2012
639373,3,1,2011
639502,2,1,2011
639509,3,4,2011
649063,3,4,2012
649067,3,4,2011
649067,4,4,2012
649071,4,4,2011
650048,2,4,2011
670498,3,1,2011
670853,2,3,2011
670865,2,1,2011
670865,4,4,2012
671362,2,4,2011
671645,2,1,2011
672410,1,1,2012
672430,3,4,2011
672687,3,3,2012
672687,4,3,2012
672814,2,3,2011
673399,2,1,2011
673421,2,1,2011
673451,3,4,2011
673559,2,2,2012
673559,3,3,2012
673847,3,4,2012
673847,4,4,2012
673857,5,1,2012
674024,3,4,2012
674196,3,4,2011
674229,3,4,2011
674800,3,6,2011
674815,3,4,2011
674974,3,4,2012
675315,1,1,2011
675896,4,4,2012
675897,3,4,2012
676374,4,1,2012
676670,1,1,2012
676941,2,4,2011
677167,3,4,2012
677195,3,6,2011
677230,2,4,2012
677287,2,1,2011
677489,2,6,2012
677634,2,4,2012
677655,2,4,2011
677655,3,4,2011
677766,3,4,2012
678104,2,3,2011
678138,4,4,2011
678284,2,1,2012
680083,2,4,2011
680083,3,4,2011
680083,4,6,2011
680144,3,4,2011
680144,4,4,2012
680257,3,4,2012
680430,4,4,2011
680889,4,4,2011
680911,2,1,2011
681387,2,1,2012
681431,2,1,2012
681897,4,4,2011
682020,2,1,2011
682259,3,4,2012
682363,2,6,2011
682496,2,1,2011
682507,2,6,2011
682525,1,1,2011
682776,1,1,2012
682918,3,4,2011
682995,3,4,2012
683177,3,2,2011
683230,2,1,2012
683248,3,4,2011
683251,1,1,2011
683469,2,4,2012
683645,3,4,2011
