nquest,pos_A3,pos_A4,pos_B3,pos_C1,pos_C2,pos_C3,pos_C4,pos_C5,pos_C6,pos_D1,pos_D2,pos_D3,pos_D4,pos_D5,pos_D6,pos_D7,pos_E1,pos_E3,pos_E4,pos_E5,pos_F,pos_G1,pos_G2,pos_G3,pos_G4,pos_H,pos_I,sodconsul,risfin,precauz,rispar,rispalt,rispbass,risparfine,emerg,intpersezc,docsezc,doveafris1,doveafris2,doveafris3,doveafris4,doveafris5,doveafris9,chiafris1,chiafris2,chiafris3,chiafris4,chiafris5,chiafris6,chiafris9,motinsod1,motinsod2,motinsod3,motinsod4,rismot1,rismot2,rismot3,rismot4,rismot5,rismot6,rismot7,rismot8,rismot9,rismot10,rispbacome1,rispbacome2,rispbacome3,rispbacome4,rispbacome5,rispbacome6,AFA3,AFA4,AFB3,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,AFD1,AFD2,AFD3,AFD4,AFD5,AFD6,AFD7,AFE1,AFE3,AFE4,AFE5,AFF,AFG1,AFG2,AFG3,AFG4,AFH,AFI,PDEPOS,AFDEPOS
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,10000,2,,,2,1,1,2,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,500,2,,,2,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1500,2,,,2,1,1,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600
923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,5000,2,,,2,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2000,2,,,2,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13000
1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,5000,2,,,2,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8623.9105683
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,20000,2,,,2,1,1,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000
1946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,10000,2,,,1,1,1,2,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,,,,,,,0,0,44131.950239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30953.68275
2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,10000,1,2000,,1,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8853.3912159
3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,10000,2,,,2,2,1,2,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
